:	dvije tačke
🖐🏼	prst, rašireno, ruka, srednje svijetla koža, stani, šaka, šaka sa raširenim prstima, šaka sa raširenim prstima: srednje svijetla koža
🖐🏽	ni svijetla ni tamna koža, prst, rašireno, ruka, stani, šaka, šaka sa raširenim prstima, šaka sa raširenim prstima: ni svijetla ni tamna koža
✋️	podignuta ruka
✋🏻	podignuta ruka, podignuta ruka: svijetla koža, svijetla koža
✋🏼	podignuta ruka, podignuta ruka: srednje svijetla koža, srednje svijetla koža
✋🏽	ni svijetla ni tamna koža, podignuta ruka, podignuta ruka: ni svijetla ni tamna koža
✋🏾	podignuta ruka, srednje tamna koža
✋🏿	podignuta ruka, tamna koža
🖖	vulkanski pozdrav
🖖🏻	svijetla koža, vulkanski pozdrav, vulkanski pozdrav: svijetla koža
🖖🏼	srednje svijetla koža, vulkanski pozdrav, vulkanski pozdrav: srednje svijetla koža
🖖🏽	ni svijetla ni tamna koža, vulkanski pozdrav, vulkanski pozdrav: ni svijetla ni tamna koža
🖖🏾	srednje tamna koža, vulkanski pozdrav
🖖🏿	tamna koža, vulkanski pozdrav
🫱🏻	desno, dohvatiti, držati, nadesno, ruka okrenuta nadesno: svijetla koža, rukovati, svijetla koža, šaka
🫱🏼	desno, dohvatiti, držati, nadesno, ruka okrenuta nadesno: srednje svijetla koža, rukovati, srednje svijetla koža, šaka
🫱🏽	desno, dohvatiti, držati, nadesno, ni svijetla ni tamna koža, ruka okrenuta nadesno: ni svijetla ni tamna koža, rukovati, šaka
🫱🏻‍🫲🏼	rukovanje, rukovanje: svijetla koža i srednje svijetla koža, srednje svijetla koža, svijetla koža
🫱🏻‍🫲🏽	ni svijetla ni tamna koža, rukovanje, rukovanje: svijetla koža i ni svijetla ni tamna koža, svijetla koža
🫱🏻‍🫲🏾	rukovanje, rukovanje: svijetla koža i srednje tamna koža, srednje tamna koža, svijetla koža
🫱🏻‍🫲🏿	rukovanje, rukovanje: svijetla koža i tamna koža, svijetla koža, tamna koža
🫱🏼‍🫲🏻	rukovanje, rukovanje: srednje svijetla koža i svijetla koža, srednje svijetla koža, svijetla koža
🫱🏼‍🫲🏽	ni svijetla ni tamna koža, rukovanje, rukovanje: srednje svijetla koža i ni svijetla ni tamna koža, srednje svijetla koža
🫱🏼‍🫲🏾	rukovanje, rukovanje: srednje svijetla koža i srednje tamna koža, srednje svijetla koža, srednje tamna koža
🫱🏼‍🫲🏿	rukovanje, rukovanje: srednje svijetla koža i tamna koža, srednje svijetla koža, tamna koža
🫱🏽‍🫲🏻	ni svijetla ni tamna koža, rukovanje, rukovanje: ni svijetla ni tamna koža i svijetla koža, svijetla koža
🫱🏽‍🫲🏼	ni svijetla ni tamna koža, rukovanje, rukovanje: ni svijetla ni tamna koža i srednje svijetla koža, srednje svijetla koža
🫱🏽‍🫲🏾	ni svijetla ni tamna koža, rukovanje, rukovanje: ni svijetla ni tamna koža i srednje tamna koža, srednje tamna koža
🫱🏽‍🫲🏿	ni svijetla ni tamna koža, rukovanje, rukovanje: ni svijetla ni tamna koža i tamna koža, tamna koža
🫱🏾‍🫲🏻	rukovanje, rukovanje: srednje tamna koža i svijetla koža, srednje tamna koža, svijetla koža
🫱🏾‍🫲🏼	rukovanje, rukovanje: srednje tamna koža i srednje svijetla koža, srednje svijetla koža, srednje tamna koža
🫱🏾‍🫲🏽	ni svijetla ni tamna koža, rukovanje, rukovanje: srednje tamna koža i ni svijetla ni tamna koža, srednje tamna koža
🫱🏾‍🫲🏿	rukovanje, srednje tamna koža, tamna koža
🫱🏿‍🫲🏻	rukovanje, rukovanje: tamna koža i svijetla koža, svijetla koža, tamna koža
🫱🏿‍🫲🏼	rukovanje, rukovanje: tamna koža i srednje svijetla koža, srednje svijetla koža, tamna koža
🫱🏿‍🫲🏽	ni svijetla ni tamna koža, rukovanje, rukovanje: tamna koža i ni svijetla ni tamna koža, tamna koža
🫱🏿‍🫲🏾	rukovanje, srednje tamna koža, tamna koža
🫲🏻	dohvatiti, držati, levo, nalevo, ruka okrenuta nalevo: svijetla koža, rukovati, svijetla koža, šaka
🫲🏼	dohvatiti, držati, levo, nalevo, ruka okrenuta nalevo: srednje svijetla koža, rukovati, srednje svijetla koža, šaka
🫲🏽	dohvatiti, držati, levo, nalevo, ni svijetla ni tamna koža, ruka okrenuta nalevo: ni svijetla ni tamna koža, rukovati, šaka
🫳🏻	dlan okrenut nadole: svijetla koža, ispustio, ispustiti, izabrati, otpustiti, podignuti, poterati, svijetla koža, šaka
🫳🏼	dlan okrenut nadole: srednje svijetla koža, ispustio, ispustiti, izabrati, otpustiti, podignuti, poterati, srednje svijetla koža, šaka
🫳🏽	dlan okrenut nadole: ni svijetla ni tamna koža, ispustio, ispustiti, izabrati, ni svijetla ni tamna koža, otpustiti, podignuti, poterati, šaka
🫴🏻	dlan okrenut nagore: svijetla koža, dozivati, dođi, držati, podići, ponuda, poziv, svijetla koža, uhvatiti, šaka
🫴🏼	dlan okrenut nagore: srednje svijetla koža, dozivati, dođi, držati, podići, ponuda, poziv, srednje svijetla koža, uhvatiti, šaka
🫴🏽	dlan okrenut nagore: ni svijetla ni tamna koža, dozivati, dođi, držati, ni svijetla ni tamna koža, podići, ponuda, poziv, uhvatiti, šaka
🫷	baci pet, nalevo, odbij, odgurni, ruka gura ulijevo, stop, čekaj
🫷🏻	baci pet, nalevo, odbij, odgurni, ruka gura ulijevo, ruka gura ulijevo: svijetla koža, stop, svijetla koža, čekaj
🫷🏼	baci pet, nalevo, odbij, odgurni, ruka gura ulijevo, ruka gura ulijevo: srednje svijetla koža, srednje svijetla koža, stop, čekaj
🫷🏽	baci pet, nalevo, ni svijetla ni tamna koža, odbij, odgurni, ruka gura ulijevo, ruka gura ulijevo: ni svijetla ni tamna koža, stop, čekaj
🫷🏾	baci pet, nalevo, odbij, odgurni, ruka gura ulijevo, ruka gura ulijevo: srednje tamna koža, srednje tamna koža, stop, čekaj
🫷🏿	baci pet, nalevo, odbij, odgurni, ruka gura ulijevo, ruka gura ulijevo: tamna koža, stop, tamna koža, čekaj
🫸🏻	baci, nadesno, odbij, odgurni, pet, ruka gura udesno: svijetla koža, stop, svijetla koža, čekaj, šaka
🫸🏼	baci, nadesno, odbij, odgurni, pet, ruka gura udesno: srednje svijetla koža, srednje svijetla koža, stop, čekaj, šaka
🫸🏽	baci, nadesno, ni svijetla ni tamna koža, odbij, odgurni, pet, ruka gura udesno: ni svijetla ni tamna koža, stop, čekaj, šaka
👌	ruka, u redu, znak rukom „u redu“
👌🏻	ruka, svijetla koža, u redu, znak rukom „u redu“, znak rukom „u redu“: svijetla koža
👌🏼	ruka, srednje svijetla koža, u redu, znak rukom „u redu“, znak rukom „u redu“: srednje svijetla koža
👌🏽	ni svijetla ni tamna koža, ruka, u redu, znak rukom „u redu“, znak rukom „u redu“: ni svijetla ni tamna koža
👌🏾	ruka, srednje tamna koža, u redu, znak rukom „u redu“
👌🏿	ruka, tamna koža, u redu, znak rukom „u redu“
🤌🏻	prsti, prstohvat, ruka, sarkastično, skupljeni prsti: svijetla koža, svijetla koža, upitno, ućuti, začepi, čekaj
🤌🏼	prsti, prstohvat, ruka, sarkastično, skupljeni prsti: srednje svijetla koža, srednje svijetla koža, upitno, ućuti, začepi, čekaj
🤌🏽	ni svijetla ni tamna koža, prsti, prstohvat, ruka, sarkastično, skupljeni prsti: ni svijetla ni tamna koža, upitno, ućuti, začepi, čekaj
🤏🏻	malkice, malo, prstohvat, ruka štipa: svijetla koža, svijetla koža, štipanje
🤏🏼	malkice, malo, prstohvat, ruka štipa: srednje svijetla koža, srednje svijetla koža, štipanje
🤏🏽	malkice, malo, ni svijetla ni tamna koža, prstohvat, ruka štipa: ni svijetla ni tamna koža, štipanje
✌️	pobeda, ruka, v, znak pobjede
✌🏻	pobeda, ruka, svijetla koža, v, znak pobjede, znak pobjede: svijetla koža
✌🏼	pobeda, ruka, srednje svijetla koža, v, znak pobjede, znak pobjede: srednje svijetla koža
✌🏽	ni svijetla ni tamna koža, pobeda, ruka, v, znak pobjede, znak pobjede: ni svijetla ni tamna koža
✌🏾	pobeda, ruka, srednje tamna koža, v, znak pobjede, znak pobjede: srednje tamna koža
✌🏿	pobeda, ruka, tamna koža, v, znak pobjede, znak pobjede: tamna koža
🤞	prekršteni prsti, prekršteno, prst, ruka, sreća
🤞🏻	prekršteni prsti, prekršteni prsti: svijetla koža, prekršteno, prst, ruka, sreća, svijetla koža
🤞🏼	prekršteni prsti, prekršteni prsti: srednje svijetla koža, prekršteno, prst, ruka, srednje svijetla koža, sreća
🤞🏽	ni svijetla ni tamna koža, prekršteni prsti, prekršteni prsti: ni svijetla ni tamna koža, prekršteno, prst, ruka, sreća
🤞🏾	prekršteni prsti, prekršteno, prst, ruka, srednje tamna koža, sreća
🤞🏿	prekršteni prsti, prekršteno, prst, ruka, sreća, tamna koža
🫰🏻	<3, kažiprst, ljubav, novac, palac, pucketanje, ruka, ruka sa prekrštenim palcem i kažiprstom: svijetla koža, skupo, srce, svijetla koža
🫰🏼	<3, kažiprst, ljubav, novac, palac, pucketanje, ruka, ruka sa prekrštenim palcem i kažiprstom: srednje svijetla koža, skupo, srce, srednje svijetla koža
🫰🏽	<3, kažiprst, ljubav, ni svijetla ni tamna koža, novac, palac, pucketanje, ruka, ruka sa prekrštenim palcem i kažiprstom: ni svijetla ni tamna koža, skupo, srce
🤟🏻	pokret volim te: svijetla koža, prsti, ruka, svijetla koža, tri, volim, šaka
🤟🏼	pokret volim te: srednje svijetla koža, prsti, ruka, srednje svijetla koža, tri, volim, šaka
🤟🏽	ni svijetla ni tamna koža, pokret volim te: ni svijetla ni tamna koža, prsti, ruka, tri, volim, šaka
🤘	metal, prst, rogovi, ruka, znak rogova
🤘🏻	metal, prst, rogovi, ruka, svijetla koža, znak rogova, znak rogova: svijetla koža
🤘🏼	metal, prst, rogovi, ruka, srednje svijetla koža, znak rogova, znak rogova: srednje svijetla koža
🤘🏽	metal, ni svijetla ni tamna koža, prst, rogovi, ruka, znak rogova, znak rogova: ni svijetla ni tamna koža
🤘🏾	metal, prst, rogovi, ruka, srednje tamna koža, znak rogova
🤘🏿	metal, prst, rogovi, ruka, tamna koža, znak rogova
🤙	znak rukom za telefon
🤙🏻	svijetla koža, znak rukom za telefon, znak rukom za telefon: svijetla koža
🤙🏼	srednje svijetla koža, znak rukom za telefon, znak rukom za telefon: srednje svijetla koža
🤙🏽	ni svijetla ni tamna koža, znak rukom za telefon, znak rukom za telefon: ni svijetla ni tamna koža
🤙🏾	srednje tamna koža, znak rukom za telefon
🤙🏿	tamna koža, znak rukom za telefon
👈️	kažiprst koji pokazuje ulijevo
👈🏻	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: svijetla koža, svijetla koža
👈🏼	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: srednje svijetla koža, srednje svijetla koža
👈🏽	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: ni svijetla ni tamna koža, ni svijetla ni tamna koža
👈🏾	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: srednje tamna koža, srednje tamna koža
👈🏿	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: tamna koža, tamna koža
👉️	kažiprst koji pokazuje udesno
👉🏻	kažiprst koji pokazuje udesno, kažiprst koji pokazuje udesno: svijetla koža, svijetla koža
👉🏼	kažiprst koji pokazuje udesno, kažiprst koji pokazuje udesno: srednje svijetla koža, srednje svijetla koža
👉🏽	kažiprst koji pokazuje udesno, kažiprst koji pokazuje udesno: ni svijetla ni tamna koža, ni svijetla ni tamna koža
👉🏾	kažiprst koji pokazuje udesno, srednje tamna koža
👉🏿	kažiprst koji pokazuje udesno, tamna koža
👆️	kažiprst koji pokazuje nagore otpozadi, nagore, otpozadi, pokazivanje, prst, ruka
👆🏻	kažiprst koji pokazuje nagore otpozadi, kažiprst koji pokazuje nagore otpozadi: svijetla koža, nagore, otpozadi, pokazivanje, prst, ruka, svijetla koža
👆🏼	kažiprst koji pokazuje nagore otpozadi, kažiprst koji pokazuje nagore otpozadi: srednje svijetla koža, nagore, otpozadi, pokazivanje, prst, ruka, srednje svijetla koža
👆🏽	kažiprst koji pokazuje nagore otpozadi, kažiprst koji pokazuje nagore otpozadi: ni svijetla ni tamna koža, nagore, ni svijetla ni tamna koža, otpozadi, pokazivanje, prst, ruka
👆🏾	kažiprst koji pokazuje nagore otpozadi, nagore, otpozadi, pokazivanje, prst, ruka, srednje tamna koža
👆🏿	kažiprst koji pokazuje nagore otpozadi, nagore, otpozadi, pokazivanje, prst, ruka, tamna koža
🖕	srednji prst
🖕🏻	srednji prst, srednji prst: svijetla koža, svijetla koža
🖕🏼	srednje svijetla koža, srednji prst, srednji prst: srednje svijetla koža
🖕🏽	ni svijetla ni tamna koža, srednji prst, srednji prst: ni svijetla ni tamna koža
🖕🏾	srednje tamna koža, srednji prst
🖕🏿	srednji prst, tamna koža
👇️	kažiprst koji pokazuje nadolje otpozadi, nadolje, otpozadi, pokazivanje, prst, ruka
👇🏻	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: svijetla koža, nadolje, otpozadi, pokazivanje, prst, ruka, svijetla koža
👇🏼	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: srednje svijetla koža, nadolje, otpozadi, pokazivanje, prst, ruka, srednje svijetla koža
👇🏽	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: ni svijetla ni tamna koža, nadolje, ni svijetla ni tamna koža, otpozadi, pokazivanje, prst, ruka
👇🏾	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: srednje tamna koža, nadolje, otpozadi, pokazivanje, prst, ruka, srednje tamna koža
👇🏿	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: tamna koža, nadolje, otpozadi, pokazivanje, prst, ruka, tamna koža
☝🏻	gore, kažiprst, kažiprst koji pokazuje nagore: svijetla koža, ovo, pokazivanje, prst, svijetla koža, šaka
☝🏼	gore, kažiprst, kažiprst koji pokazuje nagore: srednje svijetla koža, ovo, pokazivanje, prst, srednje svijetla koža, šaka
☝🏽	gore, kažiprst, kažiprst koji pokazuje nagore: ni svijetla ni tamna koža, ni svijetla ni tamna koža, ovo, pokazivanje, prst, šaka
🫵🏻	bocnuti, gledalac, kažiprst, kažiprst koji pokazuje prema gledaocu: svijetla koža, pokazivanje, prst, svijetla koža, ti, šaka
🫵🏼	bocnuti, gledalac, kažiprst, kažiprst koji pokazuje prema gledaocu: srednje svijetla koža, pokazivanje, prst, srednje svijetla koža, ti, šaka
🫵🏽	bocnuti, gledalac, kažiprst, kažiprst koji pokazuje prema gledaocu: ni svijetla ni tamna koža, ni svijetla ni tamna koža, pokazivanje, prst, ti, šaka
👍️	+1, nagore, palac, ruka
👍🏻	+1, nagore, palac, palac nagore: svijetla koža, ruka, svijetla koža
👍🏼	+1, nagore, palac, palac nagore: srednje svijetla koža, ruka, srednje svijetla koža
👍🏽	+1, nagore, ni svijetla ni tamna koža, palac, palac nagore: ni svijetla ni tamna koža, ruka
👍🏾	+1, nagore, palac, ruka, srednje tamna koža
👍🏿	+1, nagore, palac, ruka, tamna koža
👎️	-1, nadolje, palac, palac nadolje, ruka
👎🏻	-1, nadolje, palac, palac nadolje: svijetla koža, ruka, svijetla koža
👎🏼	-1, nadolje, palac, palac nadolje: srednje svijetla koža, ruka, srednje svijetla koža
👎🏽	-1, nadolje, ni svijetla ni tamna koža, palac, palac nadolje: ni svijetla ni tamna koža, ruka
👎🏾	-1, nadolje, palac, palac nadolje: srednje tamna koža, ruka, srednje tamna koža
👎🏿	-1, nadolje, palac, palac nadolje: tamna koža, ruka, tamna koža
✊🏻	pesnica, pesnica: svijetla koža, podignuto, solidarnost, stisnuto, svijetla koža, udarac, šaka
✊🏼	pesnica, pesnica: srednje svijetla koža, podignuto, solidarnost, srednje svijetla koža, stisnuto, udarac, šaka
✊🏽	ni svijetla ni tamna koža, pesnica, pesnica: ni svijetla ni tamna koža, podignuto, solidarnost, stisnuto, udarac, šaka
👊	ruka, stisnuto, udarac, usmjerena pesnica, šaka
👊🏻	ruka, stisnuto, svijetla koža, udarac, usmjerena pesnica, usmjerena pesnica: svijetla koža, šaka
👊🏼	ruka, srednje svijetla koža, stisnuto, udarac, usmjerena pesnica, usmjerena pesnica: srednje svijetla koža, šaka
👊🏽	ni svijetla ni tamna koža, ruka, stisnuto, udarac, usmjerena pesnica, usmjerena pesnica: ni svijetla ni tamna koža, šaka
👊🏾	ruka, srednje tamna koža, stisnuto, udarac, usmjerena pesnica, usmjerena pesnica: srednje tamna koža, šaka
👊🏿	ruka, stisnuto, tamna koža, udarac, usmjerena pesnica, usmjerena pesnica: tamna koža, šaka
🤛	pesnica ulijevo
🤛🏻	pesnica ulijevo, pesnica ulijevo: svijetla koža, svijetla koža
🤛🏼	pesnica ulijevo, pesnica ulijevo: srednje svijetla koža, srednje svijetla koža
🤛🏽	ni svijetla ni tamna koža, pesnica ulijevo, pesnica ulijevo: ni svijetla ni tamna koža
🤛🏾	pesnica ulijevo, pesnica ulijevo: srednje tamna koža, srednje tamna koža
🤛🏿	pesnica ulijevo, pesnica ulijevo: tamna koža, tamna koža
🤜🏻	desno, pesnica udesno, pesnica udesno: svijetla koža, svijetla koža
🤜🏼	desno, pesnica udesno, pesnica udesno: srednje svijetla koža, srednje svijetla koža
🤜🏽	desno, ni svijetla ni tamna koža, pesnica udesno, pesnica udesno: ni svijetla ni tamna koža
👏🏻	aplauz, dobro, ruka, ruke koje tapšu: svijetla koža, super, svijetla koža, tapšanje, uzbuđenost, čestitam, čestitke
👏🏼	aplauz, dobro, ruka, ruke koje tapšu: srednje svijetla koža, srednje svijetla koža, super, tapšanje, uzbuđenost, čestitam, čestitke
👏🏽	aplauz, dobro, ni svijetla ni tamna koža, ruka, ruke koje tapšu: ni svijetla ni tamna koža, super, tapšanje, uzbuđenost, čestitam, čestitke
🙌	bravo, podignute ruke, podići, pokret, ruka, slava
🙌🏻	bravo, podignute ruke, podignute ruke: svijetla koža, podići, pokret, ruka, slava, svijetla koža
🙌🏼	bravo, podignute ruke, podignute ruke: srednje svijetla koža, podići, pokret, ruka, slava, srednje svijetla koža
🙌🏽	bravo, ni svijetla ni tamna koža, podignute ruke, podignute ruke: ni svijetla ni tamna koža, podići, pokret, ruka, slava
🙌🏾	bravo, podignute ruke, podići, pokret, ruka, slava, srednje tamna koža
🙌🏿	bravo, podignute ruke, podići, pokret, ruka, slava, tamna koža
🫶🏻	<3, ljubav, ruke, ruke koje prave srce: svijetla koža, srce, svijetla koža, volim
🫶🏼	<3, ljubav, ruke, ruke koje prave srce: srednje svijetla koža, srce, srednje svijetla koža, volim
