‾	Überstrich
↚	durchgestrichener Pfeil nach links
→	Pfeil, nach rechts weisend, nach rechts weisender Pfeil, rechts
↛	durchgestrichener Pfeil nach rechts
↑	Pfeil, aufwärts, nach oben weisend, nach oben weisender Pfeil
↓	Pfeil, abwärts, nach unten weisend, nach unten weisender Pfeil
↜	Wellenpfeil nach links
↝	Wellenpfeil nach rechts
↞	Pfeil mit Doppelspitze nach links
↟	Pfeil mit Doppelspitze nach oben
↠	Pfeil mit Doppelspitze nach rechts
↡	Pfeil mit Doppelspitze nach unten
↢	Pfeilschwanz nach links
↣	Pfeilschwanz nach rechts
↤	Pfeil nach links von Strich weglaufend
↥	Pfeil nach oben von Strich weglaufend
↦	Pfeil nach rechts von Strich weglaufend
↧	Pfeil nach unten von Strich weglaufend
↨	Pfeil nach oben und unten mit Unterstrich
↫	Pfeil nach links mit Schleife
↬	Pfeil nach rechts mit Schleife
↭	Wellenpfeil nach links und rechts
↯	Zickzack-Pfeil nach unten
↰	Pfeil nach oben mit Spitze nach links
↱	Pfeil nach oben mit Spitze nach rechts
↲	Pfeil nach unten mit Spitze nach links
↳	Pfeil nach unten mit Spitze nach rechts
↴	Pfeil nach rechts mit Spitze nach unten
↵	Pfeil nach unten mit Ecke nach links
↶	Halbkreisförmiger Pfeil gegen Uhrzeigersinn oben
↷	Halbkreisförmiger Pfeil im Uhrzeigersinn oben
↸	Pfeil nach Nordwesten auf langen Strich zulaufend
↹	Pfeil nach links auf Strich zulaufend über Pfeil nach rechts auf Strich zulaufend
↺	Kreisförmiger Pfeil gegen Uhrzeigersinn
↻	Kreisförmiger Pfeil im Uhrzeigersinn
↼	Harpune nach links mit Zacken nach oben
↽	Harpune nach links mit Zacken nach unten
↾	Harpune nach oben mit Zacken nach rechts
↿	Harpune nach oben mit Zacken nach links
⇀	Harpune nach rechts mit Zacken nach oben
⇁	Harpune nach rechts mit Zacken nach unten
⇂	Harpune nach unten mit Zacken nach rechts
⇃	Harpune nach unten mit Zacken nach links
⇄	Pfeil nach rechts über Pfeil nach links
⇅	Pfeil, abwärts, aufwärts, nach oben und nach unten weisende Pfeile, nach oben weisend, nach unten weisend
⇆	Linkspfeil über Rechtspfeil, Pfeil, links, nach links weisender über nach rechts weisendem Pfeil, rechts
⇇	gepaarte Pfeile nach links
⇈	gepaarte Pfeile nach oben
⇉	gepaarte Pfeile nach rechts
⇊	gepaarte Pfeile nach unten
⇋	Harpune nach links über Harpune nach rechts
⇌	Harpune nach rechts über Harpune nach links
⇐	Pfeil mit Doppelstrich nach links
⇍	Durchgestrichener Pfeil mit Doppelstrich nach links
⇑	Pfeil mit Doppelstrich nach oben
⇒	Pfeil mit Doppelstrich nach rechts
⇏	Durchgestrichener Pfeil mit Doppelstrich nach rechts
⇓	Pfeil mit Doppelstrich nach unten
⇔	Pfeil mit Doppelstrich nach links und rechts
⇎	Durchgestrichener Pfeil mit Doppelstrich nach links und rechts
⇖	Pfeil mit Doppelstrich nach Nordwesten
⇗	Pfeil mit Doppelstrich nach Nordosten
⇘	Pfeil mit Doppelstrich nach Südosten
⇙	Pfeil mit Doppelstrich nach Südwesten
⇚	Pfeil mit Dreifachstrich nach links
⇛	Pfeil mit Dreifachstrich nach rechts
⇜	Schnörkelpfeil nach links
⇝	Schnörkelpfeil nach rechts
⇞	Pfeil nach oben mit doppeltem Querstrich
⇟	Pfeil nach unten mit doppeltem Querstrich
⇠	Gestrichelter Pfeil nach links
⇡	Gestrichelter Pfeil nach oben
⇢	Gestrichelter Pfeil nach rechts
⇣	Gestrichelter Pfeil nach unten
⇤	Pfeil nach links auf Strich zulaufend
⇥	Pfeil nach rechts auf Strich zulaufend
⇦	weißer Pfeil nach links
⇧	weißer Pfeil nach oben
⇨	weißer Pfeil nach rechts
⇩	weißer Pfeil nach unten
⇪	weißer Pfeil nach oben von Strich weglaufend
⇵	Pfeil nach unten links neben Pfeil nach oben
∀	für alle
∂	partielle Ableitung
∃	es existiert
∅	leere Menge
∆	Dreieck, Erhöhung, Inkrement, Schrittweite, Wertzuwachs, Zuwachs
∇	Dreieck, Nabla
∈	Element, Element von, Menge, Zugehörigkeit, enthält
∉	kein Element von
∋	enthält als Element
∎	Ende des Beweises
∏	Produktzeichen
∑	Summenzeichen
+	Pluszeichen, addieren, plus
±	Plus-Minus-Zeichen, Plusminus, Plusminuszeichen
÷	Division, Divisionszeichen, Geteiltzeichen, dividieren, teilen, teilen durch
×	Malzeichen, Multiplikation, Multiplikationszeichen, mal, malnehmen, multiplizieren
<	Kleiner-als-Zeichen, kleiner als
≮	nicht kleiner als
=	Gleichheitszeichen, gleich
≠	Ungleichheit, ungleich
>	Größer-als-Zeichen, größer als
≯	nicht größer als
¬	Negationszeichen, nicht
|	Pipe, Pipe-Symbol, Pipe-Zeichen, senkrechter Strich, vertikaler Strich
~	Tilde, Tilde-Zeichen, proportional
−	Minuszeichen, minus, subtrahieren
⁻	Minus, Minuszeichen, hochgestellt, hochgestelltes Minuszeichen
∓	minus oder plus
∕	Divisionsstrich
⁄	Bruchstrich
∗	Sternchen-Operator
∘	Ring-Operator
∙	Kreis-Operator
√	Basiszahl, Grundzahl, Quadratwurzel, Quadratzahl, Radikal, Wurzel, irrationale Zahl
∝	proportional zu
∞	Unendlichkeit, Unendlichkeitszeichen, unendlich
∟	rechter Winkel
∠	Winkel-Zeichen
∣	Teilt-Zeichen
∥	parallel zu
∧	logisches Und
∩	Menge, Schnitt, Schnittmenge
∪	Menge, Vereinigung, Vereinigungsmenge
∫	Integral
∬	Doppelintegral
∮	Kurvenintegral
∴	Folglich
∵	Weil
∶	Verhältniszeichen
∷	Proportionszeichen
∼	Tilde-Operator
∽	gespiegelte Tilde
∾	umgekehrtes schlafendes S
≃	asymptotisch gleich
≅	ungefähr-gleich
≈	Näherung, Ungefähr-Zeichen, ungefähr gleich
≌	alles gleich
≒	ungefähr gleich oder Bild von
≖	Ring im Gleichheitszeichen
≡	dreifach, dreifacher Strich, exakt, identisch, identisch mit
≣	genau äquivalent
≤	Vergleichszeichen, gleich, ist gleich, kleiner als, kleiner als oder gleich
≥	Vergleichszeichen, gleich, größer als, größer als oder gleich, ist gleich
≦	kleiner als über gleich
≧	größer als über gleich
≪	viel kleiner als
≫	viel größer als
≬	zwischen
≳	größer als oder äquivalent
≺	vorangehend
≻	nachfolgend
⊁	nicht nachfolgend
⊂	Menge, Teilmenge, Teilmenge von, Untermenge, Untermenge von
⊃	Obermenge von
⊆	Teilmenge von oder gleich mit
⊇	Obermenge von oder gleich mit
⊕	eingekreistes Pluszeichen
⊖	eingekreistes Minuszeichen
⊗	eingekreistes Multiplikationszeichen
⊘	eingekreister Divisionsstrich
⊙	eingekreister Punkt-Operator
⊚	eingekreister Ring-Operator
⊛	eingekreister Stern-Operator
⊞	eingerahmtes Pluszeichen
⊟	eingerahmtes Minuszeichen
⊥	senkrecht nach oben
⊮	erzwingt nicht
⊰	vorangehend in Relation
⊱	nachfolgend in Relation
⋭	enthält nicht als normale Untergruppe oder gleich
⊶	Original von
⊹	hermitesche konjugierte Matrix
⊿	rechtes Dreieck
⋁	N-stufiges logisches Oder
⋂	N-stufige Schnittmenge
⋃	N-stufige Vereinigungsmenge
⋅	Punkt-Operator
⋆	Stern-Operator
⋈	natürliche Verknüpfung
⋒	doppelte Schnittmenge
⋘	sehr viel kleiner als
⋙	sehr viel größer als
⋮	vertikale Ellipse
⋯	horizontale Ellipse auf mittlerer Höhe
⋰	rechts-aufwärts steigende diagonale Ellipse
⋱	rechts-abwärts fallende diagonale Ellipse
■	schwarzes Quadrat
□	weißes Quadrat
▢	weißes Quadrat mit abgerundeten Ecken
▣	weißes Quadrat mit kleinem schwarzem Quadrat
▤	Quadrat mit horizontaler Schraffur
▥	Quadrat mit vertikaler Schraffur
▦	Quadrat mit orthogonaler Kreuzschraffur
▧	Quadrat mit Schraffur von oben links nach unten rechts
▨	Quadrat mit Schraffur von oben rechts nach unten links
▩	Quadrat mit diagonaler Kreuzschraffur
▬	schwarzes Rechteck
▭	weißes Rechteck
▮	vertikales schwarzes Rechteck
▰	schwarzes Parallelogramm
▲	Dreieck, Pfeil, aufwärts, schwarz, schwarzes nach oben weisendes Dreieck
△	weißes nach oben weisendes Dreieck
▴	schwarzes nach oben weisendes kleines Dreieck
▵	weißes nach oben weisendes kleines Dreieck
▷	weißes nach rechts weisendes Dreieck
▸	schwarzes nach rechts weisendes kleines Dreieck
▹	weißes nach rechts weisendes kleines Dreieck
►	schwarzer nach rechts weisender Zeiger
▻	weißer nach rechts weisender Zeiger
▼	Dreieck, Pfeil, abwärts, schwarz, schwarzes nach unten weisendes Dreieck
▽	weißes nach unten weisendes Dreieck
▾	schwarzes nach unten weisendes kleines Dreieck
▿	weißes nach unten weisendes kleines Dreieck
◁	weißes nach links weisendes Dreieck
◂	schwarzes nach links weisendes kleines Dreieck
◃	weißes nach links weisendes kleines Dreieck
◄	schwarzer nach links weisender Zeiger
◅	weißer nach links weisender Zeiger
◆	schwarzes Karo
◇	weißes Karo
◈	weißes Karo mit kleinem schwarzem Karo
◉	weißer Kreis mit kleinem schwarzem Kreis
◊	Raute, Rhombus
○	Kreis, Ring, hohler Kreis
◌	punktierter Kreis
◍	Kreis mit vertikaler Schraffur
◎	konzentrische Kreise
●	Kreis, gefüllter Kreis
◐	Kreis mit schwarzer Hälfte links
◑	Kreis mit schwarzer Hälfte rechts
◒	Kreis mit schwarzer Hälfte unten
◓	Kreis mit schwarzer Hälfte oben
◔	Kreis mit schwarzem Viertel oben rechts
◕	schwarzer Kreis mit weißem Viertel oben links
◖	linke Hälfte eines schwarzen Kreises
◗	rechte Hälfte eines schwarzen Kreises
◘	invertiertes Aufzählungszeichen
◙	schwarzes Quadrat mit weißem Kreis
◜	Viertelkreis oben links
◝	Viertelkreis oben rechts
◞	Viertelkreis unten rechts
◟	Viertelkreis unten links
◠	Halbkreis oben
◡	Halbkreis unten
◢	schwarzes Dreieck unten rechts
◣	schwarzes Dreieck unten links
◤	schwarzes Dreieck oben links
◥	schwarzes Dreieck oben rechts
◦	weißes Aufzählungszeichen
◯	Kreis, Ring, großer hohler Kreis
◳	weißes Quadrat mit Viertel oben rechts
◷	weißer Kreis mit Viertel oben rechts
◿	weißes Dreieck unten rechts
♪	Achtel, Achtelnote, Musik, Note
⨧	Pluszeichen mit tiefgestellter Zwei
⨯	Vektor-/Kreuzprodukt
⨼	inneres Produkt
⩣	logisches Oder mit doppeltem Unterstrich
⩽	schräg gleich oder kleiner als
⪍	kleiner als über ähnlich oder gleich
⪚	gleich über größer als
⪺	nachfolgend über fast ungleich
♭	Erniedrigungszeichen, Halbton niedriger, Musik, Note, erniedrigt
♯	Erhöhungszeichen, Halbton höher, Kreuz-Zeichen, Musik, Note
😀	Gesicht, Smiley, froh, fröhlich, grinsen, grinsendes Gesicht, haha, lachen, lol, lustig
😃	Augen, Gesicht, Mund, Smiley, fröhlich, glücklich, grinsen, grinsendes Gesicht mit großen Augen, große, lachen, lol, lustig, lächeln, offen
😄	Augen, Gesicht, Mund, Smiley, fröhlich, geschlossen, glücklich, grinsen, grinsendes Gesicht mit lachenden Augen, lachen, lol, lustig, lächeln, offen, witzig
😁	Augen, Gesicht, Smiley, Zähne, fröhlich, grinsen, happy, lachen, lustig, lächeln, strahlen, strahlendes Gesicht mit lachenden Augen
😆	Augen, Gesicht, Grinsegesicht, Grinsegesicht mit zugekniffenen Augen, Mund, Smiley, geschlossen, grinsen, haha, hehe, hihi, lachen, lol, lustig, offen, witzig, zugekniffen, zusammengekniffen
😅	Gesicht, Mund, Schweiß, Schweißtropfen, Smiley, grinsen, grinsendes Gesicht mit Schweißtropfen, lachen, lustig, lächeln, nervös, offen, schwitzen
🤣	Boden, Gesicht, Smiley, Tränen, haha, hehe, lachen, lol, lustig, muahaha, rofl, sich vor Lachen auf dem Boden wälzen, witzig, wälzen
😂	Freude, Freudentränen, Gesicht, Gesicht mit Freudentränen, Smiley, Tränen, fröhlich, haha, happy, hehe, hihi, lachen, lol, lustig, muahaha, rofl, witzig
🙂	Gesicht, Smiley, leicht, leicht lächelndes Gesicht, lächeln
🙃	Gesicht, Smiley, auf dem Kopf, lächeln, stehen, umgekehrt, umgekehrtes Gesicht
🫠	Gesicht, Hitze, Sarkasmus, Smiley, auflösen, beschämt, flüssig, sarkastisch, schmelzen, schmelzendes Gesicht, schwitzen, verschwinden
😉	Auge, Gesicht, Smiley, Zwinkern, flirten, sexy, zudrücken, zugedrückt, zukneifen, zuzwinkern, zwinkerndes Gesicht
😊	Augen, Freude, Gesicht, Wangen, erröten, freundlich, glücklich, lachen, lächeln, lächelndes Gesicht mit lachenden Augen, rot
😇	Engel, Gesicht, Heiligenschein, Lächeln, Smiley, brav, glücklich, lieb, lächelndes Gesicht mit Heiligenschein, seelig
🥰	3, Gesicht, HDGDL, HDL, Herzchen, Herzen, Liebe, Smiley, anhimmeln, bewundern, lieb, lächeln, lächelndes Gesicht mit Herzen, verknallt, verliebt, verzückt
😍	Augen, Gesicht, Herzen, Liebe, Smiley, glücklich, herzförmig, lächeln, lächelndes Gesicht mit herzförmigen Augen, verliebt
🤩	Augen, Gesicht, Smiley, Star, Stern, aufgeregt, grinsen, wow, überwältigt
😘	Gesicht, Kuss, Kuss zuwerfendes Gesicht, Küsschen, Smiley, flirten, küssen, lieb, zuwerfen
😗	Gesicht, HDL, Knutsch, Kuss, Smiley, flirten, küssen, küssendes Gesicht, xoxo
☺️	Gesicht, Smiley, Wangen, fröhlich, lächeln, lächelndes Gesicht, rot
😚	Gesicht, Knutsch, Kuss, Küsschen, Smiley, Wangen, geschlossen, küssen, küssendes Gesicht mit geschlossenen Augen, rot, ugen
😙	Augen, Gesicht, Kuss, Smiley, flirten, knutsch, küssen, küssendes Gesicht mit lächelnden Augen, lächeln
🥲	Freudenträne, Gesicht, Smiley, Träne, berührt, dankbar, erleichtert, gerührt, lachendes Gesicht mit Träne, lächeln, stolz
😋	Gesicht, Sich die Lippen leckender Smiley, Smiley, Zunge, lecker, leckeres Essen, lächeln, sich die Lippen leckendes Gesicht
😛	Gesicht, Gesicht mit herausgestreckter Zunge, Smiley, Zunge, bäh, herausgestreckt, lachen, lustig, ätsch
😜	Auge, Gesicht, Smiley, Zunge, Zwinkern, herausgestreckt, herausstrecken, zudrücken, zugedrückt, zwinkerndes Gesicht mit herausgestreckter Zunge
🤪	Auge, Augen, Gesicht, Smiley, groß, irre, irres Gesicht, klein, verrückt
😝	Auge, Augen, Gesicht, Gesicht mit herausgestreckter Zunge und zusammengekniffenen Augen, Smiley, Zunge, bäh, ekel, herausgestreckt, herausstrecken, igitt, schmeck, schrecklich, zusammengekniffen, zusammenkneifen
🤑	Dollar, Dollarzeichen, Geld, Gesicht, Gesicht mit Dollarzeichen, Mund, Smiley, Zunge
🤗	Gesicht, Gesicht mit umarmenden Händen, Hände, Smiley, Umarmung, drücken, umarmen
🤭	Gesicht, Hand, Huch, Mund, Smiley, Wangen, haha, hihi, kichern, lachen, rot, verlegen, verlegen kicherndes Gesicht
🫢	Augen, Erschrecken, Erstaunen, Furcht, Gesicht, Gesicht mit offenen Augen und Hand über dem Mund, Hand, Mund, OMG, Schock, Smiley, Unglauben, Verlegenheit, geschockt, offen, Überraschung
🫣	Auge, Finger, Gesicht, Gesicht mit durch die Finger linsendem Auge, Smiley, gebannt, hervorlugen, linsen, schüchtern, spähen, starren, verlegen
🤫	Finger, Gesicht, Ruhe, Smiley, ermahnen, ermahnendes Gesicht, leise, psst, pst, ruhig, sch
🤔	Gesicht, Smiley, fragen, grübeln, hm, komisch, nachdenken, nachdenkendes Gesicht, nachdenklich, wundern
🫡	Aye, Gesicht, Militär, Respekt, Smiley, jawohl, jawoll, ok, salutieren, salutierendes Gesicht, zu Befehl
🤐	Geheimnis, Gesicht, Gesicht mit Reißverschlussmund, Mund, Reißverschluss, Smiley, halten, schweigen, wahren
🤨	Augenbrauen, Gesicht, Gesicht mit hochgezogenen Augenbrauen, Smiley, Zweifel, argwöhnisch, hochgezogen, misstrauen, skeptisch, stutzig
😐️	Gesicht, Smiley, ausdruckslos, kommentarlos, neutral, neutrales Gesicht, todernst, unbeeindruckt
😑	Gesicht, Smiley, ausdruckslos, ausdrucksloses Gesicht, kommentarlos, selbstgefällig, unbeeindruckt, unglaublich
😶	Gesicht, Gesicht ohne Mund, Mund, Smiley, kein, ohne, sprachlos
🫥	Gesicht, Smiley, depressiv, deprimiert, egal, gestrichelt, gestricheltes Gesicht, introvertiert, traurig, unsichtbar, verschwinden, verstecken
😶‍🌫	Gesicht im Nebel, Gesicht in Wolken, Kopf in Wolken, geistesabwesend
😏	Gesicht, Mundwinkel, Smiley, feixen, flirten, lächeln, schief, süffisant, süffisant lächelndes Gesicht
😒	Gesicht, Smiley, langweilig, traurig, unglücklich, unzufrieden, verstimmt, verstimmtes Gesicht
🙄	Augen, Augen verdrehendes Gesicht, Gesicht, Smiley, genervt, meinetwegen, nerv, ohje, rollen, verdrehen, verrollen
😬	Gesicht, Grimasse, Grimassen schneidendes Gesicht, Smiley, Zähne, peinlich, schneiden, verziehen
😮‍💨	Gesicht, Gesicht, das ausatmet, Seufz, Smiley, ausatmen, erleichtert, erschöpft, husten, puh, pusten, schnaufen, seufzen
🤥	Gesicht, Lüge, Nase, Pinocchio, Schwindel, lügendes Gesicht
🫨	Doppelgesicht, Erdbeben, Gesicht, OMG, Panik, Schock, Smiley, verrückt, vibrieren, wow, zittern, zitterndes Doppelgesicht, überrascht
🙂‍↔	Kopfschütteln, Schütteln, nein
🙂‍↕	Kopfnicken, Nicken, ja
😌	Augen, Gesicht, Smiley, Zen, entspannt, erleichtert, erleichtertes Gesicht, geschlossen, zufrieden
😔	Gesicht, Smiley, enttäuscht, nachdenklich, nachdenkliches Gesicht, schrecklich, traurig, verlieren, verloren
😪	Gesicht, Nacht, Smiley, gute, müde, schläfrig, schläfriges Gesicht, traurig
🤤	Gesicht, Smiley, sabbern, sabberndes Gesicht
😴	Gesicht, Mittagsschlaf, Nickerchen, Schlaf, Smiley, dösen, einschlafen, gute Nacht, gähnen, langweilig, müde, schlafen, schlafendes Gesicht, zzz
🫩	Augenringe, Gesicht, Gesicht mit Augenringen, Smiley, erschöpft, müde, schläfrig, übermüdet
😷	Arzt, Atemschutzmaske, Bazillen, Gesicht, Gesicht mit Atemschutzmaske, Krankheit, Mund, Mundschutz, Schutzmaske, Smiley, Viren, Virus, erkältet, krank
🤒	Fieber, Gesicht, Gesicht mit Fieberthermometer, Smiley, Thermometer, krank, messen
🤕	Gesicht, Gesicht mit Kopfverband, Kopf, Schmerzen, Smiley, Verband, Verletzung, aua, autsch
🤢	Gesicht, Smiley, ekel, eklig, erbrechen, grün, igitt, widerlich, würgen, würgendes Gesicht, Übelkeit, übergeben
🤮	Gesicht, Smiley, brechen, erbrechen, kotzen, kotzendes Gesicht, krank, schlecht, speien, spucken, übel, übergeben
🤧	Erkältung, Gesicht, Gesundheit, Grippe, Nase, Smiley, Taschentuch, erkältet, hatschi, krank, niesen, niesendes Gesicht, putzen
🥵	Fieber, Gesicht, Hitze, Hitzschlag, Smiley, Zunge, erhitzt, fiebrig, heiß, herausstrecken, rot, schnaufen, schwitzen, schwitzendes Gesicht
🥶	Gesicht, Smiley, Zähne, Zähneklappern, bibbern, blau, eisig, erfrieren, frieren, frierendes Gesicht, frostig, frösteln, kalt, unter Null, zittern
🥴	Mund, Smiley, angeheitert, angeschwipst, angetrunken, benebelt, berauscht, beschwipst, betrunken, gewellt, schwindelig, schwindeliges Gesicht, schwindlig
😵	Augen, Gesicht, Kreuze, Smiley, benommen, benommenes Gesicht, ko, krank, schwindelig, schwindlig
😵‍💫	Augen, Gesicht, Gesicht mit Spiralen als Augen, Hypnose, Höhenangst, Smiley, Spiralen, hypnotisiert, omg, schwindelig, schwindlig, verwirrt, wirr
🤯	Gesicht, Kopf, Schock, Smiley, entsetzt, explodieren, explodierender Kopf, geschockt, schockiert, unglaublich, überwältigt
🤠	Cowboy, Cowboyhut, Cowgirl, Gesicht, Gesicht mit Cowboyhut, Hut, Smiley
🥳	Feier, Fest, Geburtstag, Gesicht, Glückwunsch, Hurra, Hut, Party, Partygesicht, Smiley, aufgeregt, fröhlich, Überraschung
🥸	Brille, Gesicht, Maske, Nase, Nasenbrille, Person, Smiley, Verkleidung, incognito, inkognito, spionieren, verdeckt, verkleidet
😎	Gesicht, Smiley, Sonnenbrille, cool, lächeln, lächelndes Gesicht mit Sonnenbrille
🤓	Brille, Gesicht, Nerd, Schlaumeier, Smiley, Streber, Strebergesicht, intelligent, klug, schlau, smart
🧐	Gesicht, Gesicht mit Monokel, Monokel, Smiley, elegant, reich
😕	Gesicht, Smiley, keine Ahnung, traurig, verwirrt, verwundert, verwundertes Gesicht, weiß nicht
🫤	Gesicht, Gesicht mit schrägem Mund, Smiley, enttäuscht, genervt, hmpf, keine Ahnung, langweilig, skeptisch, unsicher, zweifelnd
😟	Gesicht, Smiley, besorgt, besorgtes Gesicht, sorgen, traurig
🙁	Gesicht, Smiley, betrübt, betrübtes Gesicht, schade, traurig
☹️	Gesicht, Smiley, deprimiert, düster, düsteres Gesicht, stirnrunzelnd, traurig
😮	Gesicht, Gesicht mit offenem Mund, Mund, erstaunt, offen, omg, schockiert, unglaublich, vergessen, wow
😯	Gesicht, Smiley, erstaunt, omg, sprachlos, verdutzt, verdutztes Gesicht
😲	Gesicht, Smiley, erstaunt, erstauntes Gesicht, nee, omg, schockiert, verwundert
😳	Augen, Gesicht, Scham, Smiley, Wangen, erröten, errötetes Gesicht mit großen Augen, groß, peinlich, rot, schämen, verlegen, überrascht
🥺	Augen, Gesicht, Kulleraugen, Smiley, Welpenaugen, anflehen, betteln, bettelnd, bettelndes Gesicht, bitte, bitten, flehend, groß, traurig
🥹	Freude, Freudentränen, Gesicht, Gesicht, das Tränen zurückhält, Rührung, Smiley, Tränen, aufgebracht, dankbar, gerührt, stolz, weinen, zurückhalten
😦	Gesicht, Mund, Smiley, entsetzt, entsetztes Gesicht, offen, schockiert, verwundert
😧	Gesicht, Smiley, arm, leidend, qualvoll, qualvolles Gesicht, vergessen, wow
😨	Angst, Gesicht, besorgt, ängstlich, ängstliches Gesicht
😰	Angst, Angstschweiß, Gesicht, Mund, Schweiß, besorgt, besorgtes Gesicht mit Schweißtropfen, nervös, offen, ängstlich
