‾	nadčrtano
🫩	izčrpanost, obraz s podočnjaki, utrujenost, zaspanost
😷	bolno, maska, obraz, obraz z medicinsko masko, prehlad, zdravilo, zdravnik
🤒	bolan, bolezen, bolno, obraz, obraz s termometrom, slabotno, termometer
🤕	bolečina, obraz, obraz, obvezan s povojem, povita glava, povoj, poškodba, poškodovan
🤢	bolezen, bruhanje, obraz, obraz, ki se počuti slabo, ogabno, slabo počutje, slabost
🤮	bljak, bolezen, bruhanje, obraz, obraz, ki bruha, ogabno
🤧	bolezen, gripa, kihanje, na zdravje, obraz, obraz, ki kiha, prehlad, vročina
🥵	poten, rdeč obraz, vroč obraz, vroče, vročina, vročinska kap
🥶	ledene sveče, mrzel, mrzel obraz, ozebline, plav obraz, premražen
🥴	okajen obraz, omotičen, različni očesi, v rožicah, valovita usta, vinjen
😵	bolezen, obraz, omotičen obraz, omotično, slabost
😵‍💫	hipnoza, obraz s spiralnimi očmi, omg, omotica, smeško, spirala, težave, vau, zmeden
🤯	eksplozija, eksplozija v glavi, neverjetno, obraz, šokiran
🤠	kavboj, kavbojka, klobuk, obraz s kavbojskim klobukom
🥳	hupa, hura, klobuček, obraz, praznovanje, praznujoči obraz, rojstni dan, smeško, vse najboljše, zabava
🥸	brki, inkognito, maska, nos, obraz, obrvi, očala, preobleka, smeško
😎	frajersko, nasmeh, obraz, očala, plaža, smejoči obraz s sončnimi očali, sonce, sončna očala, svetlo, zmaga
🤓	frik, obraz, piflar, piflarski obraz, znalec
🧐	bogat, obraz z monoklom, premožen, vzvišen
😕	ne vem, obraz, oprosti, zmeden, zmeden obraz, zmedeno, žalosten
🫤	brezvezno, dvom, negotovost, obraz s poševnimi usti, razočaranost, skeptičnost, vzdih, zmedenost
😟	obraz, stres, zaskrbljen, zaskrbljen obraz, zaskrbljeno, živčen
🙁	mrščenje, nekoliko namrščen obraz, obraz, žalosten
☹️	mrščenje, namrščen obraz, obraz, žalosten
😮	ne morem verjeti, obraz, obraz z odprtimi usti, odprto, sočutje, usta, šokiran
😯	obraz, osupel obraz, osupljen obraz, osuplo, presenečeno, tiho
😲	frapirano, obraz, osupel, popolnoma, presenečen, presenečeno, začuden, začuden obraz, začudeno
😳	nerodno, noro, obraz, vau, zardeli obraz, zardelo, zmedeno
🥺	kužkove oči, milost, moledovanje, obraz, pasje oči, proseč obraz, zakaj
🥹	hvaležnost, jeza, jok, ki zadržuje jok, obraz, obraz, ki zadržuje jok, občudovanje, ponos, solze sreče, upor, žalost
😦	namrščen obraz z odprtimi usti, namrščenost, obraz, odprto, presenečenje, prestrašen, usta
😧	nesrečen, obraz, presenečen, prestrašen, trpeč obraz, trpeče
😨	bojazljiv obraz, obraz, preplašen, preplašeno, prestrašen, prestrašeno, strah
😰	hladno, modro, obraz, obraz z odprtimi usti in mrzlim potom, odprto, pot, prestrašen, usta, živčen
😥	ne, obraz, olajšan, pot, prestrašen, razočaran, razočaran, a olajšan obraz, skoraj, zapleteno, žalosten
😢	jokajoči obraz, jokanje, obraz, solza, žalostno
😭	cmerajoči obraz, ihtenje, jokanje, obraz, solze, žalosten, žalostno
😱	izjemno, krik, kričač, obraz, obraz, ki kriči od strahu, presenečen, prestrašen, pretresen, strah
😖	obraz, slaba volja, zbegan, zbegan obraz, zbegano, zmeden
😣	obraz, osredotočen, vztrajanje, vztrajen obraz, zbran
😞	neuspeh, obraz, razočaran obraz, razočarano, žalost
😓	glavobol, mrzlo, obraz, obraz z mrzlim potom, pot
😩	izčrpan, izčrpan obraz, izčrpano, lačen, obraz, utrujen, utrujeno, zaspano
😫	obraz, utrujen, utrujen obraz, utrujeno, žalosten
🥱	dolgčas, lahko noč, počitek, smeško, utrujen, zehajoč obraz, zehanje, zzz
😤	bes, jeza, obraz, obraz s paro skozi nos, para, zmaga, zmagoslavje
😡	besen, besno, gnev, jezen, jezno, ki kuha mulo, kujanje, obraz, obraz, ki kuha mulo, rdeče
😠	besen, besno, jezen, jezen obraz, jezno, nesrečen, obraz
🤬	cenzura, jeza, ki kolne, obraz, obraz s simboli prek ust, obraz, ki kolne, preklinjanje
😈	fantazija, nasmeh, obraz, pravljica, rogovi, smejoči obraz z rogovi
👿	demon, fantazija, hudič, obraz, pravljica, vragec
💀	lobanja, mrtvaška glava, obraz, pošast, pravljica, smrt, telo
☠️	lobanja, mrtvaška glava, mrtvaška glava s prekrižanima kostema, obraz, pošast, prekrižane kosti, smrt, telo
💩	drekec, iztrebki, kakec, kup kakca, obraz, pošast, strip
🤡	klovn, klovnesa, klovnovski obraz, obraz
👹	bitje, fantazija, japonsko, obraz, pošast, pošastni velikan, pravljica
👺	bitje, fantazija, japonsko, obraz, pošast, pravljica, škratelj
👻	bitje, duh, fantazija, obraz, pošast, pravljica
👽️	bitje, fantazija, nezemljan, nlp, obraz, vesolje, vesoljec
👾	bitje, nezemljan, nlp, obraz, vesolje, vesoljec, vesoljska pošast
🤖	obraz, pošast, robot, robotski obraz
😺	mačka, nasmeh, obraz, odprta, režeča se mačka, smeh, usta
😸	mačka, nasmeh, obraz, oko, režanje, režeča se mačka s smejočimi očmi
😹	mačji obraz s solzami sreče, mačka, mačka s solzami sreče, obraz, solze, veselje
😻	ljubezen, mačka, nasmeh, obraz, oči, smejoča se mačka z očmi v obliki srčka, smejoči mačji obraz z očmi v obliki srčka, srce, žival
😼	ironično, mačji obraz s prifrknjenim nasmeškom, mačka, mačka s prifrknjenim nasmeškom, nasmeh, obraz, porogljivo
😽	ki poljublja, mačji obraz z zaprtimi očmi, mačji obraz z zaprtimi očmi, ki poljublja, mačka, mačka poljublja z zaprtimi očmi, obraz, oči, poljub
🙀	mačka, naveličan, naveličano, obraz, odprta usta, presenečen, presenečena mačka, presenečeno
😿	jokajoča mačka, jokajoči mačji obraz, jokanje, mačka, obraz, solza, žalostno
😾	ki kuha mulo, kujanje, mačji obraz, mačji obraz, ki kuha mulo, mačka, mačka kuha mulo, obraz, žival
🙈	gesta, ki ne vidi ničesar, obraz, opica, opica, ki ne vidi ničesar, prepovedano, videti, zlobno, žival
🙉	gesta, ki ne sliši ničesar, obraz, opica, opica, ki ne sliši ničesar, prepovedano, slišati, zlobno
🙊	gesta, govoriti, ki ničesar ne govori, obraz, opica, opica, ki ničesar ne govori, prepovedano, zlobno
💌	ljubezen, ljubezensko pismo, pismo, pošta, romanca, srce
💘	kupid, puščica, romanca, srce, srce s puščico
💝	RTM, pentlja, poljub, srce, srce s pentljo, valentin
💖	lesketajoče srce, lesketati se, poljubčki, srce, vznemirjeno
💗	rastoče, rastoče srce, srce, srčni utrip, vznemirjeno, živčno
💓	bitje, ljubezen, srce, srčni utrip, utripajoče srce, utripanje
💞	obletnica, srce, vrtenje, vrteči se srci, čustvo
💕	RTM, dve srci, ljubezen, poljubi, srce, zmenek, čustvo
💟	belo srce, okrasje s srcem, srce, vijolično srce, čustvo
❣️	klicaj, klicaj v obliki srca, ločilo, srce, znak
💔	osamljenost, počeno, srce, strto srce, zlomiti, žalostno
❤‍🔥	goreče srce, ljubezen, ogenj, poželenje, srce, sveto srce
❤‍🩹	bolj zdravo, izboljšanje, okrevanje, ozdravljeno, zakrpano, zakrpano srce, zdravo
❤️	ljubezen, rdeče srce, srce, čustvo
🩷	RTM, ljubezen, prisrčno, rožnato, rožnato srce, srce, všeč, všeč si mi, čustva
🧡	oranžno, oranžno srce, srce
💛	RTM, rumeno, rumeno srce, srce, čustva
💚	ljubezen, romantično, srce, zeleno, zeleno srce
💙	ljubezen, modro, modro srce, romanca, srce
🩵	RTM, cijan, ljubezen, nebo, prisrčno, srce, svetlomodra, svetlomodro srce, všeč si mi, zelenomodra
💜	ljubezen, srce, vijolično, vijolično srce
🤎	rjavo, rjavo srce, srce
🖤	hudobno, podlo, srce, zlobno, črno, črno srce
🩶	RTM, ljubezen, sivo, sivo srce, skrilasto, srce, srebrno, všeč si mi, čustva
🤍	belo, belo srce, srce
💋	odtis, poljub, romanca, sled šminke po poljubu, srce, ustnice
💯	100, popolna ocena, sto, sto točk, zagotovo
💢	divje, jeza, jezno, simbol jeze, strip
💥	bum, eksplozija, strip, trk
💫	omotica, omotično, planeti, strip, zvezda, zvezda repatica, zvezde
💦	kapljice, pljuskanje, pot, potne kapljice, strip, vadba
💨	dim, prdec, strip, tek, švigati, švigniti
🕳️	luknja, odprtina
💬	balon, dialog, govor, oblaček, oblaček z govorom, strip
