‾	horná čiara
′	index, indexová čiarka
″	dvojitá indexová čiarka, index
‴	index, trojitá indexová čiarka
‸	vsuvka
※	komedžiruši, odkaz
⁂	asterizmus
`	gravis, obrátený dĺžeň, tupý prízvuk
´	akútový prízvuk, dĺžeň
^	cirkumflex, vokáň
¨	dve bodky, umlaut
°	hodina, promile, stupeň
℗	autorské práva, autorské práva na nahrávku, nahrávka, zvuk
←	doľava, šípka, šípka smerujúca doľava
↚	šípka doľava s prečiarknutím
→	vpravo, šípka, šípka smerujúca doprava
↛	šípka doprava s prečiarknutím
↑	nahor, šípka, šípka smerujúca nahor
↓	nadol, šípka, šípka smerujúca nadol
↜	vlnitá šípka doľava
↝	vlnitá šípka doprava
↞	šípka doľava s dvomi hlavami
↟	šípka nahor s dvomi hlavami
↠	šípka doprava s dvomi hlavami
↡	šípka nadol s dvomi hlavami
↢	šípka doľava s chvostom
↣	šípka doprava s chvostom
↤	šípka doľava od zvislej čiary
↥	šípka nahor od zvislej čiary
↦	šípka doprava od zvislej čiary
↧	šípka nadol od zvislej čiary
↨	šípka nahor a nadol so základňou
↫	šípka doľava so slučkou
↬	šípka doprava so slučkou
↭	vlnitá šípka doľava a doprava
↯	cik-cak šípka nadol
↰	šípka nahor so špičkou doľava
↱	šípka nahor so špičkou doprava
↲	šípka nadol so špičkou doľava
↳	šípka nadol so špičkou doprava
↴	šípka doprava a nadol
↵	šípka nadol a doľava
↶	horná polkruhová šípka doľava
↷	horná polkruhová šípka doprava
↸	šípka na severozápad s čiarou nad
↹	šípka doľava s čiarou nad šípkou doprava s čiarou
↺	otvorená kruhová šípka doľava
↻	otvorená kruhová šípka doprava
↼	harpúna vľavo s hrotom nahor
↽	harpúna vľavo s hrotom nadol
↾	harpúna nahor s hrotom vpravo
↿	harpúna nahor s hrotom vľavo
⇀	harpúna vpravo s hrotom nahor
⇁	harpúna vpravo s hrotom nadol
⇂	harpúna nadol s hrotom vpravo
⇃	harpúna nadol s hrotom vľavo
⇄	šípka doprava nad šípkou doľava
⇅	nadol, nahor, šípka, šípka nahor a šípka nadol, šípky smerujúce nahor a nadol
⇆	vpravo, vľavo, šípka, šípka smerujúca vľavo nad šípkou smerujúcou vpravo, šípka vľavo nad šípkou vpravo
⇇	dvojica šípok doľava
⇈	dvojica šípok nahor
⇉	dvojica šípok doprava
⇊	dvojica šípok nadol
⇋	harpúna doľava nad harpúnou doprava
⇌	harpúna doprava nad harpúnou doľava
⇐	dvojitá šípka doľava
⇍	dvojitá prečiarknutá šípka doľava
⇑	dvojitá šípka nahor
⇒	dvojitá šípka doprava
⇏	dvojitá prečiarknutá šípka doprava
⇓	dvojitá šípka nadol
⇔	dvojitá šípka doľava a doprava
⇎	prečiarknutá dvojitá šípka doľava a doprava
⇖	dvojitá šípka doľava nahor
⇗	dvojitá šípka doprava nahor
⇘	dvojitá šípka doprava nadol
⇙	dvojitá šípka doľava nadol
⇚	trojitá šípka doľava
⇛	trojitá šípka doprava
⇜	kľukatá šípka doľava
⇝	kľukatá šípka doprava
⇞	dvakrát prečiarknutá šípka nahor
⇟	dvakrát prečiarknutá šípka nadol
⇠	prerušovaná šípka doľava
⇡	prerušovaná šípka nahor
⇢	prerušovaná šípka doprava
⇣	prerušovaná šípka nadol
⇤	šípka doľava s čiarou
⇥	šípka doprava s čiarou
⇦	dutá šípka doľava
⇧	dutá šípka nahor
⇨	dutá šípka doprava
⇩	dutá šípka nadol
⇪	dutá šípka nahor s čiarou pod
⇵	šípka nadol vľavo so šípkou nahor
∀	pre všetky
∂	parciálny diferenciál
∃	existuje
∅	prázdna množina
∆	delta, trojuholník
∇	nabla, trojuholník
∈	je prvkom, množina, obsahuje, patrí, prvok
∉	nie je prvkom
∋	obsahuje ako člen
∎	koniec dôkazu
∏	n-árny súčin
∑	n-árny súčet
+	plus, sčítanie, sčítať, znak plus
±	asi, plus-mínus, približne, zhruba
÷	delenie, delené, deliť, znak delenia
×	krát, násobenie, násobiť, znak násobenia
<	je menšie než, menej než, menšie ako, menšie než
≮	nie menšie ako
=	rovnosť, rovná sa, rovnítko
≠	nerovnosť, nerovná sa
>	je väčšie než, viacej než, väčšie ako, väčšie než
≯	nie väčšie ako
¬	negácia, nie, opak
|	pruh, zvislá čiara, zvislý, ťah
~	tilda, vlnovka
−	mínus, odčítanie, odčítať, znak mínus
⁻	horný index, mínus, mínus horný index
∓	mínus alebo plus
∕	lomka delenia
⁄	zlomková lomka
∗	operátor hviezdička
∘	operátor krúžok
∙	operátor odrážka
√	druhá odmocnina, odmocnenie, odmocnina, odmocniť, odmocňovať, znak odmocnenia
∝	proporcionálny
∞	nekonečno, znak nekonečna
∟	pravý uhol
∠	uhol
∣	delí
∥	rovnobežné
∧	logické a
∩	množina, prienik
∪	množina, súbor, zjednotenie
∫	integrál
∬	dvojitý integrál
∮	krivkový integrál
∴	preto
∵	pretože
∶	pomer
∷	proporcia, proporcionalita, úmernosť
∼	operátor vlnovka
∽	otočená vlnovka
∾	otočené ležaté s
≃	asymptoticky rovné
≅	približne rovné
≈	je približne rovné, odhad, približne
≌	matematika, rovnosť, všetky rovné
≒	približne sa rovná alebo je obrazom
≖	kruh v znamienku rovná sa, matematika, rovnosť
≡	identické, kongruentné, totožné, totožné s
≣	matematika, presný ekvivalent, rovnosť, rovná sa
≤	je menšie alebo rovné, menej než, nerovnosť, rovná sa
≥	je väčšie alebo rovné, nerovnosť, rovná sa, viacej než
≦	menej, menej alebo rovná sa, menšie, menšie ako nad rovná sa, menšie alebo rovná sa, než, rovná sa, rovné
≧	než, rovná sa, rovné, viac, viac alebo rovná sa, väčšie, väčšie ako nad rovná sa, väčšie alebo rovná sa
≪	oveľa menšie ako
≫	oveľa väčšie ako
≬	medzi
≳	ekvivalentné, matematika, rovná sa, rovné, viac alebo rovná sa, väčšie ako alebo ekvivalentné, väčšie alebo rovné
≺	predchádza
≻	nasleduje
⊁	nenasleduje
⊂	množina, podmnožina, podmožina z
⊃	nadmnožina
⊆	podmnožina alebo rovná sa
⊇	nadmnožina alebo rovná sa
⊕	plus v kruhu
⊖	mínus v kruhu
⊗	krížik v kruhu
⊘	lomka v kruhu
⊙	operátor bodka v kruhu
⊚	operátor krúžok v kruhu
⊛	operátor hviezdička v kruhu
⊞	plus vo štvorci
⊟	mínus vo štvorci
⊥	kolmica otočená nahor
⊮	nevynucuje
⊰	matematika, operátor, predchádza, predchádza zdola, vzťah predchádza zdola, znamienko
⊱	matematika, nasleduje, nasleduje zdola, operátor, vzťah nasleduje zdola, znamienko
⋭	ako, matematika, neobsahuje, neobsahuje ako normálnu podskupinu alebo rovná sa, operátor, podskupina, skupina, znamienko
⊶	počiatok
⊹	hermitovská, hermitovská konjugovaná matica, konjugovaná, matematika, matica
⊿	pravouhlý trojuholník
⋁	n-árne logické alebo
⋂	matematika, množina, n-árny, n-árny prienik, operátor, prienik
⋃	matematika, množina, n-árne, n-árne zjednotenie, operátor, zjednotenie, zlúčenie
⋅	operátor bodka
⋆	hviezda, hviezdička, matematika, operátor, operátor hviezda, znamienko
⋈	matematika, prirodzené, prirodzené spojenie, spojenie, spojiť, znamienko
⋒	dvojitý, dvojitý prienik, matematika, množina, operátor, prienik, znamienko
⋘	matematika, nerovnosť, o veľmi veľa menšie ako, oveľa menej, veľmi menšie, výrazne menej, výrazne menšie
⋙	matematika, nerovnosť, o veľmi veľa väčšie ako, oveľa viac, veľa, veľmi väčšie, výrazne viac, výrazne väčšie
⋮	elipsa, matematika, tri bodky, tri bodky zvislo, trojbodka, vertikálne, zvislo
⋯	elipsa, horizontálne, tri bodky, tri bodky vodorovne v strede, trojbodka, v strede, vodorovne
⋰	diagonálne, elipsa, matematika, nahor, operátor, tri bodky, tri bodky šikmo doprava nahor, trojbodka, znamienko, šikmo doprava
⋱	diagonálne, elipsa, matematika, nadol, operátor, tri bodky, tri bodky šikmo doprava nadol, trojbodka, znamienko, šikmo doprava
■	plný štvorec
□	prázdny štvorec
▢	prázdny štvorec so zaoblenými rohmi
▣	prázdny štvorec s plným štvorcom
▤	prázdny štvorec s vodorovnou výplňou
▥	prázdny štvorec so zvislou výplňou
▦	štvorec s pravouhlou mriežkovanou výplňou
▧	štvorec s výplňou vľavo hore a vpravo dole
▨	štvorec s výplňou vpravo hore a vľavo dole
▩	štvorec so šikmou mriežkovanou výplňou
▬	plný obdĺžnik
▭	prázdny obdĺžnik
▮	plný zvislý obdĺžnik
▰	plný kosodĺžnik
▲	nahor, plný trojuholník smerujúci nahor, trojuholník, vyplnený, šípka
△	prázdny trojuholník smerujúci nahor
▴	malý plný trojuholník smerujúci nahor
▵	malý prázdny trojuholník smerujúci nahor
▷	doprava, geometria, matematika, prázdny, prázdny trojuholník smerujúci doprava, smerujúci doprava, trojuholník, vpravo
▸	malý plný trojuholník smerujúci doprava
▹	malý prázdny trojuholník smerujúci doprava
►	plný ukazovateľ smerujúci doprava
▻	prázdny ukazovateľ smerujúci doprava
▼	nadol, plný trojuholník smerujúci nadol, trojuholník, vyplnený, šípka
▽	prázdny ukazovateľ smerujúci nadol
▾	malý plný trojuholník smerujúci nadol
▿	malý prázdny trojuholník smerujúci nadol
◁	doľava, geometria, matematika, prázdny, prázdny trojuholník smerujúci doľava, smerujúci doľava, trojuholník, vľavo
◂	malý plný trojuholník smerujúci doľava
◃	malý prázdny trojuholník smerujúci doľava
◄	plný ukazovateľ smerujúci doľava
◅	prázdny ukazovateľ smerujúci doľava
◆	plný kosoštvorec
◇	prázdny kosoštvorec
◈	prázdny kosoštvorec s plným kosoštvorcom
◉	prázdny kruh s plným kruhom
◊	diamantový vzor, kosoštvorec, káro
○	kruh, krúžok, prázdny kruh
◌	bodkovaný kruh
◍	kruh so zvislou výplňou
◎	sústredné kruhy
●	kruh, plný kruh
◐	kruh s plnou ľavou polovicou
◑	kruh s plnou pravou polovicou
◒	kruh s plnou dolnou polovicou
◓	kruh s plnou hornou polovicou
◔	kruh s plným horným pravým kvadrantom
◕	plný kruh s prázdnym horným ľavým kvadrantom
◖	plný ľavý polkruh
◗	plný pravý polkruh
◘	inverzná odrážka
◙	plný štvorec s prázdnym kruhom
◜	ľavý horný štvrťkruh
◝	pravý horný štvrťkruh
◞	pravý dolný štvrťkruh
◟	ľavý dolný štvrťkruh
◠	horný polkruh
◡	dolný polkruh
◢	plný trojuholník vpravo dole
◣	plný trojuholník vľavo dole
◤	plný trojuholník vľavo hore
◥	plný trojuholník vpravo hore
◦	dutá odrážka
◯	kruh, prstenec, veľký prázdny kruh
◳	prázdny štvorec s kvadrantom vpravo hore
◷	prázdny kruh s kvadrantom vpravo hore
◿	dole, geometria, matematika, trojuholník, trojuholník vpravo dole, vpravo
♪	hudba, osmina, osminová nota
⨧	+, dva, matematika, operátor, plus, plus s dolným indexom, plus s dolným indexom dva, s dolným indexom, znamienko
⨯	matematika, operátor, súčin, vektor, vektorový, vektorový súčin, znamienko
⨼	matematika, operátor, skalárne, skalárny, skalárny súčin, súčin, vektory, znamienko
⩣	alebo, dve čiary dole, dve čiary pod, logické alebo, logické alebo s dvomi čiarami pod, matematika, operátor, s dvomi čiarami pod, znamienko
⩽	matematika, menšie ako, menšie ako šikmé rovná sa, operátor, rovná sa, znamienko, šikmé, šikmé rovná sa
⪍	matematika, menšie ako, menšie ako nad podobné alebo rovná sa, nad podobné, operátor, rovná sa, znamienko
⪚	matematika, nad väčšie ako, operátor, rovná sa, rovná sa nad väčšie ako, väčšie, väčšie ako, znamienko
⪺	matematika, nasleduje nad, nasleduje nad nie je približne rovné, nie je približne rovné, nie je rovné, operátor, približné, znamienko
♭	béčko, hudba, posuvka, zníženie, zníženie tónu
♯	hudba, krížik, posuvka, zvýšenie, zvýšenie tónu
😀	smajlík, smajlík s veľkým úsmevom, tvár, usmievavá tvár, veselý, zuby, úškrn, úškľabok, škeriaca sa tvár, šťastný
😃	otvorené, smajlík, smejúca sa tvár s otvorenými ústami, tvár, zuby, úsmev, ústa, škeriaca sa tvár s veľkými očami, šťastie
😄	lol, oko, otvorené, prižmúrené, rofl, smajlík, smejúca sa tvár s otvorenými ústami a prižmúrenými očami, smiech, tvár, vyškerený, úsmev, ústa, škeriaca sa tvár s prižmúrenými očami, šťastie
😁	milý, natešená tvár s prižmúrenými očami, oko, smajlík, tvár, veselý, zuby, úsmev, úškrn, úškľabok, škeriaca sa tvár s prižmúrenými očami, šťastný
😆	lol, otvorené, rofl, smiech, spokojné, tvár, úsmev, ústa, škeriaca sa tvár s privretými očami
😅	horúco, nervózny, otvorené, pot, smajlík, smejúca sa tvár s otvorenými ústami a kvapkou potu, stres, studený, tvár, úsmev, škeriaca sa tvár s potom
🤣	haha, lol, rofl, smiech, tvár, tvár pučiaca sa od smiechu, váľam, váľam sa od smiechu, váľať sa
😂	haha, lol, plač, plačem od smiechu, popukať sa, radosť, rehot, slza, smiech, sranda, tvár
🙂	radosť, smajlík, tvár, usmievajúca sa tvár, veselý, úsmev, šťastie
🙃	hore nohami, naopak, obrátený, otočená, otočený smajlík, prevrátená, prevrátená tvár, smajlík, tvár, tvár dolu hlavou
🫠	horúco, horúčava, rozpustiť, roztiecť, roztopená tvár, roztopiť, zmiznúť
😉	flirt, mrkajúci smajlík, mrknutie, sexi, tvár, žmurk, žmurkajúca tvár, žmurkanie, žmurknutie
😊	oko, smajlík, smejúca sa tvár s prižmúrenými očami, spokojný, tvár, zapýrenie, úsmev, šťastný, žiariť od šťastia
😇	anjel, biblia, dobrý, fantasy, nevinná, nevinné, pokojný, rozprávka, smajlík, smejúca sa tvár so svätožiarou, svätožiara, svätá, tvár, úsmev
🥰	láska, mať rád, milovať, milujem ťa, romantika, smajlík, smajlík s tromi srdiečkami, smejúca sa tvár s tromi srdiečkami, srdce, srdcia, srdiečka, srdiečko, tvár, usmiate srdiečka, vrúcne ľúbiť, zamilovanosť, zamilovaná, zaľúbená, zaľúbený, úsmev
😍	emócia, láska, nádhera, oko, rande, romanca, smajlík, smejúca sa tvár s očami v tvare srdiečok, smejúca sa tvár so srdiečkami, srdce, tvár, úsmev
🤩	hviezdičky, nadšený, oči, pobláznenie, pobláznená tvár, smajlík, tvár, vzrušený, wau, úsmev, úškrn, úškľabok
😘	bozk, láska, rande, smajlík, smajlík posielajúci bozk, srdce, tvár, tvár posielajúca bozk
😗	bozk, bozkávajúca tvár, flirt, láska, milujem ťa, pusa, rande, smajlík, tvár
☺️	hanblivý, pohoda, relaxovaný, smajlík, smejúca sa tvár, tvár, uvoľnený, výraz, zahanbený, úsmev, šťastný
😚	bozk, bozkávajúca tvár so zatvorenými očami, flirt, láska, oko, pusa, rande, smajlík, tvár, zatvorené
😙	bozk, bozkávajúca tvár s prižmúrenými očami, flirt, láska, oko, smajlík, tvár, zavreté oči, úsmev
🥲	dojatý, hrdosť, radosť, slza, smejúca sa tvár so slzou, uľahčenie, vďačnosť, úsmev, šťastie
😋	chutné, dobrota, hlad, jedlo, lahodné, lahodný, mňam, pochutnávajúca si tvár, smajlík, tvár, tvár pochutnávajúca si na lahodnom jedle, vychutnávajúci si, úsmev
😛	drzá, jazyk, party, smajlík, smajlík s vyplazeným jazykom, tvár, tvár s vyplazeným jazykom, zábava
😜	bláznivý, divný, jazyk, mrk, oko, smajlík, sranda, tvár, tvár s vyplazeným jazykom a žmurkajúcim okom, vtip, vyplazený, žmurk, žmurkajúca tvár s vyplazeným jazykom, žmurkajúca tvár s vyplazeným jazykom, žmurkať, žmurknutie
🤪	bláznivá, bláznivá tvár, bláznivý, oči, smajlík, smajlík s bláznivými očami, tvár, šialenec, šialená, šialený
😝	chuť, fuj, hrozná, jazyk, nechutné, oko, omg, smajlík, tvár, tvár s vyplazeným jazykom a privretými očami, vyplazený, škúliaca tvár s jazykom, škúliaca tvár s jazykom, škúliť
🤑	bohatstvo, peniaze, platiť, smajlík, tvár, tvár s peniazmi na jazyku, výplata, ústa
🤗	objatie, objímajúca tvár, objímanie, smajlík, tvár
🤭	chi, chichotajúci sa smajlík, hopla, joj, prekvapenie, prekvapený smajlík, smajlík, tajomstvo, tvár s rukou cez ústa, tvár s rukou na ústach, ups
🫢	nevera, prekvapenie, strach, tichá, tvár s otvorenými očami a rukou na ústach, v rozpakoch, zdesenie, úžas, šok
🫣	kuk, ostýchavá, pokukávanie, skrývať sa, strach, tvár vykúkajúca pomedzi prsty, uchvátená, vystrašená, zízanie
🤫	buď ticho, psst, pst, smajlík, ticho, tvár, tvár s prstom na ústach, tvár s prstom na ústach, tíšiaci smajlík, čit, ššš
🤔	hmm, myslieť, premýšľajúca, premýšľajúca tvár, premýšľať, smajlík, tvár, zamyslený
🫡	ako povieš, pozdravovať zdvihnutím ruky, rešpekt, salutovať, salutujúca tvár, slnko v očiach, zdravím, áno
🤐	ani slovo, mlčať, mlčím, pst, smajlík, tajomný, tvár, tvár s ústami na zips, tvár so zazipsovanými ústami, zips, ústa
🤨	nedôvera, nesúhlas, neveriaci smajlík, obočie, pochyba, prekvapenie, skeptický smajlík, skeptik, smajlík, tvár, tvár so zdvihnutým obočím
😐️	bez výrazu, bez záujmu, kamenná, neutrálna, neutrálna tvár, prázdny pohľad, rozpačitý, smajlík, trápne, tvár
😑	bez výrazu, bezvýrazná, bezvýrazná tvár, divný, fajn, neurčitá, neutrálny, neštastný, smajlík, smajlík s úzkymi očami, tvár, wtf
😶	bez slov, mlčať, nemá, no comment, smajlík, tajomstvo, ticho, tichá, tvár, tvár bez úst, ústa
🫥	deprimovaná, introvert, neviditeľná, skryť, skľúčená, tvár s prerušovanou čiarou, zmiznúť
😶‍🌫	hlava v oblakoch, neprítomná, nesústredená, tvár v hmle, tvár v oblakoch
😏	obočie, samoľúba, samoľúba tvár, smajlík, smajlík s úškrnom, tvár, uškŕňajúca sa tvár, vtip, úškrn, žart
😒	divný, nespokojná, nešťastný, nuda, smajlík, tvár, znechutený, znudená, znudená tvár, žiarlivý
🙄	ach jaj, gúľa očami, otrávený smajlík, oči, prevracanie očami, prevracať, prevrátené, tvár, tvár prevracajúca oči
😬	grimasa, trapas, trápny smajlík, tvár, tvár v grimase, vyškerená, vyškerená tvár, zubatý smajlík, zubár, úsmev
😮‍💨	fúkať, hvízdať, povzdych, pískať, unavený, vydychujúca tvár, vydýchnuť, vyčerpaný, vzdych, vzdychať, úľava, šepkať
🤥	Pinocchio, dlhý, klamajúca tvár s dlhým nosom, klamať, klamstvo, klamár, lož, luhár, nos, podvodník, smajlík, tvár, tvár s dlhým nosom
🫨	prekvapenie, roztrasená tvár, trasenie, triaška, tvár, vibrovanie, zemetrasenie, úžas, šok
🙂‍↔	hlava krútiaca sa zo strany na stranu, krútenie, nie
🙂‍↕	prikyvujúca hlava, prikývnutie, áno
😌	spokojnosť, spokojný smajlík, tvár, tvár vyjadrujúca úľavu, upokojená, uvoľnená, uvoľnený smajlík, zen, úľava
😔	deprimovaná, odmietnutá, sklamaný, skleslý, smajlík, smutný, stratený, tvár, zadumaná, zamyslená, zamyslená tvár, znudený
😪	ospalá, ospalá tvár, plakať, smajlík, smutný, spánok, tvár, unavený, únava
🤤	blaho, chutné, hlad, slintajúca tvár, slintať, smajlík, tvár
😴	spať, spiaca tvár, spánok, tvár, unavený, znudený, zzz
🫩	ospalý, tvár s kruhmi pod očami, unavený, vyčerpaný
😷	bacily, choroba, chorá, doktor, lekár, maska, medicína, nemocnica, rúško, smajlík, studená, tvár, tvár s rúškom, zubár
🤒	choroba, chorá, horúčka, nezdravá, smajlík, teplomer, teplota, tvár, tvár s teplomerom
🤕	bandáž, bolesť, chorý, obväz, poranená, smajlík, tvár, tvár s bandážou, tvár s obväzom, zranenie, úraz
🤢	ktorej je zle, na vracanie, nechuť, nevoľno, nevoľnosť, smajlík, tvár, tvár, ktorej je zle, vracať, zle, zvracať
🤮	chorý, dáviť, ktorá vracia, nevoľnosť, opica, smajlík, tvár, tvár, ktorá vracia, vracajúca tvár, vracanie, vracať, vydáviť, vyvrátiť, zle, žalúdok
🤧	choroba, chorý, chrípka, horúčka, kýchajúca tvár, kýchať, kýchnutie, na zdravie, prechladnutie, smajlík, smajlík s vreckovkou, tvár, vreckovka
🥵	horúci, horúco, horúčka, horúčkovitý, horúčkový, pot, potenie, prehriaty, rozhorúčená tvár, rozpálená tvár, rozpálený, smrť na jazyku, spotený, tvár, vyplazený jazyk, zadychčaný, zadýchaný, úpal, červená tvár, ťažko dýchať
🥶	cencúle, cencúľ, chlad, chladno, chladný, modrý, mrznúca tvár, mrznúci, mrznúť, mráz, prezimený, triasť sa, uzimený, zima
🥴	chytený, dezorientovaný, malátna tvár, mdloby, omámený, opilec, opitý, opojený, podnapitý, pripitý, závrat
😵	chorý, mŕtvy, smajlík, smrť, tvár, tvár so závratom, unavený smajlík, závrat
😵‍💫	hypnóza, omámený, popletený, problém, tvár, tvár so špirálovými očami, zhypnotizovaný, zmätený, závrat, špirála
🤯	nechápem, smajlík, smajlík s vybuchujúcou hlavou, tvár, vybuchujúca hlava, výbuch, šok, šokovaná, šokovaný smajlík
🤠	klobúk, kovboj, kovbojka, smajlík, smajlík s klobúkom, tvár, tvár s kovbojským klobúkom
🥳	hurá, konfety, narodeniny, oslava, oslavovať, oslavujúca tvár, párty, večierok, zábava, žúr
🥸	fúzy, inkognito, maska, maskovaná tvár, nos, obočie, okuliare, prestrojenie, tvár
😎	cool, jasné, oko, okuliare, počasie, slnečné okuliare, slnko, smajlík, smejúca sa tvár s okuliarmi, super, tvár, úsmev
🤓	bifľloš, bifľoš, geek, nerd, okuliare, smajlík, smajlík s okuliarmi, tvár, vedátor, čudák, šprták
🧐	bohatý, luxusný, okuliare, smajlík, smajlík s okuliarmi, staromódna, tvár, tvár s monoklom, tvár s monoklom, zámožný
😕	hm, neistý, neviem, prepáč, smajlík, smutný smajlík, tvár, zamyslený, zmätená, zmätená tvár, zmätený, zmätok
🫤	ach, frustrácia, neistá, pochybovačná, rozpačitá, skeptická, sklamanie, tvár so šikmými ústami, zmätok
😟	nervózny, obavy, smajlík, smutný smajlík, smútok, starosti, strach, tvár, ustaraná, ustaraná tvár, ustráchaná
🙁	mierne zamračená tvár, mračiaca sa tvár, smajlík, smutný, trochu zamračená tvár, tvár, zamračená
☹️	smajlík, smutný smajlík, tvár, výraz, zamračená, zamračená tvár
😮	neveriaci smajlík, otvorené, prekvapený smajlík, smajlík s otvorenými ústami, sympatia, súcit, tvár, tvár s otvorenými ústami, ústa
😯	ohromená, prekvapená, smajlík, tvár, umlčaná, umlčaná tvár, upokojená tvár, utíšená, zarazená, šokovaná
😲	absolútne, ohromená tvár, omg, prekvapená, smajlík, tvár, udivená, udivená tvár, wtf, zaskočený, úplne, šokovaná
😳	cvičenie, horúco, neveriaci, smajlík, sčervenená, tvár, zahanbený, zapýrená, zapýrená tvár, zmätená, úžas, červenajúca sa tvár
🥺	drankať, milosť, pekne prosím, prečo nie, prosebná tvár, prosebný pohľad, prosiť, prosíkať, prosím, psie oči, smajlík, smutné oči, smutný, tvár, veľké oči, zľutovanie, úpenlivý, žobroniť
🥹	dojatá, nahnevaná, odolávanie, plač, pyšná, slzy šťastia, smutná, smútok, tvár zadržujúca slzy, vďaka, vďačná
😦	otvorené, prekvapený, smajlík, tvár, zamračená, zamračená tvár s otvorenými ústami, zaskočený, ústa
😧	nešťastie, prekvapenie, smajlík, strach, stres, tvár, utrápená, utrápená tvár, úzkostná
😨	bojazlivá, previnilý, smajlík, strach, tvár, vinný, vystrašená, vystrašená tvár
😰	modrá, nervózny, náhliť, otvorené, pot, smajlík, spotený, strach, studená, tvár, tvár s otvorenými ústami a kvapkou potu, udychčaná, vystrašený, znepokojená tvár s potom, ústa
😥	ale uvoľnená tvár, pot, sklamaná, sklamaná, ale uvoľnená tvár, smajlík, smútok, tvár, uf, uvoľnená, úzkosť
😢	nešťastný, plakať, plač, plačúca tvár, slza, smajlík, smutná, smutné, tvár
😭	hlasne plačúca tvár, nariekajúca tvár, nariekanie, nariekať, neštastný, plač, slza, smajlík, smutná, smutné, tvár
😱	bojazlivá, des, krik, munch, smajlík, strach, tvár, tvár kričiaca od strachu, vydesená, vystrašená, výkrik, údiv, šok
😖	frustrácia, grimasa, hnev, lotrovská, popletená, rozpačitý, smajlík, smútok, tvár, tvár v rozpakoch, zlosť, zmätok, čertovská tvár
😣	bolesť hlavy, koncentrácia, smajlík, smajlík s bolesťou hlavy, sústrediaca sa tvár, tvár, urputnosť, urputná tvár, vydržať, vytrvať
😞	nešťastie, nešťastný smajlík, sklamaná, sklamaná tvár, smajlík, tvár
