‾	oorheendruk, oorstreep, vinkulum
『	hol, oop, oop-holraamhakie, raamhakie
』	hol, raamhakie, sluit, sluit-holraamhakie
【	lenshakie, oop, oop-swartlenshakie, swart
】	hakie, lenshakie, sluit, sluit-swartlenshakie, swart
〔	dophakie, hakie, oop-skilpaddophakie, skilpaddophakie
〕	dophakie, hakie, skilpaddophakie, sluit-skilpaddophakie, sluithakie
〖	hol, lenshakie, oop, oop-hollenshakie
〗	hol, lenshakie, sluit, sluit-hollenshakie
§	afdeling, deel, paragraaf, silcrow
¶	alinea, paraaf, paragraaf, paragraafteken, pilcrow, teken
@	"at"-teken, aapstert, by
*️	asterisk, sterretjie
/	leesteken, skuins, skuinsstreep, streep, vorentoe, vorentoe-skuinsstreep
\	agtertoe, agtertoe-skuinsstreep, leesteken, skuins, streep
&	ampersand, en, et
#️	huts, hutsmerk, nommer, pond
%	persent, persentasie
‰	permil, permille
†	dolk, dolkteken, obelisk, obelus, teken
‡	dolk, dubbel, dubbeldolkteken, obelisk, obelus, teken
•	kol
‧	koppelteken, koppeltekenpunt, punt, streep
′	priem
″	dubbelpriem, priem
‴	priem, trippelpriem
‸	inlasteken, invoeg, uitlatingsaanwysing
※	teken, verwysing, verwysingsteken
⁂	asteriske, asterisme, drie sterretjies
`	aksent, gravis, gravisaksent, toon
´	aksent, akuut, akuutaksent, toon
^	kappie, mag, sirkumfleks, wiggie
¨	deelteken, diërese, leesteken, umlaut
°	graad, proef, uur
℗	klank, kopiereg, kopiereg vir klankopname, opname
←	links, linkswysende pyltjie, pyltjie
↚	links, pyl, pyl na links met streep, streep
→	pyltjie, regs, regswysende pyltjie
↛	pyl, pyl na regs met streep, regs, streep
↑	op, opwysende pyltjie, pyltjie
↓	af, afwysende pyltjie, pyltjie
↜	golwende, golwende pyl na links, linker, links, pyl
↝	golwende, golwende pyl na regs, pyl, regs, regter
↞	dubbelkop, dubbelkoppyl na links, linker, links, pyl
↟	boontoe, dubbelkop, dubbelkoppyl na bo, op, pyltjie
↠	dubbelkop, dubbelkoppyl na regs, pyltjie, regs, regter
↡	af, dubbelkop, dubbelkoppyl na onder, ondertoe, pyltjie
↢	links, na links, pyl met stert, pyl met stert na links
↣	na regs, pyl met stert, pyl met stert na regs, regs
↤	balk, links, pyl, pyl na links vanaf balk
↥	balk, boontoe, na bo, pyl, pyl na bo vanaf balk
↦	balk, pyl na regs, pyl na regs vanaf balk, regs
↧	af, balk, pyl na onder, pyl na onder vanaf balk
↨	basis, op en af, pyl op en af, pyl op en af met basis
↫	links, lus, na links, pyl, pyl na links met lus
↬	lus, na regs, pyl, pyl na regs met lus, regs
↭	golwende, golwende pyl links en regs, links en regs, pyl
↯	kronkel, sigsag, sigsag pyl na onder
↰	na links, opwaarts, opwaartse pylpunt na links, pylpunt
↱	na regs, opwaarts, opwaartse pylpunt na regs, pylpunt
↲	afwaarts, afwaartse pylpunt na links, na links, pylpunt
↳	afwaarts, afwaartse pylpunt na regs, na regs, pylpunt
↴	ondertoe, pylhoek, pylhoek na regs ondertoe, regs
↵	links, ondertoe, pylhoek, pylhoek na links ondertoe
↶	boonste, halfsirkel, pyl, teenkloksgewyse, teenkloksgewyse boonste halfsirkelpyl
↷	boonste, halfsirkelpyl, kloksgewyse, kloksgewyse boonste halfsirkelpyl
↸	lang balk, noordwes, noordwes-pyl met lang balk, pyl
↹	bo-op, na links, na regs, pylbalk, pylbalk na links bo-op pylbalk na regs
↺	oopsirkel, pyl, teenkloksgewyse, teenkloksgewyse oopsirkelpyl
↻	kloksgewyse, kloksgewyse oopsirkelpyl, oopsirkel, pyl
↼	hoek, linkswaartse harpoenhoek na bo, stekel, weerhaak
↽	harpoenhoek, linkswaarts, linkswaartse harpoenhoek na onder, na onder, ondertoe
↾	hoek, opwaartse harpoenhoek na regs, stekel, weerhaak
↿	hoek, opwaartse harpoenhoek na links, stekel, weerhaak
⇀	hoek, regswaartse harpoenhoek na bo, stekel, weerhaak
⇁	hoek, regswaartse harpoenhoek na onder, stekel, weerhaak
⇂	afwaartse harpoenhoek na regs, hoek, stekel, weerhaak
⇃	afwaartse harpoenhoek na links, hoek, stekel, weerhaak
⇄	bo-op, na links, na regs, pyl, pyl na regs bo-op pyl na links
⇅	af, op, opwysende en afwysende pyltjies, pyltjie
⇆	links, linkswysende oor regswysende pyltjies, pyltjie, regs
⇇	gepaarde, gepaarde pyle na links, links, na links, pyle
⇈	boontoe, gepaarde, gepaarde pyle na bo, na bo, opwaarts, pyle
⇉	gepaarde, gepaarde pyle na regs, na regs, pyle
⇊	afwaarts, gepaarde, gepaarde pyle na onder, na onder, ondertoe, pyle
⇋	bo-op, harpoen, harpoen na links bo-op harpoen na regs, na links, na regs
⇌	bo-op, harpoen, harpoen na regs bo-op harpoen na links, na links, na regs
⇐	dubbel, dubbelpyl, dubbelpyl na links, na links, pyl
⇍	deurgehaalde, dubbelpyl, dubbelpyl na links met streep, met streep, na links
⇑	boontoe, dubbelpyl, dubbelpyl na bo, na bo, op
⇒	dubbelpyl, dubbelpyl na regs, na regs, regswaarts
⇏	deurgehaalde, dubbelpyl, dubbelpyl na regs met streep, met streep, regswaarts
⇓	afwaarts, dubbelpyl, dubbelpyl na onder, na onder, ondertoe
⇔	dubbel, dubbelpyl, dubbelpyl links en regs, links en regs, pyl
⇎	deurgehaalde, dubbelpyl, dubbelpyl links en regs met streep, links en regs, met streep
⇖	dubbel, dubbelpyl, noordwes, noordwes-dubbelpyl, pyl
⇗	dubbel, dubbelpyl, noordoos, noordoos-dubbelpyl, pyl
⇘	dubbel, dubbelpyl, pyl, suidoos, suidoos-dubbelpyl
⇙	dubbel, dubbelpyl, pyl, suidwes, suidwes-dubbelpyl
⇚	driedubbele, driedubbele pyl na links, linkswaarts, na links, pyl
⇛	driedubbele, driedubbele pyl na regs, na regs, pyl, regswaarts
⇜	na links, opgewende, opgewende pyl na links, pyl
⇝	na regs, opgewende, opgewende pyl na regs, pyl
⇞	met twee strepe, na bo, opwaarts, pyl, pyl na bo met twee strepe
⇟	af, afwaartse, met twee strepe, na onder, pyl, pyl na onder met twee strepe
⇠	gestippelde, gestippelde pyl na links, na links, pyl
⇡	gestippelde, gestippelde pyl na bo, na bo, opwaartse, pyl
⇢	gestippelde, gestippelde pyl na regs, na regs, pyl, regswaartse
⇣	afwaartse, gestippelde, gestippelde pyl na onder, na onder, pyl
⇤	linkswaarts, na links, pylbalk, pylbalk na links
⇥	na regs, pylbalk, pylbalk na regs, regswaartse
⇦	hol, hol pyl na links, linkswaartse, na links, pyl
⇧	hol, hol pyl na bo, na bo, opwaartse, pyl
⇨	hol, hol pyl na regs, na regs, pyl, regswaartse
⇩	afwaartse, hol, hol pyl na onder, na onder, pyl
⇪	hol, hol pyl na bo vanaf balk, na bo, pyl, vanaf balk
⇵	linkswaartse, pyl na bo, pyl na onder, pyl na onder en linkswaartse pyl na bo
∀	alles, enige, universeel, vir alles
∂	differensiaal, gedeeltelik differensiaal
∃	bestaan, daar, daar bestaan
∅	leë stel, steloperator, wiskundig
∆	driehoek, vermeerdering
∇	driehoek, nabla
∈	bevat, element, element van, lidmaatskap, stel
∉	element, nie ‘n element nie
∋	bevat as ‘n lid, element
∎	QED, eindbewys, grafsteen, halmos, q.e.d, wat bewys moes word
∏	logika, n-êre produk, produk
∑	n-êre opsomming, opsomming, wiskunde, wiskundige
+	optel, plus, plusteken
±	plus-minus
÷	deel, deelteken, deelteken wiskunde, deling, obelus
×	maal, vermenigvuldig, vermenigvuldiging, vermenigvuldigteken
<	kleiner as, merker, oop merker
≮	nie kleiner-as nie, ongelykheid, wiskunde, wiskundige
=	gelyk, gelyk aan
≠	nie gelyk, ongelyk
>	groter as, merker, sluit merker
≯	nie groter-as nie, ongelykheid, wiskunde, wiskundige
¬	negering, nie
|	lyntjie, pyp, stok, strepie, strook, vertikale streep
~	tilde
−	aftrek, minus, minusteken
⁻	boskrif, boskrifminus, minus
∓	minus-of-plus, plusminus
∕	deelteken-skuinsstreep, skuinsstreep, virgule, vooroorskuinsstreep
⁄	breukskuinsstreep, skuinsstreep, virgule, vooroorskuinsstreep
∗	asterisk, asteriskoperator, sterretjie
∘	komposisie, operator, ringoperator, samestelling Add
∙	koeëlpuntoperator, operator
√	radikaal, vierkant, vierkantswortel, wortel, wortelgetal, wortelvorm
∝	proporsionaliteit, proporsioneel
∞	oneindigheid, oneindigheidsteken
∟	haaks, loodreg, regte hoek, wiskunde, wiskundig
∠	hoekpunt, skerphoek
∣	deler, verdeel
∥	parallel
∧	atque, logika en, wig
∩	interseksie, stel
∪	stel, unie, versameling
∫	differensiaal- en integraalberekening, integraal
∬	differensiaal- en integraalberekening, dubbele integraal
∮	integraal, kontoer, kontoerintegraal
∴	dus, logika
∵	logika, omdat
∶	ratio, verhouding
∷	proporsie, proporsionaliteit
∼	operator, tilde-operator
∽	omgekeerde tilde, tilde
∾	-s, lui, omgekeerde, omgekeerde lui -s
≃	asimptoties, asimptotiese gelykheid, wiskunde, wiskundige
≅	gelykvormigheid, isomorfie, kongruensie, ongeveer gelyk, wiskunde, wiskundige
≈	amper gelyk, ongeveer
≌	alles gelyk, gelykvormigheid, wiskunde, wiskundige
≒	beeld, beeld is ongeveer gelykvormig, gelykvormig, ongeveer
≖	gelykvormige ring, gelykvormigheid, wiskunde, wiskundige
≡	driemaal, identies, identies aan, presies
≣	gelykvormigheid, streng ekwivalent, wiskunde, wiskundige
≤	gelyk aan, kleiner as, kleiner as of gelyk aan
≥	gelyk aan, groter as, groter as of gelyk aan
≦	kleiner-as bo-op gelyk aan, ongelykvormigheid, wiskunde, wiskundige
≧	groter-as bo-op gelyk aan, ongelykvormigheid, wiskunde, wiskundige
≪	baie kleiner as, ongelykvormigheid, wiskunde, wiskundige
≫	baie groter as, ongelykvormigheid, wiskunde, wiskundige
≬	tussen, tussen-in
≳	groter-as-ekwivalent, ongelykvormigheid, wiskunde, wiskundige
≺	steloperator, voorafgaan, wiskunde, wiskundige
≻	steloperator, volg op, wiskunde, wiskundige
⊁	steloperator, volg nie daarop nie, wiskunde, wiskundige
⊂	stel, substel, substel van
⊃	steloperator, superstel, wiskunde, wiskundige
⊆	gelyk, gelyk aan, gelyk aan substel, substel
⊇	gelyk aan superstel, gelykvormigheid, wiskunde, wiskundige
⊕	omsirkelde, omsirkelde plus, plus, plusteken
⊖	erosie, omsirkelde minus, simmetriese verskil
⊗	omsirkelde maalteken, produk van, tensor
⊘	deelagtig, omsirkelde deelskuinsstreep, wiskunde
⊙	XNOR, omsirkelde kolletjieoperator, operator
⊚	omsirkelde, omsirkelde ringoperator, operator, ring, ringoperator
⊛	asterisk, omsirkelde asteriskoperator, operator, sterretjie
⊞	byvoeging, plusteken in vierkant, wiskunde
⊟	aftrekking, minusteken in vierkant, wiskunde
⊥	absurdum, eet, falsum, valse logika
⊮	nie dwing nie, ongedwonge, ongeforseer
⊰	steloperator, voorafgegaan onder verhouding, wiskunde, wiskundige
⊱	daaropvolgend onder verhouding, steloperator, wiskunde, wiskundige
⋭	bevat nie soos normale subgroepgelykvormigheid nie, groepsteorie, wiskunde, wiskundige
⊶	oorspronklike
⊹	hermitiese gekonjugeerde matriks, self-toegevoegde matriks, wiskunde, wiskundige
⊿	driehoek, reghoekige, reghoekige driehoek, wiskunde
⋁	disjunktiewe, logika, n-êre logika
⋂	aansluiting, interseksie, n-êre-aansluiting, steloperator, wiskunde
⋃	eenheid, n-êre vereniging, steloperator, wiskunde
⋅	kolletjie-operator, operator
⋆	operator, sterretjie-operator
⋈	binêre operator, natuurlike vereniging, strikdas
⋒	dubbele aansluiting, interseksie, steloperator, wiskunde
⋘	ongelykheid, veel meer kleiner as, wiskunde
⋙	ongelykheid, veel meer groter as, wiskunde
⋮	ellips, vertikale ellips, wiskunde
⋯	ellips, middellyn horisontale ellips
⋰	diagonale, diagonale ellips na regs bo, ellips, regs bo, wiskunde
⋱	diagonale, diagonale ellips na regs onder, ellips, regs onder, wiskunde
■	gevulde, gevulde vierkant, vierkant
□	hol, hol vierkant, leë, vierkant
▢	hoeke, hol, hol vierkant met ronde hoeke, ronde, vierkant
▣	binne, gevulde vierkant, gevulde vierkant binne hol vierkant, hol, vierkant
▤	horisontale, strepies, vierkant, vierkant met horisontale strepies
▥	strepies, vertikale, vierkant, vierkant met vertikale strepies
▦	arsering, ortogonale, vierkant, vierkant met ortogonale arsering
▧	linksbo, regsonder, vierkant, vierkant met linksbo-regsonder-vulsel, vulsel
▨	linksonder, regsbo, vierkant, vierkant met regsbo-linksonder-vulsel, vulsel
▩	arsering, diagonale, vierkant, vierkant met diagonale arsering
▬	gevulde, gevulde reghoek, reghoek
▭	hol, hol reghoek, reghoek
▮	gevulde, gevulde vertikale reghoek, reghoek, vertikale
▰	gevulde, gevulde parallelogram, parallelogram
▲	driehoek, gevul, gevulde opwysende driehoek, op, pyltjie
△	driehoek, hol, hol driehoek wat na bo wys, opwysend, wys na bo
▴	gevulde, gevulde klein driehoek wat na bo wys, klein driehoek, wat na bo wys
▵	driehoek, hol, hol klein driehoek wat na bo wys, klein, wat na bo wys
▷	driehoek, hol, hol driehoek wat regs wys, wat regs wys, wys regs
▸	gevulde, gevulde klein driehoek wat regs wys, klein driehoek, wat regs wys, wys regs
▹	hol, hol klein driehoek wat regs wys, klein driehoek, wat regs wys, wys regs
►	aanwyser, gevulde, gevulde aanwyser wat regs wys, wat regs wys
▻	aanwyser, hol, hol aanwyser wat regs weys, wat regs wys, wys regs
▼	af, driehoek, gevul, gevulde afwysende driehoek, pyltjie
▽	driehoek, hol, hol driehoek wat af wys, wat af wys, wys af
▾	gevulde, gevulde klein driehoek wat af wys, klein driehoek, wat af wys
▿	hol, hol klein driehoek wat af wys, klein driehoek, wat af wys
◁	driehoek, hol, hol driehoek wat links wys, wat links wys
◂	gevulde, gevulde klein driehoek wat links wys, klein driehoek, wat links wys, wys links
◃	hol, hol klein driehoek wat links wys, klein driehoek, wat links wys, wys links
◄	aanwyser, gevulde, gevulde aanwyser wat links wys, wat links wys
◅	aanwyser, hol, hol aanwyser wat links wys, wat links wys
◆	diamant, gevulde, gevulde diamant
◇	diamant, hol, hol diamant
◈	binne, gevulde diamant, gevulde diamant binne hol diamant, hol diamant
◉	gevulde konsentriese sirkels, gevulde sirkel binne hol sirkel, omsirkelde kolletjie, visoog
◊	diamant, rombus, ruit
○	leë sirkel, ring, sirkel
◌	gestippelde, gestippelde sirkel, sirkel, stippels
◍	sirkel, sirkel met vertikale vulsel, vertikale, vulsel
◎	dubbelsirkel, konsentriese sirkels, teiken, volskoot
●	gevulde sirkel, sirkel
◐	gevul, linkerhelfte, sirkel, sirkel met linkerhelfte gevul
◑	gevul, regterhelfte, sirkel, sirkel met regterhelfte gevul
◒	gevul, onderste helfte, sirkel, sirkel met onderste helfte gevul
◓	boonste helfte, gevul, sirkel, sirkel met boonste helfte gevul
◔	boonste regterkwadrant, gevul, sirkel, sirkel met boonste regterkwadrant gevul
◕	alles behalwe, boonste linkerkwadrant, gevul, sirkel, sirkel met alles behalwe boonste linkerkwadrant gevul
◖	linkergevulde, linkergevulde sirkelhelfte, sirkelhelfte
◗	regtergevulde, regtergevulde sirkelhelfte, sirkelhelfte
◘	inverse, inverse koeëlpunt, koeëlpunt
◙	hol sirkel, hol sirkel binne gevulde vierkant, inverse
◜	boog, links bo, links bo sirkelkwadrantboog, sirkelkwadrant
◝	regs bo, regs bo sirkelkwadrantboog, sirkelkwadrant
◞	boog, regs onder, regs onder sirkelkwadrantboog, sirkelkwadrant
◟	boog, links onder, links onder sirkelkwadrantboog, sirkelkwadrant
◠	boonste, boonste helfte van sirkel, helfte, sirkel
◡	helfte, onderste, onderste helfte van sirkel, sirkel
◢	driehoek, gevulde, gevulde regsonder-driehoek, regsonder
◣	driehoek, gevul, gevulde linksonder-driehoek, linksonder
◤	driehoek, gevulde, gevulde linksbo-driehoek, linksbo
◥	driehoek, gevulde, gevulde regsbo-driehoek, regsbo
◦	hol, hol koeëlpunt, koeëlpunt
◯	groot leë sirkel, ring, sirkel
◳	boonste regterkwadrant, boonste regterkwadrant van hol vierkant, hol vierkant
◷	boonste regterkwadrant, hol sirkel, hol sirkel met boonste regterkwadrant
◿	driehoek, regsonder, regsonder-driehoek
♪	agste, agstenoot, musiek, noot
⨧	onderskrif, plus, plusteken, plusteken met onderskrif twee, twee
⨯	kruis, produk, vektor, vektor kruisproduk
⨼	binneproduk, puntproduk, skalaarproduk
⩣	dubbele, logiese, logiese of dubbele onderbalk, onderbalk
⩽	gelyk aan, kleiner as, kleiner-as skuins gelyk aan, skuins
⪍	bo-op, kleiner-as, kleiner-as bo-op soortgelyke gelyk aan, soortgelyke gelyk aan
⪚	dubbellyn gelyk aan groter as, ongelykvormigheid, wiskunde
⪺	bo-op, nie amper gelyk nie, volg daarop, volg daarop bo-op nie amper gelyk nie
♭	mol, musiek, noot
♯	kruis, musiek, noot
😀	gelukkig, gesiggie, glimlag, glimlaggend, grinnik, grinnikend, grinnikende gesig, lag, lekker, opgewek, tande, vrolik
😃	fantasties, gelukkig, gesig, glimlag, glimlaggende gesig met oop mond, grinnik, grinnikende gesiggie met groot oë, joegaai, mond, oop, tande, wonderlik
😄	gelukkig, gesig, glimlag, glimlaggend, grinnik, grinnikende gesiggie met glimlaggende oë, grynslag, lag, lol, mond, oog, oop, oë
😁	gelukkig, gesiggie, glimlag, glimlaggend, grinnik, grynslag, oog, oulik, oë, stralend, stralende gesiggie met glimlaggende oë, tande
😆	gelukkig, gesig, glimlag, glimlaggende gesig met oop mond en oë styf toe, glimlaggende gesig met toe oë toe, grynslaggesiggie met toegeknypte oë, haha, lag, laggende gesig met toe oë, lol, mond, oop, rol van die lag, tevrede
😅	gesig, glimlag, glimlaggende gesig met oop mond en koue sweet, koud, lag gesig met sweet, laggende gesig met sweet, neerslagtig, oop, opgewonde, senuweeagtig, stres, sweet
🤣	gelag, gelukkig, gesig, gesig wat hard lag, haha, hehe, histeries, huil van die lag, lag, laggend, rol, rol van die lag, rollend, skreeusnaaks, snaaks, traan, trane, vloer, vreugde
😂	baie snaaks, gelag, gelukkig, gesig, gesig met trane van vreugde, grappig, haha, hehe, huil, lag, lag en huil gelyk, laggend, rol van die lag, traan, trane, vreugde
🙂	gelukkig, gesig, gesig wat effens glimlag, glimlag, glimlaggend, skaam glimlag
🙃	gesig, glimlag, jolig, onderstebo, onderstebo gesig, vrolik
🫠	gesig wat smelt, haha, hitte, sarkasme, sarkasties, smelt, smeltend, verdwyn, verleë, warm
😉	flirteer, gesig, gesig wat knipoog, hartebreker, hoekom nie?, knipoog, sexy, terg, uitlok
😊	bloos, bly, gesig, glimlag, glimlaggend, glimlaggende gesig met glimlaggende oë, oog, tevrede
😇	Bybel, engel, engelagtig, engele, fantasie, gees, gelukkig, geseën, gesig, glimlag, glimlaggende gesig met stralekrans, onskuldig, sprokie, stralekrans, vreedsaam
🥰	bewonder, ek is lief vir jou, geliefd, gesiggie, glimlag, glimlaggende gesig met 3 hartjies, glimlaggende hartjies, hart, hartjie, hartjies, liefde, romanse, verlief
😍	ek is lief vir jou, emosioneel, gesig, glimlag, glimlaggende gesig met hartjiesoë, glimlaggende gesig met hartvormige oë, hart, liefde, oog, romanse, romanties, soentjies, verlief
🤩	gesig, glimlag, grynsend, opgewonde, oë, sjoe, skitterende oë, ster, sterre in die oë, swymelend
😘	143, ek bewonder jou, ek is lief vir jou, flirteer, gesig, gesig wat ‘n soentjie blaas, hart, hartjie, liefde, minnaar, mis jou, môre, nag, romanse, romanties, soen, soenery, soentjies
😗	afspraak, ek is lief vir jou, flirteer, gesig, gesig wat soen, liefde, soen, soenende gesig, soenery, soentjies, vry
☺️	gelukkig, gesig, glimlag, glimlaggend, glimlaggende gesig, omtrekskets, ontspanne
😚	afspraak, bloos, drukkies, ek is lief vir jou, flirteer, gesig, gesig wat soen met toe oë, gesluit, oog, soen, toe, uitgaan
😙	143, afspraak, ek is lief vir jou, flirteer, gesig, gesig wat soen met glimlaggende oë, glimlag, liefde, nag, oog, soen, soentjies, toe oë
🥲	aangedaan, aangeraak, dankbaar, diep geroer, glimlaggend, glimlaggende gesig met traan, lag met ‘n traan, traan, trots, verlig
😋	geniet, gesig, gesig wat heerlike kos geniet, geurige kos, geurigheid, glimlag, heerlik, honger, lekker, lippe aflek, smaak
😛	fantasties, gaaf, gesig, gesig met tong wat uitsteek, partytjie, tong, wonderlik
😜	dol, epies, gek, gesig, gesig met tong wat uitsteek en wat knipoog, grap, knipoog, laf, oog, partytjie, pret, snaaks, snaakse ou, tong, verspot
🤪	dol, gek oë, groot, grootoog, klein, mal gesig, oog, oë
😝	aaklig, afgryslik, gesig, gesig met tong wat uitsteek en oë styf toe, oog, smaak, tong, wat ook al
🤑	betaal, geld, gesig, gesig met geldmond, mond
🤗	drukkie, drukkie gee, gesig, gesig wat drukkie gee, omhels
🤭	geheim, gesig met hand oor die mond, giggel, giggelend, oeps, oepsie, skielike besef, skok, verrassing
🫢	genugtig, gesig met hand oor mond, geskok, ongeloof, skok, snak na asem, stom, verbaas, verrassing, verstom
🫣	bang, gesiggie met een oog wat loer, kruip weg, kyk, loer, nuuskierig, skaam, verleë
🤫	Sjuut, bly stil, geheim, moet niks sê nie, ons geheim, sjoesj, sjuut, stilbly, stilmaak gesig, stilmaakgesig, swyg
🤔	bepeins, dink, dinkende gesig, gesig, gesig wat dink, hmm, ken, oorweeg, peinsend, wonder
🫡	goed gaan, ja, ja meneer, ja mevrou, respek, salueer, saluut, troepe, voorspoed
🤐	geheim, gesensor, gesig, gesig met ritssluitermond, hou my mond toe, mond, ritssluiter, stilbly, vertel nie oor nie
🤨	afkeer, afkeuring, gesig met geligte wenkbrou, gesig met geligte wenkbroue, hmm, ligte verrassing, ongeloof, skepties, skeptisisme, verrassing, wantrou, wantroue, wat?
😐️	dis nie snaaks nie, dood, gesig, jaloers, neutraal, neutrale gesig, nie beïndruk nie, ongelukkig, ongemaklik, sleg, uitdrukkingloos, wat ook al
😑	dood, ernstig, gesig, jaloers, koste, nie beïndruk nie, ongelukkig, ongemaklik, sleg, uitdrukkingloos, uitdrukkinglose gesig, wat ook al
😶	geheim, gesig, gesig sonder mond, kan nie eens, mond, mondloos, ongemaklik, sonder mond, sprakeloos, stil, stilte, stom, uitdrukkingloos
🫥	depressief, gesig met stippellyn, introvert, onsigbaar, verberg, verdwyn, wat ook al, wegkruip
😶‍🌫	gesig in die mis, gesig in die wolke, gesig in wolke, kop in die wolke, vestrooid
😏	agtermekaar, baas, flirteer, gesig, gesig wat grynslag, grynslag, huigelagtig, huisvriend, oogknip, selfvoldane glimlag, slu, swierig, wenkbroue
😒	dis nie snaaks nie, eienaardig, gesig, jaloers, nou maar goed, ongelukkig, ontevrede, ontevrede gesig, verveeld, vreemd
🙄	gesig, gesig met oë wat rol, oë, rol, rollend, rollende oë, skaduwee, ugh, wat ook al
😬	gesig, glimlag, grinnik, grynsend, grynsende gesig, niks, ongemaklik, tandarts
😮‍💨	asem uit, blaas, fluister, fluit, gesig asem uit, glimlag, kreun, rook, snak, uitasem, uitgeput, verlig
🤥	Pinocchio, betrap op leuens, gesig, gesig wat jok, jok, leuen, leuenaar, lieg, onwaar, uitgevang
🫨	aardbewing, gek, gesig, gesig wat skud, paniek, skok, skud, verrassing, vibreer
🙂‍↔	kop wat horisontaal skud, nee, skud kop
🙂‍↕	ja, knik, kop wat vertikaal skud
😌	Zen, gesig, kalm, verlig, verligte gesig, vrede
😔	aaklig, bedruk, dood, gesig, hartseer, naar, neerslagtig, peinsend, peinsende gesig, teleurgesteld, verloor, verlore, verveeld
😪	gesig, hartseer, huilend, moeg, slaap, slapend, slaperige gesig, vaak gesig
🤤	eetlus, gesig, gesig wat kwyl, honger, kwyl, kwylende gesig, lus
😴	bed, bedtoegaantyd, dut, gaap, gesig, gesig wat slaap, goeie nag, moeg, slaap, slapend, vaak, wat ook al, zzz
🫩	gesig met sakke onder oë, moeg, slaperig, uitgeput
😷	dermatoloog, dokter, gesig, gesig met mediese masker, koud, masker, medisyne, siek, tandarts
🤒	gesig, gesig met koorspen, koorspen, siek, voel olik
🤕	beseer, besering, eina, gesig, gesig met kopverband, pyn, seer, verband
🤢	gemeen, gesig, kots, naar, naar gesig, opgooi, siek, voel naar
🤮	afstootlik, braak, gesig wat opgooi, gooi op, naar, opbring, opgooi, siek, walglik
🤧	atiesjoe, atsjoe, gesig, gesig wat nies, gesondheid, griep, koors, nies, niesende gesig, siek, verkoue
🥵	hitte-uitputting, hyg, koorsig, rooi gesig, siek, sterwend, sweet, swetend, tong uitsteek, warm, warm gesig
🥶	bibber, blou gesig, blou van die koue, gesig, koud, koue gesig, koue tande, onder die vriespunt, vries, vriesbrand, vriesend, yskeëls
🥴	beneweld, dronk, dronk gesig, dronkerig, duiselig, gesuip, lighoofdig, onewe oë
😵	dood, dronk, duiselig, duiselig gesig, duiselige gesig, gesig, naar, vaak
😵‍💫	beneweld, dof, dronkerig, duiselig, gehipnotiseer, gesig met spiraaloë, goeiste, moeilikheid, sjoe, spiraal, verward
🤯	geensins, geskok, glad nie, kop wat ontplof, ontplof, ontploffende kop, verstom
🤠	cowboy, cowgirl, gesig, gesig met cowboy-hoed, hoed
🥳	blaas, gesig, hoedjie, hoera, horinkie, lekker verjaar, opgewonde, partytjie, partytjie gesig, partytjiegesig, pret, veels geluk, verjaardag, vier, viering
