‾	garis atas
〕	dakap, kurung siku kura-kura, kurung siku kura-kura tertutup, siku kura-kura
〖	kurung kanta geronggang, kurung kanta geronggang terbuka, kurung kekanta geronggang, kurungan
〗	kurung kanta geronggang, kurung kanta geronggang tertutup, kurung kekanta geronggang, kurungan
§	bahagian, keratan, perenggan, seksyen
¶	alinea, parap, perenggan, pilcrow, tanda perenggan
@	ampersat, arobase, arroba, at komersial, simbol at, strudel, tanda at
*️	asterisk, bintang, kad liar
/	garis condong, garis miring, gurisan, leretan, serong, solidus
\	garis miring balik, leretan, solidus balik
&	ampersan, dan, et
#️	cencang, lb, nombor, paun, tanda cencang, tanda pagar
%	peratus
‰	per mille
†	dagger, obelisk, obelus, tanda dagger
‡	berganda, dagger, obelisk, obelus, simbol dagger berganda
•	bulet, titik
‧	sempang, sengkang, titik, titik sempang
′	prima
″	prima, prima ganda dua
‴	prima, prima ganda tiga
‸	karet
※	tanda rujukan
⁂	asterisme, bintang, dinkus
`	aksen, aksen grava, grava, ton
´	aksen, aksen tirus, tirus, ton
^	aksen, aksen sirkumfleks, baji, hat, karet, kawal, penunjuk, sevron, simbol xor, sirkumfleks, tenaga
¨	diaresis, trema, umlaut
°	bukti, darjah, jam
℗	bunyi, hak cipta, hak cipta rakaman bunyi, rakaman
←	anak panah, anak panah menunjuk ke kiri, kiri
↚	garis miring anak panah ke kiri
→	anak panah, anak panah menunjuk ke kanan, kanan
↛	garis miring anak panah ke kanan
↑	anak panah, anak panah menunjuk ke atas, atas
↓	anak panah, anak panah menunjuk ke bawah, bawah
↜	anak panah berombak-ombak ke kiri
↝	anak panah berombak-ombak ke kanan
↞	anak panah dwikepala ke kiri
↟	anak panah dwikepala ke atas
↠	anak panah dwikepala ke kanan
↡	anak panah dwikepala ke bawah
↢	anak panah berekor ke kiri
↣	anak panah berekor ke kanan
↤	anak panah ke kiri dari palang
↥	anak panah ke atas dari palang
↦	anak panah ke kanan dari palang
↧	anak panah ke bawah dari palang
↨	anak panah ke atas ke bawah berdasar
↫	anak panah ke kiri bergelung
↬	anak panah ke kanan bergelung
↭	anak panah kiri kanan berombak-ombak
↯	anak panah siku-sika ke bawah
↰	anak panah ke atas melencong ke kiri
↱	anak panah ke atas melencong ke kanan
↲	anak panah ke bawah melencong ke kiri
↳	anak panah ke bawah melencong ke kanan
↴	anak panah ke kanan menukar arah ke bawah
↵	anak panah ke bawah menukar arah ke kiri
↶	anak panah separuh bulatan atas arah lawan jam
↷	anak panah separuh bulatan atas arah ikut jam
↸	palang panjang anak panah barat laut
↹	palang anak panah ke kiri di atas palang anak panah ke kanan
↺	anak panah bulatan terbuka arah lawan jam
↻	anak panah bulatan terbuka arah ikut jam
↼	ruit serampang ke kiri menuding ke atas
↽	ruit serampang ke kiri menuding ke bawah
↾	ruit serampang ke atas menuding ke kanan
↿	ruit serampang ke atas menuding ke kiri
⇀	ruit serampang ke kanan menuding ke atas
⇁	ruit serampang ke kanan menuding ke bawah
⇂	ruit serampang ke bawah menuding ke kanan
⇃	ruit serampang ke bawah menuding ke kiri
⇄	anak panah ke kanan di atas palang anak panah ke kiri
⇅	anak panah, anak panah tunjuk atas dan tunjuk bawah, atas, bawah
⇆	anak panah, anak panah tunjuk kiri di atas anak panah tunjuk kanan, kanan, kiri
⇇	anak panah berpasangan ke kiri
⇈	anak panah berpasangan ke atas
⇉	anak panah berpasangan ke kanan
⇊	anak panah berpasangan ke bawah
⇋	serampang ke kiri di atas serampang ke kanan
⇌	serampang ke kanan di atas serampang ke kiri
⇐	anak panah berganda ke kiri
⇍	garis miring anak panah berganda ke kiri
⇑	anak panah berganda ke atas
⇒	anak panah berganda ke kanan
⇏	garis miring anak panah berganda ke kanan
⇓	anak panah berganda ke bawah
⇔	anak panah berganda kiri kanan
⇎	garis miring anak panah berganda kiri kanan
⇖	anak panah berganda barat laut
⇗	anak panah berganda timur laut
⇘	anak panah berganda tenggara
⇙	anak panah berganda barat daya
⇚	anak panah ganda tiga ke kiri
⇛	anak panah ganda tiga ke kanan
⇜	anak panah berpintal ke kiri
⇝	anak panah berpintal ke kanan
⇞	garis berganda anak panah ke atas
⇟	garis berganda anak panah ke bawah
⇠	anak panah garis berputus-putus ke kiri
⇡	anak panah garis berputus-putus ke atas
⇢	anak panah garis berputus-putus ke kanan
⇣	anak panah garis berputus-putus ke bawah
⇤	palang anak panah ke kiri
⇥	palang anak panah ke kanan
⇦	anak panah geronggang ke kiri
⇧	anak panah geronggang ke atas
⇨	anak panah geronggang ke kanan
⇩	anak panah geronggang ke bawah
⇪	anak panah geronggang ke atas dari palang
⇵	anak panah ke bawah ke kiri anak panah ke atas
∀	sebarang, semua, universal, untuk semua
∂	pembezaan, pembezaan separa
∃	wujud
∅	matematik, operator set, set kosong
∆	kenaikan, segi tiga
∇	nabla, segi tiga
∈	keahlian, mengandungi, set, unsur, unsur kepada
∉	bukan unsur, unsur
∋	mengandungi sebagai ahli, unsur
∎	penamat bukti
∏	hasil, hasil darab n-ner, logik
∑	hasil tambah, hasil tambah n-ner, matematik
+	campur, tambah, tanda campur
±	campur - tolak
÷	bahagi, obelus, pembahagian, simbol pembahagian
×	darab, kali, pendaraban, simbol pendaraban
<	kurang daripada, tag, tag terbuka
≮	ketaksamaan, matematik, tidak kurang daripada
=	sama, sama dengan
≠	ketaksamaan, tak samaan, tidak sama dengan
>	lebih besar daripada, tag, tag tertutup
≯	ketaksamaan, matematik, tidak besar daripada
¬	nafi, penafian
|	bar menegak, bar v, garis, garis sheffer, kayu, paip, tombak
~	lambang tilde
−	kurang, tanda tolak, tolak
⁻	superskrip, tolak, tolak superskrip
∓	tolak atau campur, tolak campur
∕	garis condong, garis condong pembahagian, garis miring, virgule
⁄	garis condong pecahan, garis miring, virgule
∗	bintang, operator asterisk
∘	komposisi, operator, operator gelanggang
∙	operator, operator bulet
√	punca, punca kuasa dua, radikal, radiks, sud
∝	berkadar, berkadaran
∞	infiniti, simbol infiniti
∟	matematik, sudut tegak
∠	sudut, tirus
∣	membahagi, pembahagi
∥	selari
∧	baji, logik dan
∩	persilangan, set
∪	kesatuan, kumpulan, set
∫	kalkulus, kamiran
∬	kalkulus, kamiran ganda dua
∮	kamiran kontur
∴	jadi, logik
∵	logik, sebab
∶	nisbah
∷	perkadaran
∼	operator, operator tilde
∽	tilde, tilde terbalik
∾	s malas songsang
≃	asimptot, matematik, persamaan asimptot
≅	isomorfan, kesamaan, matematik, persamaan lebih kurang, serba sama
≈	anggaran, hampir sama dengan, lebih kurang
≌	kesamaan, matematik, semua sama
≒	lebih kurang sama dengan imej
≖	gelanggang dalam tanda sama, kesamaan, matematik
≡	bersamaan, bersamaan dengan, sama, tiga kali ganda
≣	kesamaan, matematik, setara tegas
≤	ketaksamaan, kurang daripada, kurang daripada atau sama dengan, sama, sama dengan
≥	ketaksamaan, lebih besar daripada, lebih besar daripada atau sama dengan, sama, sama dengan
≦	ketaksamaan, matematik, tanda kurang daripada di atas tanda sama
≧	ketaksamaan, matematik, tanda lebih besar daripada di atas tanda sama
≪	jauh kurang daripada, ketaksamaan, matematik
≫	jauh lebih besar daripada, ketaksamaan, matematik
≬	di antara
≳	ketaksamaan, lebih besar atau setara, matematik
≺	matematik, mendahului, operator set
≻	matematik, mengekori, operator set
⊁	matematik, operator set, tidak mengekori
⊂	set, subset, subset kepada
⊃	matematik, operator set, superset
⊆	subset atau sama dengan
⊇	kesamaan, matematik, superset atau sama dengan
⊕	tambah, tanda campur berbulat
⊖	hakisan, perbezaan simetri, tanda tolak berbulat
⊗	hasil, tanda darab berbulat, tensor
⊘	garis condong pembahagian berbulat
⊙	XNOR, operator, operator titik berbulat
⊚	operator gelanggang berbulat
⊛	operator asterisk berbulat
⊞	matematik, seperti penambahan, tanda campur di dalam persegi
⊟	matematik, seperti penolakan, tanda tolak di dalam persegi
⊥	paku tekan ke atas
⊮	tidak paksa
⊰	matematik, mendahului dengan hubungan, operator set
⊱	matematik, mengekori dengan hubungan, operator set
⋭	kumpulan teori, matematik, tanda sama tidak mengandungi sebagai subkumpulan normal
⊶	asal
⊹	matematik, matriks konjugat Hermitian
⊿	matematik, segi tiga bersudut tepat, segi tiga sudut tegak
⋁	logik atau n-ner
⋂	matematik, operator set, persilangan, persilangan n-ner
⋃	kesatuan, kesatuan n-ner, matematik, operator set
⋅	operator, operator titik
⋆	operator, operator bintang
⋈	cantuman asli, pengendali perduaan
⋒	matematik, operator set, persilangan, persilangan ganda dua
⋘	ketaksamaan, matematik, sangat jauh kurang daripada
⋙	ketaksamaan, matematik, sangat jauh lebih besar daripada
⋮	elipsis, elipsis menegak, matematik, menegak
⋯	elipsis, elipsis lintang garis tengah
⋰	elipsis, elipsis pepenjuru atas kanan, matematik
⋱	elipsis, elipsis pepenjuru bawah kanan, matematik
■	persegi berisi
□	persegi geronggang
▢	persegi geronggang dengan penjuru bulat
▣	persegi berisi di dalam persegi geronggang
▤	persegi dengan isian lintang
▥	persegi dengan isian menegak
▦	persegi dengan isian jejaring silang ortogon
▧	persegi dengan isian atas kiri dan bawah kanan
▨	persegi dengan isian atas kanan dan bawah kiri
▩	persegi dengan isian jejaring silang pepenjuru
▬	segi empat tepat berisi
▭	segi empat tepat geronggang
▮	segi empat tepat menegak berisi
▰	segi empat selari berisi
▲	anak panah, atas, berisi, segi tiga, segi tiga berisi menunjuk ke atas
△	segi tiga geronggang menuding ke atas
▴	segi tiga kecil berisi menuding ke atas
▵	segi tiga kecil geronggang menuding ke atas
▷	segi tiga geronggang menuding ke kanan
▸	segi tiga kecil berisi menuding ke kanan
▹	segi tiga kecil geronggang menuding ke kanan
►	penunjuk berisi menuding ke kanan
▻	penunjuk geronggang menuding ke kanan
▼	anak panah, bawah, berisi, segi tiga, segi tiga berisi menunjuk ke bawah
▽	segi tiga geronggang menuding ke bawah
▾	segi tiga kecil berisi menuding ke bawah
▿	segi tiga kecil geronggang menuding ke bawah
◁	segi tiga geronggang menuding ke kiri
◂	segi tiga kecil berisi menuding ke kiri
◃	segi tiga kecil geronggang menuding ke kiri
◄	penunjuk berisi menuding ke kiri
◅	penunjuk geronggang menuding ke kiri
◆	wajik berisi
◇	wajik geronggang
◈	wajik berisi di dalam wajik geronggang
◉	bulatan berisi di dalam bulatan geronggang
◊	daiman, rombus, wajik
○	bulatan, bulatan kosong, gelang
◌	bulatan berbintik
◍	bulatan dengan isian menegak
◎	bulatan sepusat
●	bulatan, bulatan berisi
◐	bulatan dengan bahagian kiri berisi
◑	bulatan dengan bahagian kanan berisi
◒	bulatan dengan bahagian bawah berisi
◓	bulatan dengan bahagian atas berisi
◔	bulatan dengan sukuan atas kanan berisi
◕	bulatan berisi kecuali sukuan atas kiri
◖	bulatan separuh bahagian kiri berisi
◗	bulatan separuh bahagian kanan berisi
◘	bulet songsang
◙	bulatan geronggang di dalam persegi berisi
◜	lengkuk sukuan bulat atas kiri
◝	lengkuk sukuan bulat atas kanan
◞	lengkuk sukuan bulat bawah kanan
◟	lengkuk sukuan bulat bawah kiri
◠	bulatan separuh bahagian atas
◡	bulatan separuh bahagian bawah
◢	segi tiga bawah kanan berisi
◣	segi tiga bawah kiri berisi
◤	segi tiga atas kiri berisi
◥	segi tiga atas kanan berisi
◦	bulet geronggang
◯	bulatan, bulatan kosong besar, gelang
◳	persegi geronggang dengan sukuan atas kanan
◷	bulatan geronggang dengan sukuan atas kanan
◿	segi tiga bawah kanan
♪	muzik, not, not perlapan, perlapan
⨧	tanda campur dengan subskrip dua
⨯	hasil darab silang vektor
⨼	hasil darab pedalaman
⩣	palang bawah berganda logik atau
⩽	tanda sama condong kurang daripada
⪍	tanda kurang daripada di atas tanda serupa
⪚	ketaksamaan, matematik, tanda sama garis berganda lebih besar daripada
⪺	tanda mendahului di atas tanda sama bukan hampir
♭	bemolle, flet, muzik, not
♯	diese, diesis, muzik, not, syap
😀	ketawa, muka, muka tersengih, sengih
😃	muka, muka tersengih dengan mata besar, mulut, senyum, terbuka
😄	gembira, haha, ketawa, lebar, mata, muka tersengih dan mata tersenyum, senyum, tersengih, tersenyum
😁	mata, muka, muka berseri-seri dengan mata tersenyum, sengih, senyum
😆	ketawa, muka, muka tersengih mata tertutup rapat, mulut, puas hati, senyum, terbuka
😅	muka, muka tersengih dan berpeluh, peluh, sejuk, senyum, terbuka
🤣	gelak, jenaka, kelakar, ketawa, ketawa tergolek-golek, lantai, lucu, muka, tergolek, tergolek-golek
😂	air mata, gembira, ketawa, muka, muka dengan air mata kegembiraan
🙂	gembira, muka, muka tersenyum sedikit, senyum
🙃	ketawa, muka, muka terbalik, terbalik
🫠	cair, cecair, hilang, lenyap, mencair, muka mencair
😉	kenyit mata, muka, muka kenyit mata
😊	mata, merah, muka, muka tersenyum dengan mata tersenyum, senyum
😇	cerita dongeng, diberkati, fantasi, gembira, halo, malaikat, muka, muka tersenyum dengan halo, senyum, suci
🥰	cinta, dilamun cinta, gembira, hati, jatuh cinta, muka, muka tersenyum dengan hati, romantik, tersenyum
😍	cinta, hati, mata, mata berbentuk hati, muka, muka tersenyum dengan mata berbentuk hati, percintaan, romantik, senyum, tersenyum
🤩	bintang, mata, muka, senyum lebar, seringai, terpesona, tersengih, teruja, wow
😘	cium, hati, malam, muka, muka melayangkan ciuman, percintaan, rindu
😗	cinta, cium, muka, muka memberi ciuman
☺️	garis luar, gembira, muka, muka tersenyum, santai, senyum
😚	cium, mata, muka, muka memberi ciuman dengan mata tertutup, tertutup
😙	cinta, cium, malam, mata, muka, muka memberi ciuman dengan mata tersenyum, senyum
🥲	air mata, bangga, gembira, lega, menangis, muka, muka tersenyum dengan airmata, sakit, suka, terharu, tersentuh
😋	lazat, menikmati, muka, muka menikmati makanan lazat, senyum, um, yum
😛	cantik, lidah, manis, muka, muka menjelir lidah, parti
😜	jenaka, kelakar, kenyit, lidah, lucu, mata, muka, muka mengenyit, muka menjelir lidah dan mengenyit mata
🤪	besar, kecil, mata, muka gila, muka gila-gila
😝	dahsyat, lidah, mata, muka, muka menjelir lidah dan mata tertutup rapat, rasa
🤑	muka, muka dengan wang dalam mulut, mulut, wang
🤗	memeluk, muka, muka memberi pelukan, peluk
🤭	alamak, menggeletar, muka dengan tangan atas mulut, oops, rahsia
🫢	kagum, kekaguman, malu, muka dengan mata terbuka dan tangan atas mulut, takut, terkejut, tidak percaya
🫣	intai, muka dengan mata mengintai, renung, tertawan
🤫	bisu, diam, muka suruh senyap, rahsia, senyap, shh, shhh, tutup mulut
🤔	apakah, berfikir, muka, muka sedang berfikir
🫡	askar, cerah, muka sedang menabik, ok, tabik, ya
🤐	muka, muka mulut berzip, mulut, rahsia, zip
🤨	apa, hmm, muka dengan bulu kening dinaikkan, muka dengan kening terangkat, pelik, pewaham, sangsi, tidak percaya, tidak setuju
😐️	air muka, bersahaja, muka, muka neutral, neutral
😑	dengki, muka, muka selamba, selamba, tiada emosi, tiada perasaan
😶	muka, muka tanpa mulut, mulut, senyap, serba salah, sulit, tenang
🫥	halimunan, introvert, lenyap, muka garis putus-putus, murung, sembunyi, tidak berminat
😶‍🌫	kepala di awan, muka dalam kabus, muka di awan, muka dikepung awan, pelupa, tidak sedar
😏	mata, menyeringai, muka, muka tersenyum sinis, tersenyum, tersenyum sinis
😒	..., bosan, cemburu, marah, muka, muka tidak puas hati, pelik, tidak puas hati
🙄	bosan, juling, mata, muka, muka dengan mata juling ke atas, tak suka
😬	doktor gigi, gigi, menyeringai, muka, muka menyeringai, senyum
😮‍💨	aduh, hembus, lega, letih, menghela nafas, merintih, muka, muka menghembuskan nafas, penat, siul, tarik nafas
🤥	bohong, muka, muka bohong, pinocchio
🫨	bergegar, bergetar, cemas, gelisah, gempa bumi, getaran, kejutan, muka, muka bergoyang, panik, terkejut
🙂‍↔	menggeleng, menggeleng kepala, tidak
🙂‍↕	mengangguk, mengangguk kepala, ya
😌	aman, lega, muka, muka lega, tenang, zen
😔	bosan, kecewa, mati, muka, muka bertafakur, sedih, tafakur
😪	letih, menangis, muka, muka mengantuk, sedih, tidur
🤤	meliur, muka, muka meliur
😴	bosan, katil, lena, letih, muka, muka tidur, selamat malam, tidur, zzz
🫩	kantuk, letih, muka dengan lingkaran gelap bawah mata, mula dengan lingkaran gelap bawah mata, penat
😷	doktor, doktor gigi, muka, muka memakai topeng perubatan, perubatan, sakit, sejuk, topeng
🤒	muka, muka dengan termometer, sakit, termometer, tidak sihat
🤕	cedera, kecederaan, muka, muka dengan kepala berbalut, pembalut
🤢	loya, mual, muka, muka mual, muntah, sakit
🤮	loya, muka muntah, muntah, sakit, tidak sihat
🤧	bersin, demam, muka, muka bersin, sakit
🥵	bermuka merah, berpeluh, muka sebak, panas, rasa demam, strok haba
🥶	beku, biru, dingin, gigi, isikel, luka beku, membeku, muka, muka dingin, pucat, sejuk
🥴	mabuk, mabuk sedikit, mata juling, mata tidak rata, muka, muka kepeningan, mulut beralun, mulut berombak, pening
😵	letih, mata, mati, muka, muka pening, penat, pening, pitam, sakit
😵‍💫	dipukau, keliru, masalah, muka dengan mata berpusar, oh Tuhan, pening, pusaran, senyum, wah
🤯	kepala, kepala meletup, letup, meletup, otak, terkejut, tidak percaya
🤠	koboi, muka, muka koboi, topi
🥳	bergembira, ceria, hari lahir, hon, keraian, muka, muka berparti, parti, perayaan, teruja, topi
🥸	cermin mata, hidung, kening, menyamar, misai, muka, muka samaran, orang, palsu, pengintip, penyamaran, perisik
😎	bergaya, berkaca mata hitam, hebat, kaca mata hitam, muka tersenyum, muka tersenyum berkaca mata hitam, santai, suria, tenang, terang
🤓	cerdik, gek, muka, muka nerda, nerda
🧐	berkelas, kaya, mewah, muka dengan cermin mata satu kanta, tersumbat
😕	bingung, kalut, keliru, maaf, muka, muka keliru, sedih, tidak pasti
🫤	kecewa, meh, muka dengan mulut serong, ragu-ragu, tidak pasti
😟	bimbang, muka, muka risau, risau, sedih
🙁	berkerut, muka, muka berkerut sedikit, sedih
☹️	berkerut, muka, muka berkerut, sedih
😮	muka, muka bermulut ternganga, mulut, simpati, ternganga
😯	aman, muka, muka terkejut, terkejut, terperanjat
😲	hairan, muka, muka terperanjat, sama sekali, terkejut
😳	bingung, memerah, muka, muka malu, tidak yakin
🥺	belas kasihan, kasihan, mata besar, memujuk, merayu, minta, muka, muka merayu, sayu, sedih, tolong
🥹	bangga, marah, menahan, menangis, muka menahan air mata, sebak, sedih
😦	berkerut, muka, muka berkerut dengan mulut ternganga, mulut, terbuka
😧	merana, muka, muka merana, sedih, tertekan
😨	bimbang, ketakutan, muka, muka ketakutan, seram, takut
😰	berpeluh sejuk, bimbang, biru, gementar, muka, muka gementar dan berpeluh sejuk, mulut, peluh, runsing, tergesa-gesa, ternganga
😥	huh, kecewa, lega, muka, muka kecewa namun lega
😢	air mata, menangis, muka, muka menangis, sedih
😭	air mata, menangis, muka, muka meraung, sedih
😱	gentar, ketakutan, mengunyah, menjerit, muka, muka menjerit ketakutan, seram, takut
😖	bingung, kecewa, marah, muka, muka bingung, sedih
😣	fokus, muka, muka tekun, sakit kepala, tekun
😞	kalah, kecewa, muka, muka kecewa, sedih
😓	muka, muka berpeluh sejuk, peluh, sejuk
😩	letih, muka, muka tak bermaya, penat, sedih, tak bermaya
😫	bersin, merinap, muka, muka letih, penat, rasa, sedih
🥱	apa-apalah, bosan, letih, mengantuk, menguap, muka menguap, penat, selamat malam, waktu tidur
😤	bangga, berang, berasap, geram, hidung, marah, menang, mengamuk, muka, muka bangga kemenangan, tidak gembira
😡	berang, marah, merah, merajuk, muka, muka mencebik, naik angin
😠	berang, kecewa, marah, muka, muka marah, tidak suka
🤬	geram, kutuk, marah, mengutuk, menyumpah, muka dengan simbol pada mulut
😈	cerita dongeng, fantasi, memujuk, muka, muka senyum bertanduk, muka tersenyum nakal, nakal, senyum, tanduk
👿	budak nakal, cerita dongeng, fantasi, muka, muka marah bertanduk, setan, syaitan, tanduk
💀	badan, cerita dongeng, kematian, mati, muka, raksasa, tengkorak
☠️	badan, kematian, muka, raksasa, tengkorak, tengkorak dan tulang bersilang, tulang bersilang
💩	komik, muka, najis, raksasa, selonggok najis, selonggok tahi, tahi, tinja
🤡	badut, muka, muka badut
👹	cerita dongeng, fantasi, gergasi, jepun, makhluk, muka, raksasa
👺	cerita dongeng, fantasi, goblin, jepun, makhluk, muka, raksasa
👻	boo, cerita dongeng, fantasi, hantu, makhluk, muka, raksasa
👽️	UFO, angkasa lepas, cerita dongeng, fantasi, makhluk, makhluk asing, muka, raksasa, ruang angkasa
👾	UFO, angkasa lepas, asing, cerita dongeng, fantasi, makhluk, muka, raksasa, raksasa angkasa lepas, ruang angkasa
🤖	muka, raksasa, robot
😺	haiwan, kucing, kucing tersengih, muka, mulut, senyum, terbuka, tersengih, tersenyum
😸	haiwan, kucing, kucing tersengih dengan mata tersenyum, mata, menyeringai, muka, sengih, senyum, tersengih
😹	air mata, gembira, haha, haiwan, kegembiraan, ketawa, kucing, kucing dengan air mata kegembiraan, muka
😻	bentuk hati, cinta, haiwan, hati, kucing, kucing tersenyum dengan mata berbentuk hati, mata, senyum, tersenyum
😼	ironis, kucing, muka, muka kucing tersenyum sinis, sinis
😽	cium, ciuman, haiwan, kucing, kucing melemparkan ciuman, mata, melemparkan, muka, tertutup
🙀	haiwan, kucing, letih, muka, muka kucing keletihan, oh!, terkejut
😿	air mata, haiwan, kucing, menangis, muka, muka kucing menangis, sedih
😾	haiwan, kucing, mencebik, muka, muka kucing mulut muncung
🙈	bukan, jahat, jangan lihat perkara tak baik, kejahatan, larang, lihat, monyet, monyet tak mahu terlibat, monyet tutup mata, muka, tegah, terlarang, tidak
🙉	dengar, dilarang, gerak isyarat, haiwan, jahat, monyet, monyet tutup telinga, muka, rahsia, telinga, tidak
🙊	bukan, jahat, jangan sebut perkara tak baik, larang, monyet, monyet tutup mulut, muka, sebut, tegah, terlarang, tidak, tidak bercakap yang jahat
💌	cinta, hati, mel, percintaan, surat, surat cinta
💘	anak panah, dewa asmara, hati, hati ditembusi anak panah, percintaan
💝	emosi, hati, hati dengan reben, reben, ulang tahun, valentine
💖	143, ILY, XOXO, baik, berkilauan, ciuman, emosi, hati, hati berkilauan, malam, pagi, teruja
💗	berdebar, cium, denyutan jantung, gementar, hati, hati membesar, membesar, muah, teruja
💓	berdegup, degupan jantung, denyut, hati, jantung berdegup
💞	143, berputar, comel, emosi, hati, hati berputar, ulang tahun
💕	cinta, cium, dua hati, emosi, hati, ulang tahun
💟	143, emosi, hati, hiasan, hiasan hati, pangkuan, putih, ungu
❣️	tanda, tanda baca, tanda seru, tanda seru hati
💔	hati, kecewa, patah, patah hati, pecah, pilu, retak, sedih
❤‍🔥	cinta, hati, hati membara, hati suci, hawa nafsu, membara, terbakar
❤‍🩹	baik, hati sembuh, lebih baik, lebih sihat, pulih, sembuh
❤️	cinta, emosi, hati, hati merah, merah
🩷	143, ILY, cinta, comel, emosi, hati, hati merah jambu, istimewa, manis, menawan, merah jambu, suka
🧡	143, hati, hati jingga, jingga
💛	cinta, emosi, hati, hati kuning, kuning
💚	143, ILY, cinta, emosi, hati hijau, hijau, jantung, romantik
💙	143, ILY, biru, cinta, emosi, hati biru, jantung, percintaan
🩵	biru muda, hati, hati biru muda, sian, teal
💜	cinta, emosi, hati, hati ungu, ungu
🤎	hati, hati perang, perang, sayang
🖤	hati, hati hitam, hitam, jahat, kejam
🩶	hati, hati kelabu, hati pucat, kelabu, perak, slat
🤍	143, hati, hati putih, putih
💋	bibir, cium, ciuman, hati, percintaan, tanda, tanda ciuman
💯	100, penuh, seratus, seratus mata, skor
💢	berang, komik, marah, simbol marah
💥	bom, komik, ledakan, meletup, pelanggaran
💫	bintang, komik, pening
💦	komik, peluh, percikan, titis peluh
💨	angin, awan, berlari, buang angin, komik, meluru
🕳️	lubang
💬	belon, dialog, gelembung, gelembung pertuturan, komik, ucapan
👁‍🗨	gelembung pertuturan, mata, mata dalam gelembung pertuturan, saksi
🗨️	dialog, gelembung pertuturan kiri, ucapan
🗯️	belon, berang, gelembung, gelembung marah kanan, marah
💭	awan, belon, cipta, fikir, gelembung, gelembung fikir, idea, kartun, khayal, komik, sedar
💤	komik, letih, malam, mengantuk, penat, selamat malam, tidur, zzz
👋	apa khabar, helo, jumpa lagi, lambai, lambai tangan, melambai, selamat tinggal, tangan
👋🏻	apa khabar, helo, jumpa lagi, lambai, lambai tangan: ton kulit cerah, melambai, selamat tinggal, tangan, ton kulit cerah
👋🏼	apa khabar, helo, jumpa lagi, lambai, lambai tangan: ton kulit sederhana cerah, melambai, selamat tinggal, tangan, ton kulit sederhana cerah
👋🏽	apa khabar, helo, jumpa lagi, lambai, lambai tangan: ton kulit sederhana, melambai, selamat tinggal, tangan, ton kulit sederhana
👋🏾	apa khabar, helo, jumpa lagi, lambai, lambai tangan: ton kulit sederhana gelap, melambai, selamat tinggal, tangan, ton kulit sederhana gelap
👋🏿	apa khabar, helo, jumpa lagi, lambai, lambai tangan: ton kulit gelap, melambai, selamat tinggal, tangan, ton kulit gelap
🤚	angkat, angkat belakang tapak tangan, belakang tapak tangan, tangan
🤚🏻	angkat, angkat belakang tapak tangan: ton kulit cerah, belakang tapak tangan, tangan, ton kulit cerah
🤚🏼	angkat, angkat belakang tapak tangan: ton kulit sederhana cerah, belakang tapak tangan, tangan, ton kulit sederhana cerah
