‾	föléhúzás, fölülhúzás, fölülvonás
↓	lefelé, lefelé néző nyíl, nyíl
↜	balra mutató hullámos nyíl
↝	jobbra mutató hullámos nyíl
↞	balra mutató duplafejű nyíl
↟	felfelé mutató duplafejű nyíl
↠	jobbra mutató duplafejű nyíl
↡	lefelé mutató duplafejű nyíl
↢	balra mutató nyíl tolla
↣	jobbra mutató nyíl tolla
↤	balra mutató talpas nyíl
↥	felfelé mutató talpas nyíl
↦	jobbra mutató talpas nyíl
↧	lefelé mutató talpas nyíl
↨	felfelé és lefelé mutató nyíl alapvonallal
↫	balra mutató nyíl hurokkal
↬	jobbra mutató nyíl hurokkal
↭	hullámos balra-jobbra nyíl
↯	lefelé mutató cikcakkos nyíl
↰	felfelé és balra mutató nyílhegy
↱	felfelé és jobbra mutató nyílhegy
↲	lefelé és balra mutató nyílhegy
↳	lefelé és jobbra mutató nyílhegy
↴	jobbra induló és lefelé mutató nyíl
↵	lefelé induló és balra mutató nyíl
↶	óramutató járásával ellentétes felső félköríves nyíl
↷	óramutató járásával megegyező felső félköríves nyíl
↸	északnyugat felé mutató és hosszú vonalig érő nyíl
↹	balra mutató és vonalig érő nyíl és alatta jobbra mutató és vonalig érő nyíl
↺	óramutató járásával ellentétes nyílt körkörös nyíl
↻	óramutató járásával megegyező nyílt körkörös nyíl
↼	balra mutató felső félhegyű nyíl
↽	balra mutató alsó félhegyű nyíl
↾	felfelé mutató jobb félhegyű nyíl
↿	felfelé mutató bal félhegyű nyíl
⇀	jobbra mutató felső félhegyű nyíl
⇁	jobbra mutató alsó félhegyű nyíl
⇂	lefelé mutató jobb félhegyű nyíl
⇃	lefelé mutató bal félhegyű nyíl
⇄	jobbra mutató nyíl balra mutató nyíl felett
⇅	felfelé, felfelé és lefelé mutató nyíl, lefelé, nyíl
⇆	bal, jobb, nyíl, oda-vissza nyíl
⇇	balra mutató páros nyíl
⇈	felfelé mutató páros nyíl
⇉	jobbra mutató páros nyíl
⇊	lefelé mutató páros nyíl
⇋	balra mutató félhegyű nyíl jobbra mutató félhegyű nyíl felett
⇌	jobbra mutató félhegyű nyíl balra mutató félhegyű nyíl felett
⇐	balra mutató kettős nyíl
⇍	balra mutató áthúzott kettős nyíl
⇑	felfelé mutató kettős nyíl
⇒	jobbra mutató kettős nyíl
⇏	jobbra mutató áthúzott kettős nyíl
⇓	lefelé mutató kettős nyíl
⇔	kettős balra-jobbra nyíl
⇎	áthúzott kettős balra-jobbra nyíl
⇖	északnyugat felé mutató kettős nyíl
⇗	északkelet felé mutató kettős nyíl
⇘	délkelet felé mutató kettős nyíl
⇙	délnyugat felé mutató kettős nyíl
⇚	balra mutató hármas nyíl
⇛	jobbra mutató hármas nyíl
⇜	balra mutató kígyózó nyíl
⇝	jobbra mutató kígyózó nyíl
⇞	felfelé mutató duplán áthúzott nyíl
⇟	lefelé mutató duplán áthúzott nyíl
⇠	balra mutató szaggatott nyíl
⇡	felfelé mutató szaggatott nyíl
⇢	jobbra mutató szaggatott nyíl
⇣	lefelé mutató szaggatott nyíl
⇤	balra és vonalig mutató nyíl
⇥	jobbra és vonalig mutató nyíl
⇦	balra mutató üres nyíl
⇧	felfelé mutató üres nyíl
⇨	jobbra mutató üres nyíl
⇩	lefelé mutató üres nyíl
⇪	felfelé mutató üres nyíl kiindulási vonallal
⇵	bal lefelé mutató és jobb felfelé mutató nyíl
∀	adott, bármely, mindnek, univerzális, univerzális kvantor, összes
∂	differenciál, parciális differenciál
∃	létezik
∅	halmazműveleti jel, matematika, üres halmaz
∆	háromszög, növekmény
∇	háromszög, nabla
∈	elem, eleme, halmaz, tagság, tartalmazza
∉	elem, nem eleme
∋	elem, fordított eleme
∎	bizonyítás vége, halmos, q.e.d., qed, sírkő
∏	logika, n-áris produktum, produktum
∑	matematika, n-áris szumma, szumma
+	plusz, pluszjel, összeadás
±	plusz-mínusz
÷	elosztás, obelus, osztás, osztásjel
×	sokszorozás, szorzás, szorzásjel, szorzó
<	címke, címke megnyitása, kisebb, kisebb, mint, mint
≮	egyenlőtlenség, matematika, mint, nem kisebb, nem kisebb, mint
=	egyenlő, ugyanannyi
≠	egyenlőtlenség, nem egyenlő
>	címke, címke lezárása, mint, nagyobb, nagyobb, mint
≯	egyenlőtlenség, matematika, mint, nem nagyobb, nem nagyobb, mint
¬	negáció, nem
|	függőleges vonal, sheffer-vonás, vonal, vonás
~	hullámvonal
−	kivonás, mínusz, mínuszjel
⁻	felső index, mínuszjel, mínuszjel felső indexben
∓	mínusz vagy plusz, plusz-mínusz
∕	osztási perjel, perjel, virgula, vonás
⁄	törtvonás, virgula, vonás
∗	aszteriszk műveleti jel, csillag
∘	gyűrű műveleti jel, kompozíció, műveleti jel
∙	listajel műveleti jel, műveleti jel
√	alapszám, gyök, gyökér, irracionális, négyzet, négyzetgyök
∝	arányos, arányosság
∞	végtelen, végtelen szimbólum
∟	derékszög, matematika
∠	hegyesszög, szög
∣	oszt, osztó
∥	párhuzamos
∧	ac, atque, hacsek, logikai és
∩	halmaz, metszet
∪	csoport, halmaz, unió
∫	integrál, számítás
∬	dupla integrál, számítás
∮	vonalintegrál
∴	logika, tehát
∵	logika, mert
∶	arány
∷	arányosság, arányzat
∼	hasonlóság műveleti jel, műveleti jel
∽	fordított hasonlóságjel, hasonlóságjel
∾	fordított s betű
≃	aszimptotikusan egyenlő, aszimptóta, matematika
≅	egyenlőség, izomorfizmus, megfelelés, megközelítőleg egyenlő
≈	approximáció, közelítés, közelítőleg egyenlő
≌	egyenlőség, matematika, mind egyenlő
≒	megközelítőleg egyezik a képpel
≖	egyenlőség, gyűrű egyenlőségjelben, matematika
≡	azonos, egyenlőségjel, egyező, tripla
≣	egyenlőség, matematika, szigorúan egyenlő
≤	egyenlő, egyenlőség, egyenlőtlenség, kisebb, kisebb vagy egyenlő, mint
≥	egyenlő, egyenlőség, egyenlőtlenség, mint, nagyobb, nagyobb vagy egyenlő
≦	egyenlőtlenség, kisebb jel egyenlőségjel felett, matematika
≧	egyenlőtlenség, matematika, nagyobb jel egyenlőségjel felett
≪	egyenlőtlenség, matematika, mint, sokkal kevesebb, sokkal kevesebb, mint
≫	egyenlőtlenség, matematika, mint, sokkal nagyobb, sokkal nagyobb, mint
≬	között
≳	egyenlőtlenség, matematika, nagyobb vagy azonos
≺	halmazműveleti jel, matematika, megelőzi
≻	halmazműveleti jel, követi, matematika
⊁	halmazműveleti jel, matematika, nem követi
⊂	halmaz, részhalmaz, valódi részhalmaza
⊃	halmazműveleti jel, matematika, szuperhalmaz
⊆	részhalmaz egyenlő
⊇	egyenlőség, matematika, szuperhalmaz egyenlő
⊕	plusz, pluszjel körben
⊖	erózió, mínuszjel körben, szimmetrikus differencia
⊗	produktum, szorzásjel körben, tenzor
⊘	matematika, osztásjel körben, osztásszerű
⊙	XNOR, műveleti jel, pont műveleti jel körben
⊚	gyűrű műveleti jel körben
⊛	aszteriszk, csillag, csillag műveleti jel körben, műveleti jel
⊞	bekeretezett pluszjel, hozzáadásszerű, matematika
⊟	bekeretezett mínuszjel, kivonásszerű, matematika
⊥	felfelé mutató merőleges, merőleges
⊮	nem kényszeríti
⊰	halmazműveleti jel, matematika, reláció szerint megelőzi
⊱	halmazműveleti jel, matematika, reláció szerint követi
⋭	csoportelmélet, matematika, nem tartalmazza normál alcsoport-megfelelőként
⊶	eredeti
⊹	hermitikus konjugált mátrix, matematika, négyzetes mátrix, önadjungált mátrix
⊿	derékszögű háromszög, matematika
⋁	diszjunkció, logika, n-áris logikai vagy, szétválás
⋂	halmazműveleti jel, keresztmetszet, matematika, n-áris keresztmetszet
⋃	halmazműveleti jel, matematika, n-áris unió, unió
⋅	műveleti jel, pont műveleti jel
⋆	csillag műveleti jel, műveleti jel
⋈	csokornyakkendő jel, kétoperandusú művelet, természetes kapcsolás
⋒	halmazműveleti jel, keresztmetszet, kettős keresztmetszet, matematika
⋘	egyenlőtlenség, matematika, mint, sokkal többel kevesebb, sokkal többel kevesebb, mint
⋙	egyenlőtlenség, matematika, mint, sokkal többel nagyobb, sokkal többel nagyobb, mint
⋮	függőleges hármaspont, hármaspont, matematika
⋯	hármaspont, középső vízszintes hármaspont
⋰	felfelé és jobbra mutató átlós hármaspont, hármaspont, matematika
⋱	hármaspont, lefelé és jobbra mutató átlós hármaspont, matematika
■	kitöltött négyzet
□	üres négyzet
▢	lekerekített élű üres négyzet
▣	kitöltött négyzetet tartalmazó üres négyzet
▤	vízszintesen kitöltött négyzet
▥	függőlegesen kitöltött négyzet
▦	merőleges keresztmintával kitöltött négyzet
▧	bal felső és jobb alsó irányban kitöltött négyzet
▨	jobb felső és bal alsó irányban kitöltött négyzet
▩	átlós keresztmintával kitöltött négyzet
▬	kitöltött téglalap
▭	üres téglalap
▮	kitöltött álló téglalap
▰	kitöltött paralelogramma
▲	felfelé, háromszög, kitöltött, kitöltött felfelé mutató háromszög, nyíl
△	felfelé mutató üres háromszög
▴	felfelé mutató kitöltött háromszög, kicsi, kicsi, felfelé mutató kitöltött háromszög
▵	felfelé mutató üres háromszög, kicsi, kicsi, felfelé mutató üres háromszög
▷	jobbra mutató üres háromszög
▸	jobbra mutató kitöltött háromszög, kicsi, kicsi, jobbra mutató kitöltött háromszög
▹	jobbra mutató üres háromszög, kicsi, kicsi, jobbra mutató üres háromszög
►	jobbra néző kitöltött mutató
▻	jobbra néző üres mutató
▼	háromszög, kitöltött, kitöltött lefelé mutató háromszög, lefelé, nyíl
▽	lefelé mutató üres háromszög
▾	kicsi, kicsi, lefelé mutató kitöltött háromszög, lefelé mutató kitöltött háromszög
▿	kicsi, kicsi, lefelé mutató üres háromszög, lefelé mutató üres háromszög
◁	balra mutató üres háromszög
◂	balra mutató kitöltött háromszög, kicsi, kicsi, balra mutató kitöltött háromszög
◃	balra mutató üres háromszög, kicsi, kicsi, balra mutató üres háromszög
◄	balra néző kitöltött mutató
◅	balra néző üres mutató
◆	kitöltött rombusz
◇	üres rombusz
◈	kitöltött rombusz üres rombuszban
◉	bekarikázott pont, halszem, kitöltött koncentrikus körök, kitöltött kör üres körben
◊	ferde négyszög, gyémánt, rombusz
○	gyűrű, kör, üres kör
◌	pontozott kör
◍	függőlegesen kitöltött kör
◎	cél, dupla kör, koncentrikus körök
●	kitöltött kör, kör
◐	bal felén kitöltött kör
◑	jobb felén kitöltött kör
◒	alsó felén kitöltött kör
◓	felső felén kitöltött kör
◔	jobb felső negyedében kitöltött kör
◕	bal felső negyedében üres kör
◖	bal oldalán kitöltött kör
◗	jobb oldalán kitöltött kör
◘	inverz listajel
◙	fordított üres kör, üres kör kitöltött négyzetben
◜	bal felső negyedes körív
◝	jobb felső negyedes körív
◞	jobb alsó negyedes körív
◟	bal alsó negyedes körív
◠	felső félkör
◡	alsó félkör
◢	jobb alsó kitöltött háromszög
◣	bal alsó kitöltött háromszög
◤	bal felső kitöltött háromszög
◥	jobb felső kitöltött háromszög
◦	üres listajel
◯	gyűrű, kör, nagy üres kör
◳	üres négyzet jobb felső negyeddel
◷	üres kör jobb felső negyeddel
◿	jobb alsó háromszög
♪	hangjegy, nyolcad, zene
⨧	pluszjel alsó indexben kettessel
⨯	vektoriális keresztszorzat
⨼	belső szorzat
⩣	logikai vagy kettős alulvonás
⩽	kisebb jel döntött egyenlőségjellel
⪍	kisebb jel hasonlóság- és egyenlőségjel felett
⪚	egyenlőtlenség, kétvonalas egyenlőségjel nagyobb jellel, matematika
⪺	követi jel alatta nem majdnem egyenlő jellel
♭	bemolle, bé, hangjegy, zene
♯	diesis, hangjegy, kereszt, zene
😀	arc, boldog, fogak, nevetés, nevető arc, szmájli, vidám
😃	arc, boldog, fogak, mosoly, nagyra nyílt szemmel mosolygó arc, nevet, nevetés, nyitott száj, nyitott szájjal mosolygó arc, szmájli, vidámság
😄	arc, boldog, fogak, mosoly, nevet, nevető arc mosolygó szemmel, nyitott száj, nyitott szájjal mosolygó arc mosolygó szemmel, szem, szmájli, száj, vidám szem, örül
😁	arc, boldog, fogak, mosoly, mosolygó szemmel nevető arc, nevet, szem, szmájli, teli szájjal nevet
😆	arc, boldog, haha, kacag, nevetés, nyitott száj, nyitott szájjal és lehunyt szemmel mosolygó arc, szmájli
😅	arc, hideg verejték, ideges, izgatott, megúsztam, mosoly, nevető arc verejtékkel, nyitott száj, nyitott szájjal mosolygó arc hideg verejtékkel, stressz, szmájli
🤣	arc, boldog, fej, gurul, gurul a nevetéstől, kicsordul a könnye a nevetéstől, könny, nevet, nevetséges, nevetés, szmájli, vicces
😂	arc, arc örömkönnyekkel, haha, könnyek, nevetés, röhög, szmájli, sírva nevet, sírva nevetős, vicces, öröm
🙂	arc, boldog, finoman mosolygó arc, mosoly, szmájli
🙃	arc, arc fejjel lefelé, fejjel lefelé, fejjel lefelé fordult arc, szmájli
🫠	elolvadó arc, eloszlik, eltűnik, folyékony, olvad
😉	arc, flörtöl, húz, kacsintás, kacsintó arc, szmájli, ugrat
😊	boldog, elpirul, elvörösödik, elégdett, mosoly, mosolygó arc mosolygó szemmel, szmájli, vidám szemek, örül
😇	angyal, arc, békés, dicsfény, glória, jó, jóságos, lélek, mese, mosoly, mosolygó arc glóriával, szmájli, áldott, ártatlanság
🥰	arc, három szív, i love you, imád, imádat, mosoly, mosolygó arc szívekkel, rajong, románc, szerelem, szerelmes, szeret, szeretlek, szív
😍	arc, mosoly, mosolygó arc szív alakú szemmel, szem, szerelem, szerelmes, szmájli, szívek
🤩	arc, azta, csillag, csillagos szemű, csillagszemű, elbűvölt, elragadtatott, fülig ér a szája, hű, izgatott, szemek, szmájli, vigyorgó, vigyorog
😘	arc, csók, csókot dobó arc, flörtöl, puszi, szeret, szeretlek, szmájli, szív
😗	arc, csók, csókoló arc, puszi, szmájli
☺️	arc, boldog, mosoly, mosolygó arc, nyugodt, szmájli, örül
😚	arc, behunyt szem, csukott szem, csók, csókoló arc lehunyt szemmel, csókot dob, lehunyt szem, puszi, puszit dob, szmájli
😙	arc, csók, csókoló arc mosolygó szemmel, puszi, szem, szmájli
🥲	arc, büszke, hálás, könny, meghatott, megkönnyebbült, mosolygó arc könnycseppel, mosolyog
😋	arc, fini, finom, finom ételt élvező arc, jóízű, megnyalja a száját utána, mosoly, nyami, nyelv, szmájli
😛	arc, arc kinyújtott nyelvvel, csipkelődik, csúfolódik, fantasztikus, huncutkodik, király, kiöltött nyelv, nyelv, szmájli
😜	arc, arc kinyújtott nyelvvel és kacsintó szemmel, csipkelődik, csúfolódik, huncutkodik, kacsintás, kiöltött nyelv, mosoly, nyelv, szem, szmájli, vicc, viccelődik
🤪	bolond, dilis, dinnye, hülye, kicsi, lökött, nagy, szem, szmájli, tökfej, őrült arc, őrült fej, őrült szemek
😝	arc, arc kilógó nyelvvel és erősen behunyt szemmel, borzasztó, kiöltött nyelv, lehunyt szem, szmájli, szörnyű íz
🤑	arc, arc dollárjelekkel, dollár, fizetett, pénz, szmájli, száj
🤗	arc, kezek, szmájli, ölelés
🤭	arc szájra tett kézzel, hirtelen rájön, hirtelen ráébred, hoppá, kuncog, kéz a száj előtt arc, nevet, röhög, rötyög, szmájli, titok, vihog
🫢	arc, csend, elakadt lélegzet, előtt, félelem, hitetlenkedés, kéz, meglepetés, nyitott szemű, száját takaró arc, nyitva, omg, sokk, szemek, száj, zavar, áhítat, ámulat
🫣	bámul, kukucskál, kémlelő szemű arc, megbabonázott, pillant
🤫	arc, csend, csitt, csitító arc, csönd, csöndesen, csöndre int, elhallgattat, halkan, maradj csendben, pszt, szmájli
🤔	arc, elgondolkodó, gondolkodó arc, gondolkozik, megfontol, szmájli, tűnődő
🫡	derűs, igen, katonák, oké, tisztelgés, tisztelgő arc
🤐	arc, arc összecipzározott szájjal, cipzár, nem mond el, szmájli, száj, titok
🤨	arc felvont szemöldökkel, bizalmatlan, felhúzott szemöldökű arc, gyanakvó, helytelenít, hitetlen, hitetlenkedő, hmm, kételkedő, kétkedő, meglepett, mit, nem bízik, nem hiszi el, szkeptikus, szmájli, tessék
😐️	arc, flegma, kifejezéstelen, közömbös, meh, nem nevet, nem vicces, pókerarc, rezzenéstelen, semleges, semleges arc, szmájli, unott
😑	arc, flegma, kifejezéstelen, kifejezéstelen arc, meh, semleges, szmájli, érzéketlen
😶	arc, csendes, csöndes, kellemetlen, kifejezéstelen, nincs szája, néma, szmájli, száj nélküli arc
🫥	elrejtőzik, eltűnik, introvertált, levert, láthatatlan, pontozott vonalas arc
😶‍🌫	arc a felhőben, arc a ködben, elgondolkodó, fej a felhők között
😏	arc, gyanakvó, szmájli, viccelsz, vigyor, önelégült, önelégült vigyor
😒	arc, boldogtalan, mérges, szmájli, szomorú, unatkozik, unott, unott arc
🙄	arc, bosszús, forgatja a szemeit, forgó szemek, ideges, mérges, szemforgatás, szemét forgató arc, szmájli
😬	arc, fogorvos, grimasz, grimaszoló arc, kellemetlen, kínos, mosoly, mosolyog, szmájli
😮‍💨	arc, fáradt, füst, fütty, kifúj, kilégzés, kimerült, levegőt kifújó arc, megkönnyebbülés, suttogás, sóhaj, sóhajtás, zihálás
🤥	Pinokkió, arc, hazudik, hazudó, hazudó arc, hazudó fej, hazudós, hazug, hosszú orr, orr, pinokkió, szmájli
🫨	arc, földrengés, meglepődés, rezeg, rázkódó, rázkódó arc
🙂‍↔	nem, fejrázás, vízszintesen rázkódó arc
🙂‍↕	bólintás, igen, függőlegesen rázkódó arc
😌	arc, béke, békés, megkönnyebbült, megkönnyebbült arc, nyugodt, szmájli
😔	arc, borzasztó, csalódott, elgondolkodó, elgondolkodó arc, elkeseredett, rossz, szmájli, szomorú, tűnődő, unott, veszít
😪	arc, fáradt, szmájli, szomorú, sír, álmos, álmos arc, ásít
🤤	arc, fej, folyik a nyála, nyál, nyáladzó, nyáladzó fej, szmájli
😴	alszik, alvás, alvó arc, arc, fáradt, jó éjszakát, jó éjt, lefekvés, lefekvés ideje, szmájli, szundi, zzz, álmos
🫩	arc, arc táskás szemekkel, elnyűtt, fáradt, kifáradt, kimerült, késő, szemek, táskás, unatkozik, álmos
😷	arc, arc egészségügyi maszkkal, beteg, betegség, egészségügyi maszk, gyógyszer, maszk, orvos, szmájli
🤒	arc, arc lázmérővel, beteg, láza van, lázas, lázmérő, szmájli
🤕	arc, arc bekötött fejjel, beütötte a fejét, fej, fáj, kötés, szmájli, sérülés
🤢	arc, beteg, fej, hányingere van, hányás, rosszul van, szmájli, émelygő, émelygő arc
🤮	arc, beteg, hány, hányó arc, kidobja a taccsot, köp, rosszul van, szmájli, öklendezik
🤧	arc, beteg, fej, fújja az orrát, hapci, meg van fázva, megfázott, szmájli, tüsszent, tüsszentő, tüsszentő arc
🥵	arc, forró arc, forróság, haldoklik, hőguta, hőség, izzad, izzadás, izzadó, liheg, lázas, megsül, nyelv, piros arc, vörös arcú
🥶	arc, befagy, didereg, elkékült arc, fagyos arc, fagyoskodik, fagyás, fázik, hideg, hűvös, jégcsap, jégcsapok, jéghideg, kék, megfagy, mínusz, vacog
🥴	arc, becsípett, ferde szemek, hullámvonalas száj, ittas, kapatos, keresztbeálló szemek, kába, kábult, részeg, részeges arc, spicces, szédül
😵	arc, beteg, fáradt, szmájli, szédülés, szédülő arc
😵‍💫	arc, baj, hipnotizált, húha, omg, spirál, spirálszemű, spirálszemű arc, szédül, szédülő, zavar, zavarodott
🤯	arc, egyáltalán nem, elképesztő, felfoghatatlan, felrobban, felrobbanó fej, megdöbbent, semmiképpen, sokkolt, szmájli
🤠	arc, boldog, cowboy, cowboy kalapos fej, cowboykalapos fej, fej, kalap, nevet, szmájli
🥳	arc, buli, bulizó arc, csákó, duda, hurrá, izgatott, kalap, partiarc, party, születésnap, szülinap, ünnep, ünneplés
🥸	arc, bajusz, inkognító, kém, orr, szemöldök, szemüveg, álbajusz, álca, álcázott arc
😎	arc, laza, menő, mosoly, mosolygó arc napszemüveggel, nap, napszemüveg, nyár, strand, szmájli
🤓	arc, gépmániás, kocka, kockaarc
🧐	arc félszemüveggel, arc monoklival, gazdag, kifinomult, klasszikus, mérges, szmájli, tehetős, vagyonos
😕	arc, bizonytalan, nem tudom, sajnálom, szmájli, szomorú, zavart, zavart arc
🫤	bizonytalan, csalódott, kétkedő, meh, átlós szájú arc
😟	aggodalmas, aggódik, aggódó arc, arc, ideges, izgul, stresszes, szmájli, szomorú
🙁	arc, kissé komor arc, rosszallás, szmájli, szomorú
☹️	arc, rosszallás, rosszalló arc, szmájli, szomorú
😮	arc, arc nyitott szájjal, csodálkozik, csodálkozás, elképed, hihetetlen, megdöbben, meglepett, meglepődik, nyitott száj, szmájli, tátva marad a szája, ó
😯	arc, döbbent, elképedt, meglepett, meglepődött, meglepődött arc, szmájli, tátott száj, tátva maradt a szája
😲	arc, csodálkozó, döbbent, elcsodálkozott, elképedt, lenyűgözött, lenyűgözött arc, megdöbbent, szmájli
😳	arc, elképedt, elpirul, elpirult arc, elvörösödik, hitetlen, kellemetlen, kidülledt szemek, kipirult, kételkedő, kétkedő, melege van, mi, okol, szmájli, zavarban van
🥺	arc, bociszemek, esedező arc, kegyelem, kerek szem, kiskutyaszemek, kérlek, kérlek szépen, kérlelő, könyörgős, könyörög, lécci, légyszi, megszán, miért ne, szomorú, sóvárog
🥹	büszke, dühös, ellenáll, könnyeivel küszködő arc, szomorú, sír, örömteli
😦	arc, ijedt, ijesztő, meglepett, nyitott száj, rosszallás, rosszalló arc nyitott szájjal, szmájli
😧	arc, elgyötört, elkínzott, elkínzott arc, fél, ijedt, riadt, rémült, szmájli
😨	aggódik, arc, félelem, félelemmel teli arc, ijedt, rémült, szmájli
😰	aggódó arc nyitott szájjal és verejtékkel, arc, arc nyitott szájjal és hideg verejtékkel, hideg verejték, ideges, izzad, kiveri a víz, kék, nyitott száj, rohanás, szmájli
😥	aggódik, arc, boldogtalan, csalódott, csalódott, de megkönnyebbült arc, de megkönnyebbült arc, huhh, izzadság, megkönnyebbült, szmájli, szomorú
😢	arc, boldogtalan, hiányzik, könnycsepp, szmájli, szomorúság, sírás, síró arc
😭	arc, boldogtalan, könnyek, szmájli, szomorúság, sír, sírás, zokogás, zokogó arc
😱	Munch, arc, félelem, félelemtől sikoltó arc, ijedt, ijesztő, munch, rémület, sikolt, sikoly, szmájli
😖	arc, frusztrált, mérges, szmájli, szomorú, zavart, összezavarodott, összezavarodott arc
😣	arc, fejfájás, fáj a feje, koncentrál, szmájli, állhatatos arc, állhatatosság
😞	arc, boldogtalan, borzasztó, csalódott, csalódott arc, lehangolt, levert, megbukik, nem sikerül, okol, szmájli, szomorú, veszít
😓	arc, arc hideg verejtékkel, hideg verejték, ideges, izzad, izzadtság, kiveri a víz, lehangolt arc verejtékkel, szmájli, szomorú, verejték
😩	arc, boldogtalan, fáradt, kimerült, kimerült arc, megviselt, szmájli, szomorú, síró, sírós, éhes
😫	arc, fáradt arc, fáradtság, szmájli, szomorú, tüsszent
🥱	arc, fáradt, álmos, ásít, ásítás, ásító, ásító arc
😤	arc, dühös, győzelem, gőz, mérges, orrából gőzt fújtató arc, siker, szmájli
😡	arc, duzzog, duzzogó arc, dühös, ideges, mérges, szmájli, vörös
😠	arc, dühös, mérges, mérges arc, szmájli
🤬	arc jelekkel a száján, bosszús, cenzúra, csúnyán beszél, dühös, elátkoz, gyalázkodik, káromkodik, káromkodás, mérges, szimbólumok a szájon arc, szitkozódik, szmájli
😈	arc, fantasy, gonosz, mese, mosoly, mosolygó arc szarvakkal, rosszindulatú, szarvak, ördög
👿	arc, démon, fantasy, gonosz, mese, mérges arc szarvakkal, rossz, szarvak, szmájli, ördög
💀	csont, halott, halál, halálfej, koponya, szörny
