‾	bară deasupra, bară superioară, linie deasupra, linie superioară, supralinie
😆	deschisă, față, față zâmbitoare cu gura deschisă și ochi strâns închiși, față încântată cu ochii întredeschiși, fericit, gură, haha, hahaha, lol, rofl, râde, râset, satisfacție, zâmbet, zâmbitor
😅	dezamăgire, dezamăgit, emoționant, entuziasmat, față, față zâmbitoare cu gura deschisă și sudoare rece, față încântată cu sudoare rece, gură deschisă, rece, stres, stresat, sudoare, transpirație, zâmbet
🤣	amuzant, față, haha, hehe, jos, lacrimi, leșin, lmao, lmfao, lol, lololol, mor de râs, mortal, mă tăvălesc, pe jos de râs, roflmao, râde, râs, râset, tăvălindu-se pe jos de râs
😂	amuzant, bucurie, față, față cu lacrimi de bucurie, fericire, haha, hazliu, hehe, hilar, lacrimi, leșin, lmao, lmfao, lololol, mortal, plâns, roflmao, râde, râs cu lacrimi, râset, veselie
🙂	față, față ușor zâmbitoare, fericire, fericit, zâmbet, zâmbet discret, zâmbitor
🙃	față, față cu susul în jos, haha, răsturnat, zâmbet, întors
🫠	caniculă, căldură, dispariție, dizolvare, față care se topește, fierbinte, lichid, topire
😉	față, față care face cu ochiul, flirt, glumeț, mișto, miștocar, player, semn cu ochiul, sexy, tachinare, șmecher
😊	bucuros, față zâmbitoare cu ochi zâmbitori, mulțumit, ochi, staisfacție, zâmbet, îmbujorare, îmbujorat
😇	angelic, aureolă, aură, basm, binecuvântat, fantezie, față, față zâmbitoare cu aură, fericire, fericit, halou, inocent, inocență, pașnic, poveste, zâmbet, zâmbitor, înger, îngeraș
🥰	adorație, dragoste, față, față zâmbitoare cu 3 inimi, față zâmbitoare cu inimioare, inimi zâmbitoare, inimioare, inimă, iubire, pasiune, poveste de dragoste, romantic, te iubesc, tronc, zâmbet, îndrăgostire, îndrăgostit, îndrăgostită
😍	dragoste, drăgăstos, față, față zâmbitoare cu inimioare la ochi, inimioare, inimă, iubi, iubire, ochi, pupici, romantic, sentiment, sărut, xoxo, zâmbet, îndrăgostit
🤩	față, față cu steluțe la ochi, ochi, ochi steluță, stea, stele, steluțe, super, uau, wow, zâmbet, zâmbește, încântare, încântată
😘	adorabil, dor, dor de tine, dragoste, față, față care trimite un pupic, față pupăcioasă, flirt, inimioară, inimă, iubi, iubire, pupic, pupici, romantic, sărut, te iubesc, te pup
😗	dragoste, față, față pupăcioasă, flirt, iubire, pupic, pupici, sărut, te iubesc, xoxo, întâlnire
☺️	contur, față, față zâmbitoare, fericire, fericit, relaxare, relaxat, zâmbet, zâmbitor, îmbujorare
😚	față, față pupăcioasă cu ochi închiși, flirt, iubi, ochi închiși, pupic, pupici, te iubesc, xoxo, îmbujorat, întâlnire
😙	dragoste, față, față pupăcioasă cu ochi zâmbitori, flirt, iubire, noapte, ochi, ochi închiși, pupic, pupici, sărut, zâmbet, întâlnire
🥲	atins, bucurie, durere, emoție, față zâmbind cu lacrimă, fericire, lacrimă, mândrie, mândru, recunoscător, recunoștință, sentiment, smiley, ușurat, zâmbet, zâmbind ușor
😋	apetit, delicios, față, față savurând mâncare delicioasă, foame, gustos, mânca, mâncare, plăcere, savura, savuros, savurând, se linge pe buze, yum, zâmbet, înfometat
😛	drăguț, față, față cu limba scoasă, limbă, limbă scoasă, mișto, petrecere, super, tare
😜	aiurea, aiurit, amuzant, banc, ciudat, distracție, face cu ochiul, față, față cu limba scoasă, făcând cu ochiul, făcând cu ochiul, glumă, limbă, limbă scoasă, mișto, nebun, nebunatic, ochi, petrecere, semn cu ochiul
🤪	ciudat, dubios, dus, față de nebun, față nebună, mare, mic, nebun, ochi, trăsnit, zurliu
😝	dezgustător, față, față cu limba scoasă și ochi închiși strâns, față cu limba scoasă și ochii întredeschiși, gust, gusta, limbă, mda, mă rog, nasol, nașpa, neplăcere, ochi, omg, oribil, scârbos, să zicem
🤑	bani, dolar, față, față încântată de bani, gură, plătit
🤗	brațe, față, față cu gest de îmbrățișare, față cu îmbrățișare, mâini, strânge în brațe, îmbrățișare
🤭	chicoteală, chicoti, față, față cu mâna pe gură, față cu mâna peste gură, oops, râs, secret, surprindere, surprins, ups, șoc
🫢	față cu ochii deschiși și palma la gură, față șocată, sperietură, stupefacție, stânjeneală, surpriză, uimire, uluire
🫣	captivat, cu coada ochiului, față care trage cu ochiul, față stânjenită, fermecat, jena, pe furiș, stânjeni, trage cu ochiul, zgâi
🤫	față, față care șâșâie, liniște, taci din gură, șșt, șșșt
🤔	cugetare, față, față gânditoare, gând, gândire, gânduri, hmm, mirare, mirat, reflecție
🫡	OK, da, doamnă, domnule, față care salută, noroc, respect, salut, să trăiți
🤐	buze, față, față cu fermoar la buze, fermoar, gura mică, gură, nu zic nimic, secret, tăcere, îmi țin gura, ține gura
🤨	bănuială, dezaprobare, față cu sprânceana ridicată, față cu sprânceană ridicată, greu de crezut, neîncredere, sceptic, surprins
😐️	aiurea, direct, expresie goală, față, față neutră, fără expresie, gelos, invidie, invidios, mască, mda, mă rog, nasol, neimpresionat, neplăcut, neutru, rău, serios, stânjenitor, să zicem
😑	aiurea, doamne ferește, expresie goală, față, față fără expresie, fără expresie, gelos, gelozie, indiferență, inexpresiv, invidie, invidios, mda, mort, mă rog, nasol, nefericit, neplăcut, stânjenitor, să zicem
😶	aiurea, față, față fără gură, fără cuvinte, fără expresie, fără gură, gură, incomod, inexpresiv, liniște, mască, mut, neplăcut, secret, stânjenitor, tăcut
🫥	ascuns, depresie, dispariție, față cu contur punctat, față introvertită, introvert, invizibil
😶‍🌫	absent, capul în nori, față în ceață, față în nori
😏	afectare, amic, arogant, boss, față, față cu zâmbet superior, fin, flirt, glumă, mișto, miștocar, rânjet, subtil, superioritate, suspicios, tovarăș, tupeu, zâmbet, încrezut, șic, șmecher
😒	aiurea, ce naiba, dubios, enervat, față, față morocănoasă, gelos, gelozie, invidie, invidios, mda, morocănoasă, mă rog, nefericire, nefericit, nemulțumire, neplăcere, nervi, nervos, plictiseală, plictisit
🙄	dă ochii peste cap, față, față care dă ochii peste cap, față cu ochii peste cap, mda, mă rog, ochi, ochi peste cap, ochii peste cap, peste cap, plictiseală, să zicem, tăcere, ugh
😬	aiurea, dentist, față, față cu grimasă, grimasă, incomod, nasol, nașpa, neplăcut, nimic, stres, stânjenitor, zâmbet
😮‍💨	emoție, epuizat, expirare, față care expiră, fluierat, oftat, respirație, răsuflare, smiley, suflu, ușurare, șoptit
🤥	fața mincinoasă, față, mincinos, minciună, pinocchio
🫨	cutremur, față, față zgâlțâită, surpriză, vibrație, zgâlțâit, șoc
🙂‍↔	cap care se clatină pe orizontală, cap clătinându-se orizontal, clătinat din cap, dând din cap a negație, negativ, nu
🙂‍↕	afirmativ, cap care se clatină pe verticală, cap clătinându-se vertical, clătinat din cap, da, dând din cap afirmativ
😌	calm, față, față ușurată, pace, pașnic, relaxare, relaxat, ușurare, zen
😔	demoralizat, deprimat, dezamăgit, față, față gânditoare, față îngândurată, gânditor, melancolic, nasol, pe gânduri, pierdut, plictisit, trist, îngrozitor, îngândurat
😪	adormit, doarme, față, față somnoroasă, obosit, plânge, plâns, plânset, somn, somnoros, trist
🤤	față, față care salivează, salivare, salivează, salivă
😴	culcare, căscat, față, față adormită, mda, mă rog, noapte bună, oboseală, obosit, ora de culcare, pat, plictiseală, sforăit, somn, somn ușor, somnic, somnoros, să zicem, zzzz
🫩	adormit, epuizare, epuizat, extenuare, extenuat, față cu cearcăne, față cu pungi sub ochi, oboseală, obosit
😷	bolnav, dentist, dermatolog, doctor, dr, față, față cu mască medicală, mască, medic, medicină, microbi, răceală, răcit, viruși
🤒	boală, bolnav, față, față cu termometru, gură, răcit, termometru
🤕	au, bandaj, cap, cap bandajat, durere, față, față bandajată la cap, față cu capul bandajat, față înfășurată, rană, tifon
🤢	bolnav, dezgustător, față, față îngrețoșată, greață, lehamite, mi-e greață, mi-e rău, scârbos, vomă, îmi vine rău
🤮	față, față care vomită, față vomitând, greață, scârbos, vomă
🤧	boală, bolnav, față, față care strănută, febră, gripă, noroc, răceală, strănut, sănătate
🥵	cu limba scoasă, căldură, față, față fierbinte, față roșie, față înfierbântată, febril, febră, fierbinte, gâfâit, insolație, transpirat, transpirație
🥶	albastru, albăstriu, degerat, degerături, degerătură, față, față albastră, față înghețată, frig, ger, rece, răceală, sub zero grade, tremurat, îngheț, înghețat, țurțuri
🥴	afumat, amețit, beat, bețiv, buimac, cherchelit, dus, ebrietate, față cherchelită, gură strâmbă, luat, mahmur, ochi tulburi
😵	amețeală, amețit, bolnav, față, față amețită, moarte, mort, obosit, ochi în formă de x, rupt, rău, sentiment
😵‍💫	amețeală, amețit, emoție, față cu ochi în spirală, hipnotizat, omg, problemă, smiley, spirală, uau
🤯	bubuie mintea, bum, cap care explodează, exploda, explozie, mirare, mirat, nu se poate, șoc, șocat
🤠	cowboy, cowgirl, față, față cu pălărie de cowboy, pălărie, văcar, văcăriță
🥳	aniversare, celebrare, coif, distracție, entuziasmat, față de petrecere, față petrecăreață, festiv, la mulți ani, lma, party, petrecere, serba, serbare, sărbătoare, sărbătorire, trompetă, ura, vuvuzelă, zi de naștere
🥸	deghizare, față, față deghizată, incognito, mustață, nas, ochelari, persoană, smiley, spion, sprâncene
😎	boss, bro, chill, cool, față, față zâmbitoare cu ochelari de soare, mișto, mortal, ochelari, ochelari de soare, relaxare, relaxat, senin, soare, stil, stilat, strălucitor, super, tare, zâmbet, însorit
🤓	deștept, expert, față, față de tocilar, inteligent, ochelari, superdotat, tocilar
🧐	aere, bani, bogat, cu clasă, elegant, față cu monoclu, fițe, fițos, monoclu, înțepat
😕	confuz, confuzie, derutat, derută, față, față confuză, habar n-am, hm, neînțelegere, nu știu, nush, trist, tristețe
🫤	confuz, confuzie, dezamăgire, dezamăgit, dubii, față cu gura pe diagonală, frustrare, meh, nesigur, nesiguranță, sceptic
😟	emoții, emoționat, față, față îngrijorată, grijă, mirat, neliniște, neliniștit, stres, stresat, supărare, supărat, surprins, trist, tristețe, îngrijorare, îngrijorat
🙁	față, față ușor tristă, față ușor încruntată, nehotărâre, supărare, supărat, trist, tristețe, încruntare, încruntat
☹️	dezamăgire, dezamăgit, față, față tristă, față încruntată, supărare, supărat, trist, tristețe, încruntare, încruntat
😮	am uitat, ce, doamne ferește, față, față cu gura deschisă, gură deschisă, imposibil, nu cred, nu pot să cred, nu se poate, omg, poftim, surprins, surpriză, uau, uimire, uitat, wow, șocat
😯	amuțit, epic, față, față amuțită, gură deschisă, omg, surprins, surpriză, tăcere, uau, uimit, wow, împietrit, încremenit, înmărmurit, șocat
😲	față, față uimită, fugi de aici, mirare, mirat, nu se poate, omfg, omg, surprins, uimire, uimit, uluire, wtf, șoc, șocat
😳	buimac, cald, caniculă, ce, căldură, doamne ferește, față, față îmbujorată, impresionat, jenat, nu-mi vine să cred, rușinat, rușine, stânjenit, stânjenitor, uau, wow, îmbujorat, îmbujorată
🥺	de ce nu, față, față miloagă, față rugătoare, implor, implora, implorare, milă, ochi de cățel, ochi de cățeluș, ochi mari, ruga, rugă, te rog, te rog din suflet, te rog frumos, trist, tristețe
🥹	față cu lacrimi în ochi, lacrimi în ochi, mândrie, plâns, recunoștință, rezistență, sentimente, supărare, tristețe
😦	ce, față, față tristă cu gura deschisă, față încruntată cu gura deschisă, gură deschisă, panicat, panică, poftim, spaimă, speriat, surprins, surpriză, uau, wow, încruntare, încruntat, întristare
😧	am uitat, angoasă, ce, față, față angoasată, nefericit, poftim, spaimă, speriat, stres, stresat, suferință, surprins, surpriză, uau, wow, înspăimântat
😨	față, față înfricoșată, frică, spaimă, speriat, sperios, teamă, vinovăție, vină, îngrijorare, îngrijorat, înspăimântat
😰	albastru, aoleo, doamne, față, față cu gura deschisă și sudoare rece, față neliniștită cu sudoare rece, grăbit, gură deschisă, panicat, rece, speriat, stres, sudoare rece, transpirație, trist, vai
😥	complicat, dar ușurată, dezamăgire, dezamăgit, față, față dezamăgită, față dezamăgită, dar ușurată, relaxare, transpirație, trist, ușurare, ușurat, îngrijorare, îngrijorat
😢	dor, față, față care plânge, față cu lacrimi, față plângând, groaznic, lacrimi, lacrimă, nefericit, plânge, plâns, plânset, tristețe
