🙈	bineensa, dhoksuu, dhorkaa, fuula, hammeenya, hammeenya tokkollee hin argin, iccitii, ilaali, ilaaluu dadhabuu, irraanfate, jaldeessa, lakki, qaana’e, sodaate, yaa rabbi
🙉	bineensa, caqasuu, dhaga’uu, dhorkaa, fuula, gurra, hammeenya, hammeenya hin dhaga’iin, iccitii, jaldeessa, lakki
🙊	bineensa, callisuu, dhorkaa, dubbachuu, fuula, hamaa hin dubbatiin, hammeenya, iccitii, lakki, mallattoo agarsiisuu, miti, qamalee
💌	ergaa, jaalala, keennaa kaardii guyyaa jaalalleewwanii ergamu, onnee, taatee jaalalaa, xalayaa, xalayaa jaalalaa
💘	143, guyyaa jaalalleewwanii, jaalala, jaallee, miira, onnee, onnee xiyya waliin, xiyya
💝	143, ayyaaneffannaa, dhungoo, hidhaa, miira, onnee, onnee hidhaa qabu
💖	143, dhungoo, gammaduu, ganama, halkan gaarii, ibsuu, miira, onnee, onnee ifu
💗	143, dhungoo, gammachuu, guddachaa, miira, onnee, onnee dabalaa jiru, rukuttaa onnee
💓	143, dhahannaa, jaalala, kaardiyoo, miira, onnee, onnee dhahatu, sin jaalladha
💞	143, ayyaaneffannaa, jaallatamaa, miira, naanna’uu, onnee, onnee naanna’u
💕	143, ayyaana, dhungoo, jaalala, jaalala jalqabuu, jaallachuu, miira, onnee, onnee lama, onneewwan, sin jaalladha
💟	143, faaya onnee, miira, onnee, onnee adii, onnee diimaa-cuquliisa
❣️	mallattoo, mallattoo raajeffannoo, mallattoo raajeffannoo onnee furdaatiin, sirna tuqaalee
💔	cabaa, cabuu, caccabe, gaddisiisaa, kophaa, miira, onnee cabaa, onnee cabe
❤️	jaalala, miira, onnee, onnee diimaa
🩷	adda, akka, jaalala, jaallatamaa, miira, mi’aawaa, onnee, piinkii, sin jaalladha
🧡	burtukaana, onnee burtukaana
💛	143, jaalala, kan onnee, keelloo, miira, onnee keelloo
💚	143, jaalala, magariisa, miira, onnee, onnee magariisaa
💙	143, cuquliisa, jaalala, miira, onnee, taatee jaalalaa
🩵	addaa, akka, cuquliisa-magariisa’aa, ifa cuquliisa, jaalala, miidhagduu, miira, onnee, samii cuquliisa, sin jaalladha
💜	143, diimaa-cuquliisa, jaala caalu, jaalala, miira, onnee
🤎	magaala, onnee
🖤	gadhee, gurraacha, hammeenya, onnee
🩶	addaa, daalacha, jaalala, meetii, miira, onnee, sin jaalladha
🤍	adii, onnee
💋	dhungoo, hawwisiisaa, hidhii, jaalala jalqabuu, mallattoo dhungoo, miira, onnee, taatee jaalalaa
💯	100, a+, amanamaa, dhibba, dhugaa, dhugaa’umatti, guutuu, qabxii, waliingala
💢	aaruu, mallattoo aarii, maraataa, mufachuu, qoosaa
💥	boombii, dhohiinsa, dhuka’uu, qoosaa, walitti bu’uu
💫	balaqqisaa, komikii, naannessaa, urjii, urjii furguggifamaa
💦	bishaan, copha, copha dafqaa, dafqa, dhangala’aa, dhangala’uu, kofalchiisaa, sochii qaamaa
💨	aara, deeme, dhuufuu, duumessa, fiiguu, kofalchiisaa, saffisaa
🕳️	boolla, qaawwa, uraa
💬	afuuffee, afuuffee dubbiii, barreeffama, barreessuu, dubbachuu, dubbii, erga gabaabaa, ergaa, haasaa, qoosaa
👁‍🗨	ija, ragaa baatuu
🗨️	afuuffee dubbii bitaa, dubbii, waliin dubbii
🗯️	aarii, afuuffee, cabaquu, hoomacha, kobba, maraatuu
💭	abjuu, abjuu guyyaa, afuuffee, afuuffee yaadaa, duumessa, fedhuu, kaartuunii, kalaqa, kalaquu, murtoo, qalbeeffachuu, qoosaa, yaada, yaaduu
💤	dadhabe, halkan, halkan gaarii, hirriibni qabe, qoosaa, rafuu
👋	booda, harka, harka raasuu, heloo, jirtaa?, nagaa wal gaafachuu, nagaatti
🤚	harka duubaa, ol baasuu
🖐️	dhaabi, harka, harka olqabame quba gargar faca’e waliin, quba
✋️	dhaabuu, harka, harka ol baafame, ol’aanaa shan, shan
🖖	harka, nagaa gaafachuu, quba
🫱	anaa dhufu, dhaqqabuu, harka, harka fuudhuu, harka mirgaa, qabuu
🫲	anaa dhufu, dhaqqabuu, harka, harka bitaa, harka fuune, qabuu, waliigaltee
🫳	gati, harkaa bahe, kaasi, kufe
🫴	fidi, hin beeku, koottu, natti himi, qabi
🫷	dhaabuu, dhiibuu, diduu, eeguu, gara bitaa, harka, qabuu, shan rukutuu, ugguruu, yeroof dhaabuu
🫸	dhaabuu, dhiibuu, diduu, eeguu, gara mirgaa, harka, qabuu, shan rukutuu, ugguruu, yeroof dhaabuu
👌	TOLE, dhuguma, gaarii, harka, mi’aawaa, naa gale, qimmiiddaa, sadii, tole
🤌	cortuu, harka, kolfi, obsa, qabi
🤏	bicuu, gosa, hanga xiqqoo, harka qunxuuxuu, quboota, xiqqoo
✌️	harka, harka injifannoo, mo’icha, nagaa, v
🤞	carraa, harka, quba, quba walqaxxaamuraa, walqaxxaamura
🫰	harka, jaalala, maallaqa, onnee, qaalii
🤟	harka, mallattoo sin jaalladhaa, quboota sadi, sin jaalladha
🤘	gaanfa, harka, mallattoo gaanfaa, quba
🤙	bilbila, harka, waamuu
👈️	bitaa, dugda harkaa, dugda harkaa bitaatti quba qabaa, harka, quba, quba akeektuu, quba itti qabuu
👉️	akeektuu, duuba harkaa, harka, mirga, qabxii, quba, quba akeektuu duuba harkaa gara mirgaa akeeku, tuqaa
👆️	akeektuu, akeektuu harka duubaa ol akeeku, gubbaa, harka, harka duubaa, qabxii, quba
🖕	harka, quba, quba gidduu
👇️	akeektuu, gadi, gajjallaa, harka, harka duubaa, qabxii, quba, quba akeektuu harka duubaa gadi akeeku
☝️	harka, kana, ol, quba, quba akeektuu, quba itti qabuu
🫵	agarsiisuu, akeekuu, ati, harka, quba
👍️	+1, abbudduu, abguddoo, baay’ee gaarii, bareeda, dhuguma, gaarii, harka, tole
👎️	-1, abbudduu, abbudduu gadi qabuu, badaa, gaarii miti, gadi, harka, jibbuu, lakki
✊️	abboottee ol qabame, aboottee, harka
👊	aboottee, harka, obboleessoo, shakkii malee, sirrii, waliigaluu
🤛	aboottee, gara bitaa
🤜	gara mirgaatti, tuttummuu
👏	baay’ee gaarii, baga gammaddan, baga gammadde, gaarii, gammadaa, harka, harka walitti rukutuu, hojii boonsaa, kadhata, mirkaneessa
🙌	ayyaaneffannaa, galateeffachuu, harka, harka baasuu, mallattoo, ol qabamaa
🫶	harka, jaalala, onnee, sin jaaladha
👐	banaa, haammannaa, harka, harka diriiraa, harka jaazii, jallataa
🤲	barruu harkaa olqabuu, hawwii, kadhadhu, kadhannaa
🤝	harka, harka wal fuudhuu, walga’ii, waliigaltee
🙏	eebbifami, gaafachuu, galata, galatoomi, gombifamuu, harka, harka dacha’aa, kadhannaa, kadhata, maaloo, mallattoo, shan
✍️	barreessuu, harka, harka barreessu, katabuu
💅	bareechistuu, halluu qeensaa, kunuunsa, na gaheera, nuffii, qeensa, waan fe’e
🤳	bilbila, kaameraa, ofii suuraa ka’uu
💪	cimaa, dabalachuu, irree, jabaa, jiimii, maashaa, qaama, qaama ijaaraa, ulfaatina kaasuu
🦾	dhaqqabummaa, harka nam-tolchee, qaama nam-tolchee
🦿	dhaqqabummaa, miila nam-tolchee, qaama nam-tolchee
🦵	dhiituu, faana miilla, jilba, luka, miila, miila dacha’e
🦶	dhiituu, faana, humnaan dhiituu, koronyoo, quba miilaa
👂️	caqasuu, dhaga’uu, dhageettii, dhaggeeffachaa jira, dhaggeeffachuu, gurra, qaama, sagalee
🦻	dhaga’uu dadhabuu, dhaqqabummaa, gurra meeshaa gargaarsa dhageettii waliin
👃	foolii, funyaan, qaama, suufa
🧠	qaroo, qaxalee, sammuu
🫀	dhahannaa, diimaa, kutaa qaamaa, onnee, onnee dhugumaa
🫁	hafuura baafannaa, somba, sombawwan
🦷	adii, albuuda, deentistii, ilkaan
🦴	iskeleetonii, lafee, lafeewwan, saree
👀	fuula, ija, ilaali, ilaaluu, qaama, xiyyeeffannaan ilaaluu
👁️	ija, ija 1, ija tokko, qaama
👅	arraabuu, arraba, qaama
👄	afaan, bareedina, dhungachuu, dhungoo, hidhii, miidhagina, qaama
🫦	aarii, ciniinuu, dhungoo, hidhii, yaadda’uu
👶	daa’ima, daa’imawwan, finna, ijoollee, mucaa, ol adeemaa, ulfa
🧒	daa’ima, dargaggeessa, ijoollee, koorniya-malee
👦	guddataa, ilma, mucaa dhiiraa, ol adeemaa
👧	baangisii, dubartii, guddattuu, ija ifaa, intala, mucaa dubaraa
🧑	ga’eessa, koorniya-malee
👱	dhala namaa, gubbaan diriiraa, nama, nama rifeensa diimaa qabu, namana, rifeensa diimaa
👨	hiriyyaa, ilma, jaalallee, nama, obboleessa
🧔	areeda, nama areeda qabu
👩	biloondii, dubara, dubartii, sirreessa rifeensa mataa
👱‍♀	dubartii, rifeensa diimaa
🧓	dulloomaa, ga’eessa dulloomaa, koorniyaa-malee
👴	akaakayyuu, dulloomaa, jaarsa, maanguddoo, moluu, nama dulloomaa, namicha, ogeessa, rifeensa dhabuu
👵	akkoo, diimaa, dubartii, dubartii dulloomtuu, dulloomaa, gamna, rifeensa muraa badaa
🙍	aaruu, dubartii mufatteettu, jeeqamuu, mallattoo, mufannaa, nama komii qabu, nama nyaara gudunfeeru
🙍‍♂	aaruu, fuula guure, mufachuu, mufate, namicha fuula guure
🙎	aarii, caraanuu, dubartii iyyaa jirtu, iyyuu, mallattoo, nama iyyaa jiru
🙎‍♂	hidhii rarraasuu, namicha hidhii rarraasu
🙅	LAKKI, dhorkamaa, dubartii mallattoo LAKKI agarsiistu, harka, lakki, mallattoo, nama mallattoo LAKKI agarsiisu
🙅‍♂	dhorkaa, dhorkamaa, harka, lakkii, miti, namicha LAKKI jedhee harkaan agarsiisu
🙆	TOLE, dubartii mallattoo TOLE agarsiiftu, harka, mallattoo agarsiisuu, nama mallattoo TOLE agarsiisu, sochii qaamaa gochuu, socho’uu, yaa rabbi
🙆‍♂	TOLE, harka, mallattoo agarsiisuu, namicha TOLE jedhee agarsiisu, sochii qaamaa gochuu, yaa rabbi
💁	gargaarsa, gorsa, hamii, harka, nama harka afarsu, odeeffannoo, rifeensa filamaa, saasii
💁‍♂	diivaa, fiduu, gargaaruu, hamachuu, harka, odeeffannoo, qoosaa, waan fedhe
🙋	ana, asin jira, dubartii harka olqabdu, gaaffii, harka, harka baasuu, nama harka olqabu, nan beeka
🙋‍♂	ana, beeka, gaaffii, harka, mallattoo harkaa, nama harka ol baasu, namicha harka ol baasu, ol baafame
🧏	dhaga’uu, dhaga’uu kan dandeenye, dhaqqabummaa, gurra, nama dhaga’uu hin dandeenye
🙇	dhiifama, dhiifama gaafachuu, gaabbbuu, gaabbuu, mallattoo agarsiisuu, nama sagadaa jiru, namicha sagadaa jiru, sagaduu, xiinxaluu
🙇‍♀	dhiifama, dubartii sagaddu, mallattoo qaamaan agarsiisuu, qoma’uu, sagaduu
🤦	aarii, amanuu dhabuu, barruu fuulaa, hin ta’u malee, lammataa hin ta’iin, nama, rifaatuu, yaa uumaakoo
🤦‍♂	aarii garmalee, akka wallaaluu, amanuu dhabuu, gadda, illee qabachuu, namicha
🤦‍♀	aarii garmalee, akka wallaaluu, amanuu dhabuu, dubartii, illee qabachuu, ya waaqa koo
🤷	ani hin beeku, maaltu beeka, nama, shakkii, tarii, wallaaluu
🤷‍♂	ani, dhibaa’uu, hin beeku, maal dhibdee, maal na galche, namicha, shakkii, wallaalummaa
🤷‍♀	ani, beekuu dhabuu, dhibaa’uu, dubartii, hin beeku, maal dhibdee, shakkii, wallaalummaa
👨‍⚕	doctora, eegumsa fayyaa, namicha, narsii, ogeessa yaalaa, teraappiistii
👩‍⚕	doktora, dubartii, eegumsa fayyaa, narsii, ogeettii yaalaa, teraappiistii
👨‍🎓	barataa, dhiira, eebbifamaa
👩‍🎓	barattuu, dubartii, eebbifamtuu
👨‍🏫	barsiisaa, dhiira, pirofeesera
👩‍🏫	barsiistuu, dubartii, pirofeesera
👨‍⚖	abbaa murtii, haqa, madaala, namicha
👩‍⚖	dubartii, haadha murtii, haqa, madaala
👨‍🌾	horsiisee bulaa, nama biqiltuu dhaabu, namicha, qotee bulaa
👩‍🌾	dubartii, hojjettuu gorduubaa, horsiistee bultuu, qonnaan bultuu
👨‍🍳	bilcheessuu, dhiira, nama nyaata bilcheessu, sheefii
👩‍🍳	dubartii, nyaata bilcheessuu, sheefii
👨‍🔧	daldalaa, dhiira, mekaanikii, ogeessa eleektirikii, ogeessa hojii ujummoo
👩‍🔧	daldaltuu, dubartii, mekaanikii, ogeettii hojii eleektirikaa, ogeettii hojii ujummoo
👨‍🏭	dhiira, hojjetaa, industirii, walga’ii, warshaa
👩‍🏭	dubartii, hojjettuu, industirii, walga’ii, warshaa
👨‍💼	dhiira, hoogganaa, ogeessa arkitikchera, waajjira
👩‍💼	arkiteektii, daldala, dubartii, hooggantuu, waajjira
👨‍🔬	dhiira, hayyuu fiiziksii, injiinara, ogeessa herreegaa, ogeessa kemistirii, qorataa baayoloojii, saayintistii
