‾	trait suscrit
⇣	flèche pointillée vers le bas
⇤	flèche vers la gauche jusqu’à un taquet
⇥	flèche vers la droite jusqu’à un taquet
⇦	flèche creuse vers la gauche
⇧	flèche creuse vers le haut
⇨	flèche creuse vers la droite
⇩	flèche creuse vers le bas
⇪	flèche creuse d’un taquet vers le haut
⇵	flèche vers le bas à gauche d’une flèche vers le haut
∀	pour tout, tout, universel
∂	dérivée partielle
∃	il existe
∅	ensemble vide, mathématiques
∆	incrément, triangle
∇	nabla, triangle
∈	appartenance, appartient à, contient, ensemble, élément, élément de
∉	n’appartient pas
∋	contient comme élément, élément
∎	fin d’article
∏	logique, produit, produit de la famille, produit n-aire
∑	mathématiques, sommation, sommation de la famille
+	ajouter, plus, signe plus
±	plus-moins
÷	diviser, division, obélus, signe de division
×	fois, multiplication, multiplier, signe de multiplication
<	chevron, chevron ouvrant, inférieur à
≮	inégalité, mathématiques, pas inférieur à
=	est égal, égal
≠	inégalité, inéquation, non égal
>	chevron, chevron fermant, supérieur à
≯	inégalité, mathématiques, pas supérieur à
¬	non, négation
|	barre, barre de Sheffer, barre verticale, ligne verticale, trait, tube
~	tilde
−	moins, signe moins, soustraire
⁻	exposant, exposant moins, moins
∓	plus ou moins
∕	barre oblique de division
⁄	barre oblique de fraction
∗	opérateur astérisque
∘	composition, opérateur, opérateur rond
∙	opérateur, opérateur puce
√	base, carrée, nombre sourd, racine, racine carrée, radical
∝	proportionnalité, proportionnel
∞	infini, symbole de l’infini
∟	angle droit, mathématiques
∠	aigu, angle
∣	est un diviseur de
∥	parallèle
∧	et logique
∩	ensemble, intersection
∪	collection, ensemble, union
∫	intégrale
∬	double intégrale
∮	intégrale de contour
∴	logique, par conséquent
∵	logique, parce que
∶	rapport
∷	proportion, proportionnalité
∼	opérateur, opérateur tilde
∽	tilde, tilde renversé
∾	s couché renversé
≃	asymptote, asymptotiquement égal à, mathématiques
≅	approximativement égal à, isomorphisme, mathématiques, égalité
≈	approximation, environ, presque égal
≌	entièrement égal à, mathématiques, égalité
≒	approximativement égal à ou image de
≖	mathématiques, rond dans égal, égalité
≡	exact, identique, identique à, triple
≣	mathématiques, strictement équivalent à, égalité
≤	est égal, inférieur ou égal, inférieur à, inégalité, égal
≥	est égal, inégalité, supérieur, supérieur ou égal, égal
≦	inférieur à sur égal à, inégalité, mathématiques
≧	inégalité, mathématiques, supérieur à sur égal à
≪	inégalité, mathématiques, très inférieur à
≫	inégalité, mathématiques, très supérieur à
≬	entre
≳	inégalité, mathématiques, supérieur ou équivalent à
≺	mathématiques, précède
≻	mathématiques, suit
⊁	mathématiques, ne suit pas
⊂	ensemble, sous-ensemble, sous-ensemble de
⊃	mathématiques, sur-ensemble de
⊆	sous-ensemble égal à
⊇	mathématiques, sur-ensemble égal à, égalité
⊕	plus, plus cerclé
⊖	différence symétrique, moins cerclé, érosion
⊗	fois cerclé, produit, tenseur
⊘	barre oblique de division cerclée, mathématiques
⊙	XNOR, opérateur, opérateur point cerclé
⊚	opérateur rond cerclé
⊛	astérisque, opérateur, opérateur astérisque cerclé
⊞	mathématiques, plus encadré
⊟	mathématiques, moins encadré
⊥	taquet, taquet vers le haut
⊮	n’oblige pas
⊰	mathématiques, précède sous relation
⊱	mathématiques, suit sous relation
⋭	mathématiques, ni égal ni contenant comme sous-groupe normal, théorie des groupes
⊶	original de
⊹	mathématiques, matrice autoadjointe, matrice carrée, matrice hermitienne conjuguée
⊿	mathématiques, triangle rectangle
⋁	disjonction, logique, ou logique de la famille
⋂	intersection, intersection de la famille, mathématiques
⋃	mathématiques, union, union de la famille
⋅	opérateur, opérateur point
⋆	opérateur, opérateur étoile
⋈	jointure naturelle, opérateur binaire
⋒	double intersection, intersection, mathématiques
⋘	considérablement inférieur à, inégalité, mathématiques
⋙	considérablement supérieur à, inégalité, mathématiques
⋮	ellipse, mathématiques, points de suspension verticaux, trois points suspendus, trois points verticaux
⋯	ellipse, trois points médians
⋰	ellipse, mathématiques, trois points diagonaux vers le coin haut à droite
⋱	ellipse, mathématiques, trois points diagonaux vers le coin bas à droite
■	carré plein
□	carré creux
▢	carré creux aux angles arrondis
▣	carré creux contenant un carré plein
▤	carré hachuré horizontalement
▥	carré hachuré verticalement
▦	carré quadrillé
▧	carré hachuré du haut à droite vers le bas à gauche en diagonale
▨	carré hachuré du haut à gauche vers le bas à droite
▩	carré quadrillé en diagonale
▬	rectangle plein
▭	rectangle creux
▮	rectangle vertical plein
▰	parallélogramme plein
▲	flèche, haut, plein, triangle, triangle plein vers le haut
△	triangle creux pointant vers le haut
▴	petit triangle plein pointant vers le haut
▵	petit triangle creux pointant vers le haut
▷	triangle creux pointant vers la droite
▸	petit triangle plein pointant vers la droite
▹	petit triangle creux pointant vers la droite
►	pointe pleine vers la droite
▻	pointe creuse vers la droite
▼	bas, flèche, plein, triangle, triangle plein vers le bas
▽	triangle creux pointant vers le bas
▾	petit triangle plein pointant vers le bas
▿	petit triangle creux pointant vers le bas
◁	triangle creux pointant vers la gauche
◂	petit triangle plein pointant vers la gauche
◃	petit triangle creux pointant vers la gauche
◄	pointe pleine vers la gauche
◅	pointe creuse vers la gauche
◆	losange plein
◇	losange creux
◈	losange creux contenant un losange plein
◉	cercle creux contenant un cercle plein, cercles concentriques, point cerclé
◊	losange, rhombe
○	anneau, cercle, cercle vide
◌	cercle en pointillés
◍	cercle hachuré verticalement
◎	cercles concentriques
●	cercle, cercle plein
◐	cercle avec moitié gauche pleine
◑	cercle avec moitié droite pleine
◒	cercle avec moitié inférieure pleine
◓	cercle avec moitié supérieure pleine
◔	cercle avec quadrant supérieur droit plein
◕	cercle avec quadrant supérieur gauche vide
◖	demi-cercle gauche plein
◗	demi-cercle droit plein
◘	puce noir au blanc
◙	carré plein contenant un cercle creux
◜	arc de cercle dans le quadrant supérieur gauche
◝	arc de cercle dans le quadrant supérieur droit
◞	arc de cercle dans le quadrant inférieur droit
◟	arc de cercle dans le quadrant inférieur gauche
◠	demi-cercle supérieur
◡	demi-cercle inférieur
◢	triangle rectangle inférieur droit plein
◣	triangle rectangle inférieur gauche plein
◤	triangle rectangle supérieur gauche plein
◥	triangle rectangle supérieur droit plein
◦	puce creuse
◯	anneau, cercle, grand cercle vide
◳	carré creux avec quartier supérieur droit
◷	cercle creux avec quadrant supérieur droit
◿	triangle rectangle inférieur droit
♪	croche, musique, note
⨧	signe plus avec indice deux
⨯	produit vectoriel
⨼	produit intérieur
⩣	ou logique à deux barres souscrites
⩽	inférieur à ou égal à incliné
⪍	inférieur à sur similaire ou égal à
⪚	inégalité, mathématiques, égal en deux lignes ou supérieur à
⪺	suit sur non presque égal à
♭	bémol, musique, note
♯	dièse, musique, note
😀	content, dents, grand sourire, heureux, joyeux, rire, sourire, super, visage, visage rieur, visage très souriant, émoticône
😃	content, dents, formidable, grand sourire, heureux, sourire, super, visage souriant avec de grands yeux, visage très souriant avec la bouche ouverte, émoticône
😄	content, grand sourire, heureux, joyeux, lol, mdr, rire, sourire, sourire mignon, visage, visage avec la bouche ouverte et les yeux souriants, visage très souriant aux yeux rieurs, émoticône
😁	content, dents, grand sourire, heureux, sourire, sourire de toutes ses dents, super, visage, visage souriant aux yeux rieurs, visage souriant avec yeux souriants, yeux souriants, émoticône
😆	ahah, bouche, content, lol, mdr, rire, sourire, visage, visage souriant avec bouche ouverte et yeux fermés, visage souriant avec yeux plissés, émoticône
😅	excité, froid, goutte, sourire, sourire nerveux, stressé, sueur, sueurs froides, visage souriant avec une goutte de sueur, émoticône
🤣	content, drôle, hilare, joyeux, larmes, lol, mdr, pleurer de rire, rire, rire aux larmes, se rouler par terre, se rouler par terre de rire, se tordre de rire, visage, visage qui rit aux larmes, émoticône
😂	content, heureux, joie, larmes, lol, mdr, pleurer de joie, pleurer de rire, rire aux larmes, sourire, visage riant aux larmes, émoticône
🙂	content, heureux, léger sourire, sourire, visage avec un léger sourire, visage souriant, émoticône
🙃	incroyable, renversée, tête, tête à l’envers, visage, émoticône
🫠	disparaître, fondre, gêne, liquide, liquéfié, sarcasme, se dissoudre, visage qui fond
😉	blague, clin d’œil, flirter, plaisanter, sexy, visage, visage faisant un clin d’œil, émoticône
😊	content, heureux, rougir, satisfait, sourire, visage, visage qui rougit, visage souriant avec yeux rieurs, visage souriant avec yeux souriants, yeux, émoticône, œil
😇	Bible, ange, angélique, auréole, béni, heureux, innocent, paix, sourire, spirituel, visage, visage souriant avec auréole, visage souriant avec une auréole, émoticône
🥰	Je t’aime, adorer, aimer, amour, amoureuse, amoureux, béguin, coeur, coeurs, cœurs, j’adore, romance, smiley avec 3 coeurs, sourire, visage souriant avec cœurs
😍	amour, amoureux, cœur, romantique, sourire, visage, visage souriant avec yeux en forme de cœur, yeux, émoticône, œil
🤩	grand sourire, heureux, pressé, surexcité, tête avec étoiles, visage, visage avec des étoiles à la place des yeux, wow, yeux, étoile, étoiles dans les yeux
😘	amour, baiser, bise, bisou, bisou et cœur, bonjour, bonne nuit, cœur, embrasser, je t’aime, visage envoyant un bisou, visage qui fait une bise avec un cœur, émoticône
😗	amour, baiser, bise, bisou, embrasser, je t’aime, petit bisou, visage faisant un bisou, visage qui fait une bise, émoticône
☺️	content, décontracté, détendu, heureux, sourire, visage souriant, visage souriant avec les yeux fermés, émoticône
😚	baiser, bise, bisou, bisou les yeux fermés, embrasser, rougir, visage faisant un bisou avec les yeux fermés, visage qui fait une bise avec les yeux fermés, visage rougissant, yeux fermés, émoticône
😙	amour, baiser, bise, bisou, embrasser, gros bisou, je t’aime, sourire, visage aux yeux rieurs faisant un bisou, visage aux yeux souriants qui fait une bise, yeux fermés, émoticône
🥲	fier, heureux, larme, reconnaissant, smiley, soulagé, souriant, touché, visage souriant avec une larme, ému
😋	bon, content, délicieux, faim, heureux, langue, manger, miam, savourer, sourire, visage souriant qui tire la langue, émoticône
😛	cool, génial, langue, super, visage, visage qui tire la langue, émoticône
😜	amusant, blague, clin d’œil, fou, langue, loufoque, marrant, rigolo, visage, visage qui tire la langue et fait un clin d’œil, émoticône, œil
🤪	grand, large, oeil, petit, tête de fou, tête folle, yeux, yeux fous, œil
😝	dégoûtant, goût, horrible, langue, omd, on ne vit qu’une fois, peu importe, visage, visage qui tire la langue et ferme les yeux, visage qui tire la langue les yeux plissés, yeux fermés, émoticône, œil
🤑	argent, argent dans les yeux et la bouche, bouche, dollars, yeux, émoticône
🤗	câlin, gentil, mains, visage, visage qui fait un câlin, émoticône
🤭	malin, oops, oups, rigole, secret, surprise, visage avec main devant la bouche, visage avec une main sur la bouche
🫢	choqué, embarrassé, gêné, impressionné, stupéfait, surpris, visage avec yeux ouverts et main sur la bouche, étonné
🫣	captivé, effrayé, fasciné, jeter un coup d’œil, regarder fixement, se cacher, timide, visage qui regarde entre ses doigts
🤫	chut, pas un bruit, silence, tête qui dit chut, visage avec un doigt sur la bouche
🤔	hum, méditer, penser, réflexion, réfléchir, visage, visage en pleine réflexion, émoticône
🫡	OK, armée, bonne chance, compris, oui, respect, salut, visage qui fait un salut militaire
🤐	bouche, bouche cousue, fermeture éclair, motus, se taire, secret, visage, visage avec bouche cousue, visage avec bouche fermeture éclair, émoticône
🤨	euh, hein, incrédule, méfiant, pas vrai, quoi, sceptique, surprise, tête avec sourcil levé, visage avec les sourcils relevés
😐️	gêné, neutre, ni chaud ni froid, pas drôle, peu importe, rester de marbre, sans commentaires, sans rire, visage neutre, visage sans expression, émoticône
😑	inexpressif, mécontent, neutre, peu importe, sans expression, visage, visage sans expression, émoticône
😶	muet, ne rien dire, neutre, sans commentaires, sans expression, sans voix, se taire, secret, silence, sourdine, visage, visage sans bouche, émoticône
🫥	disparaître, déprimé, introverti, invisible, se cacher, visage en pointillés
😶‍🌫	brouillard, dans les nuages, distrait, visage dans le brouillard, visage dans les nuages
😏	arrogant, charmeur, malin, ricaner, rusé, sourire, sourire suffisant, suspicieux, séducteur, visage avec un sourire malin, visage avec un sourire suffisant, émoticône
😒	bizarre, blasé, fâché, jaloux, pas content, peu importe, visage, visage blasé, visage qui s’ennuie, émoticône, énervé
🙄	agacé, excédé, incrédulité, roulement, visage qui lève les yeux au ciel, visage qui roule des yeux, visage roulant des yeux, yeux, émoticône
😬	dents, grimace, gêné, rien, sourire, visage, visage grimaçant, émoticône
😮‍💨	chuchoter, découragé, déçu, ennuyé, expiration, exténué, fatigué, siffler, souffler, soulagement, soupir, sursaut, visage expirant
🤥	mensonge, menteur, pinocchio, visage, visage de menteur, visage dont le nez s’allonge, émoticône
🫨	choc, fou, omg, ouah, panique, secoué, surprenant, tremblement, tremblement de terre, vibration, visage secoué, étourdi
🙂‍↔	non, secouer, tête secouée horizontalement
🙂‍↕	hochement de tête, oui, tête secouée verticalement
😌	calme, soulagement, sérénité, visage, visage soulagé, zen, émoticône
😔	abattu, déçu, horrible, mort, pensif, perdu, triste, visage, visage pensif, émoticône
😪	fatigué, larme, pleurer, sommeil, triste, visage, visage endormi, émoticône
🤤	baver, délicieux, mmh, visage, visage qui bave, émoticône
😴	bonne nuit, coucher, dormir, endormi, fatigué, sieste, sommeil, visage, visage somnolent, zzz, émoticône
🫩	ensommeilé, fatigué, sommeil, visage avec des valises sous les yeux, épuisé
😷	bactéries, dentiste, docteur, germes, malade, masque, masque chirurgical, médecin, rhume, visage avec masque, émoticône
🤒	indisposé, malade, thermomètre, visage, visage avec thermomètre
🤕	aïe, bandage, blessure, bobo, pansement, tête, tête avec un bandage, visage, visage avec bandage autour de la tête, émoticône
🤢	dégoûtant, malade, nausée, visage, visage nauséeux, visage vert qui a la nausée, vomir, écœuré, émoticône
🤮	gerbe, gerber, malade, tête qui vomit, visage qui vomit, vomi, vomissure
🤧	atchoum, fièvre, grippe, malade, mouchoir, rhume, se moucher, visage, visage qui éternue, à tes souhaits, émoticône, éternuement, éternuer
🥵	chaleur, chaud, coup de chaleur, coup de chaud, fièvre, sue, suer, toute rouge, transpiration, trop chaud, visage, visage rouge et chaud, visage tout rouge
🥶	bleu, froid, gel, gelure, gelé, glacial, glacé, glaçon, visage bleu, visage bleu et froid, ça caille
🥴	bouche ondulée, bourré, bourrée, dans les vapes, hébété, pas clair, pompette, rond, saoul, souler, tête qui tourne, visage éméché
😵	fatigué, malade, mort, tournis, visage, visage avec le tournis, visage étourdi, émoticône
😵‍💫	confusion, hagard, malade, nausée, ouh la la, tête qui tourne, visage aux yeux en spirales, étourdi
🤯	choc, choqué, surpris, surprise, tête choquée, tête qui explose
🤠	chapeau, cowboy, visage, visage avec chapeau de cowboy
🥳	anniversaire, chapeau, chapeau pointu, célébration, fête, heureux, hourra, joyeux anniversaire, sifflet, visage de fête, visage festif, youpi, émoticône
🥸	déguisement, espion, faux nez, grimer, incognito, lunettes, moustache, postiche, smiley, sourcils ébouriffés, visage déguisé
😎	cool, lunettes de soleil, posé, tranquille, visage avec lunettes de soleil
🤓	doué, futé, geek, idiot, intelligent, lunettes, personne, premier de la classe, ringard, surdoué, tronche, visage, visage de geek
🧐	classe, collet monté, fortune, monocle, riche, tête avec monocle, vieux jeu, visage avec un monocle
😕	confus, désolé, ennuyé, je ne sais pas, triste, visage, visage confus, émoticône
🫤	bof, confus, déçu, euh, frustration, incertain, sceptique, visage avec bouche en diagonale
😟	anxieux, inquiet, préoccupé, stressé, surpris, triste, visage, visage inquiet, émoticône
🙁	mécontent, triste, visage, visage légèrement mécontent, émoticône
☹️	malheureux, mécontent, triste, visage, visage mécontent, émoticône
😮	bouche bée, bouche ouverte, choqué, incroyable, omd, oubli, surpris, visage avec bouche ouverte, visage avec la bouche ouverte, visage étonné, émoticône, épaté
😯	incroyable, omd, sans voix, stupeur, stupéfait, surpris, visage, visage sans voix, visage à la bouche ouverte, visage ébahi, émoticône
😲	choc, choqué, impossible, incroyable, omd, stupéfait, visage, visage stupéfait, émoticône, étonné
😳	chaud, comment, gêné, hébété, impressionné, incroyable, incrédule, quoi, rouge, rougissant, stupéfait, visage, visage qui rougit, ébahi, émoticône, étonné
🥺	embarrassé, excuse, gros yeux, pardon, pitié, supplication, supplie, s’il te plaît, visage implorant, yeux de chiens battus
🥹	admiration, fierté, gratitude, larmes de joie, pleurs, retenir ses larmes, triste, visage retenant ses larmes, ému
😦	bouche, déçu, effrayé, ouverte, peur, pris au dépourvu, surpris, visage, visage déçu avec bouche ouverte, visage mécontent avec bouche ouverte, émoticône
😧	angoisse, comment, hein, mécontent, oubli, peur, quoi, stressé, surpris, terrifié, visage, visage angoissé, émoticône
😨	anxieux, apeuré, blême, effrayé, inquiet, peur, terrifié, visage, visage effrayé, émoticône
😰	aah, bleu, bouche, bouche bée, effrayé, froid, mince, nerveux, peur, peur bleue, sueur, sueurs froides, terrifié, visage, visage anxieux avec goutte de sueur, visage en sueur bouche ouverte, émoticône
😥	déçu, ouf, pfiou, soulagé, sueur, triste, visage déçu mais soulagé, visage triste mais soulagé, émoticône
😢	horrible, larme, larmes, malheureux, pleurer, triste, visage qui pleure, émoticône
😭	larme, larmes, malheureux, pleurer, pleurs, sangloter, triste, visage, visage qui pleure à chaudes larmes, émoticône
😱	Munch, choqué, cri, effrayé, omd, peur, surpris, terreur, visage, visage qui hurle de peur
😖	confus, déconcerté, frustré, fâché, irrité, triste, visage, visage déconcerté, yeux fermés, émoticône
😣	concentré, mal de tête, migraine, persévérant, visage, visage persévérant, émoticône
😞	abattu, affreux, découragé, déçu, malheureux, tort, triste, visage, visage déçu, émoticône
😓	froide, mal de tête, migraine, mince, ouf, peur, sueur, triste, visage, visage démoralisé avec goutte de sueur, visage et sueurs froides, émoticône
😩	faim, fatigué, mécontent, non, pleurer, sommeil, triste, visage, visage las, visage épuisé, échec, émoticône, épuisé
😫	contrarié, fatigue, mécontent, triste, visage, visage fatigué, émoticône
🥱	bâille, bâiller, dormir, ennui, fatigant, fatigue, sieste, visage bâillant, émoticône
😤	colère, fâché, mécontent, triomphe, victoire, visage, visage avec fumée sortant des narines, émoticône, énervé
😡	colère, exaspéré, furieux, fâché, mécontent, rageur, rouge, rouge de colère, sourcils froncés, visage, visage boudeur, émoticône, énervé
😠	colère, exaspéré, frustré, fâché, mécontent, rageur, sourcils froncés, visage en colère, émoticône
🤬	censuré, colère, gros mots, insulter, insultes, jurer, juron, tête avec des symboles sur la bouche, visage avec des symboles dans la bouche
😈	cornes, fantastique, fâché, sourire, visage, visage souriant avec des cornes, émoticône
👿	diable, diablotin, démon, fantastique, malicieux, mauvais, visage, visage en colère avec des cornes, émoticône
💀	corps, crâne, dead, fantastique, je suis mort, mort, squelette, tête de mort, visage, yolo
☠️	crâne, mort, os, tête, tête de mort
💩	BD, bande dessinée, caca, crotte, dessin, excrément, odeur, popo, puer, sentir mauvais, tas de crotte, visage
🤡	clown, maquillage, visage, visage de clown, émoticône
👹	créature, effrayant, fantastique, japonais, masque, monstre, ogre
👺	colère, créature, fantastique, farfadet, japonais, masque, monstre, monstre japonais, méchant
👻	Halloween, blague, bouh, créature, effrayant, fantastique, fantôme, hanter, monstre, peur, visage, visage de fantôme
👽️	alien, créature, espace, extraterrestre, monstre, ovni, science-fiction, visage, émoticône
👾	alien, créature, envahisseur, espace, extraterrestre, fantastique, jeu vidéo, monstre, monstre de l’espace, ovni, pixels
🤖	androïde, automate, machine, monstre, robot, visage, visage de robot
😺	animal, bouche ouverte, chat, chat qui sourit, sourire, visage
😸	animal, chat, chat avec un grand sourire, chat qui sourit avec des yeux rieurs, sourire, visage, yeux rieurs, yeux souriants
😹	animal, chat, chat qui pleure de joie, chat qui rit aux larmes, joie, larmes, lol, mdr, pleurer de rire, rire, rire aux larmes
😻	amour, amoureux, chat, chat souriant aux yeux en cœurs, chat souriant avec des coeurs dans les yeux, coeurs, coeurs dans les yeux, cœur, sourire, yeux
😼	animal, chat, chat avec sourire en coin, ironique, narquois, sourire en coin, sourire narquois, tête de chat, visage
😽	animal, baiser, bise, bisou, chat, chat qui embrasse, chat qui fait un bisou, chat qui fait une bise avec les yeux fermés, embrasser, tête de chat
🙀	animal, chat, chat fatigué, fatigue, inquiet, oh, surpris, tête de chat avec la bouche ouverte, visage
😿	animal, chat, chat qui pleure, larme, pleurer, triste, tête de chat, visage
😾	animal, bouder, chat, chat en colère, chat qui boude, colère, désaccord, ennui, tête de chat, visage
🙈	animal, caché, effrayé, embarras, geste, gêne, interdit, ne pas voir, non, omd, oubli, peur, rien vu rien entendu, secret, singe, singe ne rien voir, visage, voir, yeux
🙉	animal, geste, interdit, ne pas entendre, non, oreilles, rien vu rien entendu, secret, singe, singe ne rien entendre, sourd, visage, écouter
🙊	animal, bouche cousue, chut, geste, interdit, motus, muet, non, parler, se taire, secret, silence, singe, singe ne rien dire, visage
💌	Saint-Valentin, amour, cœur, lettre, lettre d’amour
💘	Cupidon, amour, coeur transpercé, cœur, cœur et flèche, flèche, sentiment
💝	Saint-Valentin, amour, anniversaire, cœur, cœur avec ruban, ruban, sentiment
💖	amour, cœur, cœur étincelant, sentiment, étincelles
💗	amour, cœur, cœur battant, cœur grandissant, cœur qui bat, pulsations, sentiment
💓	amour, cardio, cœur, cœur battant, cœur qui bat, pulsations, sentiment
💞	amour, anniversaire, cœurs, cœurs qui tournent, deux cœurs, sentiment, tourbillon
💕	amour, anniversaire, cœurs, deux cœurs, deux cœurs roses, petits cœurs, rendez-vous, sentiment
💟	amour, cœur, cœur blanc, cœur décoré, cœur violet, décoration avec cœur, sentiment
❣️	amour, cœur, cœur point d’exclamation, exclamation, ponctuation
