‾	nadcrta
】	crna desna konkavna zagrada, lentikularna zagrada, lećasta zagrada, zagrada
〔	lijeva saćasta zagrada, saćasta zagrada, zagrada
〕	desna saćasta zagrada, saćasta zagrada, zagrada
〖	konkavna zagrada bez ispune, lećasta zagrada bez ispune, lijeva konkavna zagrada bez ispune, zagrada
〗	desna konkavna zagrada bez ispune, konkavna zagrada bez ispune, lećasta zagrada bez ispune, zagrada
§	dio, odjeljak, odlomak, znak za odjeljak
¶	alineja, odjeljak, odlomak, prijelom odlomka, znak prijeloma
@	monkey, vitičnik, znak „at“, znak „at”
*️	asterisk, zamjenski znak, zvjezdica
/	kosa crta, kosina
\	obrnuta kosa crta, obrnuti solidus
&	et, i, znak &
#️	broj, funta, hashtag, lb, ljestve, znak ljestve, znak ljestvi
%	posto, postotak
‰	potisućak, promil
†	bodež, obelisk, znak bodeža
‡	bodež, dvostruko, obelisk, znak dvostrukog bodeža
•	grafička oznaka, točka
‧	crtica, spojnica, točka, točka za rastavljanje riječi
′	izostavnik
″	dvostruki navodnik, navodnik
‴	navodnik, trostruki navodnik
‸	karet
※	oznaka, referenca
⁂	asterizam
`	kratkouzlazni, kratkouzlazni naglasak, naglasak, ton
´	dugouzlazni, dugouzlazni naglasak, naglasak, ton
^	cirkumfleks, dugosilazni, dugosilazni naglasak, naglasak, vrh
¨	dijereza, prijeglas, trema
°	satni kut, stupanj, udio
℗	autorsko pravo, simbol autorskog prava za snimanje zvuka, snimanje, zvuk
←	lijevo, strelica, strelica koja pokazuje ulijevo
↚	kosa crta sa strelicom ulijevo
→	desno, strelica, strelica koja pokazuje udesno
↛	kosa crta sa strelicom udesno
↑	gore, strelica, strelica koja pokazuje prema gore
↓	dolje, strelica, strelica koja pokazuje prema dolje
↜	valovita strelica ulijevo
↝	valovita strelica udesno
↞	strelica s dva vrha ulijevo
↟	strelica s dva vrha prema gore
↠	strelica s dva vrha udesno
↡	strelica s dva vrha prema dolje
↢	strelica s repom ulijevo
↣	strelica s repom udesno
↤	strelica s crtom ulijevo
↥	strelica s crtom prema gore
↦	strelica s crtom udesno
↧	strelica s crtom prema dolje
↨	strelica prema gore i prema dolje s bazom
↫	strelica s petljom ulijevo
↬	strelica s petljom udesno
↭	valovita strelica s vrhom ulijevo i vrhom udesno
↯	cik-cak, cik-cak strelica prema dolje
↰	strelica prema gore s vrhom ulijevo
↱	strelica prema gore s vrhom udesno
↲	strelica prema dolje s vrhom ulijevo
↳	strelica prema dolje s vrhom udesno
↴	strelica udesno s kutom prema dolje
↵	strelica prema dolje s kutom ulijevo
↶	polukružna strelica u smjeru suprotnom od kazaljke na satu
↷	polukružna strelica u smjeru kazaljke na satu
↸	strelica s dugom crtom u smjeru sjeverozapada
↹	strelica s crtom ulijevo iznad strelice s crtom udesno
↺	otvorena kružna strelica u smjeru suprotnom od kazaljke na satu
↻	otvorena kružna strelica u smjeru kazaljke na satu
↼	harpun ulijevo sa šiljkom prema gore
↽	harpun ulijevo sa šiljkom prema dolje
↾	harpun prema gore sa šiljkom udesno
↿	harpun prema gore sa šiljkom ulijevo
⇀	harpun udesno sa šiljkom prema gore
⇁	harpun udesno sa šiljkom prema dolje
⇂	harpun prema dolje sa šiljkom udesno
⇃	harpun prema dolje sa šiljkom ulijevo
⇄	strelica udesno iznad strelice ulijevo
⇅	dolje, gore, strelica, strelica prema gore i strelica prema dolje
⇆	desno, lijevo, strelica, strelica ulijevo iznad strelice udesno
⇇	uparene strelice ulijevo
⇈	uparene strelice prema gore
⇉	uparene strelice udesno
⇊	uparene strelice prema dolje
⇋	harpun ulijevo iznad harpuna udesno
⇌	harpun udesno iznad harpuna ulijevo
⇐	dvostruka strelica ulijevo
⇍	precrtana dvostruka strelica ulijevo
⇑	dvostruka strelica prema gore
⇒	dvostruka strelica udesno
⇏	precrtana dvostruka strelica udesno
⇓	dvostruka strelica prema dolje
⇔	dvostruka strelica ulijevo i udesno
⇎	precrtana dvostruka strelica ulijevo i udesno
⇖	dvostruka strelica prema gore-lijevo
⇗	dvostruka strelica prema gore-desno
⇘	dvostruka strelica prema dolje-desno
⇙	dvostruka strelica prema dolje-lijevo
⇚	trostruka strelica ulijevo
⇛	trostruka strelica udesno
⇜	vijugava strelica ulijevo
⇝	vijugava strelica udesno
⇞	dvostruko precrtana strelica prema gore
⇟	dvostruko precrtana strelica prema dolje
⇠	iscrtkana strelica ulijevo
⇡	iscrtkana strelica prema gore
⇢	iscrtkana strelica udesno
⇣	iscrtkana strelica prema dolje
⇤	strelica ulijevo s crtom
⇥	strelica udesno s crtom
⇦	neispunjena strelica ulijevo
⇧	neispunjena strelica prema gore
⇨	neispunjena strelica udesno
⇩	neispunjena strelica prema dolje
⇪	neispunjena strelica s crtom prema gore
⇵	strelica prema dolje i strelica prema gore
∀	za sve
∂	parcijalni diferencijal
∃	kvantifikator egzistencije
∅	prazan skup
∆	inkrement, trokut
∇	nabla, trokut
∈	element, je element, sadrži, skup, članstvo
∉	element, nije element
∋	element, sadrži član
∎	kraj dokaza
∏	Kartezijev umnožak
∑	matematika, zbrajanje, zbroj neograničenog broja operanada
+	plus, zbrajanje, znak plusa
±	plus-minus
÷	dijeljenje, podijeli, znak dijeljenja, znak za dijeljenje
×	množenje, pomnoži, puta, znak za množenje
<	manje, manje od, oznaka, početna oznaka
≮	matematika, ne manje od, nejednakost
=	jednako, jednako je
≠	nije jednako, različito, različito od
>	oznaka, veće, veće od, završna oznaka
≯	matematika, ne veće od, nejednakost
¬	ne, negacija
|	crta, linija, okomita crta, potez, uspravna crta, v crta, vertikalna crta, vrh, šeferova crta
~	tilda
−	minus, oduzimanje, znak minusa
⁻	eksponent, minus, minus u eksponentu
∓	minus ili plus
∕	kosa crta za dijeljenje
⁄	razlomačka kosa crta
∗	operator u obliku zvjezdice, zvjezdica
∘	kompozicija, operator, operator u obliku prstena, prsten
∙	operator, operator u obliku grafičke oznake
√	korijen, kvadratni, kvadratni korijen, radikal, surd
∝	proporcionalno, razmjerno
∞	beskonačno
∟	desni kut, matematika
∠	kut
∣	dijeljenje
∥	paralelno
∧	logičko „i”
∩	presjek skupova, skup
∪	skup, unija skupova, zbirka
∫	integral
∬	dvostruki integral
∮	konturni integral
∴	logika, zato
∵	logika, zbog toga
∶	omjer
∷	proporcionalnost, udio
∼	operator, operator u obliku tilde
∽	obrnuta tilda, tilda
∾	obrnuto polegnuto „s”
≃	asimptotski jednako
≅	otprilike jednako
≈	aproksimativno, približno, približno jednako
≌	jednakost, matematika, sve jednako
≒	otprilike jednako slici
≖	jednakost, matematika, prsten u jednakosti
≡	identično, identično jednako, jednako, trostruko
≣	jednakost, matematika, strogo jednako
≤	jednako, jednakost, manje ili jednako, manje od, nejednakost
≥	jednako, jednakost, nejednakost, veće ili jednako, veće od
≦	manje od iznad jednako, matematika, nejednakost
≧	matematika, nejednakost, više od iznad jednako
≪	matematika, nejednakost, puno manje od
≫	matematika, nejednakost, puno veće od
≬	između
≳	matematika, nejednakost, veće od ekvivalenta
≺	matematika, operator seta, prethodi
≻	matematika, operator seta, slijedi
⊁	matematika, ne slijedi, operator seta
⊂	je pravi podskup od, podskup, skup
⊃	matematika, nadskup, operator seta
⊆	podskup jednak
⊇	jednakost, matematika, nadskup jednak
⊕	plus, zaokruženi plus
⊖	zaokruženi minus
⊗	zaokruženi znak množenja
⊘	zaokruženi znak dijeljenja
⊙	operator u obliku zaokružene točke
⊚	operator u obliku zaokruženog prstena
⊛	operator, operator u obliku zaokružene zvjezdice, zvjezdica
⊞	plus u kvadratu
⊟	minus u kvadratu
⊥	netočno
⊮	ne forsira
⊰	matematika, operator seta, prethodi ispod relacije
⊱	matematika, operator seta, slijedi ispod relacije
⋭	ne sadrži kao normalnu podgrupu jednaku
⊶	original
⊹	hermitska matrica
⊿	matematika, pravokutni trokut
⋁	n-arni logički simbol „ili”
⋂	matematika, operator seta, presjek, presjek neograničenog broja operanada
⋃	matematika, unija, unija neograničenog broja operanada
⋅	operator, operator u obliku točke
⋆	operator, operator u obliku zvijezde
⋈	prirodni spoj
⋒	dvostruki presjek, matematika, operator seta, presjek
⋘	izrazito manje od, matematika, nejednakost
⋙	izrazito veće od, matematika, nejednakost
⋮	matematika, okomita trotočka, trotočka
⋯	elipsa, srednja vodoravna trotočka
⋰	dijagonala, dijagonalna trotočka gore udesno, elipsa, gore, matematika
⋱	dijagonalna trotočka dolje udesno, elipsa, matematika
■	ispunjeni kvadrat
□	neispunjeni kvadrat
▢	neispunjeni kvadrat sa zaokruženim kutovima
▣	neispunjeni kvadrat koji sadrži ispunjeni kvadrat
▤	kvadrat s vodoravnom ispunom
▥	kvadrat s okomitom ispunom
▦	kvadrat s ortogonalno iscrtanom ispunom
▧	kvadrat s ispunom od gore lijevo prema dolje desno
▨	kvadrat s ispunom od gore desno prema dolje lijevo
▩	kvadrat s dijagonalno iscrtanom ispunom
▬	ispunjeni pravokutnik
▭	neispunjeni pravokutnik
▮	ispunjeni okomiti pravokutnik
▰	ispunjeni paralelogram
▲	gore, ispunjen trokut usmjeren prema gore, ispunjeno, strelica, trokut
△	neispunjeni trokut okrenut prema gore
▴	mali ispunjeni trokut okrenut prema gore
▵	mali neispunjeni trokut okrenut prema gore
▷	neispunjeni trokut okrenut udesno
▸	mali ispunjeni trokut okrenut udesno
▹	mali neispunjeni trokut okrenut udesno
►	ispunjeni pokazivač udesno
▻	neispunjeni pokazivač udesno
▼	dolje, ispunjen trokut usmjeren prema dolje, ispunjeno, strelica, trokut
▽	neispunjeni pokazivač prema dolje
▾	mali ispunjeni trokut okrenut prema dolje
▿	mali neispunjeni trokut okrenut prema dolje
◁	neispunjeni trokut okrenut ulijevo
◂	mali ispunjeni trokut okrenut ulijevo
◃	mali neispunjeni trokut okrenut ulijevo
◄	ispunjeni pokazivač ulijevo
◅	neispunjeni pokazivač ulijevo
◆	ispunjeni romb
◇	neispunjeni romb
◈	ispunjeni romb unutar neispunjenog romba
◉	ispunjeni krug unutar neispunjenog kruga
◊	dijamant, romb, znak romba
○	krug, prazan krug, prsten
◌	točkasti krug
◍	krug s okomitom ispunom
◎	koncentrični krugovi
●	ispunjen krug, krug
◐	krug s ispunjenom lijevom polovicom
◑	krug s ispunjenom desnom polovicom
◒	krug s ispunjenom donjom polovicom
◓	krug s ispunjenom gornjom polovicom
◔	krug s ispunjenom gornjom desnom četvrtinom
◕	krug s neispunjenom gornjom lijevom četvrtinom
◖	lijeva ispunjena polovica kruga
◗	desna ispunjena polovica kruga
◘	obrnuta grafička oznaka
◙	neispunjeni krug u ispunjenom kvadratu
◜	kružni luk gornje lijeve četvrtine
◝	kružni luk gornje desne četvrtine
◞	kružni luk donje desne četvrtine
◟	kružni luk donje lijeve četvrtine
◠	gornji polukrug
◡	donji polukrug
◢	ispunjeni trokut okrenut dolje desno
◣	ispunjeni trokut okrenut dolje lijevo
◤	ispunjeni trokut okrenut gore lijevo
◥	ispunjeni trokut okrenut gore desno
◦	neispunjena grafička oznaka
◯	krug, prsten, velik prazni krug
◳	neispunjeni kvadrat s gornjom desnom četvrtinom
◷	neispunjeni krug s gornjom desnom četvrtinom
◿	trokut okrenut dolje desno
♪	glazba, nota, osminka
⨧	plus i broj 2 u indeksu
⨯	vektorski proizvod
⨼	interni proizvod
⩣	logičko „ili” s dvostrukom podcrtom
⩽	ukošeno manje od jednako
⪍	manje od iznad slično jednakom
⪚	dvostruka linija jednaka veće od
⪺	slijedi iznad nije približno jednako
♭	glazba, nota, snizilica
♯	glazba, nota, povisilica
😀	cerek, lice, lijepo, nasmijano lice, smajlić, smiješak, sretno, usta, veselo, zubi
😃	izvrsno, lice, nasmijano lice s velikim očima, otvorena usta, smajlić, smijanje, smiješak, sretno, usta, zubi
😄	lice, nasmijano lice s nasmiješenim očima, oko, otvoreno, oči, smajlić, smiješak, sretno, usta
😁	lice, lice koje sija od zadovoljstva s nasmiješenim očima, lijepo, oko, oči, smajlić, smiješak, sretno, sretno lice s nasmiješenim očima, zubi
😆	haha, hahaha, nasmijano lice s čvrsto zatvorenim očima, otvorena usta, smijeh, smiješak, sretno, sreća, zadovoljno, zatvorene oči
😅	hladno, nasmijano lice s kapljicom znoja, nervozno, otvoreno, pod stresom, smajlić, smiješak, stres, uzbuđeno, znoj
🤣	hahaha, hehe, plačem, plačem od smijeha, smajlić, smijeh, smiješno, umirem od smijeha, valjanje od smijeha, veselje
😂	hahaha, lice sa suzama radosnicama, lol, plač od smijeha, plačem, smajlić, smijeh, smiješno, sreća, veselje
🙂	blago nasmiješeno lice, lice, smajlić, smiješak
🙃	gore-dolje, lice, naopačke okrenuto lice, smajlić
🫠	haha, lice koje se topi, nestajanje, posramljeno, razgrađivanje, sarkastično, sarkazam, tekućina, toplina, topljenje, toplo
😉	flert, lice, lice koje namiguje, namigivanje, smajlić, zavodljivo
😊	lice, nasmiješeno lice s nasmiješenim očima, oči, rumeno, smajlić, smiješak
😇	anđeli, anđeo, aureola, bajka, blagoslovljeno, duh, fantazija, nasmiješeno lice s aureolom, nevinost, smajlić
🥰	lice, ljubav, nasmijano lice s 3 srca, nasmijano lice sa srcima, nasmijano sa srcima, obožavanje, romansa, romantika, volim te, zaljubiti se, zaljubljenost
😍	lice, ljubav, nasmiješeno lice s očima u obliku srca, oči, smajlić, smiješak, srce
🤩	lice, lice s očima u obliku zvijezda, oduševljenje, oči, smajlić, smiješak, uzbuđenost, zvijezda
😘	flert, lice, lice koje šalje poljubac, ljubav, ljubavnik, nedostaješ mi, poljubac, romantično, srce, volim te
😗	flert, izlasci, lice, lice koje ljubi, ljubav, poljubac, pusa, smajlić, spoj, volim te
☺️	istaknuto, lice, nasmiješeno lice, opušteno, smajlić, smiješak
😚	flert, izlasci, lice, lice koje ljubi zatvorenih očiju, oko, oči, poljubac, poljupci, pusa, puse, rumeno, smajlić, spoj, zatvoreno
😙	flert, izlasci, lice, lice koje ljubi s nasmiješenim očima, ljubav, noć, oko, oči, poljubac, poljupci, smajlić, smiješak, spoj, zatvorene oči
🥲	bol, dirnutost, lice, nasmiješeno lice sa suzom, olakšanje, ponos, smiješak, sreća, suza, zahvalnost
😋	fino, glad, jesti, lice, lice koje uživa u hrani, njam, puno, smajlić, smiješak, ukusno
😛	izvrsno, jezik, lice, lice s isplaženim jezikom, lice s jezikom, lijepo, slatko, smajlić, zabava
😜	jezik, lice s isplaženim jezikom koje namiguje, ludo, namigivanje, oči, smajlić, smiješno, zabava, šala, šašavo
🤪	lude oči, ludo, ludo lice, malo, nejednake oči, oko, oči, veliko, šašavo
😝	gadno, jezik, lice, lice s isplaženim jezikom i zatvorenim očima, lice s isplaženim jezikom i čvrsto zatvorenim očima, odvratno, oko, okus, oči, užasno
🤑	lice, novac, plaća, pohlepno lice, smajlić, usta
🤗	grljenje, lice, lice koje grli, otvorene ruke, ruke, smajlić, zagrljaj
🤭	hihotanje, iznenadna spoznaja, iznenađenje, lice s rukom preko usta, smajlić, tajna, ups, šok
🫢	divljenje, iznenađenje, lice s otvorenim očima i rukom preko usta, nevjerica, omg, preplašenost, strah, čuđenje, šok, šokantno
🫣	neugoda, očaranost, preplašenost, skrivanje, sram, sramežljivost, strah, virenje, virenje na jedno oko, viriti
🤫	lice koje ušutkava, smajlić, tišina, ušutkavanje
🤔	brada, lice, lice koje razmišlja, razmatrati, razmišljanje, smajlić, zapitati se
🫡	da, lice koje salutira, pozdrav, poštovanje, salutiranje, sretno, sunčano, u redu, vojska
🤐	lice, lice s patentnim zatvaračem preko usta, lice s ustima zatvorenim patentnim zatvaračem, patentni zatvarač, smajlić, tajna, tiho, usta
🤨	blago iznenađenje, hm, iznenađenje, lice s podignutom obrvom, neodobravanje, nepovjerenje, nevjerica, skepticizam, skeptik, skeptično
😐️	bezizražajno, loše, mrtvo, neutralno, neutralno lice, nije impresivno, nije smiješno, nije zabavno, prazno, ravno lice, čudno
😑	bezizražajno, bezizražajno lice, loše, mrtvo, neutralno, nije impresivno, nije smiješno, nije zabavno, prazno, ravno lice, čudno
😶	bez riječi, bezizražajno, lice, lice bez usta, ne mogu, prazno, tajna, tiho, tišina, čudno
🫥	depresivno, introvert, lice obrubljeno točkastom crtom, meh, nestajanje, nestati, nevidljivo, sakrivanje, sakriveno, svejedno
😶‍🌫	glava u oblacima, lice u magli, lice u oblacima, zaboravnost
😏	flert, frend, lice koje se smijulji, namigivanje, obrve, smajlić, smijuljenje, sumnjivo, uglađeno, šaliti se
😒	dosađivanje, lice, lice s izrazom dosade, ljubomorno, nervozno, nesretno, nezadovoljstvo, nije zabavno, smajlić, u redu, čudno
🙄	kolutanje, kolutanje očima, lice, lice s kolutajućim očima, nije me briga, oči, smajlić, svejedno
😬	cerekanje, grimasa, lice, lice s grimasom, lice sa zubima, ništa, smajlić, smiješak, zubar, čudno
😮‍💨	dim, iscrpljenost, izdisaj, lice koje izdiše, olakšanje, puhanje, stenjanje, uzdah, zvižduk, šapat
🤥	laganje, laž, lice, lice koje laže, pinokio, smajlić
🫨	drhtanje, drhteće lice, iznenađenje, lice, ludilo, omg, potres, trešnja, vibracija, vibriranje, šok
🙂‍↔	gesta ne, vodoravno okretanje glavom
🙂‍↕	gesta da, okomito klimanje glavom
😌	lice, lice s izrazom olakšanja, mir, olakšanje, smajlić, smireno, zen
😔	bezvoljnost, dosadno, gubitak, lice, mrtav, razočaranje, smajlić, tuga, užasno, zamišljeno lice, zamišljenost
😪	laku noć, lice, plakanje, pospano lice, smajlić, spavanje, tužno, umorno
🤤	lice, lice koje slini, slinjenje
😴	drijemati, krevet, laku noć, lice koje spava, noć, pospano, spavanje, umor, vrijeme za spavanje, zijevanje, zzz
🫩	iscrpljenost, lice s podočnjacima, pospano, umorno
😷	bolest, dermatolog, doktor, lice, lice s medicinskom maskom, maska, medicina, mikrobi, prehlada, zubar
🤒	bolesno, lice, lice s toplomjerom, prehlada, toplomjer
🤕	bol, lice, lice sa zavojem, ozljeda, zavoj
🤢	lice, lice kojem je pozlilo, muka, odvratno, povraćanje
🤮	bolest, lice koje povraća, mučnina, povraćanje
🤧	bolesno, kihanje, lice, lice koje kiše, nazdravlje, prehlada
🥵	crveno lice, dahtanje, isplažen jezik, lice, pregrijano lice, toplinski udar, umiranje, vruće, vrućica, znoj
🥶	hladni zubi, hladno, ledeno, lice, ozebline, plavo lice, poplaviti, smrznuto, zamrznuto lice
🥴	intoksikacija, iskrivljena usta, nejednake oči, ošamućeno lice, pripitost, vrtoglavica
😵	bolest, lice, lice s vrtoglavicom, mrtvo, nokautiran, osjećaj, prekrižene oči, umor, vrtoglavica
😵‍💫	hipnotizirano, iznenađenje, lice sa spiralnim očima, nevolja, spiralno, vrtoglavica, zbunjeno
🤯	eksplodirajuća glava, šok
🤠	kauboj, kauboj sa šeširom, kaubojka, lice, šešir
🥳	hura, lice koje se zabavlja, proslava, rođendan, rođendanski šešir, slavlje, sretan rođendan, tulum, uzbuđenje, zabava, šešir
🥸	brkovi, inkognito, lice, maska, naočale, nos, obrve, prerušeno lice, špijun, špijuniranje
😎	cool, izvrsno, kuliranje, naočale, nasmiješeno lice sa sunčanim naočalama, opuštenost, plaža, smiješak, stil, sunčane naočale
🤓	inteligentan, lice, lukav, pametan, pametnjaković, smajlić, stručnjak, šmokljan, štreber, štrebersko lice
🧐	bogataš, lice s monoklom, otmjeno, smajlić, uštogljeno
😕	hmm, lice, ne znam, nisam siguran, tužan, zbunjen, zbunjeno lice, zbunjenost, žao mi je
🫤	frustracija, frustrirano, lice s nakošenim ustima, meh, nesigurno, razočarano, skeptično, svejedno, zbunjeno, zbunjenost
😟	anksioznost, briga, iznenađenje, lice, pod stresom, stres, tuga, zabrinuto lice, zabrinutost, živci, živčanost
🙁	blago namrgođeno lice, lice, mrgođenje, tužno
☹️	lice, mrgođenje, namrgođeno lice, tužno
😮	iznenađenje, lice, lice s otvorenim ustima, ne vjerujem, nestvarno, nevjerojatno, otvoreno, suosjećanje, usta, šok
😯	ajme, iznenađenje, iznenađeno lice, lice, nevjerojatno, ušutkano, zapanjen
😲	lice, nema šanse, nevjerojatno, zapanjeno lice, zapanjenost, šok
😳	krivnja, lice, nesigurnost, neugoda, nevjerica, rumenost, vruće, zacrvenjeno lice, zarumenjeno lice, čudno
🥺	milost, molećivo lice, molim, molim lijepo, molim vas, moliti, pseći pogled, tužno, velike oči, zašto ne
🥹	aw, aww, divljenje, lice koje se suzdržava od suza, ljutito, molim, osjećaji, otpor, plač, ponos, sram, suze radosnice, tuga, zahvalnost
😦	iznenađenje, iznenađeno, lice, mrgođenje, namrgođeno lice s otvorenim ustima, preplašeno, strašno, usta, vau, što
😧	izmučeno lice, iznenađenje, lice, muka, nesretan, pod stresom, preplašeno, strašno, vau, zaboravljeno, što
😨	anksioznost, krivnja, lice, preplašeno lice, preplašenost, strah, zabrinutost
😰	anksiozno lice s kapljicom znoja, hladno, lice, lice s otvorenim ustima i hladnim znojem, nervozno, plavo, preplašeno, užurbano, znoj
😥	anksiozno, komplicirano, lice, ne ovaj put, olakšanje, razočaranje, tužno, tužno lice, ali s izrazom olakšanja, zamalo, znoj
😢	grozno, lice, lice koje plače, nedostajati, nesretan, osjećaj, plakanje, plakati, suze, tuga
😭	jecanje, lice, lice koje glasno plače, nesretan, plakanje, ridanje, suze, tuga, tužan
😱	iznenađenje, krik, lice, lice koje vrišti od straha, munch, strah, vrisak, šok, šokiran
😖	frustriranost, lice, lud, osjećaj, smeteno lice, smetenost, susramlje, tužan, zbunjeno lice, zbunjenost, živčanost
😣	glavobolja, koncentracija, koncentrirati se, lice, odlučno lice, usredotočenost, ustrajanje
😞	grozno, gubitak, krivnja, lice, nesretan, razočaranje, razočarano lice, tuga, užasno
😓	glavobolja, hladno, lice, nervoza, osjećaj, strah, to je bilo blizu, tuga, tužno lice s kapljicom znoja, znoj
😩	brige, glad, lice, neee, nesretan, neuspjeh, plakanje, pospanost, tegobno lice, tužno lice, umor
😫	drijemanje, kihanje, lice, osjećaj, tužno, umor, umorno lice
🥱	dosadno, drijemati, drijemež, laku noć, lice, noć, pospanost, umor, vrijeme za spavanje, zijevajuće lice, zijevanje, zz, zzz, zzzz
😤	bijes, lice, lice kojem ide para na nos, ljut, ljutnja, ljuto, nesretan, para, pobjeda, trijumf
😡	bijes, crvenilo, crveno, durenje, izluđujuće, lice koje se duri, ljut, ljutnja, lud, nesretan, uzrujan
😠	bijes, frustriranost, izluđujuće, krivnja, ljut, ljutito lice, ljutnja, lud, nesretan, osjećaj, uzrujan
🤬	cenzura, lice sa simbolima na ustima, lud, psovanje, ružne riječi, uzrujan
😈	bajka, lice, ljubičasto lice, nasmiješeno lice s rogovima, rogovi, smiješak, vrag, zlo
👿	bajka, demon, fantazija, ljubičasto lice, ljuto, ljuto lice s rogovima, nestašno, vrag, vražićak, zlo
💀	bajka, lice, lubanja, smrt, čudovište
☠️	kosti, lice, lubanja, lubanja i prekrižene kosti, smrt, čudovište
💩	drek, drekec, govance, hrpica izmeta, izmet, lice, smrdljivo, strip, čudovište
🤡	klaun, lice, lice klauna
👹	bajka, fantazija, japanski div, lice, maska, ogar, strašno, stvor, vrag, čudovište
👺	bajka, fantazija, goblin, lice, ljut, maska, stvor, zlo, čudovište
👻	bajka, duh, mašta, stvor, čudovište
👽️	izvanzemaljac, lice, mašta, nlo, stvor
👾	izvanzemaljac, izvanzemaljsko čudovište, lice, nlo, stvor, čudovište
🤖	lice, robot, robotsko lice, čudovište
😺	lice, mačka, nasmijana mačka, otvorena usta, smiješak, usta, životinja
😸	cerenje, lice, mačka, nasmijana mačka s nasmiješenim očima, nasmijano lice mačke s nasmiješenim očima, oči, smiješak, životinja
😹	lice, lice mačke sa suzama radosnicama, mačka, mačka sa suzama radosnicama, smijanje, smijeh, suze, veselje, životinja
😻	lice, ljubav, mačka, nasmiješena mačka s očima u obliku srca, nasmiješeno lice mačke s očima u obliku srca, oči, smiješak, srce, životinja
😼	ironija, iskrivljeno, lice, lice mačke s kiselim osmijehom, mačka, mačka s kiselim osmijehom, smiješak, životinja
😽	lice, lice mačke koja šalje poljubac sa zatvorenim očima, mačka, mačka koja ljubi, oko, poljubac, životinja
🙀	briga, izbezumljena mačka, iznenađenje, lice, mačka, životinja
😿	lice, mačka, plakanje, suze, tuga, uplakana mačka, životinja
😾	durenje, lice, mačka, mačka koja se duri, životinja
🙈	majmun, majmun koji ne vidi ništa loše, ne, ne mogu gledati, neugodno, tajna, vidjeti, zaboravio, zlo, životinja
🙉	majmun, majmun koji ne čuje ništa loše, ne, slušanje, tajna, uši, zabranjeno, zlo, čuti, životinja
🙊	govoriti, majmun, majmun koji ne govori ništa loše, nevidljivo, tajna, tiho, ups, zabranjeno, zlo, životinja
💌	ljubav, ljubavno pismo, pismo, pošta, smajlić, srce
💘	kupid, romantika, srce, srce sa strelicom, strelica
💝	emocija, godišnjica, poljupci, puse, srce, srce s trakom, traka, valentinovo
💖	dobro jutro, emocija, iskre, laku noć, osjećaji, poljupci, puse, srce, svjetlucavo srce, uzbuđenost
💗	emocija, nervoza, poljupci, puls, pulsiranje, srce, srce koje raste, uzbuđenje, uzbuđenost
💓	kucanje, otkucaj, puls, srce, srce koje kuca
💞	godišnjica, okretanje, srca koja se vrte u krug, srce
