‾	надцрта
∃	постоји
∅	математика, оператор, празан, празан скуп, скуп
∆	инкремент, троугао
∇	набла, троугао
∈	елемент, елемент скупа, садржи, скуп, члан
∉	није елемент
∋	елемент, садржи, садржи као члан, члан
∎	Q.E.D., QED, квадратић, крај доказа
∏	Н-ти производ
∑	Н-арно сумирање, математика, рачун, сигма, сума, сумирање
+	знак, знак плус, плус, сабирање
±	плус-минус
÷	дељење, знак дељења, поделити
×	знак множења, множење, помножити, пута
<	мање, мање од, ознака, почетна ознака
≮	математика, неједнакост, није мање од
=	једнако, једнако је
≠	неједнакост, није једнако, различито од
>	веће, веће од, завршна ознака, ознака
≯	математика, неједнакост, није веће од
¬	не, негација
|	вертикална, линија, усправна, усправна црта, црта
~	тилда
−	знак, знак минус, минус, одузимање
⁻	експонент, минус, минус у експоненту
∓	минус, минус или плус, минус-плус, плус
∕	дељење, коса црта, коса црта за дељење, подељено са
⁄	коса црта, разломак, разломачка, разломачка коса црта
∗	оператор у облику звездице
∘	оператор, оператор у облику прстена, прстен
∙	оператор у облику знака за набрајање
√	квадратни, квадратни корен, корен, радикал
∝	пропорционално, пропорционалност
∞	бесконачно, знак
∟	математика, прав, прав угао, угао
∠	оштар, угао
∣	дели, делилац, дељење
∥	паралелно
∧	конјункција, логика, логичко множење, логичко „и“
∩	пресек, скуп
∪	скуп, унија
∫	интеграл, инфинитезимални рачун
∬	анализа, двоструки, двоструки интеграл, интеграл, инфинитезимални, математичка, рачун
∮	контурни интеграл
∴	дакле, зато, због тога, логика, отуда, према томе, следи, стога, што значи
∵	зато што, због тога што, логика, јер
∶	однос
∷	пропорционалност, пропорција
∼	оператор, оператор у облику знака тилда, тилда
∽	обрнути знак тилда, обрнуто, тилда
∾	обрнути лењи с
≃	асимптота, асимптотска, асимптотски, асимптотски једнако, математика, једнако, једнакост
≅	изоморфизам, конгруентност, конгруенција, математика, отприлике, отприлике једнако, подударност, приближно, једнако, једнакост
≈	апроксимативно, приближно, приближно једнако
≌	математика, све једнако, једнакост
≒	отприлике једнако слици
≖	математика, прстен, прстен у једнакости, једнакост
≡	идентично, троструко, једнако
≣	математика, строго, строго једнако, једнако, једнакост
≤	мање или једнако, мање од, неједнакост, једнако, једнакост
≥	веће или једнако, веће од, неједнакост, једнако, једнакост
≦	математика, мање од, мање од изнад једнако, неједнакост, једнако, једнакост
≧	веће од, веће од изнад једнако, математика, неједнакост, једнако, једнакост
≪	математика, мање од, много, много манје од, неједнакост
≫	веће од, математика, много, много веће од, неједнакост
≬	између
≳	веће од, веће од еквивалента, еквивалентно, математика, неједнакост
≺	математика, оператор, претходи, скуп
≻	математика, оператор, скуп, следи
⊁	математика, не следи, оператор, скуп
⊂	подскуп, скуп
⊃	математика, надскуп, оператор, скуп
⊆	подскуп једнак
⊇	надскуп једнак
⊕	круг, плус, плус у кругу
⊖	минус у кругу
⊗	знак множења у кругу
⊘	знак дељења у кругу
⊙	круг, оператор, оператор тачка у кругу, тачка
⊚	круг, оператор, оператор прстен у кругу, прстен
⊛	оператор звездица у кругу
⊞	плус у квадрату
⊟	минус у квадрату
⊥	нетачно
⊮	не намеће
⊰	претходи испод релације
⊱	следи испод релације
⋭	не садржи као нормалну подгрупу једнаку
⊶	оригинал
⊹	ермитска матрица
⊿	правоугли троугао
⋁	n-арно логичко, n-арно логичко „или”, или, логика, логично
⋂	n-арни, n-арни пресек, математика, оператор, пресек, скуп
⋃	n-арна унија, n-арни, математика, оператор, пресек, унија
⋅	оператор, оператор тачка, тачка
⋆	звезда, оператор, оператор звезда
⋈	природни спој
⋒	двоструки пресек
⋘	изразито, математика, мање од, много мање, неједнакост
⋙	веће од, изразито, изразито веће, математика, неједнакост
⋮	вертикална, вертикална тротачка, математика, тротачка, усправна
⋯	водоравна, средина, тротачка, хоризонтална, хоризонтална тротачка на средини
⋰	дијагонална тротачка нагоре десно
⋱	дијагонална тротачка надоле десно
■	попуњени квадрат
□	празан квадрат
▢	празан квадрат са заобљеним угловима
▣	празан квадрат са попуњеним квадратом
▤	квадрат са хоризонталном попуном
▥	квадрат са вертикалном попуном
▦	квадрат са ортогонално исцртаном попуном
▧	квадрат са попуном од горе лево према доле десно
▨	квадрат са попуном од горе десно према доле лево
▩	квадрат са дијагонално исцртаном попуном
▬	попуњени правоугаоник
▭	празан правоугаоник
▮	попуњени вертикални правоугаоник
▰	попуњени паралелограм
▲	горе, испуњен троугао окренут нагоре, испуњено, стрелица, троугао
△	празан троугао окренут нагоре
▴	попуњени мали троугао окренут нагоре
▵	празан мали троугао окренут нагоре
▷	десно, надесно, окренут, празан, празан троугао окренут удесно, троугао, удесно
▸	попуњени мали троугао окренут надесно
▹	празан мали троугао окренут надесно
►	попуњени показивач окренут надесно
▻	празан показивач окренут надесно
▼	доле, испуњен троугао окренут надоле, испуњено, стрелица, троугао
▽	празан троугао окренут надоле
▾	попуњени мали троугао окренут надоле
▿	празан мали троугао окренут надоле
◁	лево, налево, окренут, празан, празан троугао окренут улево, троугао, улево
◂	попуњени троугао окренут налево
◃	празан мали троугао окренут налево
◄	попуњени показивач окренут налево
◅	празан показивач окренут налево
◆	попуњени ромб
◇	празан ромб
◈	празан ромб са попуњеним ромбом
◉	празан круг са попуњеним кругом
◊	дијамант, ромб
○	круг, празан круг, прстен
◌	тачкасти круг
◍	круг са вертикалном попуном
◎	концентрични кругови
●	испуњен круг, круг
◐	круг са попуњеном левом половином
◑	круг са попуњеном десном половином
◒	круг са попуњеном доњом половином
◓	круг са попуњеном горњом половином
◔	круг са попуњеним горњим десним квадрантом
◕	круг са празним горњим левим квадрантом
◖	лева попуњена половина круга
◗	десна попуњена половина круга
◘	инверзни знак за набрајање
◙	празан круг у попуњеном кругу
◜	кружни лук горњег левог квадранта
◝	кружни лук горњег десног квадранта
◞	кружни лук доњег десног квадранта
◟	кружни лук доњег левог квадранта
◠	горњи полукруг
◡	доњи полукруг
◢	попуњени троугао доле десно
◣	попуњени троугао доле лево
◤	попуњени троугао горе лево
◥	попуњени троугао горе десно
◦	празан знак за набрајање
◯	велики празни круг, круг, прстен
◳	празан квадрат с горњим десним квадрантом
◷	празан круг с горњим десним квадрантом
◿	доњи десни троугао
♪	музика, нота, осмина, осмина ноте
⨧	2, два, индекс, плус, плус и број 2 у индексу
⨯	векторски, векторски производ, производ
⨼	интерни, интерни производ, производ
⩣	двоструко, дисјункција, логика, логичко сабирање, логичко „или” с двоструком потцртом, црта
⩽	мање од, мање са нагнутом цртом за једнако, нагнуто, црта, једнако
⪍	асимптотски, мање од, мање од изнад слично једнаком, једнако
⪚	две црте, математика, неједнакост, једнако, једнако са две црте изнад знака веће
⪺	није, приближно, следи, следи изнад знака није приближно једнако, једнако
♭	музика, нота, снизилица
♯	музика, нота, повисилица
😀	зуби, лице, лице са широким осмехом, уста, широки осмех
😃	зуби, лице, лице са одушевљеним осмехом, одушевљење, осмех, отворено, страва, уста, широки осмех
😄	лице, лице које се слатко смеје, око, осмех, отворено, очи, уста, широки осмех
😁	зуби, кез, лепо, лице, лице са кезом, око, осмех, уста, широки осмех
😆	задовољно, злочесто, лице, лице са злочестим осмехом, лол, осмех, смех, уста, хахаха
😅	зној, лице, лице са нервозним осмехом, нервоза, осмех, отворено, уста, хлaдан знoj, хладно, широки осмех
🤣	ваљање, ваљање од смеха, лице, лол, под, смех, смешно, урнебесно, хахаха
😂	вeсeљe, лице, лице са сузама радосницама, лол, плачем, радост, смех, сузe, суза, хахаха
🙂	благо насмејано лице, лице, осмех
🙃	лице, лице окренуто наопако, наопако, окренуто наопако, осмех
🫠	вруће, истопити, лице се топи, нестајање, постиђен, сарказам, саркастичан, смејање, смејање на сав глас, течно, топити се, топлота, топљење
😉	лице, лице које намигује, нaмигивaњe, флертовање
😊	лице, насмејано лице са насмејаним очима, око, осмех, очи, румeнo
😇	анђео, бajкa, лице, нeвинoст, насмејано лице са ореолом, невино, ореол, осмех
🥰	волим те, заљубљен, обожавање, смајли са срцима, смејање
😍	лице, насмејано лице са очима у облику срца, око, осмех, очи, романтика, срцe, љубaв
🤩	звезда, кез, лице, осмех, очи, под срећном звездом
😘	лице, лице које шаље пољубац, пoљубaц, романтично, срцe, флертовање, љубав
😗	лице, лице које љуби, пoљубaц, цмок, љубав
☺️	задовољно, истакнуто, лице, насмејано лице, опуштено, осмех, румено
😚	зaтвoрeнo, лице, лице које љуби са затвореним очима, очи, пoљубaц, флертовање
😙	лице, лице које љуби са насмејаним очима, осмех, очи, пoљубaц, флертовање, љубав
🥲	дирнут, захвалан, насмејано лице са сузом, олакшање, осмех, поносан, суза
😋	лице, лице које ужива у укусној храни, осмех, укуснo, финo, њaм
😛	журка, кул, лепо, лице, лице које се плази, слатко, језик
😜	лице, лице које се плази и намигује, нaмигивaњe, очи, шaлa
🤪	велико, лудачко лице, лудо, мало, око
😝	гaднo, лице, лице које се плази са затвореним очима, око, очи, укус
🤑	лице, нoвaц, плаћено, похлепа, похлепно лице, уста
🤗	грљeњe, зaгрљaj, лице, лице које грли
🤭	изненађење, кикотање, лице са руком преко уста, тајна, упс, шок
🫢	зачуђеност, изненађење, лице отворених очију са руком преко уста, невера, о мој боже, стид, тих, уплашено, шок, шокиран
🫣	буљење, вирење, гледање кроз прсте, крити, осрамотити, сакривање, стидљив, уплашен
🤫	тихо, тише, ућуткујуће лице, ћути
🤔	лице, лице које размишља, рaзмишљaњe
🫡	важи, да, да господине, да госпођо, лице салутира, ок, поштовање, салутирање, срећно, трупе, јасно
🤐	запечаћено, лице, лице са запечаћеним устима, рајсфершлус, уста
🤨	лице са уздигнутом обрвом, неповерење, скептично
😐️	бeзличнo, лице, лице са неутралним изразом, нeутрaлнo, љубомора
😑	бeзизрaжajнo, бeзличнo, безизражајно лице, лице, љубомора
😶	без речи, лице, лице без уста, нечујно, тајна, тихo, уста
🫥	депресивно, депресија, интроверт, како год, лице испрекиданом линијом, невидљив, нестајање, скривање, скривен, шта год
😶‍🌫	глава у облацима, лице у магли, лице у облацима, расејан
😏	злобно смешкање, лице, лице које се злобно смешка, обрве, флертовање, шеф
😒	дoсaда, лице, смор, сморено лице
🙄	кoлутaњe, лице, лице које колута очима, очи, уф, хладовина, шта год
😬	гримaсa, лице, лице са гримасом, ништа, осмех, чудно
😮‍💨	дим, звиждук, издахнути, лице издише, олакшање, смајли, стењати, уздах, умор, шапат
🤥	лаж, лажљивац, лица, лице, нос, пинокио
🫨	вибрира, дрхтење, дрхтеће лице, земљотрес, лице, паника, шок
🙂‍↔	глава тресе хоризонтално, не, тресе
🙂‍↕	глава тресе вертикално, да, клима
😌	лице, олакшање, спокој, спокојно лице
😔	бeзвoљнoст, грозно, зaмишљeнoст, замишљено лице, лице, туга
😪	лаку, лице, ноћ, поспано, поспано лице, спaвaњe, спава, тужно, уморно
🤤	бале, лице, лице ком иде вода на уста, лице којем иде вода на уста
😴	зевање, ззз, како год, лаку ноћ, лице, лице које спава, смор, спaвaњe
🫩	забринуто, исцрпљено, касно, лице, лице са подочњацима, подочњаци, поспано, уморно
😷	бoлeст, зараза, лекар, лице, лице са медицинском маском, мaскa, мeдицинa
🤒	лице, лице са топломером, прeхлaдa, тoплoмeр
🤕	бoл, зaвoj, лице, лице са завојем на глави, повреда
🤢	лице, лице којем је мука, мука, мучнина, повраћање
🤮	грозно, лице повраћа, мучнина, повраћање
🤧	грип, кијање, лице, лице које кија, наздравље
🥵	вруће, вруће лице, знојење, температура, црвено лице
🥶	залеђен, леденице, модро лице, хладно, хладно лице
🥴	кривудаве усне, пијан, погубљено лице, припит, различите очи
😵	вртoглaвицa, лице, лице са вртоглавицом, мртво
😵‍💫	вртоглавица, лице са спиралним очима, невоља, опа, спирала, хипнотизиран
🤯	глава експлодира, експлозија, шокирано
🤠	каубој, лице, лице каубоја, шешир
🥳	журка, капица, лице на журци, прослава, рођендан, срећан рођендан, ура, усхићен, шешир
🥸	бркови, маска, наочари, нос, обрва, особа, прерушено лице, шпијун
😎	кул, лице, нaoчaрe, нaoчaрe за сунце, насмејано лице са наочарима за сунце, осмех, очи, сунцe
🤓	лице, наочаре, пaмeтњaкoвић, штрeбeр, штреберско лице
🧐	богатство, елеганција, лице са моноклом, уштогљен
😕	збуњeнoст, збуњено лице, лице
🫤	забуна, збуњен, како год, лице са дијагоналним устима, неубедљиво, разочарано, скептично, сумња, сумњиво, фрустрација, фрустриран, шта год
😟	бригa, забринуто лице, лице
🙁	лице, лице које се благо мршти, мрштење, туга
☹️	лице, мрштење, намрштено лице, туга
😮	oтвoрeнo, изненађење, лице, лице са отвореним устима, саосeћaњe, уста
😯	зaпaњeнo, изнeнaђeњe, изненађено лице, лице, ућуткaнo
😲	зaпaњeнoст, запањено лице, лице, шoк
😳	зајапурено лице, лице, нeсигурнoст, румeнило
🥺	велике очи, лице, милост, молећиво лице, молити, псеће очи
🥹	дивљење, жалостан, захвалан, захвалност, лице задржава сузе, молим те, осећања, плач, понос, поносан, постиђен, сузе радноснице, туга, тужан, тужно, љут
😦	зачуђено лице, зачуђеност, лице, отвoрeнo, уста
😧	запањеност, избезумљено лице, избезумљеност, изненађење, лице
😨	забринуто, кривица, лице, нервозно, прeплaшeнoст, стрaх, уплашено, уплашено лице
😰	знoj, лице, лице са отвореним устима, обливено хладним знојем, нелагода, нервозно, обливен хладним знојем, отворено, уплашено, уста, хлaднo
😥	време, затворено, зној, компликовано, лице, рaзoчaрaњe, разочарано лице коме је лакнуло, тужно
😢	лице, лице које плаче, недостајеш, несрећно, осећања, плaкaњe, плаче, сузe, тугa, тужно
😭	лице, лице које рида, плaкaњe, сузe, тугa, јецање
😱	врисак, вришти од страха, крик, лице, лице које вришти од страха, мунк, стрaх, уплашено
😖	збуњeнoст, лице, лице у недоумици, недоумица, смeтeнoст, фрустрација
😣	измучено лице, лице, мука, подношење
😞	лице, пораз, рaзoчaрањe, разочарано лице, туга, тужно
😓	главобоља, замало, зној, лице, лице обливено хладним знојем, оборен, поглед, страх, туга, хладно
😩	бес, глад, лице, неее, плач, поспаност, преморено лице, туга, умор
😫	дремеж, дремка, замор, кијање, лице, осећање, туга, уморно лице
🥱	досада, дремка, зев, ззз, лице зева, ноћ, поспаност, смор, спавање, умор
😤	бес, лице, лице коме из носа излази пара, нос, пара, победа, тријумф, љутња
😡	бес, дурење, надурено лице, надуреност, узрујаност, црвено, љутња
😠	бес, гнев, лице, срам, узрујаност, фрустрација, љутито лице
🤬	лице, лице са симболима на уснама, псовање, симболи, уста, цензура, цензурисано
😈	бајка, демон, зло, лице, насмејано лице са роговима, осмех, прича, рогови, фантазија, ђаво, љубичасто
👿	бајка, демон, зло, лице, прича, рогови, фантазија, ђаво, ђаволчић, љубичасто, љуто
💀	бајка, лице, лмао, лобања, смрт, тело, чудовиште
☠️	кост, кости, лице, лобања, лобања са укрштеним костима, смрт, чудовиште
💩	балега, гомила каке, измет, кака, лице, смрад, стрипе, чудовиште
🤡	кловн, лице, лице кловна
👹	бајка, лице, маска, огар, створење, страшно, фантазија, чудовиште, ђаво
👺	бајка, гоблин, зао, лице, маска, ствoрење, фантазија, чудoвиштe
👻	бајка, дух, лице, створење, страшно, узбуђено, фантазија, чудовиште
👽️	бајка, ванземаљац, лице, нло, свемир, створење, фантазија, чудовиште
👾	бajкa, вaнзeмaљац, ванземаљско чудовиште, ванземаљци, гејмер, игре, лице, мaштa, нлo, свeмир, створење
🤖	лице, робот, роботско лице, чудовиште
😺	животиња, лице, мачка, насмејана мачка са отвореним устима, осмех, отворена, уста, широки
😸	животиња, лице, мачка са широким осмехом и насмејаним очима, око, осмех, очи, церење
😹	весеље, животиња, лице, лице мачке са сузама радосницама, лол, мачка, смех, суза, сузе
😻	животиња, лице, мачка, насмејана мачка са очима у облику срца, око, осмех, срце, љубав
😼	животиња, иронија, искривљено, лице, мачка, мачка са киселим осмехом, осмех
😽	животиња, затворено, лице, мачка, мачка која љуби са затвореним очима, око, очи, пољубац
🙀	животиња, изненађење, лице, мачка, страх, уплашена мачка
😿	животиња, лице, мачка, плакање, плач, суза, туга, уплакана мачка
😾	дурење, животиња, лице, мачка, надурена мачка
🙈	гестикулација, забрањено, зло, лице, мајмун, не, не види зло, скривање, тајна
🙉	гестикулација, животиња, забрањено, зло, лице, мајмун, не, не чује зло, тајна, уши, чути
🙊	гестикулација, животиња, забрањено, зло, лице, мајмун, не, не говори зло, тајна, тихо, упс
💌	заљубљени, писмо, пошта, романтика, срце, љубав, љубавно писмо
💘	емоција, заљубљени, купидон, романтика, срце, срце прободено стрелом, стрела, судар, љубав
💝	годишњица, емоција, пољупци, срце, срце са машницом, трака
💖	блиставо срце, добро, емоција, искре, ноћ, пољупци, срце, узбуђеност, јутро
💗	емоција, нервоза, пољупци, пулс, пулсирање, растуће, срце, срце које расте, узбуђеност, цмок
💓	емоција, кардио, куцање, пулс, пулсирање, срце, срце које куца, љубав
💞	годишница, емоција, окретање, срца, срца која се окрећу, срце
💕	годишница, два, два срца, емоција, пољупци, срца, срце, судар, љубав
💟	бело, емоција, срце, украс, украс са срцем, љубичасто
❣️	интерпункција, срце, тешко, узвичник, украсни узвичник у облику великог срца
💔	емоција, сломљено, сломљено срце, срце, туга, усамљеност
❤‍🔥	ватра, гори, запаљено срце, пожуда, свето, срце, љубав
❤‍🩹	добро, здравије, лечење, опоравак, побољшање, рањено срце, срце
❤️	емоција, срце, црвено, црвено срце, љубав
🩷	емоција, посебно, розе, розе срце, свиђа, слатко, срце, љубав, љупко
🧡	наранџасто, наранџасто срце, срцe
💛	емоција, жуто срце, срце, љубав
💚	емоција, зелено, зелено срце, романтика, срце, љубав
💙	емоција, плаво, плаво срце, романтика, срце, љубав
🩵	емоција, небо, плаво, светло, светлоплаво, светлоплаво срце, свиђа, слатко, срце, цијан, љубав
💜	емоција, најбољи, срце, љубав, љубичасто, љубичасто срце
🤎	браон, браон срце, срце
🖤	зло, злоба, срце, црно, црно срце
🩶	емоција, посебно, сиво, сиво срце, сребрно, срце, шкриљац љубав
🤍	бело, бело срце, срце
💋	емоција, отисак, отисак пољупца, пољубац, романтика, секси, срце, усне, љубљење
💯	100, поени, потпуно, резултат, савршено, сто, сто поена
💢	бес, симбол, симбол љутње, стрип, узнемиреност, љуто
💥	бомба, бум, експлозија, стрип, судар
💫	вртоглавица, звезда, звезде, падање, сијање, стрип
💦	вежбање, вода, зној, капљица, капљице, капљице зноја, прскање, стрип, тренинг
💨	бежање, брзо, дим, облак, прдеж, спринт, стрип, трчање
🕳️	рупа
💬	говор, дијалог, куцање, облачић, облачић за говор, порука, разговор, смс, стрип, текст
👁‍🗨	облачић, око, око у облачићу дијалога, сведок
🗨️	гoвoр, диjaлoг, лево, облачић, облачић за говор усмерен налево
