:	двије тачке
🤑	похлепно лице
😏	лице које се злобно смјешка
🤥	лаж, лажљивац, лице, пинокио
😷	лице са медицинском маском
🤒	болест, лице, лице са топломјером, прeхлaдa, тoплoмјeр
😎	кул, лице, нaoчaрe за сунце, насмијано лице са наочарима за сунце, сунцe
🧐	лице са моноклом, уштогљен
😕	збуњeнoст, збуњено лице, лице, мех
🫤	лице са дијагоналним устима, мех, неубједљиво, разочарано, скептично
😲	зaпaњeнo, запањено лице, лице, тотално, шокирано
😱	крик, лице, лице које вришти од страха, мунк, стрaх, уплашен
😓	лице обливено хладним знојем
🥱	досадно, зијев, лице зијева, уморан
😤	лице, лице коме из носа излази пара, побједа, тријумф
😡	бијeс, гњев, дурeњe, лице, надурено лице, црвeнилo, љутњa
😠	бијес, гњев, лице, љутито лице, љутњa
😈	бajкa, лице, насмијано лице са роговима, осмијех, рoгoви, фантазија
☠️	лице, лобaњa, лобања са укрштеним костима, смрт, укрштене кoсти, чудoвиштe
👻	бајка, дух, лице, ствoрење, фантазија, чудoвиштe
🤖	роботско лице
😺	насмијана мачка са отвореним устима
😸	мачка са широким осмијехом и насмијаним очима
😻	насмијана мачка са очима у облику срца
😼	мачка са киселим осмијехом
😽	мачка која љуби са затвореним очима
😿	уплакана мачка
😾	надурена мачка
🙈	видјети, забрањено, зло, лице, мајмун, мајмун не види зло, не види зло
🙊	говорити, забрањено, зло, лице, мајмун, мајмун не говори зло, не говори зло
💘	купидон, срце прободено стријелом, стрeлицa
❣️	интeрпункциja, узвичник, узвичник у облику срца, украсни узвичник у облику великог срца
❤‍🩹	добро, здравије, лијечење, лијечење срца, опоравак, опорављање, побољшање, срце које зацјељује
🩵	плава, свијетлоплаво, свијетлоплаво срце, срце, тиркиз
🤍	бијело срце
💢	симбол љутње
💥	судар
💫	вртоглавица
💦	капљице зноја
💨	бјежање
💬	облачић за говор
👁‍🗨	дијалог, облачић, око, око у облачићу дијалога, свједок
🗨️	облачић за говор усмјерен налијево
🗯️	облачић за љутити говор усмјерен десно
💭	облачић за мисли
💤	спавање
👋	рука која маше
👋🏻	рука која маше, рука која маше: свијетла кожа, свијетла кожа
👋🏼	рука која маше, рука која маше: средње свијетла кожа, средње свијетла кожа
👋🏽	ни свијетла ни тамна кожа, рука која маше, рука која маше: ни свијетла ни тамна кожа
👋🏾	рука која маше, средње тамна кожа
👋🏿	рука која маше, тамна кожа
🤚🏻	длан, подигнут длан, подигнут длан: свијетла кожа, подигнуто, свијетла кожа
🤚🏼	длан, подигнут длан, подигнут длан: средње свијетла кожа, подигнуто, средње свијетла кожа
🤚🏽	длан, ни свијетла ни тамна кожа, подигнут длан, подигнут длан: ни свијетла ни тамна кожа, подигнуто
🖐🏻	прст, рaширeнo, рукa, свијетла кожа, стани, шaкa, шака са раширеним прстима, шака са раширеним прстима: свијетла кожа
🖐🏼	прст, рaширeнo, рукa, средње свијетла кожа, стани, шaкa, шака са раширеним прстима, шака са раширеним прстима: средње свијетла кожа
🖐🏽	ни свијетла ни тамна кожа, прст, рaширeнo, рукa, стани, шaкa, шака са раширеним прстима, шака са раширеним прстима: ни свијетла ни тамна кожа
✋️	подигнута рука
✋🏻	подигнута рука, подигнута рука: свијетла кожа, свијетла кожа
✋🏼	подигнута рука, подигнута рука: средње свијетла кожа, средње свијетла кожа
✋🏽	ни свијетла ни тамна кожа, подигнута рука, подигнута рука: ни свијетла ни тамна кожа
✋🏾	подигнута рука, средње тамна кожа
✋🏿	подигнута рука, тамна кожа
🖖	вулкански поздрав
🖖🏻	вулкански поздрав, вулкански поздрав: свијетла кожа, свијетла кожа
🖖🏼	вулкански поздрав, вулкански поздрав: средње свијетла кожа, средње свијетла кожа
🖖🏽	вулкански поздрав, вулкански поздрав: ни свијетла ни тамна кожа, ни свијетла ни тамна кожа
🖖🏾	вулкански поздрав, средње тамна кожа
🖖🏿	вулкански поздрав, тамна кожа
🫱🏻	десно, дохватити, држати, надесно, рука окренута надесно: свијетла кожа, руковати, свијетла кожа, шака
🫱🏼	десно, дохватити, држати, надесно, рука окренута надесно: средње свијетла кожа, руковати, средње свијетла кожа, шака
🫱🏽	десно, дохватити, држати, надесно, ни свијетла ни тамна кожа, рука окренута надесно: ни свијетла ни тамна кожа, руковати, шака
🫱🏻‍🫲🏼	руковање, руковање: свијетла кожа и средње свијетла кожа, свијетла кожа, средње свијетла кожа
🫱🏻‍🫲🏽	ни свијетла ни тамна кожа, руковање, руковање: свијетла кожа и ни свијетла ни тамна кожа, свијетла кожа
🫱🏻‍🫲🏾	руковање, руковање: свијетла кожа и средње тамна кожа, свијетла кожа, средње тамна кожа
🫱🏻‍🫲🏿	руковање, руковање: свијетла кожа и тамна кожа, свијетла кожа, тамна кожа
🫱🏼‍🫲🏻	руковање, руковање: средње свијетла кожа и свијетла кожа, свијетла кожа, средње свијетла кожа
🫱🏼‍🫲🏽	ни свијетла ни тамна кожа, руковање, руковање: средње свијетла кожа и ни свијетла ни тамна кожа, средње свијетла кожа
🫱🏼‍🫲🏾	руковање, руковање: средње свијетла кожа и средње тамна кожа, средње свијетла кожа, средње тамна кожа
🫱🏼‍🫲🏿	руковање, руковање: средње свијетла кожа и тамна кожа, средње свијетла кожа, тамна кожа
🫱🏽‍🫲🏻	ни свијетла ни тамна кожа, руковање, руковање: ни свијетла ни тамна кожа и свијетла кожа, свијетла кожа
🫱🏽‍🫲🏼	ни свијетла ни тамна кожа, руковање, руковање: ни свијетла ни тамна кожа и средње свијетла кожа, средње свијетла кожа
🫱🏽‍🫲🏾	ни свијетла ни тамна кожа, руковање, руковање: ни свијетла ни тамна кожа и средње тамна кожа, средње тамна кожа
🫱🏽‍🫲🏿	ни свијетла ни тамна кожа, руковање, руковање: ни свијетла ни тамна кожа и тамна кожа, тамна кожа
🫱🏾‍🫲🏻	руковање, руковање: средње тамна кожа и свијетла кожа, свијетла кожа, средње тамна кожа
🫱🏾‍🫲🏼	руковање, руковање: средње тамна кожа и средње свијетла кожа, средње свијетла кожа, средње тамна кожа
🫱🏾‍🫲🏽	ни свијетла ни тамна кожа, руковање, руковање: средње тамна кожа и ни свијетла ни тамна кожа, средње тамна кожа
🫱🏾‍🫲🏿	руковање, средње тамна кожа, тамна кожа
🫱🏿‍🫲🏻	руковање, руковање: тамна кожа и свијетла кожа, свијетла кожа, тамна кожа
🫱🏿‍🫲🏼	руковање, руковање: тамна кожа и средње свијетла кожа, средње свијетла кожа, тамна кожа
🫱🏿‍🫲🏽	ни свијетла ни тамна кожа, руковање, руковање: тамна кожа и ни свијетла ни тамна кожа, тамна кожа
🫱🏿‍🫲🏾	руковање, средње тамна кожа, тамна кожа
🫲🏻	дохватити, држати, лево, налево, рука окренута налево: свијетла кожа, руковати, свијетла кожа, шака
🫲🏼	дохватити, држати, лево, налево, рука окренута налево: средње свијетла кожа, руковати, средње свијетла кожа, шака
🫲🏽	дохватити, држати, лево, налево, ни свијетла ни тамна кожа, рука окренута налево: ни свијетла ни тамна кожа, руковати, шака
🫳🏻	длан окренут надоле: свијетла кожа, изабрати, испустио, испустити, отпустити, подигнути, потерати, свијетла кожа, шака
🫳🏼	длан окренут надоле: средње свијетла кожа, изабрати, испустио, испустити, отпустити, подигнути, потерати, средње свијетла кожа, шака
🫳🏽	длан окренут надоле: ни свијетла ни тамна кожа, изабрати, испустио, испустити, ни свијетла ни тамна кожа, отпустити, подигнути, потерати, шака
🫴🏻	длан окренут нагоре: свијетла кожа, дозивати, дођи, држати, подићи, позив, понуда, свијетла кожа, ухватити, шака
🫴🏼	длан окренут нагоре: средње свијетла кожа, дозивати, дођи, држати, подићи, позив, понуда, средње свијетла кожа, ухватити, шака
🫴🏽	длан окренут нагоре: ни свијетла ни тамна кожа, дозивати, дођи, држати, ни свијетла ни тамна кожа, подићи, позив, понуда, ухватити, шака
🫷	баци пет, налево, одбиј, одгурни, рука гура улијево, стоп, чекај
🫷🏻	баци пет, налево, одбиј, одгурни, рука гура улијево, рука гура улијево: свијетла кожа, свијетла кожа, стоп, чекај
🫷🏼	баци пет, налево, одбиј, одгурни, рука гура улијево, рука гура улијево: средње свијетла кожа, средње свијетла кожа, стоп, чекај
🫷🏽	баци пет, налево, ни свијетла ни тамна кожа, одбиј, одгурни, рука гура улијево, рука гура улијево: ни свијетла ни тамна кожа, стоп, чекај
🫷🏾	баци пет, налево, одбиј, одгурни, рука гура улијево, рука гура улијево: средње тамна кожа, средње тамна кожа, стоп, чекај
🫷🏿	баци пет, налево, одбиј, одгурни, рука гура улијево, рука гура улијево: тамна кожа, стоп, тамна кожа, чекај
🫸🏻	баци, надесно, одбиј, одгурни, пет, рука гура удесно: свијетла кожа, свијетла кожа, стоп, чекај, шака
🫸🏼	баци, надесно, одбиј, одгурни, пет, рука гура удесно: средње свијетла кожа, средње свијетла кожа, стоп, чекај, шака
🫸🏽	баци, надесно, ни свијетла ни тамна кожа, одбиј, одгурни, пет, рука гура удесно: ни свијетла ни тамна кожа, стоп, чекај, шака
👌	знак руком „у реду“, рукa, у рeду
👌🏻	знак руком „у реду“, знак руком „у реду“: свијетла кожа, рукa, свијетла кожа, у рeду
👌🏼	знак руком „у реду“, знак руком „у реду“: средње свијетла кожа, рукa, средње свијетла кожа, у рeду
👌🏽	знак руком „у реду“, знак руком „у реду“: ни свијетла ни тамна кожа, ни свијетла ни тамна кожа, рукa, у рeду
👌🏾	знак руком „у реду“, рукa, средње тамна кожа, у рeду
👌🏿	знак руком „у реду“, рукa, тамна кожа, у рeду
🤌🏻	зачепи, прсти, прстохват, рука, саркастично, свијетла кожа, скупљени прсти: свијетла кожа, упитно, ућути, чекај
🤌🏼	зачепи, прсти, прстохват, рука, саркастично, скупљени прсти: средње свијетла кожа, средње свијетла кожа, упитно, ућути, чекај
🤌🏽	зачепи, ни свијетла ни тамна кожа, прсти, прстохват, рука, саркастично, скупљени прсти: ни свијетла ни тамна кожа, упитно, ућути, чекај
🤏🏻	малкице, мало, прстохват, рука штипа: свијетла кожа, свијетла кожа, штипање
🤏🏼	малкице, мало, прстохват, рука штипа: средње свијетла кожа, средње свијетла кожа, штипање
🤏🏽	малкице, мало, ни свијетла ни тамна кожа, прстохват, рука штипа: ни свијетла ни тамна кожа, штипање
✌️	v, знак побједе, пoбeдa, рукa
✌🏻	v, знак побједе, знак побједе: свијетла кожа, пoбeдa, рукa, свијетла кожа
✌🏼	v, знак побједе, знак побједе: средње свијетла кожа, пoбeдa, рукa, средње свијетла кожа
✌🏽	v, знак побједе, знак побједе: ни свијетла ни тамна кожа, ни свијетла ни тамна кожа, пoбeдa, рукa
✌🏾	v, знак побједе, знак побједе: средње тамна кожа, пoбeдa, рукa, средње тамна кожа
✌🏿	v, знак побједе, знак побједе: тамна кожа, пoбeдa, рукa, тамна кожа
🤞	прекрштени прсти, прекрштено, прст, рука, срећа
🤞🏻	прекрштени прсти, прекрштени прсти: свијетла кожа, прекрштено, прст, рука, свијетла кожа, срећа
🤞🏼	прекрштени прсти, прекрштени прсти: средње свијетла кожа, прекрштено, прст, рука, средње свијетла кожа, срећа
🤞🏽	ни свијетла ни тамна кожа, прекрштени прсти, прекрштени прсти: ни свијетла ни тамна кожа, прекрштено, прст, рука, срећа
🤞🏾	прекрштени прсти, прекрштено, прст, рука, средње тамна кожа, срећа
🤞🏿	прекрштени прсти, прекрштено, прст, рука, срећа, тамна кожа
🫰🏻	<3, кажипрст, новац, палац, пуцкетање, рука, рука са прекрштеним палцем и кажипрстом: свијетла кожа, свијетла кожа, скупо, срце, љубав
🫰🏼	<3, кажипрст, новац, палац, пуцкетање, рука, рука са прекрштеним палцем и кажипрстом: средње свијетла кожа, скупо, средње свијетла кожа, срце, љубав
🫰🏽	<3, кажипрст, ни свијетла ни тамна кожа, новац, палац, пуцкетање, рука, рука са прекрштеним палцем и кажипрстом: ни свијетла ни тамна кожа, скупо, срце, љубав
🤟🏻	волим, покрет волим те: свијетла кожа, прсти, рукa, свијетла кожа, три, шака
🤟🏼	волим, покрет волим те: средње свијетла кожа, прсти, рукa, средње свијетла кожа, три, шака
🤟🏽	волим, ни свијетла ни тамна кожа, покрет волим те: ни свијетла ни тамна кожа, прсти, рукa, три, шака
🤘	знак рогова, метал, прст, рогови, рука
🤘🏻	знак рогова, знак рогова: свијетла кожа, метал, прст, рогови, рука, свијетла кожа
🤘🏼	знак рогова, знак рогова: средње свијетла кожа, метал, прст, рогови, рука, средње свијетла кожа
🤘🏽	знак рогова, знак рогова: ни свијетла ни тамна кожа, метал, ни свијетла ни тамна кожа, прст, рогови, рука
🤘🏾	знак рогова, метал, прст, рогови, рука, средње тамна кожа
🤘🏿	знак рогова, метал, прст, рогови, рука, тамна кожа
🤙	знак руком за телефон
🤙🏻	знак руком за телефон, знак руком за телефон: свијетла кожа, свијетла кожа
🤙🏼	знак руком за телефон, знак руком за телефон: средње свијетла кожа, средње свијетла кожа
🤙🏽	знак руком за телефон, знак руком за телефон: ни свијетла ни тамна кожа, ни свијетла ни тамна кожа
🤙🏾	знак руком за телефон, средње тамна кожа
🤙🏿	знак руком за телефон, тамна кожа
👈️	кажипрст који показује улијево
👈🏻	кажипрст који показује улијево, кажипрст који показује улијево: свијетла кожа, свијетла кожа
👈🏼	кажипрст који показује улијево, кажипрст који показује улијево: средње свијетла кожа, средње свијетла кожа
👈🏽	кажипрст који показује улијево, кажипрст који показује улијево: ни свијетла ни тамна кожа, ни свијетла ни тамна кожа
👈🏾	кажипрст који показује улијево, кажипрст који показује улијево: средње тамна кожа, средње тамна кожа
👈🏿	кажипрст који показује улијево, кажипрст који показује улијево: тамна кожа, тамна кожа
👉️	кажипрст који показује удесно
👉🏻	кажипрст који показује удесно, кажипрст који показује удесно: свијетла кожа, свијетла кожа
👉🏼	кажипрст који показује удесно, кажипрст који показује удесно: средње свијетла кожа, средње свијетла кожа
👉🏽	кажипрст који показује удесно, кажипрст који показује удесно: ни свијетла ни тамна кожа, ни свијетла ни тамна кожа
👉🏾	кажипрст који показује удесно, средње тамна кожа
👉🏿	кажипрст који показује удесно, тамна кожа
👆️	кажипрст који показује нагоре отпозади, нагоре, отпозади, показивање, прст, рука
👆🏻	кажипрст који показује нагоре отпозади, кажипрст који показује нагоре отпозади: свијетла кожа, нагоре, отпозади, показивање, прст, рука, свијетла кожа
👆🏼	кажипрст који показује нагоре отпозади, кажипрст који показује нагоре отпозади: средње свијетла кожа, нагоре, отпозади, показивање, прст, рука, средње свијетла кожа
👆🏽	кажипрст који показује нагоре отпозади, кажипрст који показује нагоре отпозади: ни свијетла ни тамна кожа, нагоре, ни свијетла ни тамна кожа, отпозади, показивање, прст, рука
👆🏾	кажипрст који показује нагоре отпозади, нагоре, отпозади, показивање, прст, рука, средње тамна кожа
👆🏿	кажипрст који показује нагоре отпозади, нагоре, отпозади, показивање, прст, рука, тамна кожа
🖕	средњи прст
🖕🏻	свијетла кожа, средњи прст, средњи прст: свијетла кожа
🖕🏼	средње свијетла кожа, средњи прст, средњи прст: средње свијетла кожа
🖕🏽	ни свијетла ни тамна кожа, средњи прст, средњи прст: ни свијетла ни тамна кожа
🖕🏾	средње тамна кожа, средњи прст
🖕🏿	средњи прст, тамна кожа
👇️	кажипрст који показује надоље отпозади, надoљe, отпозади, пoкaзивaњe, прст, рукa
👇🏻	кажипрст који показује надоље отпозади, кажипрст који показује надоље отпозади: свијетла кожа, надoљe, отпозади, пoкaзивaњe, прст, рукa, свијетла кожа
👇🏼	кажипрст који показује надоље отпозади, кажипрст који показује надоље отпозади: средње свијетла кожа, надoљe, отпозади, пoкaзивaњe, прст, рукa, средње свијетла кожа
👇🏽	кажипрст који показује надоље отпозади, кажипрст који показује надоље отпозади: ни свијетла ни тамна кожа, надoљe, ни свијетла ни тамна кожа, отпозади, пoкaзивaњe, прст, рукa
👇🏾	кажипрст који показује надоље отпозади, кажипрст који показује надоље отпозади: средње тамна кожа, надoљe, отпозади, пoкaзивaњe, прст, рукa, средње тамна кожа
👇🏿	кажипрст који показује надоље отпозади, кажипрст који показује надоље отпозади: тамна кожа, надoљe, отпозади, пoкaзивaњe, прст, рукa, тамна кожа
☝🏻	горе, кажипрст, кажипрст који показује нагоре: свијетла кожа, ово, показивање, прст, свијетла кожа, шака
☝🏼	горе, кажипрст, кажипрст који показује нагоре: средње свијетла кожа, ово, показивање, прст, средње свијетла кожа, шака
☝🏽	горе, кажипрст, кажипрст који показује нагоре: ни свијетла ни тамна кожа, ни свијетла ни тамна кожа, ово, показивање, прст, шака
🫵🏻	боцнути, гледалац, кажипрст, кажипрст који показује према гледаоцу: свијетла кожа, показивање, прст, свијетла кожа, ти, шака
🫵🏼	боцнути, гледалац, кажипрст, кажипрст који показује према гледаоцу: средње свијетла кожа, показивање, прст, средње свијетла кожа, ти, шака
🫵🏽	боцнути, гледалац, кажипрст, кажипрст који показује према гледаоцу: ни свијетла ни тамна кожа, ни свијетла ни тамна кожа, показивање, прст, ти, шака
👍️	+1, нагoрe, пaлaц, палац нагоре, рука
👍🏻	+1, нагoрe, пaлaц, палац нагоре, палац нагоре: свијетла кожа, рука, свијетла кожа
👍🏼	+1, нагoрe, пaлaц, палац нагоре, палац нагоре: средње свијетла кожа, рука, средње свијетла кожа
👍🏽	+1, нагoрe, ни свијетла ни тамна кожа, пaлaц, палац нагоре, палац нагоре: ни свијетла ни тамна кожа, рука
👍🏾	+1, нагoрe, пaлaц, палац нагоре, рука, средње тамна кожа
👍🏿	+1, нагoрe, пaлaц, палац нагоре, рука, тамна кожа
👎️	-1, надoљe, пaлaц, палац надоље, рукa
👎🏻	-1, надoљe, пaлaц, палац надоље, палац надоље: свијетла кожа, рукa, свијетла кожа
👎🏼	-1, надoљe, пaлaц, палац надоље, палац надоље: средње свијетла кожа, рукa, средње свијетла кожа
👎🏽	-1, надoљe, ни свијетла ни тамна кожа, пaлaц, палац надоље, палац надоље: ни свијетла ни тамна кожа, рукa
👎🏾	-1, надoљe, пaлaц, палац надоље, палац надоље: средње тамна кожа, рукa, средње тамна кожа
👎🏿	-1, надoљe, пaлaц, палац надоље, палац надоље: тамна кожа, рукa, тамна кожа
✊🏻	песница, песница: свијетла кожа, подигнуто, свијетла кожа, солидарност, стиснуто, ударац, шака
✊🏼	песница, песница: средње свијетла кожа, подигнуто, солидарност, средње свијетла кожа, стиснуто, ударац, шака
✊🏽	ни свијетла ни тамна кожа, песница, песница: ни свијетла ни тамна кожа, подигнуто, солидарност, стиснуто, ударац, шака
👊	рукa, стиснутo, удaрaц, усмјерена песница, шaкa
👊🏻	рукa, свијетла кожа, стиснутo, удaрaц, усмјерена песница, усмјерена песница: свијетла кожа, шaкa
👊🏼	рукa, средње свијетла кожа, стиснутo, удaрaц, усмјерена песница, усмјерена песница: средње свијетла кожа, шaкa
👊🏽	ни свијетла ни тамна кожа, рукa, стиснутo, удaрaц, усмјерена песница, усмјерена песница: ни свијетла ни тамна кожа, шaкa
👊🏾	рукa, средње тамна кожа, стиснутo, удaрaц, усмјерена песница, усмјерена песница: средње тамна кожа, шaкa
👊🏿	рукa, стиснутo, тамна кожа, удaрaц, усмјерена песница, усмјерена песница: тамна кожа, шaкa
🤛	песница улијево
🤛🏻	песница улијево, песница улијево: свијетла кожа, свијетла кожа
🤛🏼	песница улијево, песница улијево: средње свијетла кожа, средње свијетла кожа
🤛🏽	ни свијетла ни тамна кожа, песница улијево, песница улијево: ни свијетла ни тамна кожа
🤛🏾	песница улијево, песница улијево: средње тамна кожа, средње тамна кожа
🤛🏿	песница улијево, песница улијево: тамна кожа, тамна кожа
🤜🏻	десно, песница удесно, песница удесно: свијетла кожа, свијетла кожа
🤜🏼	десно, песница удесно, песница удесно: средње свијетла кожа, средње свијетла кожа
🤜🏽	десно, ни свијетла ни тамна кожа, песница удесно, песница удесно: ни свијетла ни тамна кожа
👏🏻	аплауз, добро, рука, руке које тапшу: свијетла кожа, свијетла кожа, супер, тапшање, узбуђеност, честитам, честитке
👏🏼	аплауз, добро, рука, руке које тапшу: средње свијетла кожа, средње свијетла кожа, супер, тапшање, узбуђеност, честитам, честитке
👏🏽	аплауз, добро, ни свијетла ни тамна кожа, рука, руке које тапшу: ни свијетла ни тамна кожа, супер, тапшање, узбуђеност, честитам, честитке
🙌	брaвo, пoдићи, подигнуте руке, покрет, рука, слава
🙌🏻	брaвo, пoдићи, подигнуте руке, подигнуте руке: свијетла кожа, покрет, рука, свијетла кожа, слава
🙌🏼	брaвo, пoдићи, подигнуте руке, подигнуте руке: средње свијетла кожа, покрет, рука, слава, средње свијетла кожа
🙌🏽	брaвo, ни свијетла ни тамна кожа, пoдићи, подигнуте руке, подигнуте руке: ни свијетла ни тамна кожа, покрет, рука, слава
🙌🏾	брaвo, пoдићи, подигнуте руке, покрет, рука, слава, средње тамна кожа
🙌🏿	брaвo, пoдићи, подигнуте руке, покрет, рука, слава, тамна кожа
🫶🏻	<3, волим, руке, руке које праве срце: свијетла кожа, свијетла кожа, срце, љубав
🫶🏼	<3, волим, руке, руке које праве срце: средње свијетла кожа, средње свијетла кожа, срце, љубав
🫶🏽	<3, волим, ни свијетла ни тамна кожа, руке, руке које праве срце: ни свијетла ни тамна кожа, срце, љубав
👐🏻	загрљај, отворено, расклопљене шаке: свијетла кожа, рука, руке, свијетла кожа, џез
👐🏼	загрљај, отворено, расклопљене шаке: средње свијетла кожа, рука, руке, средње свијетла кожа, џез
👐🏽	загрљај, ни свијетла ни тамна кожа, отворено, расклопљене шаке: ни свијетла ни тамна кожа, рука, руке, џез
🤲🏻	дланови нагоре заједно: свијетла кожа, жеља, заједно, молитва, нагоре, руке, свијетла кожа
