‾	επάνω γραμμή
』	αγκύλη, δεξιά κενή γωνιακή αγκύλη, κενή γωνιακή αγκύλη
【	αγκύλη, αριστερή μαύρη φακοειδής αγκύλη, φακοειδής αγκύλη
】	αγκύλη, δεξιά μαύρη φακοειδής αγκύλη, φακοειδής αγκύλη
〔	αγκύλη, αριστερή τραπεζοειδής αγκύλη, τραπεζοειδής αγκύλη
〕	αγκύλη, δεξιά τραπεζοειδής αγκύλη, τραπεζοειδής αγκύλη
〖	αγκύλη, αριστερή κενή φακοειδής αγκύλη, κενή φακοειδής αγκύλη
〗	αγκύλη, δεξιά κενή φακοειδής αγκύλη, κενή φακοειδής αγκύλη
§	ενότητα, μέρος, παράγραφος, σύμβολο ενότητας
¶	παράγραφος, παραγραφόσημο, σημάδι παραγράφου, σύμβολο παραγράφου
@	παπάκι, σημείο @, σύμβολο @
*️	αστεράκι, αστερίσκος, χαρακτήρας μπαλαντέρ
/	δεξιοπλαγία, κάθετος, πλαγία, πλαγιοκάθετος
\	ανάποδη κάθετος, ανάστροφη διαγώνιος, ανάστροφη κάθετος, αντιπλαγία, χαρακτήρας οπισθοπλαγίας
&	και, συμπλεκτικό σύμβολο, σύμβολο &, χαρακτήρας &
#️	hashtag, αριθμός, δίεση, ετικέτα δίεσης, σύμβολο δίεσης
%	τοις εκατό
‰	τοις χιλίοις
†	δια, οβελίσκος, σταυρός στίξης, σύμβολο σταυρού στίξης
‡	δια, διπλός, οβελίσκος, σταυρός στίξης, σύμβολο διπλού σταυρού στίξης
•	κουκκίδα, τελεία
‧	ενωτικό, παύλα, σημείο, σημείο συλλαβισμού
′	εισαγωγικά τόνου
″	διπλά εισαγωγικά τόνου
‴	τριπλά εισαγωγικά τόνου
‸	καρέ
※	σημάδι παραπομπής
⁂	άστρα, αστέρια, αστερισμός
`	βαρεία, τόνος
´	οξεία, τόνος
^	ανεστραμμένο σχήμα ν, δείκτης, δύναμη, καρέ, σιρκουμφλέξ, σφήνα, τόνος, τόνος σιρκουμφλέξ
¨	διαλυτικά, διαλυτικά μεταφωνίας
°	αλκοολικός βαθμός, βαθμός, ώρα
℗	ήχος, εγγραφή, πνευματικά δικαιώματα, πνευματικά δικαιώματα ηχογράφησης
←	αριστερά, βέλος, βέλος προς τα αριστερά
↚	βέλος προς τα αριστερά με πλάγια γραμμή
→	βέλος, βέλος προς τα δεξιά, δεξιά
↛	βέλος προς τα δεξιά με πλάγια γραμμή
↑	βέλος, βέλος προς τα επάνω, επάνω
↓	βέλος, βέλος προς τα κάτω, κάτω
↜	κυματιστό βέλος προς τα αριστερά
↝	κυματιστό βέλος προς τα δεξιά
↞	βέλος προς τα αριστερά με δύο κεφαλές
↟	βέλος προς τα επάνω με δύο κεφαλές
↠	βέλος προς τα δεξιά με δύο κεφαλές
↡	βέλος προς τα κάτω με δύο κεφαλές
↢	ουρά βέλους προς τα αριστερά
↣	ουρά βέλους προς τα δεξιά
↤	βέλος προς τα αριστερά ως προς τη γραμμή
↥	βέλος προς τα επάνω ως προς τη γραμμή
↦	βέλος προς τα δεξιά ως προς τη γραμμή
↧	βέλος προς τα κάτω ως προς τη γραμμή
↨	βέλος από πάνω προς τα κάτω με βάση
↫	βρόχος βέλους προς τα αριστερά
↬	βρόχος βέλους προς τα δεξιά
↭	αριστερό-δεξιό κυματιστό βέλος
↯	βέλος ζιγκ-ζαγκ προς τα κάτω, ζιγκ-ζαγκ
↰	βέλος προς τα επάνω με αριστερόστροφη μύτη
↱	βέλος προς τα επάνω με δεξιόστροφη μύτη
↲	βέλος προς τα κάτω με αριστερόστροφη μύτη
↳	βέλος προς τα κάτω με δεξιόστροφη μύτη
↴	βέλος προς τα δεξιά με γωνία προς τα κάτω
↵	βέλος προς τα κάτω με γωνία προς τα αριστερά
↶	αριστερόστροφο επάνω ημικυκλικό βέλος
↷	δεξιόστροφο επάνω ημικυκλικό βέλος
↸	βορειοδυτικό βέλος προς μακριά γραμμή
↹	βέλος, βέλος προς τα αριστερά που καταλήγει σε γραμμή πάνω από βέλος προς τα δεξιά που καταλήγει σε γραμμή, γραμμή, προς τα αριστερά, προς τα δεξιά
↺	αριστερόστροφο ανοικτού κύκλου βέλος
↻	δεξιόστροφο ανοικτού κύκλου βέλος
↼	άνυσμα προς τα αριστερά με κορυφή προς τα επάνω
↽	άνυσμα προς τα αριστερά με κορυφή προς τα κάτω
↾	άνυσμα προς τα επάνω με κορυφή προς τα δεξιά
↿	άνυσμα προς τα επάνω με κορυφή προς τα αριστερά
⇀	άνυσμα προς τα δεξιά με κορυφή προς τα επάνω
⇁	άνυσμα προς τα δεξιά με κορυφή προς τα κάτω
⇂	άνυσμα προς τα κάτω με κορυφή προς τα δεξιά
⇃	άνυσμα προς τα κάτω με κορυφή προς τα αριστερά
⇄	βέλος προς τα δεξιά επάνω από βέλος προς τα αριστερά
⇅	βέλος, βέλος προς τα επάνω και βέλος προς τα κάτω, επάνω, κάτω
⇆	αριστερά, βέλος, βέλος προς αριστερά πάνω από βέλος προς δεξιά, δεξιά
⇇	ζεύγος βελών προς τα αριστερά
⇈	ζεύγος βελών προς τα επάνω
⇉	ζεύγος βελών προς τα δεξιά
⇊	ζεύγος βελών προς τα κάτω
⇋	άνυσμα προς τα αριστερά επάνω από άνυσμα προς τα δεξιά
⇌	άνυσμα προς τα δεξιά επάνω από άνυσμα προς τα αριστερά
⇐	διπλό βέλος προς τα αριστερά
⇍	διπλό βέλος προς τα αριστερά με πλάγια γραμμή
⇑	διπλό βέλος προς τα επάνω
⇒	διπλό βέλος προς τα δεξιά
⇏	διπλό βέλος προς τα δεξιά με πλάγια γραμμή
⇓	διπλό βέλος προς τα κάτω
⇔	αριστερό-δεξιό διπλό βέλος
⇎	αριστερό-δεξιό διπλό βέλος με πλάγια γραμμή
⇖	βορειοδυτικό διπλό βέλος
⇗	βορειοανατολικό διπλό βέλος
⇘	νοτιοανατολικό διπλό βέλος
⇙	νοτιοδυτικό διπλό βέλος
⇚	τριπλό βέλος προς τα αριστερά
⇛	τριπλό βέλος προς τα δεξιά
⇜	τεθλασμένο βέλος προς τα αριστερά
⇝	τεθλασμένο βέλος προς τα δεξιά
⇞	βέλος προς τα επάνω με διπλή γραμμή
⇟	βέλος προς τα κάτω με διπλή γραμμή
⇠	βέλος προς τα αριστερά με παύλες
⇡	βέλος προς τα επάνω με παύλες
⇢	βέλος προς τα δεξιά με παύλες
⇣	βέλος προς τα κάτω με παύλες
⇤	βέλος προς τα αριστερά που καταλήγει σε γραμμή
⇥	βέλος προς τα δεξιά που καταλήγει σε γραμμή
⇦	κενό βέλος προς τα αριστερά
⇧	κενό βέλος προς τα επάνω
⇨	κενό βέλος προς τα δεξιά
⇩	κενό βέλος προς τα κάτω
⇪	κενό βέλος προς τα επάνω που αρχίζει από γραμμή
⇵	βέλος προς τα κάτω στα αριστερά βέλους προς τα επάνω
∀	για κάθε, καθολικό, οποιοδήποτε, όλα
∂	διαφορικό, μερικό διαφορικό
∃	ανήκει σε
∅	κενό σύνολο, μαθηματικά, τελεστής συνόλου
∆	προσαύξηση, τρίγωνο
∇	ανάδελτα, τρίγωνο
∈	ανήκει, μέλος, περιέχει, στοιχείο, σύνολο
∉	δεν ανήκει, δεν είναι στοιχείο, στοιχείο
∋	περιέχει ως μέλος, στοιχείο
∎	σύμβολο τέλους απόδειξης, τέλος απόδειξης
∏	γινόμενο, λογικό, ν-αδικό γινόμενο
∑	άθροιση, μαθηματικά, ν-αδική άθροιση
+	πρόσθεση, συν, σύμβολο συν
±	συν-πλην
÷	δια, διαίρεση, διαιρώ, σύμβολο διαίρεσης
×	επί, πολλαπλασιάζω, πολλαπλασιασμός, σύμβολο πολλαπλασιασμού
<	ετικέτα, ετικέτα ανοίγματος, μικρότερο από
≮	ανισότητα, μαθηματικά, όχι μικρότερο από
=	ίσον, είναι ίσο, ισούται
≠	ανισότητα, δεν είναι ίσο, δεν ισούται
>	ετικέτα, ετικέτα κλεισίματος, μεγαλύτερο από
≯	ανισότητα, μαθηματικά, όχι μεγαλύτερο από
¬	άρνηση, όχι
|	γραμμή, κάθετη, κάθετη γραμμή, κατακόρυφη μπάρα, μολυβιά, μπάρα, ράβδος
~	ισοδύναμο
−	αφαίρεση, πλην, σύμβολο πλην
⁻	εκθέτης, εκθέτης πλην, μείον, πλην
∓	συν ή πλην, συν-πλην
∕	κάθετος, κάθετος διαίρεσης, πλάγια γραμμή
⁄	κάθετος, κάθετος διαίρεσης, κάθετος κλάσματος, πλάγια γραμμή
∗	αστέρι, τελεστής αστερίσκος
∘	σύνθεση, τελεστής, τελεστής δακτύλιος
∙	τελεστής, τελεστής κουκκίδα
√	βάση, ρίζα, ριζικό, ριζικός, τετράγωνο, τετραγωνική ρίζα
∝	αναλογικό, αναλογικότητα
∞	άπειρο, σύμβολο απείρου
∟	μαθηματικά, ορθή γωνία
∠	γωνία, οξεία
∣	διαιρέτης, διαιρεί
∥	παράλληλο
∧	ac, atque, λογικό "και", σφήνα
∩	σύνολο, τομή
∪	ένωση, συλλογή, σύνολο
∫	λογισμός, ολοκλήρωμα
∬	διπλό ολοκλήρωμα, λογισμός
∮	επικαμπύλιο ολοκλήρωμα
∴	άρα, λογική
∵	επειδή, λογική
∶	λόγος
∷	αναλογία, αναλογικότητα
∼	τελεστής, τελεστής περισπωμένη
∽	ανάστροφη περισπωμένη, περισπωμένη
∾	ανεστραμμένο οριζόντιο s
≃	ασυμπτωτικά ίσο, ασύμπτωτο, μαθηματικά
≅	αντιστοιχία, ισομορφισμός, ισότητα, μαθηματικά, περίπου ίσο
≈	κατά προσέγγιση, προσέγγιση, σχεδόν ίσο
≌	ισούνται όλα, ισότητα, μαθηματικά
≒	περίπου ίσα με την εικόνα
≖	δακτύλιος σε ίσον, ισότητα, μαθηματικά
≡	ακριβές, ταυτόσημο, ταυτόσημο του, τριπλό
≣	αυστηρά ισοδύναμο, ισότητα, μαθηματικά
≤	ίσο, ανισότητα, ισούται, μικρότερο ή ίσο, μικρότερο από
≥	ίσο, ανισότητα, ισούται, μεγαλύτερο ή ίσο, μεγαλύτερο από
≦	ανισότητα, μαθηματικά, μικρότερό από ή ίσο με
≧	ανισότητα, μαθηματικά, μεγαλύτερο από ή ίσο με
≪	ανισότητα, μαθηματικά, πολύ μικρότερο από
≫	ανισότητα, μαθηματικά, πολύ μεγαλύτερο από
≬	μεταξύ
≳	ανισότητα, μαθηματικά, μεγαλύτερο από ισοδύναμο
≺	μαθηματικά, προηγείται, τελεστής συνόλου
≻	έπεται, μαθηματικά, τελεστής συνόλου
⊁	δεν έπεται, μαθηματικά, τελεστής συνόλου
⊂	σύνολο, υποσύνολο, υποσύνολο του
⊃	μαθηματικά, τελεστής συνόλου, υπερσύνολο
⊆	ίσο υποσύνολο
⊇	ίσο υπερσύνολο, ισότητα, μαθηματικά
⊕	συν, συν σε κύκλο
⊖	διάβρωση, μείον σε κύκλο, συμμετρική διαφορά
⊗	γινόμενο, επί σε κύκλο, τανυστής
⊘	διά σε κύκλο, κάθετος διαίρεσης σε κύκλο, μαθηματικά, σαν διαίρεση
⊙	XNOR, τελεστής, τελεστής κουκκίδα σε κύκλο
⊚	τελεστής δακτύλιος σε κύκλο
⊛	αστερίσκος, τελεστής, τελεστής αστερίσκος σε κύκλο
⊞	μαθηματικά, σαν πρόσθεση, συν σε τετράγωνο
⊟	μαθηματικά, μείον σε τετράγωνο, σαν αφαίρεση
⊥	eet, falsum, ανάποδο κεφαλαίο ταυ
⊮	δεν επιβάλλει
⊰	μαθηματικά, προηγείται στη σχέση, τελεστής συνόλου
⊱	έπεται στη σχέση, μαθηματικά, τελεστής συνόλου
⋭	δεν περιέχει ισοδύναμο ομάδας ως κανονικό, θεωρία ομάδων, μαθηματικά
⊶	αρχικό
⊹	αυτοσυζυγής μήτρα, ερμητική μιγαδική μήτρα, μαθηματικά, τετραγωνική μήτρα
⊿	μαθηματικά, ορθογώνιο τρίγωνο
⋁	διάζευξη, λογική, ν-αδικό λογικό "ή"
⋂	μαθηματικά, ν-αδική τομή, τελεστής συνόλου, τομή
⋃	ένωση, μαθηματικά, ν-αδική ένωση, τελεστής συνόλου
⋅	τελεστής, τελεστής-κουκκίδα
⋆	τελεστής, τελεστής-αστερίσκος
⋈	δυαδικός τελεστής, παπιγιόν, φυσική ένωση
⋒	διπλή τομή, μαθηματικά, τελεστής συνόλου, τομή
⋘	ανισότητα, μαθηματικά, πάρα πολύ μικρότερο από
⋙	ανισότητα, μαθηματικά, πάρα πολύ μεγαλύτερο από
⋮	αποσιωπητικά, κατακόρυφα αποσιωπητικά, μαθηματικά
⋯	αποσιωπητικά, κεντρικά οριζόντια αποσιωπητικά
⋰	αποσιωπητικά, μαθηματικά, πάνω δεξιά διαγώνια αποσιωπητικά
⋱	αποσιωπητικά, κάτω δεξιά διαγώνια αποσιωπητικά, μαθηματικά
■	γεμάτο τετράγωνο
□	κενό τετράγωνο
▢	κενό τετράγωνο με στρογγυλεμένες γωνίες
▣	κενό τετράγωνο που περιέχει γεμάτο τετράγωνο
▤	τετράγωνο με οριζόντιες γραμμές
▥	τετράγωνο με κατακόρυφες γραμμές
▦	τετράγωνο με ορθογώνιο πλέγμα
▧	τετράγωνο με γραμμές κάτω και δεξιά
▨	τετράγωνο με γραμμές επάνω και δεξιά
▩	τετράγωνο με διαγώνιο οριζόντιο πλέγμα
▬	γεμάτο ορθογώνιο
▭	κενό ορθογώνιο
▮	κενό κατακόρυφο ορθογώνιο
▰	γεμάτο παραλληλόγραμμο
▲	βέλος, γεμάτο, γεμάτο τρίγωνο προς τα επάνω, επάνω, τρίγωνο
△	κενό τρίγωνο που δείχνει επάνω
▴	γεμάτο μικρό τρίγωνο που δείχνει επάνω
▵	κενό μικρό τρίγωνο που δείχνει επάνω
▷	κενό τρίγωνο που δείχνει δεξιά
▸	γεμάτο μικρό τρίγωνο που δείχνει δεξιά
▹	κενό μικρό τρίγωνο που δείχνει δεξιά
►	γεμάτος δείκτης που δείχνει δεξιά
▻	κενός δείκτης που δείχνει δεξιά
▼	βέλος, γεμάτο, γεμάτο τρίγωνο προς τα κάτω, κάτω, τρίγωνο
▽	κενό τρίγωνο που δείχνει κάτω
▾	γεμάτο μικρό τρίγωνο που δείχνει κάτω
▿	κενό μικρό τρίγωνο που δείχνει κάτω
◁	κενό τρίγωνο που δείχνει αριστερά
◂	γεμάτο μικρό τρίγωνο που δείχνει αριστερά
◃	κενό μικρό τρίγωνο που δείχνει αριστερά
◄	γεμάτος δείκτης που δείχνει αριστερά
◅	κενός δείκτης που δείχνει αριστερά
◆	γεμάτος ρόμβος
◇	κενός ρόμβος
◈	κενός ρόμβος που περιέχει γεμάτο ρόμβο
◉	γεμάτοι ομόκεντροι κύκλοι, κενός κύκλος που περιέχει γεμάτο κύκλο, κενός ρόμβος που περιέχει γεμάτο κύκλο, κουκκίδα σε κύκλο
◊	διαμάντι, ρόμβος
○	δακτύλιος, κενός κύκλος, κύκλος
◌	κύκλος με κουκκίδα
◍	κύκλος με κατακόρυφο πλέγμα
◎	διπλός κύκλος, ομόκεντροι κύκλοι, στόχος
●	γεμάτος κύκλος, κύκλος
◐	κύκλος γεμάτος στο αριστερό μισό
◑	κύκλος γεμάτος στο δεξί μισό
◒	κύκλος γεμάτος στο κάτω μισό
◓	κύκλος γεμάτος στο επάνω μισό
◔	κύκλος γεμάτος επάνω δεξιά
◕	κύκλος γεμάτος εκτός επάνω αριστερά
◖	κύκλος γεμάτος στο μισό αριστερά
◗	κύκλος γεμάτος στο μισό δεξιά
◘	αντίστροφη κουκκίδα
◙	αντίστροφος κενός κύκλος, γεμάτο τετράγωνο με κενό κύκλο
◜	επάνω αριστερό τόξο κύκλου
◝	επάνω δεξί τόξο κύκλου
◞	κάτω δεξί τόξο κύκλου
◟	κάτω αριστερό τόξο κύκλου
◠	επάνω ημικύκλιο
◡	κάτω ημικύκλιο
◢	γεμάτο κάτω δεξί ορθογώνιο τρίγωνο
◣	γεμάτο κάτω αριστερό ορθογώνιο τρίγωνο
◤	γεμάτο επάνω αριστερό ορθογώνιο τρίγωνο
◥	γεμάτο επάνω δεξί ορθογώνιο τρίγωνο
◦	κενή κουκκίδα
◯	δακτύλιος, κύκλος, μεγάλος κενός κύκλος
◳	κενό τετράγωνο με επάνω δεξί τεταρτημόριο
◷	κενός κύκλος με επάνω δεξί τεταρτημόριο
◿	κάτω ορθογώνιο τεταρτημόριο
♪	μουσική, νότα, όγδοη, όγδοη νότα
⨧	συν δείκτης δύο
⨯	διανυσματικό εξωτερικό γινόμενο
⨼	εσωτερικό γινόμενο
⩣	λογική ή διπλή κάτω παύλα
⩽	μικρότερο από με κεκλιμένο ίσο
⪍	μικρότερο από πάνω από παρόμοιο ίσο
⪚	μεγαλύτερο ή ίσο με διπλή γραμμή
⪺	έπεται πάνω από σχεδόν ίσο
♭	μουσική, μπεμόλ, νότα, ύφεση
♯	δίεση, μουσική, νότα
😀	γελώ, δόντια, εύθυμος, πλατύ, πλατύ χαμόγελο, πρόσωπο, πρόσωπο που χαμογελά, σαρκασμός, χαμόγελο, χαρούμενος, χαρωπός, ωραίο
😃	ανοιχτό, δόντια, πλατύ χαμόγελο με ανοιχτό στόμα, πλατύ χαμόγελο με μεγάλα μάτια, πρόσωπο, στόμα, φανταστικό, χαμογελώ, χαμόγελο, χαρούμενος
😄	ανοιχτό, γελώ, λολ, μάτι, πλατύ χαμόγελο με γελαστά μάτια, πρόσωπο, στόμα, χαμογελαστός, χαμογελώ, χαμόγελο
😁	γκριμάτσα, δόντια, μάτι, περιχαρές πρόσωπο με γελαστά μάτια, πρόσωπο, σαρκασμός, χαμογελώ, χαμόγελο, ωραία
😆	lol, ανοιχτό, γέλιο, ικανοποίηση, ξεκαρδιστικός, πλατύ χαμόγελο με ανοιχτό στόμα και κλειστά μάτια, πλατύ χαμόγελο με κλειστά μάτια, πρόσωπο, στόμα, χαμογελώ, χαμόγελο, χαρούμενος, χαχα
😅	άγχος, αγχωμένος, ανοιχτό, ενθουσιασμένος, ιδρώτας, κρύο, κρύος, νευρικός, πλατύ χαμόγελο και κρύος ιδρώτας, πρόσωπο, χαμογελαστό ιδρωμένο πρόσωπο με ανοιχτό στόμα, χαμογελαστό πρόσωπο με ανοιχτό στόμα, χαμόγελο
🤣	lol, αστείος, γέλιο, γέλιο και κλάμα, δάκρυα, δυνατό γέλιο, κλαίω, κλαίω από τα γέλια, κλαυσίγελος, κυλιέμαι, κυλιέμαι στο πάτωμα από τα γέλια, ξεκάρδισμα, ξεκαρδίζομαι, ξεκαρδιστικός, πάτωμα, πρόσωπο, χάχα, χαρά
😂	lol, αισθήματα, αστείο, γέλιο, γελάω, δάκρυ, κλαίω, κλαίω από τα γέλια, κλαίω από χαρά, ξεκαρδιστικό, πρόσωπο, πρόσωπο με δάκρυα χαράς, χαρά, χαχα, χεχε
🙂	ελαφρώς χαμογελαστό πρόσωπο, ευτυχισμένος, πρόσωπο, χαμόγελο
🙃	ανάποδο, ανάποδο χαμόγελο, αναποδογυρισμένο πρόσωπο, πρόσωπο, χεχε
🫠	εξαφάνιση, εξαφανίζομαι, ζέστη, λιώνω, λιώσιμο, ντροπή, πρόσωπο που λιώνει, σαρκασμός, υγρό
😉	κλείνω το μάτι, κλείσιμο ματιού, νεύμα, πρόσωπο, σέξι, φλερτ
😊	ικανοποιημένος, κοκκινίζω, μάτι, πρόσωπο, χαμογελαστό πρόσωπο με γελαστά μάτια, χαμογελαστός, χαμογελώ, χαμόγελο
😇	άγγελοι, άγγελος, αγγελικός, αθώος, βίβλος, γαλήνιος, ειρηνικός, ευλογημένος, ευτυχισμένος, παραμύθι, πνεύμα, πρόσωπο, φαντασία, φωτοστέφανο, χαμογελαστό πρόσωπο με φωτοστέφανο, χαμογελαστός, χαμόγελο, χαρούμενος
🥰	αγάπη, αγαπώ, ειδύλλιο, ερωτευμένος, καρδιά, καρδιές, καψούρα, λατρεύω, πρόσωπο, σ’αγαπώ, χαμογελαστές καρδιές, χαμογελαστό προσωπάκι με καρδούλες
😍	143, αγάπη, ερωτευμένος, καρδιά, καρδιές, μάτι, πρόσωπο, ρομάντζο, συναίσθημα, φιλιά, χαμογελαστό πρόσωπο με μάτια-καρδούλες, χαμογελαστό πρόσωπο με μάτια καρδούλες, χαμόγελο
🤩	αστέρι, βλέπω αστεράκια, γκριμάτσα, ενθουσιασμένος, μάτια, μαγεμένος, με αστέρια στα μάτια, με μάτια αστέρια, ουάου, πρόσωπο, χαμογελαστός, χαμογελώ, χαμόγελο
😘	αγάπη, εραστής, καλημέρα, καρδιά, ματς, μου λείπεις, νύχτα, πρόσωπο, πρόσωπο που δίνει φιλί, ρομάντζο, ρομαντικά, στέλνω φιλί, σ’αγαπώ, φιλί, φιλιά, φλερτ
😗	143, αγάπη, πρόσωπο, πρόσωπο που φιλάει, ραντεβού, σ’αγαπώ, φιλί, φιλιά, φιλώ, φλέρτ
☺️	πρόσωπο, σκιαγράφημα, χαλαρό, χαμογελαστό πρόσωπο, χαμόγελο, χαρούμενο
😚	143, κλειστό, κοκκινίζω, μάτι, πρόσωπο, πρόσωπο που φιλά με κλειστά μάτια, ραντεβού, φιλί, φιλιά, φιλώ με κλειστά μάτια, φλερτ
😙	143, κλειστά μάτια, μάτι, πρόσωπο, ραντεβού, φιλί, φιλώ με γελαστά μάτια, φλερτ, φλερτάρω, χαμόγελο
🥲	ανακουφισμένος, ανακούφιση, δάκρυ, ευγνώμων, πόνος, συγκινημένος, υπερήφανος, χαμογελαστό πρόσωπο με δάκρυ, χαμόγελο, χαρά
😋	απολαμβάνω πεντανόστιμο φαγητό, απόλαυση, γευστικό, γιαμ, μιαμ, νόστιμο, νόστιμος, πεινασμένος, πρόσωπο, τρώω, φαγητό, χαμογελαστός, χαμόγελο, χορτάτος
😛	απίθανα, γλώσσα, γλώσσα έξω, πάρτι, πρόσωπο, πρόσωπο με τη γλώσσα έξω, τέλεια, ωραία
😜	ανόητος, αστείο, αστείος, αστειεύομαι, γλώσσα, γλώσσα έξω με κλειστό μάτι, διασκέδαση, εκκεντρικός, επικός, ζεις μόνο μια φορά, κλείνω το μάτι, μάτι, μια ζωή την έχουμε, μια φορά ζούμε, παλαβός, περίεργος, πλάκα, πρόσωπο, τρελός
🤪	μάτι, μάτια, μεγάλο, μικρό, τρελά μάτια, τρελή φάτσα, τρελός
😝	YOLO, γλώσσα, γλώσσα έξω με κλειστά μάτια, ζούμε μια φορά, μάτι, μια ζωή, οτιδήποτε, πρόσωπο, πρόσωπο με γλώσσα έξω και κλειστά μάτια, ωχ Θεέ μου, ό,τι πεις
🤑	γλώσσα με λεφτά, πληρωμένος, πρόσωπο, στόμα, χρήματα
🤗	αγκαλιά, αγκαλιάζω, ανοιχτά, πρόσωπο, φατσούλα που αγκαλιάζει, χέρια
🤭	έκπληξη, γέλιο, γελάκι, εκπλήσσομαι, μυστικό, ξαφνική συνειδητοποίηση, πρόσωπο με χέρι στο στόμα, σοκ, χαζογελώ, χαζό γέλιο, ωχ
🫢	έκπληξη, απορία, δέος, δυσπιστία, ντροπή, ντροπιάζω, πρόσωπο με ανοιχτά μάτια και το χέρι πάνω στο στόμα, σιωπή, φοβισμένη, φοβισμένο, φοβισμένος
🫣	καθήλωση, κρυμμένος, κρυφοκοίταγμα, κρύβομαι, μάτι, ντρέπομαι, ντροπαλός, προσήλωση, πρόσωπο, τρομαγμένος, φοβάμαι, φοβισμένος
🤫	ησυχία, κάντε ησυχία, πρόσωπο που κάνει σσσς, σιωπή, σσσς
🤔	αναρωτιέμαι, θεωρώ, μελετώ, πιγούνι, πρόσωπο, σκέφτομαι, σκέψη, σκεπτόμενο πρόσωπο, σκεπτόμενος, χμμ
🫡	αντηλιά, μάλιστα, ναι, οκ, πρόσωπο που χαιρετά στρατιωτικά, σεβασμός, στρατιώτης, χαιρετισμός
🤐	ερμητικά κλειστό στόμα, ησυχία, κρατώ το στόμα μου κλειστό, μυστικό, πρόσωπο, στόμα, στόμα με φερμουάρ, φερμουάρ
🤨	έκπληξη, έξυπνη φατσούλα, ήπια έκπληξη, δυσαρέσκεια, δυσπιστία, δύσπιστη φατσούλα, δύσπιστος, πρόσωπο με σηκωμένο φρύδι, σκεπτικισμός, σκεπτικιστής, σκεπτικός, τι, χμ
