‾	garis atas
´	aksen, nada, tanda aksen tirus, tirus
^	aksen, aksen sirkumfleks, baji, caret, chevron, hat, kontrol, pangkat, penunjuk, sirkumfleks, tanda xor
¨	diaeresis, trema, umlaut
°	derajat, jam, kadar
℗	hak cipta, hak cipta rekaman suara, rekaman, suara
←	ke kiri, tanda panah, tanda panah mengarah ke kiri
↚	panah arah kiri
→	kanan, tanda panah, tanda panah mengarah ke kanan
↛	panah arah kanan
↑	ke atas, tanda panah, tanda panah mengarah ke atas
↓	ke bawah, tanda panah, tanda panah mengarah ke bawah
↜	gelombang panah arah kiri
↝	gelombang panah arah kanan
↞	panah dua mata arah kiri
↟	panah dua mata arah naik
↠	panah dua mata arah kanan
↡	panah dua mata arah turun
↢	anak panah ke kiri
↣	anak panah ke kanan
↤	panah ke kiri dari batang
↥	panah ke atas dari batang
↦	panah ke kanan dari batang
↧	panah ke bawah dari batang
↨	panah naik turun berdudukan
↫	panah simpal ke kiri
↬	panah simpal ke kanan
↭	panah simpal kanan kiri
↯	panah zigzag turun, zigzag
↰	panah naik mata ke kiri
↱	panah naik mata ke kanan
↲	panah turun mata ke kiri
↳	panah turun mata ke kanan
↴	panah kanan siku turun
↵	panah turun siku ke kiri
↶	panah lengkung atas ke kiri
↷	panah lengkung atas ke kanan
↸	panah barat laut bilah panjang
↹	batang, kanan, kiri, panah, panah ke batang kiri di atas panah ke batang kanan
↺	panah lingkar terbuka melawan arah jarum jam
↻	panah lingkar terbuka searah jarum jam
↼	duri, panah seruit atas ke kiri
↽	panah seruit bawah ke kiri
↾	duri, panah seruit kanan ke atas
↿	duri, panah seruit kiri ke atas
⇀	duri, panah seruit atas ke kanan
⇁	duri, panah seruit bawah ke kanan
⇂	duri, panah seruit kanan ke bawah
⇃	duri, panah seruit kiri ke bawah
⇄	panah ke kanan di atas panah ke kiri
⇅	ke atas, ke bawah, tanda panah, tanda panah mengarah ke atas dan ke bawah
⇆	ke kanan, ke kiri, tanda panah, tanda panah mengarah ke kiri di atas tanda panah mengarah ke kanan
⇇	sepasang panah ke kiri
⇈	sepasang panah ke atas
⇉	sepasang panah ke kanan
⇊	sepasang panah ke bawah
⇋	panah seruit ke kiri di atas panah seruit ke kanan
⇌	panah seruit ke kanan di atas panah seruit ke kiri
⇐	panah ganda ke kiri
⇍	panah ganda ke kiri dicoret
⇑	panah ganda ke atas
⇒	panah ganda ke kanan
⇏	panah ganda ke kanan dicoret
⇓	panah ganda ke bawah
⇔	panah ganda ke kanan kiri
⇎	panah ganda ke kanan kiri dicoret
⇖	panah ganda barat laut
⇗	panah ganda timur laut
⇘	panah ganda tenggara
⇙	panah ganda barat daya
⇚	panah tripel ke kiri
⇛	panah tripel ke kanan
⇜	panah keriting ke kiri
⇝	panah keriting ke kanan
⇞	panah ke atas coret ganda
⇟	panah ke bawah coret ganda
⇠	panah bergaris putus-putus ke kiri
⇡	panah bergaris putus-putus ke atas
⇢	panah bergaris putus-putus ke kanan
⇣	panah bergaris putus-putus ke bawah
⇤	batang panah ke kiri
⇥	batang panah ke kanan
⇦	panah putih ke kiri
⇧	panah putih ke atas
⇨	panah putih ke kanan
⇩	panah putih ke bawah
⇪	panah putih ke atas dari batang
⇵	panah ke bawah di sebelah kiri panah ke atas
∀	apa pun, semua, universal, untuk semua
∂	diferensial, diferensial parsial
∃	di sana ada
∅	himpunan kosong, matematika, operator himpunan
∆	pertambahan, segitiga
∇	nabla, segitiga
∈	anggota, elemen, himpunan, keanggotaan, terdiri dari
∉	bukan elemen, elemen
∋	berisi, elemen
∎	halmos, pembuktian selesai, q.e.d., qed, tombstone
∏	logika, produk, produk n-ary
∑	matematika, penjumlahan, penjumlahan n-ary
+	plus, tambah, tanda plus
±	plus-minus
÷	bagi, obelus, pembagian, tanda pembagian
×	kali, perkalian, tanda perkalian
<	kurang dari, tag, tag pembuka
≮	matematika, pertidaksamaan, tidak kurang dari
=	sama dengan
≠	ketidaksamaan, ketidaksetaraan, tidak sama dengan
>	lebih dari, tag, tag penutup
≯	matematika, pertidaksamaan, tidak lebih dari
¬	negasi, tidak
|	garis, garis tegak, garis vertikal, goresan, pipa, tanda pipa
~	tilde
−	kurang, minus, tanda minus
⁻	minus, minus superskrip, superskrip
∓	minus-atau-plus, plus-minus
∕	garis miring, garis miring pembagian
⁄	garis miring, garis miring pecahan
∗	bintang, operator asterisk
∘	komposisi, operator, operator cincin
∙	operator, operator bullet
√	akar, akar kuadrat, bentuk akar, kuadrat, radikal, radiks
∝	proporsional, proporsionalitas
∞	tak terhingga, tanda tak terhingga
∟	matematika, sudut kanan
∠	lancip, sudut
∣	membagi, pembagi
∥	paralel
∧	ac, atque, dan logika, pasak
∩	himpunan, irisan
∪	gabungan, himpunan, koleksi
∫	integral, kalkulus
∬	integral ganda, kalkulus
∮	integral kontur
∴	karena itu, logika
∵	karena, logika
∶	rasio
∷	proporsi, proporsionalitas
∼	operator, operator tilde
∽	tilde, tilde terbalik
∾	lazy s terbalik
≃	asimptosis, matematika, sama asimptotis
≅	isomorfisme, kesamaan, kira-kira sama, kongruen, matematika
≈	hampir sama dengan, pendekatan, perkiraan
≌	kesamaan, matematika, semua sama
≒	kira-kira sama dengan atau gambaran
≖	cincin di dalam tanda sama dengan, kesamaan, matematika
≡	persis, sama, setara dengan, tiga garis
≣	kesamaan, matematika, setara terbatas
≤	ketidaksamaan, kurang dari, kurang dari atau sama dengan, sama dengan
≥	ketidaksamaan, lebih dari, lebih dari atau sama dengan, sama dengan
≦	kurang dari di atas sama dengan, matematika, pertidaksamaan
≧	lebih dari di atas sama dengan, matematika, pertidaksamaan
≪	jauh lebih sedikit dari, matematika, pertidaksamaan
≫	jauh lebih besar dari, matematika, pertidaksamaan
≬	antara
≳	lebih besar dari atau setara, matematika, pertidaksamaan
≺	matematika, mendahului, operator set
≻	matematika, mengikuti, operator set
⊁	matematika, operator set, tidak mengikuti
⊂	himpunan, subhimpunan, subhimpunan dari
⊃	matematika, operator set, superset
⊆	subset sama dengan
⊇	kesamaan, matematika, superset sama dengan
⊕	plus, plus dilingkari
⊖	erosi, minus dilingkari, perbedaan simteris
⊗	produk, tanda perkalian dilingkari, tensor
⊘	garis miring pembagian dilingkari, matematika, seperti pembagian
⊙	XNOR, operator, operator titik dilingkari
⊚	operator cincin dilingkari
⊛	asterisk, operator, operator asterisk dilingkari
⊞	matematika, seperti penambahan, tanda plus dalam persegi
⊟	matematika, seperti pengurangan, tanda minus dalam persegi
⊥	eet, falsum, paku payung
⊮	tidak memaksa
⊰	matematika, mendahului di bawah relasi, operator set
⊱	matematika, mengikuti di bawah relasi, operator set
⋭	matematika, teori grup, tidak mencakup sebagai subgrup normal atau sama dengan
⊶	orisinal
⊹	matematika, matriks konjugasi hermitian, matriks persegi, matriks self-adjoint
⊿	matematika, segitiga kanan, segitiga siku-siku
⋁	atau logika n-ary, disjungsi, logika
⋂	irisan, irisan n-ary, matematika, operator himpunan
⋃	gabungan, gabungan n-ary, matematika, operator himpunan
⋅	operator, operator titik
⋆	operator, operator bintang
⋈	dasi kupu-kupu, gabungan alami, operator biner
⋒	irisan, irisan ganda, matematika, operator himpunan
⋘	matematika, pertidaksamaan, sangat lebih sedikit dari
⋙	matematika, pertidaksamaan, sangat lebih besar dari
⋮	elipsis, elipsis vertikal, matematika
⋯	elipsis, elipsis horizontal garis tengah
⋰	elipsis, elipsis diagonal naik ke kanan, matematika
⋱	elipsis, elipsis diagonal turun ke kanan, matematika
■	persegi hitam
□	persegi putih
▢	persegi putih dengan sudut lengkung
▣	persegi putih berisi persegi hitam
▤	persegi dengan isian horizontal
▥	persegi dengan isian vertikal
▦	persegi isian garis silang ortogonal
▧	persegi isian garis diagonal turun ke kanan
▨	persegi isian garis diagonal turun ke kiri
▩	persegi isian garis silang diagonal
▬	persegi panjang hitam
▭	persegi panjang putih
▮	persegi panjang vertikal hitam
▰	jajar genjang hitam
▲	ke atas, segitiga, segitiga solid mengarah ke atas, solid, tanda panah
△	segitiga putih menghadap atas
▴	segitiga kecil hitam menghadap atas
▵	segitiga kecil putih menghadap atas
▷	segitiga putih menghadap kanan
▸	segitiga kecil hitam menghadap kanan
▹	segitiga kecil putih menghadap kanan
►	penunjuk hitam menghadap kanan
▻	penunjuk putih menghadap kanan
▼	ke bawah, segitiga, segitiga solid mengarah ke bawah, solid, tanda panah
▽	segitiga putih menghadap bawah
▾	segitiga kecil hitam menghadap bawah
▿	segitiga kecil putih menghadap bawah
◁	segitiga putih menghadap kiri
◂	segitiga kecil hitam menghadap kiri
◃	segitiga kecil putih menghadap kiri
◄	penunjuk hitam menghadap kiri
◅	penunjuk putih menghadap kiri
◆	belah ketupat hitam
◇	belah ketupat putih
◈	belah ketupat putih berisi belah ketupat hitam
◉	kawasan, lingkaran konsentris terisi, lingkaran putih berisi lingkaran hitam, mata ikan, titik dilingkari
◊	belah ketupat, berlian, rhombus
○	cincin, lingkaran, lingkaran kosong
◌	lingkaran bergaris putus-putus
◍	lingkaran dengan isian vertikal
◎	lingkaran ganda, lingkaran konsentris, target
●	lingkaran, lingkaran solid
◐	lingkaran dengan setengah kiri hitam
◑	lingkaran dengan setengah kanan hitam
◒	lingkaran dengan setengah bawah hitam
◓	lingkaran dengan setengah atas hitam
◔	lingkaran dengan kuadran kanan atas hitam
◕	lingkaran hitam kecuali kuadran kiri atas
◖	setengah lingkaran kiri hitam
◗	setengah lingkaran kanan hitam
◘	bullet dalam persegi hitam
◙	lingkaran putih terbalik, persegi hitam berisi lingkaran putih
◜	busur lingkaran kuadran kiri atas
◝	busur lingkaran kuadran kanan atas
◞	busur lingkaran kuadran kanan bawah
◟	busur lingkaran kuadran kiri bawah
◠	setengah lingkaran atas
◡	setengah lingkaran bawah
◢	segitiga kanan bawah hitam
◣	segitiga kiri bawah hitam
◤	segitiga kiri atas hitam
◥	segitiga kanan atas hitam
◦	peluru putih
◯	cincin, lingkaran, lingkaran kosong besar
◳	persegi putih kuadran kanan atas
◷	lingkaran putih dengan kuadran kanan atas
◿	segitiga kanan bawah
♪	musik, not, not balok, not seperdelapan, seperdelapan
⨧	plus dengan subskrip angka dua
⨯	produk vektor
⨼	produk interior
⩣	atau logika dengan dua garis bawah
⩽	kurang dari dengan tanda sama dengan miring
⪍	kurang dari di atas tanda sama dengan atau kira-kira sama dengan
⪚	dua garis sama dengan di atas tanda lebih dari, matematika, pertidaksamaan
⪺	mengikuti di atas tanda tidak hampir sama
♭	mol, musik, nada mol, not, not balok
♯	kres, musik, nada kres, not, not balok
😀	bahagia, gembira, muka, senang, senyum, tertawa, wajah, wajah gembira
😃	bahagia, gembira, muka, mulut, senyum, senyum lebar, terbuka, wajah, wajah tersenyum lebar
😄	mata, muka, mulut, senyum, terbuka, wajah, wajah tersenyum lebar dan mata tertutup
😁	cengiran, gembira, mata, menyeringai, senang, senyum, wajah, wajah gembira dengan mata bahagia, wajah tersenyum lebar
😆	bahagia, haha, mulut, puas, senyum, terbuka, tersenyum, tertawa, wajah, wajah tersenyum lebar dan memejamkan mata, wajah tersenyum lebar memejamkan mata, wkwk
😅	dingin, gugup, keringat, muka, senyum, terbuka, wajah, wajah tersenyum lebar dan berkeringat
🤣	ketawa, kocak, lucu, muka, ngakak, rofl, terbahak, terbahak-bahak, terpingkal-pingkal, tertawa, tertawa terbahak-bahak
😂	air mata, bahagia, gembira, haha, kocak, lucu, ngakak, senang, tawa, terbahak, tertawa, wajah, wajah dengan air mata bahagia, wajah gembira berurai air mata
🙂	muka, senyum, wajah, wajah agak tersenyum, wajah tersenyum
🙃	haha, jungkir balik, muka, terbalik, wajah, wajah terbalik
🫠	cair, cairan, gerah, haha, hehe, larut, lol, malu, meleleh, menghilang, panas, sarkasme, sarkastik, wajah meleleh
😉	berkedip mata, kedip, mengedipi, muka, wajah, wajah berkedip
😊	bahagia, malu, mata, merona, muka, senang, senyum, tersipu, wajah, wajah tersenyum dengan mata bahagia
😇	dongeng, fantasi, halo, lugu, malaikat, mitos, muka, polos, senyum, wajah, wajah malaikat, wajah malaikat tersenyum
🥰	asmara, bahagia, cinta, hati, jatuh cinta, kasmaran, memuja, naksir, romantis, senyum, wajah tersenyum dengan 3 hati
😍	cinta, hati, jatuh cinta, mata, muka, sayang, senyum, wajah, wajah tersenyum lebar bermata hati
🤩	bintang, kagum, mata, menyeringai, muka, takjub, terpesona, terpukau, wajah, wajah dengan mata berbentuk bintang
😘	aku cinta kamu, cinta, cium, hati, imut, malam, muka, pagi, roman, romantis, wajah, wajah memberikan ciuman jauh
😗	cium, muka, wajah, wajah memberikan ciuman
☺️	merona, muka, rileks, santai, senyum, tersipu, wajah, wajah tersenyum
😚	cium, mata, menggoda, muka, rindu, tersipu, tertutup, tutup, wajah, wajah memberikan ciuman dengan mata tertutup
😙	cinta, cium, ciuman, kasih, mata, muka, sayang, senyum, wajah, wajah memberikan ciuman dengan mata bahagia
🥲	air mata, bangga, bersyukur, lega, mata, terharu, tersentuh, tersenyum, wajah tersenyum dengan air mata
😋	enak, lezat, lidah, menikmati, muka, nikmat, nyam, sedap, senyum, wajah, wajah menikmati, wajah menikmati makanan
😛	lidah, manis, muka, wajah, wajah menjulurkan lidah
😜	bercanda, kedip, lelucon, lidah, lucu, mata, muka, wajah, wajah mengedip dengan menjulurkan lidah, wajah menjulurkan lidah dan mengedipkan mara, wajah menjulurkan lidah dan mengedipkan mata
🤪	besar, bodoh, cengar-cengir, kecil, mata, mata gila, muka, muka gila, wajah, wajah konyol
😝	lidah, mata, menjijikan, menjulurkan lidah, muka, parah, rasa, wajah, wajah menjulurkan lidah dan memejamkan mata
🤑	cuan, dibayar, dollar, duit, mata duitan, matre, muka, mulut, uang, wajah, wajah materialistis
🤗	muka, peluk, tangan, wajah, wajah memeluk
🤭	cekikikan, ketawa, muka, oops, rahasia, terkejut, terkekeh, terkikik, ups, wajah, wajah dengan tangan menutup mulut
🫢	diam, kaget, kagum, memalukan, takjub, takut, terdiam, terkejut, terpukau, tertegun, tidak percaya, wajah dengan mata terbuka dan tangan menutupi mulut, ya ampun
🫣	bersembunyi, intip, malu, menatap, mengintip, sembunyi, takut, terpikat, tersipu, wajah dengan mata mengintip
🤫	diam, hening, jangan berisik, muka, pasti, ssst, sst, tenang, wajah, wajah menyuruh diam
🤔	berpikir, mikir, muka, pikir, wajah, wajah berpikir
🫡	cerah, hormat, oke, salut, semoga beruntung, siap bu, siap pak, tentara, wajah memberi hormat, ya
🤐	gerakan tutup mulut, gtm, muka, mulut, rahasia, rapat, tertutup, tutup mulut, wajah, wajah dengan mulut tertutup rapat
🤨	muka, ragu, ragu-ragu, sangsi, skeptis, tidak percaya, wajah, wajah dengan alis terangkat
😐️	buruk, canggung, datar, iri, kosong, meh, muka datar, netral, tanpa ekspresi, terserah, tidak lucu, tidak terkesan, tidak tertawa, wajah, wajah netral
😑	buruk, canggung, datar, iri, kosong, meh, muka datar, netral, tanpa ekspresi, terserah, tidak lucu, tidak terkesan, tidak tertawa, wajah, wajah tanpa ekspresi
😶	berdiam, diam, kosong, muka, mulut, tanpa ekspresi, tenang, tidak berekspresi, tutup mulut, wajah, wajah tanpa mulut
🫥	depresi, introvert, meh, menghilang, sembunyi, tak terlihat, tembus pandang, tersembunyi, terserah, wajah dengan garis titik-titik
😶‍🌫	kepala di awan, linglung, wajah di awan, wajah di kabut
😏	curiga, ejek, masa sih, seringai, sinis, sombong, wajah, wajah menyeringai, wajah tersenyum sombong
😒	aneh, bosan, cemburu, keki, kesal, muka, sebal, wajah, wajah bosan
🙄	berputar, idih, kesal, malesin, mata, membalikkan mata, memutar mata, muka, wajah, wajah dengan mata ke atas
😬	menyeringai, merasa aneh, meringis, muka, nyengir, seringai, wajah, wajah menyeringai
😮‍💨	asap, bersiul, bisikan, capek, lega, lelah, mengembuskan napas, mengerang, meniup, smiley, terengah-engah, wajah mengembuskan napas
🤥	bohong, hidung panjang, menipu, muka, pembohong, pinokio, tipu, wajah
🫨	bergetar, gemetar, gempa bumi, gila, kaget, panik, terkejut, wajah, wajah gemetar, wow
🙂‍↔	geleng, kepala bergeleng, tidak
🙂‍↕	angguk, kepala mengangguk, ya
😌	damai, lega, muka, tenang, wajah, wajah lega, zen
😔	kecewa, muka, murung, sedih, termenung, wajah, wajah merenung
😪	lelah, menangis, muka, ngantuk, tidur, wajah, wajah mengantuk
🤤	berliur, ngiler, wajah
😴	istirahat, kantuk, lelap, letih, menguap, muka, ngantuk, rehat, tidur, wajah, wajah tidur, zzz
🫩	habis energi, lelah, ngantuk, payah, penat, wajah dengan kantung mata
😷	dokter, flu, masker, meriang, obat, sakit, wajah, wajah bermasker
🤒	demam, meriang, muka, sakit, termometer, wajah, wajah bertermometer
🤕	cedera, luka, muka, perban, pusing, puyeng, sakit kepala, wajah, wajah diperban di kepala
🤢	mual, muka, muntah, sakit, wajah
🤮	memuntahkan, muak, mual, muka, muntah, sakit, wajah, wajah muntah
🤧	bersin, demam, flu, ingusan, muka, panas dingin, pilek, sakit, wajah
🥵	berkeringat, demam, kepanasan, lidah menjulur, meriang, muka, panas, sekarat, terengah-engah, wajah kepanasan, wajah merah
🥶	beku, biru, dingin, es, gigi dingin, kedinginan, membeku, membiru, menggigil, muka, radang dingin, wajah, wajah kedinginan
🥴	agak mabuk, mabuk, mata juling, mulut bergelombang, pusing, teler, wajah pusing karena mabuk, wajah teler
😵	capai, kecapaian, mati, muka, pusing, puyeng, sakit, wajah, wajah pusing
😵‍💫	bingung, mabuk, masalah, pening, pusing, puyeng, sakit kepala, spiral, teler, terhipnotis, waduh, wajah dengan mata berputar, wow
🤯	kaget, kepala meledak, kepala pecah, muka, takjub, terkejut, terperanjat, wajah
🤠	cowboy, cowgirl, koboi, muka, topi, wajah, wajah koboi
🥳	hore, perayaan, pesta, rayakan, terompet, topi, trompet, ulang tahun, wajah pesta
🥸	alis, berewok, hidung, kacamata, kumis, menyamar, penyamaran, samaran, topeng kumis, wajah, wajah menyamar
😎	cerah, gaya, kacamata hitam, keren, matahari, menang, pantai, pintar, relaks, rileks, senyum, wajah, wajah berkacamata hitam, wajah tersenyum memakai kacamata
🤓	ahli, buku, kutu, muka, pintar, wajah, wajah kutu buku
🧐	berkelas, kaya, mewah, monokel, tajir, wajah, wajah dengan monokel, wajah memakai monokel
😕	bingung, muka, wajah, wajah bingung
🫤	bingung, frustrasi, kecewa, meh, ragu, skeptis, sudahlah, terserah, tidak yakin, wajah dengan mulut diagonal
😟	cemas, khawatir, kuatir, muka, muram, sedih, stres, wajah, wajah cemas
🙁	cemberut, muka, sedih, wajah, wajah agak cemberut
☹️	cemberut, kecewa, muka, sedih, wajah, wajah cemberut
😮	kaget, lupa, masa sih, menakjubkan, muka, mulut, simpati, takjub, terbuka, tercengang, tidak percaya, wajah, wajah dengan mulut terbuka
😯	kaget, muka, terdiam, terkejut, wajah, wajah hening
😲	kaget, muka, takjub, terkejut, terpukau, wajah, wajah terpukau
😳	demam, kagok, malu, muka, tersipu, tidak percaya, wajah, wajah tersipu
🥺	berkaca-kaca, kasihan, mata besar, mata memelas, memelas, memohon, mohon belas kasihan, muka, sedih, wajah, wajah memelas
🥹	bangga, berkaca-kaca, haru, kagum, marah, menangis, menolak, sedih, terharu, wajah menahan air mata
😦	cemberut, kaget, muka, mulut, nganga, simpati, takut, terbuka, terkejut, wajah, wajah mengerutkan kening dengan mulut terbuka
😧	kaget, lupa, menderita, merana, muka, sengsara, stres, terkejut, wajah, wajah menderita, wow
😨	kaget, muka, ngeri, seram, takut, wajah, wajah ketakutan
😰	berdebar, biru, buru-buru, dingin, keringat, muka, mulut, takut, wajah, wajah ketakutan berkeringat, wajah ketakutan dengan keringat
😥	deg-degan, fiuh, gelisah, kecewa, keringat, lega, muka, panik, wajah, wajah kecewa namun lega
😢	air, cengeng, mata, muka, nangis, sedih, wajah, wajah menangis
😭	bombay, muka, nangis, sedih, tangisan, tersedu-sedu, wajah, wajah menangis keras, wajah menangis tersedu-sedu
😱	berteriak, ketakutan, mengunyah, muka, ngeri, seram, takut, teriak, wajah, wajah sangat ketakutan
😖	gelisah, keki, marah, muka, pusing, putus asa, sedih, stres, wajah, wajah stres
😣	fokus, konsen, konsentrasi, muka, ngotot, wajah, wajah tidak setuju
😞	disalahkan, kecewa, kehilangan, muka, sedih, wajah, wajah kecewa
😓	bingung, dingin, gugup, keringat, muka, sakit, takut, wajah, wajah berkeringat
😩	capek, gagal, kecewa, lapar, lelah, muka, sebal, sedih, wajah, wajah terlalu lelah
😫	bersin, capek, lelah, muka, sedih, wajah, wajah kelelahan
🥱	bosan, capek, istirahat, jemu, kantuk, lelah, letih, menguap, ngantuk, nguap, rehat, wajah menguap
😤	asap, emosi, keki, kesal, marah, menang, muka, niat, sebal, wajah, wajah bersungguh-sungguh
😡	gusar, kesal, kesel, marah, merah, muka, ngamuk, wajah, wajah sangat marah
😠	keki, kesel, marah, muka, sebel, wajah, wajah marah
🤬	eksplisit, marah, mengumpat, muka, ngamuk, sensor, wajah, wajah dengan simbol pada mulut
😈	dongeng, fantasi, iblis, jahat, kejam, muka, senyum, setan, tanduk, wajah, wajah tersenyum bertanduk
👿	belis, cemberut, fantasi, iblis, jahat, muka, setan, tanduk, wajah marah bertanduk, wajah marah dengan tanduk
💀	dongeng, kematian, mati, mati aku, mayat, monster, muka, orang mati, tengkorak, wajah
☠️	kematian, mati, monster, muka, tengkorak, tengkorak dan tulang, tulang, wajah
💩	bau, busuk, kotoran, muka, tahi, tinja, wajah
🤡	badut, konyol, lucu, muka, topeng, wajah
👹	dongeng, fantasi, jepang, makhluk, monster, muka, seram, setan, wajah, wajah monster
👺	dongeng, fantasi, jepang, kejam, kesal, khayalan, makhluk, marah, monster, topeng, topeng hidung panjang, wajah
👻	arwah, dongeng, fantasi, halloween, hantu, konyol, monster, muka, seram, wajah
👽️	alien, angkasa, dongeng, ekstraterestrial, et, fantasi, luar, makhluk, monster, ufo, wajah
👾	alien, angkasa, ekstraterestrial, fantasi, game, luar, makhluk, monster, monster alien, ufo, wajah
🤖	monster, muka, robot, wajah
😺	binatang, hewan, kucing, muka, mulut, senyum, terbuka, wajah, wajah kucing tersenyum lebar
😸	bahagia, binatang, gembira, hewan, kucing, mata, muka, senang, senyum, seringai, wajah, wajah kucing gembira dengan mata bahagia
😹	air, bahagia, binatang, gembira, hewan, kucing, mata, muka, senang, tawa, wajah, wajah kucing gembira berurai air mata
😻	binatang, cinta, hati, hewan, jatuh cinta, kucing, mata, muka, senyum, wajah, wajah kucing gembira bermata hati
😼	binatang, ejek, hewan, kucing, muka, senyum, sinis, sombong, wajah, wajah kucing tersenyum sombong
😽	binatang, cium, hewan, kucing, mata, muka, wajah, wajah kucing memberikan ciuman dengan mata tertutup
🙀	binatang, hewan, kaget, kucing, lelah, muka, oh, takut, wajah, wajah kucing ketakutan
😿	air, binatang, hewan, kucing, mata, muka, nangis, sedih, wajah, wajah kucing menangis
😾	binatang, cemberut, hewan, kucing, marah, muka, sebal, wajah, wajah kucing marah
🙈	binatang, dilarang, hewan, jahat, lihat, monyet tidak melihat, muka, tidak melihat, tutup mata, wajah
🙉	binatang, dengar, dilarang, hewan, jahat, mamalia, monyet, monyet tidak mendengar, muka, tidak mendengar, tutup telinga, wajah
🙊	bicara, binatang, dilarang, hewan, jahat, mamalia, monyet, monyet tidak berbicara, muka, tidak bicara, tutup mulut, wajah
💌	cinta, hati, romantis, surat, surat cinta, valentine
💘	asmara, cinta, hati, hati terpanah, jatuh cinta, panah, romantis, sayang, valentine
💝	hati, hati berpita, pita, valentine
💖	bahagia, bersinar, gemerlap, hati, hati bersinar, perasaan, senang
💗	bahagia, deg, deg-degan, detak, gembira, gugup, hati, hati membesar, jantung, semangat, senang
💓	cinta, denyut, detak, hati, hati berdetak, jantung, perasaan, sayang
💞	berputar, cinta, hati, hati berputar, kangen, perasaan, rindu, sayang
💕	cinta, dua hati, hati, mesra, perasaan, sayang
💟	dekorasi hati, emosi, hati
❣️	hati, seru, tanda, tanda seru berbentuk hati
💔	hati, kecewa, patah, patah hati, perasaan, putus, sedih
❤‍🔥	cinta, hati, hati berapi-api, hati suci, nafsu, terbakar
❤‍🩹	lebih sehat, memperbaiki, memulihkan, memulihkan diri, mengobati hati terluka
