‾	üst çizgi
🤣	ahaha, aşırı komik, eheh, gözyaşı, gözümden yaş geldi, gülme, gülmekten yerlere yatma, gülmekten yerlere yatmak, gülmekten ölmek, hahaha, kahkaha, komik, lol, mutluluk, neşe, yerlere yatmak, yüz, yüz ifadesi, çok komik
😂	ağlamak, gözyaşları, gözyaşı, gülmek, gülmekten ağlamak, gülmekten ölmek, gülüş, haha, harika, inanılmaz, kahkaha, katılmak, komik, lol, mutluluk, neşe, sevinç, sevinç gözyaşları, çok komik
🙂	gülme, gülümseme, hafifçe gülümseme, hafifçe gülümseyen yüz, mutlu, neşeli, yüz
🙃	gülme, gülümseme, hehe, ters yüz, yüz
🫠	aşkından erimek, eridim, erime, erimek, eriyen yüz, eriyorum, ifade, kaybolma, sıcak, sıvılaşma, utanç, yüz ifadesi, çözülme
😉	cilve, göz kırpan yüz, göz kırpma, yüz
😊	ağzı açık gülme, gülen gözlerle gülümseme, gülümseyen gözler, gülümseyen yüz, gülümseyen yüz ve gözler, samimi, sevecen, yüz
😇	gülümseme, hare, melek, yüz, ışık halkalı gülümseme, ışık halkası
🥰	3 kalpli gülümseyen yüz, aşk, aşık, aşık olma, gülen yüz, hayranlık, ilk görüşte aşk, kalp, kalpler, kalpli gülümseyen yüz, mutluluk, romantik, seni seviyorum, sevgi, sevgili, yüz ifadesi, çarpılma, üç kalpli yüz
😍	aşk, değer verme, gözler, kalp, kalp gözlü gülümseme, kalpler, romantik, yüz
🤩	gözler, heyecanlı, surat, sırıtan, vov, yüz, yıldız, yıldız çarpmış
😘	aşk, muah, muck, romantik, sevgi, yüz, öptüm, öpücük gönderen yüz
😗	aşk, cilve, muah, muck, sevgi, yüz, öpen yüz, öpücük
☺️	gülen yüz, içi boş gülen yüz, masum, mutlu, utandım, utanmış, yüz
😚	aşk, gözler kapalı, gözler kapalı öpüşme, kapalı gözlerle öpen yüz, yüz, öpücük yollama
😙	gülen gözlerle öpen yüz, gülümseme, gülümseyen gözler, gülümseyerek öpen yüz, yüz, öptüm, öpücük
🥲	acı, duygulanmış, gururlu, gözyaşı, gözü yaşlı gülümseyen yüz, gülümseme, hislenmiş, memnun, minnettar, mutluluk, rahatlamış, sevinç, yüz ifadesi
😋	gülümseyen yüz, harika yemek, keyifli yemek, lezzetli, lezzetli yiyecek beğenen yüz, oh oh harika, yüz
😛	dil dışarıda, dil dışarıda kalmış, dil çıkarmış yüz, komik, yüz, şapşal
😜	dil dışardayken göz kırpma, dili dışarda göz kırpma, göz kırpma, haylaz, kışkırtma, yaramaz, yüz, şaka
🤪	büyük, deli, göz, gözler, küçük, surat, çılgın, çılgın surat
😝	dil dışarıda, dil dışarıda ve gözler kapalı, gözler kapalı, gözler kapalı ve dil dışarıda, iğrenç, korkunç, yüz, öğk
🤑	ağız, gözünü para bürümüş, para, para ağızlı yüz, para göz, yüz
🤗	heyecanlı, kucaklama, kucaklayarak gülümseme, sarılma, yüz
🤭	a ah, eliyle ağzını kapatan yüz, surat, süpriz, sır, tüh, şok olmak
🫢	gözleri açık ve eliyle ağzını kapatan yüz, hayret, ifade, inanamama, inanılmaz, korku, sürpriz, utanma, yüz ifadesi, şaşkınlık, şok
🫣	dikizleme, gizlice, gizlice bakan yüz, gizlice bakma, gözetleme, ifade, korkma, saklanma, utanma, yüz ifadesi, çaktırmadan, ürkek
🤫	sessiz, surat, sus işareti yapan yüz, şişt, şş
🤔	düşünen yüz, düşünme, yüz
🫡	anlaştık, asker, başüstüne, emredersiniz, güneşli, ifade, komutan, onay, saygı, selam, selamlayan yüz, yüz ifadesi
🤐	ağzı fermuarlı, ağzı fermuarlı yüz, ağzım kapalı, ağız, fermuar, sır, yüz
🤨	güvenmeyen, surat, tek kaşı havada, tek kaşı çatık yüz, şüpheci
😐️	duygusuz, duygusuz yüz, etkilenmemiş, nötr, umurumda değil, yorum yok, yüz
😑	ifadesiz yüz, ifadesizlik, kıskanç, umurumda değil, yorum yok, yüz
😶	ağzı olmayan yüz, ağız, ifadesiz, sakin, sesi kesilmiş, sessiz, suskun, sır, yüz
🫥	bilinmez, depresif, eh, endişe, gizlenme, gizli, görünmez, ifade, içe dönük, kaybolma, kaygılı, neyse, noktalı çizgili yüz, yüz ifadesi
😶‍🌫	bulutlardaki kafa, bulutlardaki yüz, dalgın, sisler arasındaki yüz
😏	hin, imalı gülümseme, kuşkucu, sinsi, yapmacık gülümseme, yapmacık gülümseyen, yapmacık gülümseyen yüz, yüz
😒	canı sıkkın, canım sıkıldı, garip, keyifsiz, keyifsiz yüz, mutsuz, neyse, sıkılmış, yüz
🙄	bana ne, banane, beni ilgilendirmez, bilemiyorum, göz devirme, gözler, gözlerini deviren yüz, her neyse, hmm, neyse, yani, yüz, yüz ifadesi
😬	dişlerini gösteren yüz, dişlerini sıkmak, dişçi, endişeli, tedirgin, yüz, yüzünü ekşitme
😮‍💨	bitik, duman, fısıldama, iç çekme, nefes veren yüz, nefes verme, off, rahatlama, sızlanma, yorgun, yüz ifadesi, üfleme, ıslık
🤥	pinokyo, yalan söyleme, yalan söyleyen yüz, yüz
🫨	deprem, olamaz, panik, sallama, sallanan yüz, sallanma, sersemlik, sürpriz, titreme, titreyen yüz, titreşim, yüz, şok
🙂‍↔	hayır, sallama, yatay olarak sallanan yüz
🙂‍↕	dikey olarak sallanan yüz, evet, onay
😌	huzur, rahatlamış, rahatlamış yüz, yüz
😔	dargın, düşünceli, düşünceli yüz, gemileri batmış, karamsar, yüz, üzgün
😪	ağlayan yüz, uykulu yüz, yorgun, yüz
🤤	ağzı sulanmış, salya akıtan yüz, salya akıtma, yüz
😴	esnemek, geç oldu, iyi geceler, iyi uykular, kestirme, tatlı rüyalar, uyku, uyku saati, uykulu, uykum geldi, uyumak, uyuyan yüz, yatak, yatmak, yatıyorum, yorgun, yüz, yüz ifadesi, zzz, şekerleme
🫩	gözlerinin altı torbalı yüz, tükenmiş, uykulu, yorgun
😷	grip, hasta, maske, maskeli yüz, nezle, rahatsız, soğuk, tıbbi maske, yüz
🤒	ateş, ağzında termometre olan yüz, grip, hasta, nezle, termometre, yüz
🤕	bandaj, kafası sarılı yüz, yara, yaralı, yüz
🤢	istifra, iğrenç, kusmak üzere, kusmak üzere olan yüz, midesi bulanmış, yüz
🤮	hasta, istifra, kusan yüz, kusmak, kusmuk, surat
🤧	grip, hapşıran yüz, hapşırma, hasta, nezle, yüz, çok yaşa
🥵	ateşi çıkmış, ateşlenmek, bitmek, hararet, kırmızı surat, kırmızı yüz, kızarmış yüz, nefes nefese, surat, sıcak, sıcak çarpması, sıcaklamak, terleme, terlemek, tükenmek, yorgun, yorgunluktan ölmek, yüz ifadesi, çarpıntı, çok sıcak
🥶	buz, buz gibi, buz kesme, donma, kış, mavi surat, morarmış yüz, soğuk, soğuktan donmak, sıfırın altı, titremek, üşümek, üşümüş yüz
🥴	akşamdan kalma, alkollü, baş dönmesi, kaymış gözler, sarhoş, sarhoş yüz, sersemlemiş, titreyen ağız, yamuk, yamuk ağız, yamulmak, yüz ifadesi, çakırkeyif, şapşal, şaşı
😵	baygınlık, başı dönen, hasta, sersemlemiş, sersemlemiş yüz, yüz
😵‍💫	aklı karışık, aman tanrım, başım döndü, gülen yüz, hipnotize, inanamıyorum, kafası bulanık, kafası karışık, mide bulantısı, sarmal, sarmal gözlü yüz, sersem, sıkıntı, yüz ifadesi
🤯	aklını başından almak, patlayan kafa, surat, şaşırmış, şok olmuş, şoke
🤠	kadın kovboy, kovboy, kovboy şapkalı yüz, kovboy şapkası yüzü, yüz, şapka
🥳	doğum günü, eğlence, eğlenmek, iyi ki doğdun, konfeti, kutlama, kutlamak, mutlu, mutlu yıllar, neşeli, oley, parti, parti düdüğü, parti şapkası, partide eğlenen yüz, yaşasın, yılbaşı, şapka
🥸	ajan, burun, bıyık, casus, gizlenmiş yüz, gizli, gözlük, kalın kaşlar, kimliğini gizlemek, kimliğini gizleyen, kişi, kılık değiştirmek, maskeli, yüz, yüz ifadesi
😎	cool, gülümseme, güneş gözlükleri, güneş gözlükleriyle gülümseme, güneş gözlüklü gülümseme, güneş gözlüğü, havalı, janti, kanka, kanki, yüz
🤓	akıllı, bilgili, bilmiş, gözlük, gözlüklü, inek öğrenci, ukala, ukala yüz, yüz, zeki, çalışkan
🧐	havalı, kendini beğenmiş, klas, surat, tek cam gözlük, tek cam gözlüklü yüz, varlıklı, zengin
😕	bilmiyorum, emin olmayan, kafası karışmış, kafası karışık yüz, yüz
🫤	eh, hayal kırıklığı, hayal kırıklığına uğramış, hüsran, ifade, kararsız, kırgın, meh, memnuniyetsiz, yamuk ağızlı yüz, yüz ifadesi, şüpheli, şüpheli yüz
😟	endişeli, endişeli yüz, gergin, yüz
🙁	asık surat, biraz asık surat, endişeli, yüz
☹️	asık, asık surat, darılmış, yüz, üzgün
😮	ağzı açık, ağzı açık yüz, ağız, süpriz, yüz, şaşkın, şok
😯	yüz, şaşkın yüz, şaşırmış, şok olmuş
😲	afallamış, afallamış yüz, tamamen şoke olmuş, yüz, şaşkın, şoke olmuş
😳	kızarmış, kızarmış ve şaşkın yüz, tuhaf, yüz, şaşkınlık içinde, şaşırmış, şok
🥺	acıklı bakışlar, af dilemek, gözleri dolmak, koca göz, lütfen, merhamet, pişmanlık, yalvaran gözler, yalvaran yüz, yalvarma, yalvarmak, yalvarırım, yüz ifadesi, üzgün, üzülmek
🥹	ağlamaklı, direnme, duygusal, gurur, gözleri dolmak, gözleri dolmuş yüz, gözyaşlarını tutan yüz, gözyaşı, ifade, kızgın, mutlu, sevinç gözyaşları, sulugöz, yüz ifadesi, üzgün
😦	açık ağızlı hoşnutsuz yüz, ağzı açık, boş bulunmuş, hoşnutsuz, hoşnutsuz yüz, korkmuş, yüz
😧	acı çeken, kederli, kederli yüz, mutsuz, yüz, şaşkın
😨	endişeli, korkmuş, korkulu, korkulu yüz, yüz
😰	açık ağız, endişeli, korkmuş, korkulu yüz, soğuk ter, soğuk ter döken mavi yüz, terli ve endişeli yüz, yüz
😥	canı sıkkın, canı sıkkın ama rahatlamış, endişeli, kafası karışmış, karışık, rahatlamış, yüz, yırttık!, üzgün, üzgün ama rahatlamış yüz
😢	ağlama, ağlayan yüz, gözyaşları, mutsuz, yüz, üzgün, üzüntülü
😭	avaz avaz ağlama, avaz avaz ağlayan yüz, ağlama, gözyaşları, mutsuz, yüz, üzgün
😱	korkmuş, korku, korku içinde bağıran yüz, korkunç, korkuyla haykıran yüz, korkuyla çığlık atan yüz, yüz
😖	kafası çok karışmış, kafası çok karışık yüz, kızgın, pişman, yüz
😣	baş ağrısı, dayanıklı, dikkatli, inatçı, kararlı, kararlı yüz, konsantre olmuş, yüz, zorlanan yüz
😞	kırgın, kırgınlık, memnuniyetsiz yüz, mutsuz, umutsuz, yüz
😓	baş ağrısı, endişeli, soğuk ter, soğuk terli yüz, yüz
😩	acıkmış, hayır, olamaz, pişman, uykulu, yorgun yüz, yorulmuş, yüz, çok yorgun
😫	hapşuran yüz, perişan, pişman, yorgun, yorgun yüz, yüz, üzgün
🥱	esneme, esnemek, esneyen yüz, gece, iyi geceler, iyi uykular, sıkıcı, sıkıldım, sıkılmış, uykulu, uykusuz, uyuklama, uyumak, yatmak, yatıyorum, yorgun, yüz ifadesi, zzz, şekerleme
😤	ben kazandım, ben kazandım yüzü, burnundan soluyan, burnundan soluyan yüz, kızgın, mutsuz, sinirli, yüz, zafer
😡	deli gibi, kırmızı somurtkan yüz, kırmızı yüz, somurtkan, somurtkan yüz, yüz, öfkeli
😠	deli gibi, kızgın, mutsuz, yüz, öfkeli, öfkeli yüz
🤬	ağzında semboller olan yüz, küfür eden, küfür etmek, kızgın, kızmış, sembol surat, sensör, surat
😈	boynuzlar, boynuzlu gülen yüz, boynuzlu gülümseme, gülümseme, yüz, şeytani gülümseme
👿	boynuzlu kızgın yüz, küçük şeytan, kızgın, yüz, şeytan, şeytani
💀	cadılar bayramı, canavar, iskelet, kafatası, masal, yüz, ölüm
☠️	canavar, iskelet, kemik, kuru kafa, tehlike, yüz, ölüm
💩	kaka, kaka yığını, leş, pislik, yığın
🤡	palyaço, palyaço yüzü, yüz
👹	canavar, dev, japon, japon canavarı, korkunç, maske, oni, peri masalı, yaratık, yüz
👺	canavar, cin, goblin, japon, japon cini, maske, peri masalı, tengu, yaratık, yüz
👻	cadılar bayramı, hayalet, peri masalı, yüz, öcü
👽️	UFO, dünya dışı, fantastik, peri masalı, uzaylı, yabancı, yaratık, yüz
👾	UFO, canavar, dünya dışı, peri masalı, uzaylı, uzaylı canavar, yabancı canavar, yaratık, yüz
🤖	canavar, robot, yüz
😺	açık, ağız, gülümseme, gülümseyen kedi yüzü, gülümseyen ve ağzı açık kedi yüzü, kedi, kedi yüzü, sırıtan, sırıtan kedi, yüz
😸	göz, gülen gözlerle sırıtan kedi, gülümseme, kedi, kedi yüzü, sırıtan kedi yüzü, sırıtan ve gözleri gülümseyen kedi yüzü, sırıtma, yüz
😹	göz yaşı, gülen kedi, kahkaha atan kedi, kedi, kedi yüzü, komik kedi, sevinç, sevinç gözyaşları döken kedi, sevinç gözyaşları döken kedi yüzü, yüz
😻	aşk, aşık, gözler, gülümseme, gülümseyen ve kalp şeklinde gözleri olan kedi yüzü, kalp, kalp gözlü gülümseyen kedi, kalp gözlü gülümseyen kedi yüzü, kedi, kedi yüzü, sevgi, yüz
😼	ironik, iğneleyici, iğneleyici gülümseme, iğneleyici kedi yüzü, kedi, kedi yüzü, kurnaz, muzır, yüz
😽	göz, gözler, kapalı, kedi, yüz, öpen, öpen kedi, öptüm, öpücük
🙀	aman tanrım, kedi, korkuyla bağıran kedi, sahiden şaşırmış, yüz, şaşkın kedi yüzü
