‾	pruh
》	dvojitá lomená závorka, dvojitá ostrá závorka, dvojitá pravá lomená závorka, dvojitá úhlová závorka, dvojitá špičatá závorka, dvojité lomené závorky, dvojité ostré závorky, dvojité úhlové závorky, pravá dvojitá ostrá závorka
「	asijské uvozovky, horní celá část, levá horní rohová závorka, levá jednoduchá asijská uvozovka, levá rohová závorka, rohová závorka, rohové závorky
」	asijské uvozovky, dolní celá část, pravá dolní rohová závorka, pravá jednoduchá asijská uvozovka, pravá rohová závorka, rohová závorka, rohové závorky
『	asijské uvozovky, dutá rohová závorka, duté rohové závorky, dvojitá levá rohová závorka, dvojitá rohová závorka, dvojité rohové závorky, levá dvojitá asijská uvozovka, levá horní rohová závorka, rohová závorka, rohové závorky
』	asijské uvozovky, dutá rohová závorka, duté rohové závorky, dvojitá pravá rohová závorka, dvojitá rohová závorka, dvojité rohové závorky, pravá dolní rohová závorka, pravá dvojitá asijská uvozovka, rohová závorka, rohové závorky
【	levá plná lentikulární závorka, plná lentikulární závorka, plné lentikulární závorky, závorka, závorky, černá lentikulární závorka, černé lentikulární závorky
】	plná lentikulární závorka, plné lentikulární závorky, pravá plná lentikulární závorka, závorka, závorky, černá lentikulární závorka, černé lentikulární závorky
〔	levá asijská komentářová závorka, závorka, závorky, šestiúhelníková závorka, šestiúhelníkové závorky, želví závorka, želví závorky
〕	pravá asijská komentářová závorka, závorka, závorky, šestiúhelníková závorka, šestiúhelníkové závorky, želví závorka, želví závorky
〖	bílá lentikulární závorka, bílé lentikulární závorky, dutá lentikulární závorka, duté lentikulární závorky, levá dutá lentikulární závorka, závorka, závorky
〗	bílá lentikulární závorka, bílé lentikulární závorky, dutá lentikulární závorka, duté lentikulární závorky, pravá dutá lentikulární závorka, závorka, závorky
§	oddíl, odstavec, paragraf, sekce, část
¶	alinea, odstavec, paraf, parafa, značka odstavce
@	@, at, et, zavináč
*️	hvězdička, maskovací znak, zástupný znak, žolíkový znak
/	lomeno, lomítko, zlomek
\	obrácené lomítko, zpětné lomítko
&	a, ampersand, et, plus
#️	hash, hashtag, křížek, mřížka
%	procenta, procento
‰	promile
†	dýka, kříž, křížek, obelisk, obelus, znak křížku
‡	dvojitá, dvojitý, dýka, kříž, křížek, obelisk, obelus, znak dvojitého křížku
•	bod, odrážka, puntík
‧	bod, pomlčka, spojovací tečka, spojovník, tečka
′	derivace, jedna čárka, jednoduchá čárka, jednočárkované, s čárkou, čárka
″	druhá derivace, dvojitá čárka, dvojčárkované, dvoučárkované, dvě čárky, se dvěma čárkami, čárka
‴	se třemi čárkami, trojitá čárka, trojčárkované, třetí derivace, tři čárky, tříčárkované, čárka
‸	stříška (nediakritický znak)
※	komedžiruši, odkazovací znaménko, označení poznámky, symbol odkazu
⁂	asterismus, hvězdy, seskupení hvězd
`	akcent, gravis, obrácená, obrácená diakritická čárka, přízvuk, tupý akcent, těžký akcent, čárka
´	akcent, akut, diakritická čárka, ostrý, přízvuk, čárka
^	circumflex, cirkumflex, háček, stříška, vokáň
¨	diereze, dvojtečka, přehláska, rozlučník, trema, umlaut
°	stupeň, stupňovitost
℗	copyright, nahrávka, znak práv ke zvukovému záznamu, zvuková
←	doleva, vlevo, šipka, šipka ukazující doleva, šipka ukazující vlevo
↚	přeškrtnutá šipka doleva
→	doprava, vpravo, šipka, šipka ukazující doprava, šipka ukazující vpravo
↛	přeškrtnutá šipka doprava
↑	nahoru, vzhůru, šipka, šipka ukazující nahoru, šipka ukazující vzhůru
↓	dolů, šipka, šipka ukazující dolů
↜	vlnitá šipka doleva
↝	vlnitá šipka doprava
↞	dvojitá šipka doleva
↟	dvojitá šipka nahoru
↠	dvojitá šipka doprava
↡	dvojitá šipka dolů
↢	šipka doleva s chvostem
↣	šipka doprava s chvostem
↤	šipka vlevo od zarážky
↥	šipka nahoru od zarážky
↦	šipka vpravo od zarážky
↧	šipka dolů od zarážky
↨	šipka nahoru a dolů se základnou
↫	šipka doleva se smyčkou
↬	šipka doprava se smyčkou
↭	vlnitá šipka doleva a doprava
↯	cik cak, klikatá, klikatá šipka dolů
↰	šipka směrem nahoru a doleva
↱	šipka směrem nahoru a doprava
↲	šipka směrem dolů a doleva
↳	šipka směrem dolů a doprava
↴	šipka doprava a dolů
↵	šipka dolů a doleva
↶	polokruhová šipka horní proti směru ručiček
↷	polokruhová šipka horní po směru ručiček
↸	šipka na severozápad s horní zarážkou
↹	doleva, doprava, zarážka, šipka, šipka doleva se zarážkou nad šipkou doprava se zarážkou
↺	otevřená kruhová šipka proti směru ručiček
↻	otevřená kruhová šipka po směru ručiček
↼	praporek, praporek nahoře směrem doleva
↽	praporek, praporek dole směrem doleva
↾	praporek, praporek vpravo směrem nahoru
↿	praporek, praporek vlevo směrem nahoru
⇀	praporek, praporek nahoře směrem doprava
⇁	praporek, praporek dole směrem doprava
⇂	praporek, praporek vpravo směrem dolů
⇃	praporek, praporek vlevo směrem dolů
⇄	šipka doprava nad šipkou doleva
⇅	dolů, nahoru, šipky, šipky nahoru a dolů
⇆	doleva, doprava, šipka, šipka doleva nad šipkou doprava
⇇	dvě šipky doleva
⇈	dvě šipky nahoru
⇉	dvě šipky doprava
⇊	dvě šipky dolů
⇋	praporek nahoře směrem doleva nad praporkem dole směrem doprava
⇌	praporek nahoře směrem doprava nad praporkem dole směrem doleva
⇐	zdvojená šipka doleva
⇍	přeškrtnutá zdvojená šipka doleva
⇑	zdvojená šipka nahoru
⇒	zdvojená šipka doprava
⇏	přeškrtnutá zdvojená šipka doprava
⇓	zdvojená šipka dolů
⇔	obousměrná zdvojená šipka
⇎	přeškrtnutá obousměrná zdvojená šipka
⇖	zdvojená šipka na severozápad
⇗	zdvojená šipka na severovýchod
⇘	zdvojená šipka na jihovýchod
⇙	zdvojená šipka na jihozápad
⇚	ztrojená šipka doleva
⇛	ztrojená šipka doprava
⇜	klikatá šipka doleva
⇝	klikatá šipka doprava
⇞	dvojitě přeškrtnutá šipka nahoru
⇟	dvojitě přeškrtnutá šipka dolů
⇠	přerušovaná šipka doleva
⇡	přerušovaná šipka nahoru
⇢	přerušovaná šipka doprava
⇣	přerušovaná šipka dolů
⇤	šipka doleva k zarážce
⇥	šipka doprava k zarážce
⇦	bílá šipka doleva
⇧	bílá šipka nahoru
⇨	bílá šipka doprava
⇩	bílá šipka dolů
⇪	bílá šipka nahoru se základnou
⇵	šipka dolů vedle šipky nahoru
∀	každé, obecný kvantifikátor, pro každé, pro všechny, univerzální kvantifikátor, velký kvantifikátor, všechny
∂	derivace, diferenciál, parciální derivace, parciální diferenciál
∃	existenční kvantifikátor, existuje, malý kvantifikátor
∅	matematika, množinový operátor, prázdná množina
∆	delta, přírůstek, trojúhelník
∇	nabla, trojúhelník
∈	je prvkem, množina, obsahuje, prvek, prvek množiny, členství
∉	není prvek, není prvkem, prvek
∋	obsahuje prvek, obsahuje člen, prvek, člen
∎	Q. E. D., QED, konec důkazu, čtvereček
∏	matematika, součin, součin posloupnosti, součin řady, velké pí
∑	matematika, součet, součet posloupnosti, součet řady, suma, sumace, velká sigma
+	plus, součet, sčítání, znaménko plus
±	plus minus, plus-minus, plus/minus
÷	děleno, dělení, dělit, symbol dělení
×	krát, násobení, násobit, symbol násobení
<	je menší než, menší než, tag, začátek tagu, začátek značky, značka
≮	matematika, ne méně než, není menší než, nerovnost
=	je rovno, rovnost, rovná se, rovnítko
≠	není rovno, nerovnost, nerovná se, nerovnítko
>	je větší než, konec tagu, konec značky, tag, větší než, značka
≯	matematika, ne více než, není větší než, nerovnost
¬	ne, negace, neplatí
|	Shefferova funkce, absolutní hodnota, negace logického součinu, pruh, svislá čára, svislý pruh, čára
~	tilda, vlnovka
−	minus, odčítání, rozdíl, znaménko minus
⁻	horní index, minus, minus jako horní index
∓	minus nebo plus, minus plus, minus-plus, minus/plus, plus minus
∕	dělení, dělicí lomítko, dělící lomítko, lomítko, šikmá čára
⁄	lomítko, zlomek, zlomková čára, zlomkové lomítko, šikmá čára
∗	hvězda, hvězdička, operátor hvězdička, znak hvězdičky
∘	kruhový operátor, operátor, operátor kroužek, skládání funkcí
∙	operátor, operátor kolečko, operátor odrážka, operátor plné kolečko
√	druhá odmocnina, kořen, odmocnina, odmocnítko, značka odmocniny
∝	je úměrné, je úměrné k, úměrnost, úměrně k
∞	nekonečno, znak nekonečna
∟	matematika, pravý úhel
∠	ostrý úhel, úhel
∣	dělitelnost, dělí, je dělitel, je dělitelem, znak dělitelnosti
∥	je rovnoběžné, je rovnoběžné k, je rovnoběžné s, rovnoběžnost, znak rovnoběžnosti
∧	konjunkce, logické a, logický součin
∩	množina, průnik
∪	množina, sjednocení
∫	infinitezimální počet, integrál, kalkulus, matematická analýza
∬	dvojný integrál, infinitezimální počet, kalkulus, matematická analýza
∮	infinitezimální počet, kalkulus, křivkový integrál, matematická analýza
∴	a proto, logika, odtud, proto, tudíž, z toho plyne
∵	logika, neboť, plyne z, protože
∶	dělení, ku, poměr
∷	poměr, vzájemný poměr, úměrnost
∼	ekvivalence, operátor, operátor vlnovka, operátor úměrnosti, vlnovka, řádková ekvivalence, řádkově ekvivalentní
∽	obrácená vlnovka, vlnovka
∾	obrácené ležaté s
≃	asymptota, asymptotická ekvivalence, asymptotická rovnost, ekvivalence, je asymptoticky ekvivalentní, je asymptoticky rovno, matematika
≅	izometrické zobrazení, izometrie, je shodné s, kongruence, matematika, přibližně rovno, rovnost, shodnost
≈	aproximace, přiblížení, rovná se přibližně
≌	matematika, rovnost, rovnost vektorů, vektorová rovnost, vše se rovná, všechny složky se rovnají
≒	je přibližně rovno nebo je obrazem, přibližná rovnost nebo obraz
≖	kroužek v rovnítku, kruh ve znaku rovnosti, matematika, rovnost, rovnítko s kroužkem uvnitř
≡	identita, kongruence, kongruentní, shodný, shoduje se, stejný, trojitý
≣	ekvivalence, je striktně ekvivalentní, matematika, přísná ekvivalence, rovnost, striktní ekvivalence, striktně ekvivalentní
≤	je menší nebo rovno, menší nebo rovno, menší než, menší než nebo rovno, nerovnost, rovno, rovná se
≥	je větší nebo rovno, nerovnost, rovno, rovná se, větší nebo rovno, větší než, větší než nebo rovno
≦	je menší nebo rovno, je menší než nad rovná se, matematika, menší nebo rovno, menší než nebo rovno, méně než nad rovná se, nerovnost
≧	je větší nebo rovno, je větší než nad rovná se, matematika, nerovnost, více než nad rovná se, větší nebo rovno, větší než nebo rovno
≪	je mnohem menší než, matematika, mnohem menší než, mnohem méně než, nerovnost
≫	je mnohem větší než, matematika, mnohem více než, mnohem větší než, nerovnost
≬	je mezi, mezi, má neprázdný průnik s, má společný prvek s
≳	je větší než nebo ekvivalentní, je větší než nebo přibližně rovno, matematika, nerovnost, větší nebo ekvivalentní
≺	matematika, množinový operátor, předchází
≻	matematika, množinový operátor, následuje
⊁	matematika, množinový operátor, nenásleduje
⊂	je podmnožinou, množina, podmnožina
⊃	je nadmnožinou, matematika, množinový operátor, nadmnožina
⊆	je podmnožinou nebo se rovná, matematika, množinový operátor, podmnožina
⊇	je nadmnožinou nebo se rovná, matematika, množinový operátor, nadmnožina
⊕	dilatace, plus, plus v kroužku
⊖	Minkowského rozdíl, eroze, minus, minus v kroužku, symetrická diference, symetrický rozdíl
⊗	Kroneckerův součin, krát v kroužku, součin, tenzorový součin
⊘	dělení, lomeno v kroužku, matematika
⊙	XNOR, operátor, operátor tečka v kroužku
⊚	operátor kroužek v kroužku
⊛	hvězdička, operátor, operátor hvězdička v kroužku
⊞	matematika, plus ve čtverečku, sčítání
⊟	matematika, minus ve čtverečku, odčítání
⊥	je kolmé k, je kolmé na, je ortogonální k, kolmice, nepravda, ortogonalita
⊮	nevynucuje
⊰	matematika, množinový operátor, předchází v relaci
⊱	matematika, množinový operátor, následuje v relaci
⋭	matematika, neobsahuje jako normální podgrupu a není rovno, teorie grup
⊶	je originál, je originálem, originál
⊹	hermitovsky sdružená matice, hermitovsky souměrná matice, hermitovská matice, matematika, samosdružená matice, čtvercová matice
⊿	matematika, pravoúhlý trojúhelník
⋁	disjunkce, logické operace, n-ární logický součet, sjednocení
⋂	matematika, množinový operátor, n-ární průnik, průnik, průnik n množin
⋃	matematika, množinový operátor, n-ární sjednocení, sjednocení, sjednocení n množin
⋅	operátor, operátor tečka
⋆	operátor, operátor hvězda, operátor hvězdička
⋈	binární operátor, motýlek, přirozené spojení, přirozené spojení relací, přirozený join
⋒	dvojitý průnik, matematika, množinový operátor, průnik
⋘	matematika, mnohem mnohem menší než, nerovnost, nesrovnatelně menší než
⋙	matematika, mnohem mnohem větší než, nerovnost, nesrovnatelně větší než
⋮	matematika, svislá výpustka, výpustka
⋯	středová vodorovná výpustka, výpustka
⋰	diagonální výpustka doprava nahoru, matematika, výpustka
⋱	diagonální výpustka doprava dolů, matematika, výpustka
■	plný čtverec
□	prázdný čtverec
▢	prázdný čtverec se zaoblenými rohy
▣	plný čtvereček v prázdném čtverci
▤	čtverec s vodorovnou výplní
▥	čtverec se svislou výplní
▦	čtverec s kostičkovanou výplní
▧	čtverec s diagonální výplní klesající zleva doprava
▨	čtverec s diagonální výplní klesající zprava doleva
▩	čtverec s diagonální kostičkovanou výplní
▬	plný obdélník
▭	prázdný obdélník
▮	plný svislý obdélník
▰	plný rovnoběžník
▲	nahoru, plný, trojúhelník, vyplněný trojúhelník směřující nahoru, šipka
△	prázdný trojúhelník vrcholem nahoru
▴	plný trojúhelníček vrcholem nahoru
▵	prázdný trojúhelníček vrcholem nahoru
▷	prázdný trojúhelník vrcholem doprava
▸	plný trojúhelníček vrcholem doprava
▹	prázdný trojúhelníček vrcholem doprava
►	plný ukazatel doprava
▻	prázdný ukazatel doprava
▼	dolů, plný, trojúhelník, vyplněný trojúhelník směřující dolů, šipka
▽	prázdný trojúhelník vrcholem dolů
▾	plný trojúhelníček vrcholem dolů
▿	prázdný trojúhelníček vrcholem dolů
◁	prázdný trojúhelník vrcholem doleva
◂	plný trojúhelníček vrcholem doleva
◃	prázdný trojúhelníček vrcholem doleva
◄	plný ukazatel doleva
◅	prázdný ukazatel doleva
◆	plný kosočtverec
◇	prázdný kosočtverec
◈	plný kosočtvereček v prázdném kosočtverci
◉	kolečko v kroužku, plný kroužek v prázdném kruhu, rybí oko, soustředné kruhy s výplní, tečka v kroužku
◊	diamant, kosočtverec, káry
○	kroužek, kruh, kružnice, prstenec, prázdný kroužek, prázdný kruh
◌	tečkovaný kruh
◍	kruh se svislou výplní
◎	dvojitá kružnice, soustředné kružnice, terč
●	kroužek, kruh, plný kroužek, plný kruh, vyplněná kružnice, vyplněný kroužek, vyplněný kruh
◐	kruh s vyplněnou levou polovinou
◑	kruh s vyplněnou pravou polovinou
◒	kruh s vyplněnou dolní polovinou, kruh s vyplněnou spodní polovinou
◓	kruh s vyplněnou horní polovinou
◔	kruh s vyplněnou pravou horní čtvrtinou
◕	kruh s prázdnou levou horní čtvrtinou
◖	plný levý půlkruh
◗	plný pravý půlkruh
◘	inverzní kolečko, inverzní odrážka, negativní kolečko, negativní odrážka
◙	bílá kružnice v plném čtverci, inverzní prázdný kruh, negativní prázdný kruh
◜	levá horní čtvrtina kruhového oblouku
◝	pravá horní čtvrtina kruhového oblouku
◞	pravá dolní čtvrtina kruhového oblouku
◟	levá dolní čtvrtina kruhového oblouku
◠	horní polovina kruhového oblouku
◡	dolní polovina kruhového oblouku, spodní polovina kruhového oblouku
◢	plný trojúhelník s pravým úhlem vpravo dole
◣	plný trojúhelník s pravým úhlem vlevo dole
◤	plný trojúhelník s pravým úhlem vlevo nahoře
◥	plný trojúhelník s pravým úhlem vpravo nahoře
◦	prázdná odrážka, prázdné kolečko
◯	kroužek, kruh, kružnice, prstenec, prázdný kruh, velká kružnice, velký prázdný kruh
◳	prázdný čtverec s pravou horní čtvrtinou
◷	prázdný kruh s pravou horní čtvrtinou
◿	prázdný trojúhelník s pravým úhlem vpravo dole
♪	hudba, nota, noty, osmina, osminová nota
⨧	plus s dolním indexem dva
⨯	direktní součin, kartézský součin, vektorový součin
⨼	vnitřní součin
⩣	dvojitě podtržený logický součet
⩽	je menší nebo rovno se šikmým rovnítkem
⪍	je menší než nad přibližně rovno, menší než nebo ekvivalentní
⪚	matematika, nerovnost, rovná se nad je větší než
⪺	následuje nad není přibližně rovno
♭	bé, béčko, hudba, noty, posuvka, snížený tón
♯	hudba, křížek, křížek (posuvka), noty, posuvka, zvýšený tón
😀	obličej, radostný, smajlík, smát se, smích, spokojený, tvář, veselý, vysmátý, výraz, výraz se širokým úsměvem, zuby, zubící se obličej, úsměv, úšklebek, šťastný
😃	hlasitý smích, jupí, obličej, otevřený, paráda, smajlík, spokojený, super, tvář, výraz, výraz s úsměvem s otevřenou pusou, zuby, zubící se obličej s velkýma očima, úsměv, ústa, šťastný
😄	hlasitý smích, křenit se, lol, obličej, oko, otevřený, smajlík, smát se, tvář, výraz, výraz s úsměvem s otevřenou pusou a rozzářenýma očima, zubící se obličej s usměvavýma očima, úsměv, ústa, řehtat se
😁	křenit se, obličej, oko, oči, rozzářený obličej s usměvavýma očima, smajlík, smát se, tvář, výraz, výraz se širokým úsměvem s rozzářenýma očima, zuby, úsměv, úšklebek, řehtat se
😆	chacha, haha, hehe, hlasitý, křenit, lol, mžourající, obličej, otevřený, rofl, smajlík, smích, spokojený, tlemit, tvář, výraz, zubící, zubící se obličej s mžourajícíma očima, úsměv, ústa, řehtat
😅	nervózní, nervózní smích, obličej, otevřený, pot, rozrušený, smajlík, stres, studený, tvář, výraz, výraz s úsměvem s otevřenou pusou a studeným potem, zubící se obličej s kapkou potu, úsměv
🤣	brečet, haha, hehe, lol, obličej, obličej válející se smíchy, popukání, rozesmátý, se, slza, slzet, smajlík, smích, smíchy, sranda, tvář, veselý, válet, výraz, řehtat, šťastný
😂	brečet, haha, hehe, lol, obličej, obličej slzící smíchy, rozesmátý, se, slza, slzet, slzící, smajlík, smích, smíchy, sranda, tvář, veselý, válet, výraz, řehtat, šťastný
🙂	obličej, obličej s mírným úsměvem, pousmát se, smajlík, spokojený, tvář, veselý, výraz, výraz mírného úsměvu, úsměv, šťastný
🙃	haha, hehe, hlavou dolů, obličej, obrácený, převrácený, převrácený obličej, smajlík, tvář, tvář vzhůru nohama, usmívat se, vzhůru nohama, výraz, úsměv
🫠	horko, mizení, rozpaky, rozpouštění, rozpustit se, rozpuštění, roztékání, spokojenost, tající obličej, tání
😉	flirt, flirtovat, mrk mrk, mrkající obličej, mrkající smajlík, mrknout, mrknutí, obličej, smajlík, tvář, výraz, zamrkat, škádlení
😊	milý, obličej, oko, radost, ruměnec, smajlík, smějící se obličej s usměvavýma očima, spokojený, tvář, usměvavý, výraz, výraz s úsměvem se smějícíma se očima, zardění, zrudnutí, zářit štěstím, úsměv, červenat se, červenání
😇	andílek, anděl, duše, dušička, fantasy, halo, mírumilovný, nevinný, obličej, pohádka, smajlík, spokojený, svatoušek, svatozář, svatý, tvář, usmívající se obličej se svatozáří, výraz, úsměv, šťastný
🥰	láska, milovat, miluji tě, mám tě rád, mám tě ráda, mít rád, obličej, romantika, smajlík, srdce, srdíčka, usmívající se obličej se třemi srdíčky, zakoukaný, zaláskovaný, zamilovanost, zamilovaný, zbožňovat, zbožňování, úsměv
😍	láska, miluji tě, miluju tě, nádhera, obličej, oko, oči, polibek, pusa, romantika, smajlík, srdce, srdíčka, tvář, usmívající se obličej se srdíčky místo očí, výraz, zamilovaný, úsmívající se tvář s očima ve tvaru srdíček, úsměv
🤩	hvězda, nadšený, obličej, obličej s hvězdami v očích, oči, paráda, páni, smajlík, tvář, tyjo, výraz, wow, úsměv, šklebící
😘	chybíš, flirt, láska, mi, miluji, miluju, muck, obličej, obličej posílající polibek, polibek, posílající, pusa, pusinka, pusu, romantika, rozkošný, ráno, smajlík, srdce, tvář, výraz
😗	flirtovat, láska, líbající obličej, miluji tě, miluju tě, muck, obličej, polibek, pusa, pusinka, rande, smajlík, tvář, výraz, výraz polibku
☺️	obličej, obrys, pohoda, potěšený, silueta, smajlík, tvář, usmívající se obličej, usměvavý, uvolněný, výraz, výraz úsměvu, úsměv, šťastný
😚	flirt, láska, líbající obličej se zavřenýma očima, miluji tě, miluju tě, obličej, oko, oči, polibek, pusa, pusinka, ruměnec, smajlík, tvář, výraz, výraz polibku se zavřenýma očima, zardění, zavřený, zrudnutí, červenat se
😙	dobrou noc, flirt, ily, láska, líbající obličej s usměvavýma očima, miluji tě, miluju tě, obličej, oko, polibek, pusa, pusinka, rande, smajlík, tvář, výraz, výraz polibku s úsměvem, zavřené oči, úsměv
🥲	dojatý, dojetí, hrdý, slza, slzy radosti, slzy štěstí, smajlík, tvář, usmívající, usmívající se obličej se slzou, vděčný, výraz, úleva, úsměv
😋	chutný, hladový, jídlo, jíst, lahodný, mňam, obličej, olizující se obličej, olizující se tvář, rozpustilý, smajlík, sytý, tvář, vychutnávat, vynikající, vypláznutý jazyk, výborný, výraz, úsměv, ňam
😛	jazyk, obličej, obličej s vyplazeným jazykem, paráda, párty, smajlík, super, tvář, tvář s vyplazeným jazykem, vypláznutý jazyk, výraz
😜	bláznivý, jazyk, legrace, mrkající obličej s vypláznutým jazykem, mrknout, mrknutí, obličej, oko, potrhlý, praštěný, smajlík, sranda, tvář, tvář s vyplazeným jazykem a mrkajícím okem, ujetý, vtip, výraz, ztřeštěný
🤪	blázen, jedno oko větší než druhé, malé, obličej, oko, oči, smajlík, tvář, velké, výraz, zbláznit se, šílenec, šílený obličej, šílený výraz
😝	ble, chuť, děs, fuj, jazyk, mžourající obličej s vypláznutým jazykem, nechutné, obličej, oko, omg, smajlík, tvář, tvář s vyplazeným jazykem a zavřenýma očima, vypláznutý jazyk, výraz, zavřené oči
🤑	bohatství, boháč, dolar, obličej, obličej s penězi na jazyku, peníze, prachy, pusa, smajlík, tvář, tvář s penězi na jazyku, výplata, výraz, ústa
🤗	gesto objetí, obejmout, objetí, obličej, obličej s otevřenou náručí, ruce, ruka, smajlík, tvář, výraz
🤭	aha, ajaj, chichotání, hihňat se, jejda, jéje, obličej, obličej s dlaní před pusou, obličej s rukou na ústech, oj, oops, ouha, překvapení, ruka, smajlík, tajemství, tvář, ups, výraz, šok
🫢	mlčet, neuvěřitelné, nevíra, nevěřícnost, obličej s otevřenýma očima a dlaní před pusou, omg, pohoršení, proboha, překvapení, trapas, údiv, úlek, úžas, šok, šokovaný
🫣	bojím, bát se, koukat, kuk, nakukování, obličej vykukující jedním okem, rozpaky, schovávat se, stud, stydlivost, stydlivý, stydět se, uchvácení, vykouknutí, zaujetí, zírání, šmírování, špehovat
🤫	buď potichu, obličej, obličej s prsem na ústech, obličej s prstem na puse, pst, pšt, ruka, smajlík, ticho, tiše, tišit, tvář, utišit, výraz, zticha, ššš
🤔	hloubat, hmm, obličej, přemítat, přemýšlet, smajlík, tvář, uvažovat, výraz, zadumaný, zamyšlení, zamyšlený obličej, zvažovat
🫡	ano, ano pane, ano paní, být v pozoru, pozdrav, pozor, rozkaz, salutovat, salutování, salutující obličej, slunečno, vojenský pozdrav, vojsko, vyhlížet, zastínit oči před sluncem, zastíněné oči
🤐	ani muk, držet jazyk za zuby, jako ryba, mlčet, mlčím, nepovím, neřeknu, obličej, obličej s pusou na zip, pst, pšt, smajlík, tajemství, tvář, tvář s pusou na zip, výraz, zip, ústa
🤨	co, cože, hmm, mírné překvapení, nedůvěra, nedůvěřivý, nesouhlas, nevěřit, nevěřícný, obličej, obličej se zvednutým obočím, překvapení, skepse, skeptický, smajlík, tvář, výraz
😐️	bez výrazu, kamenná tvář, kamenný výraz, neutrální, nezajímavý, nezábavný, nezájem, nudný, obličej, obličej s neutrálním výrazem, prázdný výraz, smajlík, trapné, tvář, výraz, závist
😑	bez výrazu, kamenný výraz, mrtvý, obličej, obličej bez výrazu, omg, prázdný výraz, smajlík, tvář, tvář bez výrazu, výraz, wtf, závist
😶	bez výrazu, beze slov, nemám slov, nepříjemné, němý, obličej, obličej bez úst, oněmělý, prekérní situace, prázdný výraz, smajlík, tajemství, tajný, ticho, tichý, trapné, tvář, tvář bez úst, výraz, ústa
🫥	deprese, introvert, já tu nejsem, mizící, neviditelný, obličej s tečkovaným obrysem, schovaný, skrytý, stud, zmizet
😶‍🌫	duchem nepřítomný, hlava v oblacích, nepřítomný, obličej v mlze, obličej v oblacích, smajlík, tvář
😏	drzost, drzý, flirt, floutek, lstivý, mazaný, mrkat, obličej, poťouchlý, prohnaný, přidrzlý, samolibý, smajlík, tvář, ušklíbající se obličej, vilný, vychytralý, výraz, úlisný, úsměv, úšklebek
