‾	bovenlijn
😘	flirten, gezicht, gezicht dat kus toeblaast, hartje, kus, kusje blazen, kussen, romantiek, smiley, xoxo, zoen
😗	afspraakje, date, gezicht, hou van jou, hvj, kus, kussen, kussend gezicht, smiley, xoxo, zoen
☺️	blij, gezicht, lach, lachen, lachend gezicht, omtrek, ontspannen
😚	blosjes, blozen, gesloten, gesloten ogen, gezicht, kus, kussend gezicht met gesloten ogen, kussend gezicht met ogen dicht, oog, rode wangen, smiley, zoen
😙	gezicht, glimlach, glimlachen, hou van jou, hvj, kus, kus en lach, kussend gezicht met lachende ogen, lachende ogen, oog, smiley
🥲	aangedaan, blij, dankbaar, enigszins lachend, gelukkig, lachend gezicht met traan, opgelucht, smiley, traan, trots
😋	genieten, gezicht, glimlach, jammie, lachend gezicht, lachend gezicht dat lippen likt, lekker, mmm, smiley, smullen
😛	gezicht, gezicht met uitgestoken tong, gezicht met uitgestoken tong en open ogen, grapje, grappig, ontdeugend, smiley, tong, tong uitsteken, uitgesteken tong
😜	gezicht, gezicht met uitgestoken tong en knipoog, grap, grapjas, knipoog, knipoog met uitgestoken tong, oog, plagen, smiley, tong
🤪	gek gezicht, gekke blik, gestoord, groot, klein, oog, smiley
😝	bah, dichte ogen, gezicht, gezicht met uitgestoken tong en dichtgeknepen ogen, oog, smaak, smerig, smiley, tong, uitgestoken tong, vies, vreselijk
🤑	betaald, geld, geldmond, gezicht, gezicht met geld in de mond, mond
🤗	blij, blij gezicht met uitgestoken handen, gezicht, handen, knuffel, knuffelen, uitgestoken
🤭	geheim, geschrokken, gezicht met hand over de mond, gezicht met hand over mond, giechelen, oeps, smiley, verrast
🫢	bang, geschokt, gezicht met open ogen en hand over de mond, gezicht met open ogen en hand voor mond, ongeloof, ontzag, schaamte, smiley, verbazing, verrassing
🫣	geboeid, gezicht met glurend oog, gluren, smiley, spieken, staren, stiekem, stiekem kijken
🤫	gezicht, gezicht dat tot stilte maant, manen, sst, stil, stilte
🤔	afvragen, denken, gezicht, hmm, kin, nadenken, nadenkend, nadenkend gezicht, overwegen
🫡	bevel, ja, oké, saluerend gezicht, saluut, smiley, troepen, zonnig
🤐	dicht, geheim, gezicht, gezicht met een rits als mond, houden, mond, rits, rits als mond, stil, zwijg
🤨	afkeurend, frons, gezicht met opgeheven wenkbrauw, gezicht met opgetrokken wenkbrauw, hmm, ongeloof, sceptisch, skeptisch, smiley, verrassing, wantrouwen, wantrouwend, wat
😐️	geen commentaar, gezicht, jaloers, neutraal, neutraal gezicht, niet leuk, ongemakkelijk, pokerface, pokergezicht, uitdrukkingsloos, uitgestreken
😑	dichtgeknepen, geen commentaar, geen uitdrukking, gezicht, jaloers, lame, omg, ontevreden, smiley, tegenzin, ugh, uitdrukkingsloos, uitdrukkingsloos gezicht, vooruit, wtf
😶	geen mond, geheim, gezicht, gezicht zonder mond, mond, niets zeggen, persoon, rustig, smiley, sprakeloos, stil, zwijgen
🫥	depressief, depri, gedeprimeerd, gezicht in stippellijn, introvert, onzichtbaar, smiley, verbergen, verdwijnen
😶‍🌫	afwezig, gezicht in de mist, gezicht in de wolken, hoofd in de wolken
😏	arrogant, flirten, gezicht, gezicht met grote grijns, gladjes, gniffelen, gniffelend gezicht, grijnzen, schuin, smiley, swag, vol van zichzelf, wenkbrauwen
😒	boos, chagrijnig gezicht, ehm, gezicht, jaloers, niet blij, niet leuk, ongelukkig, smiley, ugh, uhh, verveeld, whatever
🙄	gezicht, gezicht met rollende ogen, ogen, rollen, rollen met de ogen, schaduw, ugh, wat dan ook
😬	gezicht, gezicht met grimas, grimas, grimasgezicht, grinniken, niks, oeps, ongemakkelijk, smiley, tanden op elkaar
😮‍💨	blazen, fluisteren, fluiten, gezicht dat uitademt, kreunen, naar adem snakken, opgelucht, roken, rook, smiley, uitademen, uitgeput
🤥	gezicht, leugen, leugenaar, liegen, liegend gezicht, pinokkio
🫨	aardbeving, gek, gezicht, omg, paniek, schok, schudden, schuddend gezicht, trillen, verbijstering, verrassing, wauw, wow
🙂‍↔	hoofd dat horizontaal beweegt, nee, schudden
🙂‍↕	hoofd dat verticaal beweegt, ja, knikken
😌	gezicht, kalmte, opgelucht, opgelucht gezicht, opluchting, vrede, zen
😔	afgewezen, balen, gezicht, moedeloos, peinzend, peinzend gezicht, smiley, teleurgesteld, terneergeslagen, triest, verdrietig, verloren
😪	gezicht, huilen, slaap, slaperig gezicht, smiley, traan
🤤	gezicht, kwijlend, kwijlend gezicht
😴	bedtijd, dutje, gapen, gezicht, moe, slaap, slaap lekker, slapen, slapend gezicht, smiley, vermoeid, welterusten, zzz
🫩	gezicht met wallen onder de ogen, moe, slaperig, uitgeput
😷	besmet, dokter, doktersmasker, gezicht, gezicht met doktersmasker, gezicht met masker, koud, masker, medicijn, medisch masker, smiley, virus, ziek
🤒	gezicht, gezicht met thermometer, niet lekker, thermometer, ziek
🤕	gewond, gezicht, gezicht met een verband om het hoofd, gezicht met hoofdverband, pijn, verband, verwonding
🤢	gadver, gezicht, misselijk, misselijk gezicht, overgeven, vies, ziek
🤮	braaksel, braken, brakend gezicht, misselijk, overgeven, spuwen, walgelijk, ziek
🤧	gezicht, gezondheid, griep, koorts, niezen, niezend, niezend gezicht, ziek
🥵	beroerte, gezicht, heet, heet gezicht, hijgen, hitte, koortsig, rood gezicht, sterven, tong, zweten
🥶	bevriezen, bevriezing, blauw, gezicht, ijspegels, koud, koud gezicht, onder nul, tanden
🥴	aangeschoten, beneveld, beschonken, dronken, duizelig, gezicht, mond, ogen, scheel, wazig, wazig gezicht
😵	dood, duizelig, duizelig gezicht, gezicht, gezicht met mond open en kruisjes als ogen, smiley, ziek
😵‍💫	dronken, duizelig, gehypnotiseerd, gezicht met spiraalvormige ogen, probleem, smiley, spiraalvormig, stoned, verward, wow
🤯	exploderen, geschokt, ondersteboven, onmogelijk, ontploffend hoofd, smiley, verbaasd, verbijsterd, verrast, wow
🤠	cowboy, cowgirl, gezicht, gezicht met cowboyhoed, hoed
🥳	feest, feesten, feestend gezicht, fuif, gelukkig, gezicht, hoed, hoera, opgewonden, roltong, verjaardag, vieren, viering
🥸	bril, gezicht, incognito, neus, smiley, snor, vermomd gezicht, vermomming, wenkbrauwen
😎	bril, chillen, cool, gaaf, geweldig, gezicht, glimlach, lachend gezicht met zonnebril, ontspannen, stijl, stoer, strand, zonnebril
🤓	geek, gezicht, gezicht met bril en tanden, nerd, nerderig, nerdgezicht, smiley
🧐	chic, gezicht, gezicht met monocle, klasse, monocle, rijk, saai
😕	gezicht, hmm, ik weet het niet, in de war, ontevreden, peinzend, smiley, teleurgesteld, uhm, verward, verward gezicht
🫤	gefrustreerd, gezicht met schuine mond, het zal wel, meh, onzeker, sceptisch, smiley, teleurgesteld
😟	bedroefd, bezorgd, bezorgd gezicht, gestresst, gezicht, nerveus, smiley, stress, triest, zenuwen, zorgen
🙁	fronsen, fronsend, gezicht, licht, licht fronsend gezicht, verdrietig
☹️	fronsen, fronsend, fronsend gezicht, gezicht, verdrietig
😮	geschokt, geschrokken, gezicht, gezicht met open mond, mond, oeps, omg, ongelofelijk, ongelooflijk, open, smiley, sympathie, vergeten, wauw
😯	geschokt, gezicht, omg, smiley, verbaasd, verrast, verstomd, verstomd gezicht, wauw, wow
😲	geschokt, gezicht, kosten, nee, omg, totaal, verbaasd, verbaasd gezicht
😳	beschaamd, blozend, blozend gezicht, dood, gek, gezicht, heet, hitte, jeetje, onder de indruk, ongeloof, ongemakkelijk, sjonge, verbaasd, verbijsterd, wat, wauw
🥺	alsjeblieft, genade, gezicht, grote ogen, smeken, smekend gezicht, smekende blik, smiley, verdrietig, waarom niet, zielig gezicht
🥹	alsjeblieft, aww, beschaamd, bewondering, dankbaar, dankbaarheid, gevoelens, gezicht, gezicht dat tranen tegenhoudt, houden, huilen, tegen, tranen, trots, verdrietig, vreugde, weerstaan
😦	bang, betrapt, eng, frons, fronsen, fronsend gezicht met open mond, gezicht, hoede, mond, open, verrassing, wat, wauw
😧	bang, gekweld gezicht, gezicht, lijden, lijdend, ontevreden, smiley, stress, verrast
😨	angst, angstig, bang, bang gezicht, bezorgd, gezicht, schuld
😰	angstig, angstig gezicht met zweetdruppel, angstzweet, blauw, blauw gezicht met angstzweet, gehaast, gezicht, gezicht met open mond en zweetdruppel, koud, nerveus, smiley, zweet, zweetdruppel
😥	bijna, gezicht, ingewikkeld, oef, opgelucht, smiley, teleurgesteld, teleurgesteld maar opgelucht gezicht, zweetdruppel, zweten
😢	bedroefd, gevoelens, gezicht, huilen, huilend gezicht, smiley, traan, triest
😭	bedroefd, gezicht, hard huilen, hard huilend gezicht, huilen, ontroostbaar, smiley, snikken, traan, tranen, tranen met tuiten
😱	angst, angstig, angstig schreeuwend gezicht, bang, doodsbang, geschrokken, gezicht, gezicht dat schreeuwt van angst, munch, schreeuw, schreeuwend van angst, smiley
😖	bah, boos, gefrustreerd, gezicht, geïrriteerd, onthutst, onthutst gezicht, smiley, verdrietig, verwarring
😣	concentratie, concentreren, focus, gezicht, hoofdpijn, volharden, volhardend gezicht, volharding
😞	afgewezen, afwijzing, bedroefd, gezicht, niet blij, schuldig, smiley, teleurgesteld gezicht, teleurstelling, terneergeslagen, triest, verloren
😓	angstzweet, bang, dichtgeknepen ogen, gezicht, gezicht met angstzweet, koud, neerslachtig gezicht met zweetdruppel, nerveus, smiley, zweet
😩	aanstellen, gezicht, honger, moe, moe gezicht, nee, ontevreden, smiley, tegenzin, vermoeid, zeuren
😫	bah, gezicht, jakkes, moe, niesen, niezen, smiley, vermoeid, vermoeid gezicht, vies
🥱	bed, dutje, gaap, gapen, gapend gezicht, geeuwen, moe, rusten, saai, slaap lekker, slaperig, smiley, vermoeid, verveeld
😤	boos, gewonnen, gezicht, gezicht blazend van woede, gezicht met stoom uit neus, kokend van woede, ontevreden, triomf, witheet, woedend, ziedend
😡	boos, gezicht, kwaad, pruilend, pruilend gezicht, rood, smiley, woede, woedend
😠	boos, boos gezicht, fronsen, gefrustreerd, gezicht, kwaad, smiley, woedend
🤬	boos, censuur, gezicht met symbolen op mond, gezicht met tekens over mond, kwaad, schelden, smiley, vloeken
😈	duivels, fantasie, gezicht, glimlach, hoorns, lach, lachend gezicht met hoorns, lachend paars gezicht met hoorns, ondeugend, smiley, sprookje
👿	boos duiveltje, boos gezicht met hoorns, demon, duivel, duivels, fantasie, gezicht, hoorns, kleine duivel, paars duivelsgezicht, smiley, sprookje
💀	dood, doodshoofd, gezicht, monster, schedel, skelet, sprookje
☠️	bot, dood, doodshoofd, doodshoofd met gekruiste beenderen, gekruiste botten, gezicht, monster, schedel
💩	drol, grappig, monster, poep, poep met gezichtje, smiley, stinkt
🤡	clown, clownsgezicht, gezicht
👹	boeman, duivel, eng, fantasie, gezicht, masker, monster, oger, sprookje, verhaal, wezen
