‾	brūkšnys viršuje
〗	skliaustas, tuščiaviduris, tuščiaviduris lęšio formos, uždaromasis tuščiaviduris lęšio formos skliaustas
§	paragrafas, pastraipa, pastraipos simbolis, skirsnis
¶	lygiavimas, paragrafas, paragrafo simbolis, pastraipos pabaigos ženklas
@	eta, eta simbolis, eta ženklas, kilpelė, komercinė eta
*️	asteriskas, pakaitos simbolis, žvaigždutė
/	pasvirasis brūkšnys, įžambinis, įžambus brūkšnys
\	atvirkščias įžambus brūkšnys, įžambus kairinis brūkšnys
&	ampersandas, ir
#️	grotelių ženklas, grotelės, maiša, numeris
%	procentas, procento ženklas
‰	promilė, promilės ženklas
†	kryžiaus ženklas, kryžius
‡	dvigubas, dvigubas kryžiaus ženklas, kryžius
•	taškas, ženklelis
‧	brūkšnelis, kėlimo brūkšnelis, skyryba, žodžių kėlimas
′	pagrindinis, pagrindinis simbolis
″	dvigubas pagrindinis simbolis, pagrindinis skyriklis
‴	trigubas pagrindinis simbolis, trigubas skyriklis
‸	stogelio ženklas
※	atskaitos simbolis, atskaitos žyma
⁂	asterizmas
`	kairinis, kairinis kirtis, kirtis, trumpasis
´	dešininis, dešininis kirtis, kirtis, priegaidė
^	cirkumfleksas, kirtis, stogelis, tvirtagalė
¨	diarė, trema, umlautas
°	laipsnis, valanda
℗	autorių teisių simbolis, autorių teisės, garsas, garso įrašo autorių teisių simbolis, įrašas
←	kairė, rodyklė, į kairę nukreipta rodyklė
↚	perbraukta rodyklė kairėn
→	dešinė, rodyklė, į dešinę nukreipta rodyklė
↛	perbraukta rodyklė dešinėn
↑	rodyklė, viršus, į viršų nukreipta rodyklė
↓	apačia, rodyklė, į apačią nukreipta rodyklė
↜	vingiuota rodyklė kairėn
↝	vingiuota rodyklė dešinėn
↞	rodyklė kairėn su dvigubu smaigaliu
↟	rodyklė aukštyn su dvigubu smaigaliu
↠	rodyklė dešinėn su dvigubu smaigaliu
↡	rodyklė žemyn su dvigubu smaigaliu
↢	rodyklė kairėn su uodega
↣	rodyklė dešinėn su uodega
↤	rodyklė kairėn nuo brūkšnio
↥	rodyklė aukštyn nuo brūkšnio
↦	rodyklė dešinėn nuo brūkšnio
↧	rodyklė žemyn nuo brūkšnio
↨	rodyklė aukštyn ir žemyn su pagrindu
↫	rodyklė kairėn su kilpa
↬	rodyklė dešinėn su kilpa
↭	vingiuota rodyklė kairėn ir dešinėn
↯	laužyta rodyklė žemyn
↰	pasukta į kairę, rodyklė aukštyn, rodyklė aukštyn, pasukta į kairę
↱	pasukta į dešinę, rodyklė aukštyn, rodyklė aukštyn, pasukta į dešinę
↲	pasukta į kairę, rodyklė žemyn, rodyklė žemyn, pasukta į kairę
↳	pasukta į dešinę, rodyklė žemyn, rodyklė žemyn, pasukta į dešinę
↴	kampinė rodyklė dešinėn ir žemyn
↵	kampinė rodyklė žemyn ir kairėn
↶	pusapskritimė rodyklė su prieš laikrodžio rodyklę nukreiptu smaigaliu
↷	pusapskritimė rodyklė su laikrodžio rodyklės kryptimi nukreiptu smaigaliu
↸	rodyklė į šiaurės vakarus su ilgu brūkšniu
↹	rodyklė kairėn su brūkšneliu virš rodyklės dešinėn su brūkšneliu
↺	atvira apskrita rodyklė su prieš laikrodžio rodyklę nukreiptu smaigaliu
↻	atvira apskrita rodyklė su laikrodžio rodyklės kryptimi nukreiptu smaigaliu
↼	kabliukinė rodyklė kairėn su užkarpa aukštyn
↽	kabliukinė rodyklė kairėn su užkarpa žemyn
↾	kabliukinė rodyklė aukštyn su užkarpa dešinėn
↿	kabliukinė rodyklė aukštyn su užkarpa kairėn
⇀	kabliukinė rodyklė dešinėn su užkarpa aukštyn
⇁	kabliukinė rodyklė dešinėn su užkarpa žemyn
⇂	kabliukinė rodyklė žemyn su užkarpa dešinėn
⇃	kabliukinė rodyklė žemyn su užkarpa kairėn
⇄	rodyklė dešinėn virš rodyklės kairėn
⇅	apačia, rodyklė, viršus, į viršų ir į apačią nukreiptos rodyklės
⇆	dešinė, kairė, rodyklė, į kairę nukreipta rodyklė virš į dešinę nukreiptos rodyklės
⇇	suporuotos rodyklės kairėn
⇈	suporuotos rodyklės aukštyn
⇉	suporuotos rodyklės dešinėn
⇊	suporuotos rodyklės žemyn
⇋	kabliukinė rodyklė kairėn virš kabliukinės rodyklės dešinėn
⇌	kabliukinė rodyklė dešinėn virš kabliukinės rodyklės kairėn
⇐	dviguba rodyklė kairėn
⇍	dviguba perbraukta rodyklė kairėn
⇑	dviguba rodyklė aukštyn
⇒	dviguba rodyklė dešinėn
⇏	dviguba perbraukta rodyklė dešinėn
⇓	dviguba rodyklė žemyn
⇔	dviguba rodyklė kairėn ir dešinėn
⇎	dviguba perbraukta rodyklė kairėn ir dešinėn
⇖	dviguba rodyklė į šiaurės vakarus
⇗	dviguba rodyklė į šiaurės rytus
⇘	dviguba rodyklė į pietryčius
⇙	dviguba rodyklė į pietvakarius
⇚	triguba rodyklė kairėn
⇛	triguba rodyklė dešinėn
⇜	raityta rodyklė kairėn
⇝	raityta rodyklė dešinėn
⇞	dukart perbraukta rodyklė aukštyn
⇟	dukart perbraukta rodyklė žemyn
⇠	brūkšninė rodyklė kairėn
⇡	brūkšninė rodyklė aukštyn
⇢	brūkšninė rodyklė dešinėn
⇣	brūkšninė rodyklė žemyn
⇤	rodyklė kairėn su brūkšneliu
⇥	rodyklė dešinėn su brūkšneliu
⇦	tuščiavidurė rodyklė kairėn
⇧	tuščiavidurė rodyklė aukštyn
⇨	tuščiavidurė rodyklė dešinėn
⇩	tuščiavidurė rodyklė žemyn
⇪	tuščiavidurė rodyklė aukštyn nuo brūkšnio
⇵	rodyklė žemyn į kairę nuo rodyklės aukštyn
∀	visiems
∂	dalinis, dalinis diferencialas, diferencialas
∃	egzistuoja
∅	aibė, matematika, tuščia, tuščia aibė
∆	didinti, trikampis
∇	nabla, trikampis
∈	aibė, elementas, narys, patenka į, priklauso, yra elementas
∉	elementas, ne elementas
∋	įeina kaip narys
∎	galutinis, galutinis įrodymas, įrodymas
∏	logika, n-arė, n-arė sandauga, sandauga
∑	matematika, n-aris, n-aris sumavimas, sumavimas
+	pliusas, pliuso ženklas, pridėti
±	pliusas ir minusas, pliuso ir minuso ženklas
÷	dalyba, dalybos simbolis, dalyti
×	daugyba, daugybos simbolis, sandauga
<	atidaromoji žyma, mažiau už
≮	ne mažiau nei
=	lygu, lygus
≠	nelygu, skirtinga
>	daugiau už, uždaromoji žyma
≯	matematika, ne daugiau nei, nelygybė
¬	ne, nesutikimas
|	linija, vertikali linija
~	riestinis ženklas, tildė
−	atimti, minusas, minuso ženklas
⁻	minusas, minusas viršutiniame indekse, viršutinis indeksas
∓	minusas, minusas arba pliusas, pliusas
∕	dalyba, dalybos ženklas, dalyti, pasvirasis brūkšnys
⁄	trupmenos ženklas
∗	operatorius, žvaigždutė, žvaigždutės operatorius
∘	operatorius, sudėtis, žiedas, žiedo operatorius
∙	operatorius, ženklelio operatorius, ženklelis
√	kvadratinė šaknis, šaknis
∝	proporcingas
∞	begalybė, begalybės simbolis
∟	statusis kampas
∠	kampas
∣	dalija
∥	lygiagretus
∧	loginis ir
∩	aibė, sankirta
∪	aibė, sąjunga
∫	integralas
∬	dvigubas integralas
∮	kontūrinis integralas
∴	iš to išplaukia
∵	kad, todėl, todėl, kad
∶	santykis
∷	proporcija
∼	tildės operatorius
∽	atvirkščia, atvirkščia tildė, tildė
∾	apversta horizontali s
≃	asimptomas, asimptotiškai, asimptotiškai lygu, lygu, matematika
≅	apytiksliai lygu
≈	apytiksliai, panašiai
≌	lygus, lygybė, matematika, visi
≒	apytiksliai lygu arba atvaizdas
≖	lygus, lygybė, lygybė su žiedu, matematika, žiedas
≡	identiška, lygu, tapatu
≣	griežtai ekvivalentu
≤	lygu, mažiau arba lygu, nelygu, yra lygu
≥	daugiau arba lygu, lygu, nelygu, yra lygu
≦	mažiau nei per lygus
≧	daugiau nei per lygu
≪	daug mažiau nei
≫	daug daugiau nei
≬	tarp
≳	daugiau nei arba ekvivalentu
≺	yra prieš
≻	matematika, operatorius, rinkinys, yra po
⊁	matematika, nėra po, operatorius, rinkinys
⊂	aibė, poaibis
⊃	matematika, operatorius, rinkinys, superaibė, superrinkinys
⊆	poaibis lygus
⊇	superaibė lygi
⊕	pliuso ženklas apskritime
⊖	minuso ženklas apskritime
⊗	daugybos ženklas apskritime
⊘	apibrauktas, dalyba panašus, dalybos ženklas apskritime, matematika, pasvirasis brūkšnys, skyrius
⊙	taško operatorius apskritime
⊚	žiedo operatorius apskritime
⊛	žvaigždutės operatorius apskritime
⊞	pliuso ženklas kvadrate
⊟	minuso ženklas kvadrate
⊥	aukštyn
⊮	neverčia
⊰	yra prieš pagal sąryšį
⊱	yra po pagal sąryšį
⋭	grupė, kaip, lygybė, matematika, ne, neįeina kaip normali pogrupio lygybė, normalus, pogrupis, teorija
⊶	originalas
⊹	Hermito konjugacijos matrica
⊿	matematika, statusis trikampis, trikampis
⋁	n-aris loginis arba
⋂	n-arė sankirta
⋃	n-arė sąjunga
⋅	operatorius, taško operatorius
⋆	operatorius, žvaigždės operatorius
⋈	dvejetainis, natūralioji, natūralioji sąjunga, operatorius, prisijungti, sąjunga
⋒	dviguba sankirta
⋘	labai daug mažiau nei
⋙	daug, didesnis nei, labai, labai daug daugiau nei, matematika, nelygybė
⋮	elipsė, matematika, vertikaliai, vertikalioji elipsė
⋯	elipsė, horizontalioji elipsė eilutės viduryje
⋰	elipsė, matematika, įstriža elipsė aukštyn ir dešinėn
⋱	elipsė, matematika, įstriža elipsė žemyn ir dešinėn
■	užpildytas kvadratas
□	tuščiaviduris kvadratas
▢	tuščiaviduris kvadratas suapvalintais kampais
▣	tuščiaviduris kvadratas su užpildytu kvadratu viduje
▤	horizontaliai užštrichuotas kvadratas
▥	vertikaliai užštrichuotas kvadratas
▦	statmenai kryžmai užštrichuotas kvadratas
▧	iš kairiojo viršutinio į apatinį dešinįjį kampą užštrichuotas kvadratas
▨	iš dešiniojo viršutinio į apatinį kairįjį kampą užštrichuotas kvadratas
▩	įstrižai kryžmai užštrichuotas kvadratas
▬	užpildytas stačiakampis
▭	tuščiaviduris stačiakampis
▮	užpildytas vertikalus stačiakampis
▰	užpildytas gretasienis
▲	pilnaviduris, pilnaviduris į viršų nukreiptas trikampis, rodyklė, trikampis, į viršų
△	tuščiaviduris trikampis kampu į viršų
▴	mažas užpildytas trikampis kampu į viršų
▵	mažas tuščiaviduris trikampis kampu į viršų
▷	tuščiaviduris trikampis kampu į dešinę
▸	mažas užpildytas trikampis kampu į dešinę
▹	mažas tuščiaviduris trikampis kampu į dešinę
►	užpildyta rodyklė į dešinę
▻	tuščiavidurė rodyklė į dešinę
▼	pilnaviduris, pilnaviduris į apačią nukreiptas trikampis, rodyklė, trikampis, į apačią
▽	tuščiaviduris trikampis kampu į apačią
▾	mažas užpildytas trikampis kampu į apačią
▿	mažas tuščiaviduris trikampis kampu į apačią
◁	tuščiaviduris trikampis kampu į kairę
◂	mažas užpildytas trikampis kampu į kairę
◃	mažas tuščiaviduris trikampis kampu į kairę
◄	užpildyta rodyklė į kairę
◅	tuščiavidurė rodyklė į kairę
◆	užpildytas rombas
◇	tuščiaviduris rombas
◈	tuščiaviduris rombas su užpildytu rombu viduje
◉	tuščiaviduris apskritimas su užpildytu apskritimu viduje
◊	rombas
○	apskritimas, tuščiaviduris apskritimas, žiedas
◌	punktyrinis apskritimas
◍	vertikaliai užštrichuotas apskritimas
◎	koncentriniai apskritimai
●	pilnaviduris apskritimas, skritulys
◐	apskritimas užpildyta kairiąja puse
◑	apskritimas užpildyta dešiniąja puse
◒	apskritimas užpildyta apatine puse
◓	apskritimas užpildyta viršutine puse
◔	apskritimas užpildytu viršutiniu dešiniuoju ketvirčiu
◕	apskritimas neužpildytu viršutiniu kairiuoju ketvirčiu
◖	kairioji užpildyto apskritimo pusė
◗	dešinioji užpildyto apskritimo pusė
◘	atvirkštinis ženklelis
◙	užpildytas kvadratas su tuščiaviduriu apskritimu
◜	apskritimo viršutinio kairiojo kvadranto lankas
◝	apskritimo viršutinio dešiniojo kvadranto lankas
◞	apskritimo apatinio dešiniojo kvadranto lankas
◟	apskritimo apatinio kairiojo kvadranto lankas
◠	viršutinis puslankis
◡	apatinis puslankis
◢	užpildytas trikampis apačioje dešinėje
◣	užpildytas trikampis apačioje kairėje
◤	užpildytas trikampis viršuje kairėje
◥	užpildytas trikampis viršuje dešinėje
◦	tuščiaviduris ženklelis
◯	apskritimas, didelis apskritimas, didelis tuščiaviduris apskritimas, žiedas
◳	tuščiavidurio kvadrato viršutinis dešinysis kvadrantas
◷	tuščiaviduris apskritimas su viršutiniu dešiniuoju kvadrantu
◿	apskritimas apačioje dešinėje
♪	aštuntinė, aštuntinė nata, muzika, nata
⨧	plius apatinio indekso du
⨯	vektorinė sandauga
⨼	vidinė sandauga
⩣	dukart pabrauktas loginis arba
⩽	pasvirasis mažiau arba lygu
⪍	mažiau nei virš panašiai lygu
⪚	daugiau su dviguba linija, didesnis nei, dviguba eilutė, lygus, matematika, nelygybė
⪺	eina po virš ne beveik lygu
♭	bemolis, muzika, nata
♯	diezas, muzika, nata
😀	išsišiepti, išsišiepęs veidas, linksmas, veidas
😃	besišypsantis išsižiojęs veidas, burna, labai laimingas, praverta, valio, veidas, šypsena
😄	akys, besišypsantis išsižiojęs veidas besišypsančiomis akimis, burna, laimingas, praverta, veidas, šypsena
😁	akys, išsišiepti, išsišiepęs veidas su besišypsančiomis akimis, veidas, šypsena
😆	besišypsantis išsižiojęs veidas su smarkiai užmerktomis akimis, burna, cha cha, juokas, pasitenkinęs, patenkintas, praverta, veidas, šypsena, šypsenėlės
😅	besišypsantis išsižiojęs veidas, besišypsantis išsižiojęs veidas, išpiltas šalto prakaito, išpiltas šalto prakaito, prakaitas, praverta, veidas, šaltas, šypsena
🤣	juokas, lol, raitausi iš juoko, raitytis, veidas
😂	ašara, džiaugsmas, džiaugsmo ašara, juokas, veidas, veidas su džiaugsmo ašaromis, šypsenėlės
🙂	veidas, šiek tiek besišypsantis veidas, šypsena, šypsenėlės
🙃	apverstas veidas, aukštyn kojom, veidas, šypsena
🫠	cha cha, ištirpti, karšta, karštis, labai juokinga, lydytis, nykti, sarkazmas, skystis, sutrikęs, tirpstantis veidas
😉	flirtas, mirksintis veidas, mirktelėjimas, veidas
😊	akys, besišypsantis veidas su besišypsančiomis akimis, nurausti, patenkintas, veidas, šypsena
😇	angelas, aureolė, besišypsantis veidas su aureole, fantazija, nekaltas, veidas
🥰	besišypsantis veidas su trimis širdelėmis, dievinti, garbinimo objektas, veidas, įsimylėjęs
😍	akys, besišypsantis veidas su širdelės formos akimis, meilė, veidas, širdelės, šypsena
🤩	akys, veidas, wow, šypsenėlės, šypsotis, žvaigždė, žvaigždžių liga
😘	bučinys, bučinį siunčiantis veidas, veidas, širdelė
😗	bučinys, bučiuojantis veidas, veidas, šypsenėlės
☺️	atsipalaidavęs, besišypsantis veidas, veidas, šypsena, šypsenėlės
😚	akys, bučinys, bučiuojantis su užmerktomis akimis, pasimatymas, užmerktos, veidas
😙	akys, bučinys, bučiuojantis su besišypsančiomis akimis, veidas, šypsena, šypsenėlės
🥲	ašara, besišypsantis, besišypsantis veidas su ašara, dėkingas, palengvėjimas, pasididžiavimas, šypsenėlė
😋	besimėgaujantis, niam, skaniu maistu besimėgaujantis veidas, skanu, veidas, šypsena
😛	liežuvis, malonus, veidas, veidas su iškištu liežuviu
😜	akis, juokingas, liežuvis, mirksnis, pokštas, veidas, veidas su iškištu liežuviu ir viena primerkta akimi
🤪	akis, akys, didelis, mažas, pamišęs, pamišęs veidas, veidas
😝	OMG, akys, bjaurus, liežuvis, skonis, veidas, veidas su iškištu liežuviu ir stipriai užmerktomis akimis, šlykštus
🤑	burna, pinigai, turtingas, veidas, veidas su pinigu vietoje liežuvio
🤗	apkabinantis veidas, apkabinimas, apkabinti, veidas, šypsenėlės
🤭	kikenimas, paslaptis, ups, veidas, veidas su ranka ant burnos
🫢	aiktelėjimas, gėda, išgąstis, netikėjimas, netikėtumas, nuostaba, o Dieve, pagarbi baimė, staigmena, tyla, veidas atmerktomis akimis ir ranka uždengta burna
🫣	išsigandęs, nedrąsus, pakerėtas, slėptis, stebeilytis, stebėti, susidrovėti, veidas su stebinčia akimi, žvilgsnis vogčiomis, žvilgtelėjimas
🤫	tildantis veidas, tylus, veidas, ššš
🤔	mąstantis veidas, mąstymas, susimąstęs, veidas, šypsenėlės
🫡	gerai, kariai, pagarba, pagarbos atidavimas, pagarbą atiduodantis veidas, saulėta, sėkmės, taip
🤐	burna, paslaptis, patylėti, užtrauktukas, veidas, veidas su užtrauktuku vietoje burnos
🤨	nepasitikintis, skeptiškas, veidas, veidas su pakeltais antakiais
😐️	blogai, neišraiškingas, neutralus, neutralus veidas, pavydus, veidas
😑	be išraiškos, neišraiškingas, pavydus, veidas, veidas be jokios išraiškos
😶	burna, negaliu patikėti, tylus, veidas, veidas be burnos
🫥	abejingumas, intravertas, išnykti, nematomas, nesvarbu, prislėgtas, punktyrinis veidas, slėptis
😶‍🌫	galva debesyse, veidas debesyse, veidas rūke
😏	iš pasitenkinimo besišypsantis veidas, pasitenkinimas, veidas
😒	abejingas, nelaimingas, nelinksmas, nelinksmas veidas, nuobodžiauti, veidas
🙄	akys, vartantis akis, vartyti, vartyti akis, veidas, veidas, vartantis akis
😬	besivaipantis veidas, grimasa, veidas, šypsenėlės
😮‍💨	dejuoti, gaudyti, iškvėpti, išpūsti, reljefas, veidas su garu, šnabždesys, švilpukas, šypsenėlė
🤥	Pinokis, melas, meluojantis veidas, veidas
🫨	beprotiška, besikratantis veidukas, oho, palauk, panika, purtymas, staigmena, veidas, vibruoti, šokas, žemės drebėjimas
🙂‍↔	purtantis galvą, sakantis ne
🙂‍↕	linksintis galva, sakantis taip
😌	nurimęs, palengvėjimas, ramus, veidas, veidas su palengvėjimu
😔	prislėgtas, susimąstęs, susimąstęs veidas, veidas
😪	liūdnas, miegas, mieguistas veidas, pavargęs, veidas
🤤	besiseilėjantis veidas, seilės, veidas
😴	miegantis veidas, miegas, veidas, zzz, šypsenėlė
🫩	išsekęs, mieguistas, pavargęs, veidas su maišeliais po akimis
😷	gydytojas, kaukė, medicina, sergantis, veidas, veidas su medicinine kauke, šaltis
🤒	ligonis, serga, termometras, veidas, veidas su termometru
🤕	skausmas, susižeidęs, sužeidimas, tvarstis, veidas, veidas su galvos tvarsčiu
🤢	besiruošiantis vemti veidas, veidas, vemti, šlykštu
🤮	liga, veidas, vemiantis veidas, vemti
🤧	veidas, čiaudantis veidas, čiaudulys
🥵	karštas, karščiuojantis, prakaitavimas, raudonveidis, veidas, įkaitęs veidas, šilumos smūgis
🥶	mėlynveidis, nušalimas, stingdantis, sušalęs veidas, varvekliai, veidas, šaltas
🥴	apkvaišęs veidas, apsvaigęs, banguojanti burna, nelygios akys, veidas, įkaušęs
😵	apsvaigęs, apsvaigęs veidas, sergantis, veidas
😵‍💫	apsvaigęs, bėda, spiralė, sutrikęs, svaigulys, užhipnotizuotas, va, veidas su spiralinėmis akimis, šypsenėlė
🤯	sprogstanti galva, šokiruotas, šypsenėlės
🤠	kaubojaus veidas su skrybėle, kaubojus, skrybėlė, veidas
🥳	skrybėlė, veidas, šventimas, šventė, švenčiantis veidas, švilpynė, šypsenėlė
🥸	akiniai, inkognito, nosis, pasislėpęs, paslėptas veidas, veidas, šnipas, ūsai, žmogus
😎	akiniai nuo saulės, besišypsantis veidas su akiniais nuo saulės, kietas, saulė, veidas, šaunus, šviesus
🤓	akiniai, ekspertas, juokingas, moksliukas, moksliuko veidas, pirmūnas, protingas, talentingas, veidas
🧐	prabangus, turtingas, tvankus, veidas, veidas su monokliu
😕	apgailestaujantis, hm, liūdnas, neužtikrintas, painus, pasimetęs, suraukęs kaktą, sutrikęs, sutrikęs veidas, veidas
🫤	abejojantis, abejojimas, nesvarbu, nusivylimas, nusivylęs, skeptiškas, sumišimas, sumišęs, susierzinęs, veidas įstriža burna
😟	nervingas, susirūpinęs, susirūpinęs veidas, veidas
🙁	paniuręs, veidas, šiek tiek paniuręs veidas
☹️	liūdnas, paniuręs, paniuręs veidas, veidas
😮	atverta, burna, išsižiojęs, išsižiojęs veidas, netikiu, pamiršau, veidas
😯	nustebęs, nuščiuvęs, nuščiuvęs veidas, priblokštas, veidas
😲	apstulbęs, apstulbęs veidas, priblokštas, veidas, visiškai
😳	karšta, nuraudęs, nuraudęs veidas, nustebęs, raudonis, veidas
🥺	gailestingumas, maldaujantis veidas, maldavimas, veidas, šuniuko akys
🥹	ašaras tramdantis veidas, besididžiuojantis, dėkingas, dėkingumas, džiaugsmo ašaros, išdidus, jausmai, liūdesys, liūdnas, miela, nepasiduoti, piktas, prašymas, susižavėjimas, sutrikęs, verkti
😦	burna, išsižiojęs, nustebęs, oho, paniuręs, paniuręs išsižiojęs veidas, veidas
😧	kenčiantis, kenčiantis veidas, nelaimingas, nustebęs, veidas
😨	baimė, baimės pilnas veidas, išsigandęs, susirūpinęs, veidas
😰	burna, išpiltas šalto prakaito, išsigandęs, išsižiojęs, išsižiojęs veidas, išpiltas šalto prakaito, mėlyna, prakaitas, veidas, šaltis, šypsenėlės
😥	nusivylęs, nusivylęs veidas su palengvėjimu, palengvėjimas, veidas
😢	ašara, liūdnas, veidas, verkiantis veidas, verkti
😭	ašara, garsiai raudantis veidas, liūdnas, raudoti, veidas, verkti
😱	baimė, iš baimės šaukiantis veidas, išsigandęs, veidas, šauksmas
😖	piktas, suglumintas veidas, suglumęs, veidas
😣	atkaklus, atkaklus veidas, susikaupęs, veidas
😞	kaltas, nusivylęs, nusivylęs veidas, veidas
😓	išpiltas šalto prakaito, išsigandęs, nervingas, prakaitas, veidas, veidas, išpiltas šalto prakaito, šaltas
😩	nuvargęs, nuvargęs veidas, pavargęs, veidas
😫	miegoti, pavargęs, pavargęs veidas, veidas
🥱	labanakt, nuobodžiaujantis, pavargęs, veidas, žiovaujantis veidas, žiovauti
😤	laimėjo, nelaimingas, niršti, pyktis, triumfas, veidas, veidas su iš nosies einančiais garais
😡	piktas, raudonas, susiraukęs, susiraukęs veidas, veidas, įniršis, įsiutęs
😠	piktas, piktas veidas, pyktis, veidas
🤬	besikeikiantis, piktas, veidas, veidas su simboliais ant burnos
😈	besišypsantis veidas su ragais, fantazija, pasaka, ragai, veidas, šypsena
👿	fantazija, pasaka, veidas, velnias, velniūkštis
💀	kaukolė, mirtis, monstras, pasaka, veidas
☠️	kaukolė, kaukolė ir sukryžiuoti kaulai, mirtis, monstras, sukryžiuoti kaulai, veidas
💩	išmatos, išmatų krūvelė, kakoti, komiksas, monstras, mėšlas, smarvė, veidas
🤡	klounas, klouno veidas, veidas
👹	fantazija, monstras, pabaisa, padaras, pasaka, veidas
👺	demonas, fantazija, monstras, padaras, pasaka, veidas
👻	fantazija, monstras, padaras, pasaka, vaiduoklis, veidas
👽️	ateivis, fantazija, kūrinys, nežemiška būtybė, veidas
👾	ateivis, fantazija, kosmosas, kūrinys, monstras ateivis, nežemiška būtybė, pabaisa, veidas
🤖	monstras, robotas, roboto veidas, veidas
😺	besišypsančios katės snukutis, burna, gyvūnas, išsižiojęs, katė, veidas, šypsena
😸	akys, išsišiepusios katės snukutis su besišypsančiomis akimis, katė, vaipytis, veidas, šypsena
😹	ašara, džiaugsmas, džiaugsmo ašaros, gyvūnas, katė, katės snukutis su džiaugsmo ašaromis, veidas
😻	akis, besišypsančios katės snukutis su širdelės formos akimis, gyvūnas, katė, meilė, veidas, šypsena
😼	ironija, ironiškai besišypsančios katės snukutis, katė, nuvargusios besišypsančios katės snukutis, nuvargęs, veidas, šypsena
😽	akys, bučinys, bučiuojančios katės snukutis, katė, veidas
🙀	gyvūnas, katė, nustebusios katės snukutis, nustebęs, oi, veidas
😿	ašara, gyvūnas, katė, liūdesys, veidas, verkiančios katės snukutis, verkti
😾	katė, susiraukusios katės snukutis, susiraukęs, veidas
🙈	beždžionė, blogis, draudžiama, gyvūnas, matyti, negaliu žiūrėti, uždrausta, užsidengusi akis beždžionė, veidas
🙉	beždžionė, blogis, draudžiama, gyvūnas, klausyti, neklausau, paslaptis, uždrausta, užsidengusi ausis beždžionė, veidas
🙊	beždžionė, blogis, gyvūnas, nekalbu, uždrausta, užsidengusi burną beždžionė, veidas
