‾	overline
⇙	timog kanluran na dobleng arrow
⇚	kaliwa na tripleng arrow
⇛	kanan na tripleng arrow
⇜	kaliwa na squiggle arrow
⇝	kanan na squiggle arrow
⇞	pataas na arrow na may dobleng stroke
⇟	pababang arrow na may dobleng stroke
⇠	kaliwang arrow na may dash
⇡	pataas na dash na arrow
⇢	kanan na dash na arrow
⇣	pababang dash na arrow
⇤	kaliwang arrow na may bar
⇥	kanang arrow na may bar
⇦	kaliwang walang laman na arrow
⇧	pataas na walang laman na arrow
⇨	kanang walang laman na arrow
⇩	pababang arrow na walang laman
⇪	pataas na arrow na walang laman mula sa bar
⇵	pababa na arrow sa kaliwa pataas na arrow
∀	para sa lahat
∂	differential, partial na differential
∃	mayroon
∅	walang laman na set
∆	increment, tatsulok
∇	nabla, tatsulok
∈	element, element ng, membership, naglalaman ng, set
∉	hindi elemento
∋	naglalaman bilang miyembro
∎	end proof
∏	produktong n-ary
∑	n-ary summation
+	tanda ng pagdaragdag
±	dagdag-bawas
÷	division, division sign, mag-divide, obelus
×	mag-multiply, multiplication, multiplication sign, times
<	mas mababa sa
≮	hindi bababa sa
=	equal, katumbas
≠	hindi equal, hindi magkatumbas, hindi pantay
>	mahigit sa
≯	hindi higit sa
¬	negasyon
|	patayong linya
~	tilde
−	pananda ng pagbabawas
⁻	minus, superscript, superscript minus
∓	minus o plus
∕	dibisyon slash
⁄	fraction na slash, stroke, virgule
∗	asterisk operator
∘	ring operator
∙	bullet operator
√	radical, radix, root, square, square root, surd
∝	proporsyonal
∞	infinity, infinity sign
∟	angle, kanang anggulo, matematika
∠	angle
∣	hatiin
∥	kahanay
∧	lohikal at
∩	intersection, set
∪	koleksyon, set, union
∫	integral
∬	dobleng integral
∮	contour integral
∴	kaya
∵	dahil
∶	ratio
∷	proporsyon
∼	tilde operator
∽	baligtad na tilde
∾	baligtad na s
≃	pantay na pantay
≅	halos pantay
≈	halos katumbas, humigit-kumulang, tantya
≌	lahat pantay
≒	halos pantay ang imahe
≖	singsing sa loob ng equal
≡	eksakto, katulad, katulad ng, triple
≣	istriktong katumbas
≤	mas mababa sa o katumbas
≥	mahigit sa o katumbas
≦	simblo ng mas mababa sa sa taas ng simblo ng katumbas
≧	simbolo ng mas higit sa sa taas ng simbolo ng katumbas
≪	higit na mas mababa sa
≫	higit na mas higit sa
≬	sa pagitan ng
≳	mas higit sa katumbas
≺	nauna
≻	sundan
⊁	hindi sinusundan
⊂	set, subset, subset ng
⊃	superset
⊆	pantay na subset
⊇	pantay na superset
⊕	nakabilog na plus
⊖	nakabilog na minus
⊗	nakabilog na times
⊘	nakabilog na division slash
⊙	nakabilog na tuldok na operator
⊚	nakabilog na sing sing na operator
⊛	nakabilog na asterisk operator
⊞	nakakuwadrado na plus
⊟	nakakuwadrado na minus
⊥	pataas na tack
⊮	hindi pinupuwersa
⊰	nauna sa ilalim ng relasyon
⊱	sundan sa ilalim ng relasyon
⋭	hindi naglalaman bilang normal na pantay na subgroup
⊶	orihinal
⊹	hermitian conjugate matrix
⊿	right triangle
⋁	n-ary lohikal o
⋂	n-ary interseksyon
⋃	n-ary union
⋅	tuldok na operator
⋆	bituin na operator
⋈	binary operator, bowtie, natural na pagsasama
⋒	dobleng interseksyon
⋘	sobrang higit na mas mababa sa
⋙	sobrang higit na mas higit sa
⋮	patayong ellipsis
⋯	ellipsis, midline na pahalang na ellipsis
⋰	pataas na kanang diagonal ellipsis
⋱	pababang kanan na dayagonal ellipsis
■	punong kuwadrado
□	walang laman na kuwadrado
▢	walang laman na kuwadrado na may pabilog na kanto
▣	punong kuwadrado sa loob ng walang laman na kuwadrado
▤	kuwadradong may pahalang na punan
▥	kuwadradong may patayo na punan
▦	kuwadradong may orthogonal crosshatch na laman
▧	kuwadradong may itaas na kaliwa at ibabang kanan na punan
▨	kuwadradong may itaas na kanan at ibabang kaliwa na punan
▩	kuwadradong may dayagonal crosshatch na punan
▬	punong rektanggulo
▭	walang laman na rektanggulo
▮	punong nakatayo na rektanggulo
▰	punong parallelogram
▲	arrow, may fill, pataas, pataas na tatsulok na may fill, tatsulok
△	walang laman na up-pointing na tatsulok
▴	punong up-pointing na maliit na tatsulok
▵	walang laman na up-pointing na maliit na tatsulok
▷	walang laman na right-pointing na tatsulok
▸	punong right-pointing na maliit na tatsulok
▹	walang laman na right-pointing na maliit na tatsulok
►	punong right-pointing na pointer
▻	walang laman na right-pointing na pointer
▼	arrow, may fill, pababa, pababang tatsulok na may fill, tatsulok
▽	walang laman na down-pointing na tatsulok
▾	punong down-pointing na maliit na triangle
▿	walang laman na down-pointing na maliit na tatsulok
◁	walang laman na left-pointing na tatsulok
◂	punong left-pointing na maliit na tatsulok
◃	walang laman na left-pointing na maliit na tatsulok
◄	punong left-pointing na pointer
◅	walang laman na left-pointing na pointer
◆	punong diamante
◇	walang laman na diamante
◈	punong diamante sa loob ng walang laman na diamante
◉	punong bilog sa loob ng walang laman na bilog
◊	diamante, lozenge, rhombus
○	bilog, singsing, walang lamang bilog
◌	dotted na bilog
◍	bilog na may patayong punan
◎	gitna ng tudlaan
●	bilog, may fill na bilog
◐	bilog na kalahating puno sa kaliwa
◑	bilog na kalahating puno sa kanan
◒	bilog na kalahating puno sa baba
◓	bilog na kalahating puno sa taas
◔	bilog na puno sa kanang itaas na kuwadrante
◕	bilog na puno lahat maliban sa itaas na kaliwang kuwadrante
◖	kalahating puno sa kaliwa na bilog
◗	kalahating puno sa kanan na bilog
◘	baligtad na bullet
◙	punong kuwadrado na may walang laman na bilog sa loob
◜	pabilog na arko sa itaas na kaliwang kuwadrante
◝	pabilog na arko sa itaas na kanang kuwadrante
◞	pabilog na arko sa ibabang kanan na kuwadrante
◟	pabilog na arko sa ibabang kaliwa na kuwadrante
◠	itaas na kalahating bilog
◡	ibaba na kalahating bilog
◢	punong ibabang kanan na tatsulok
◣	punong ibabang kaliwa na tatsulok
◤	punong itaas na kaliwang tatsulok
◥	punong itaas na kanang tatsulok
◦	walang laman na bullet
◯	bilog, malaking walang lamang bilog, singsing
◳	walang laman na kuwadrado sa itaas na kanang kuwadrante
◷	walang laman na bilog na may itaas na kanang kuwadrante
◿	ibabang kanan na tatsulok
♪	ikawalo, ikawalong nota, musika, nota
⨧	plus subscript na dalawa
⨯	produkto ng vector cross
⨼	produkto ng interior
⩣	lohikal o dobleng underbar
⩽	mas mababa sa naka-slant na equal
⪍	mas mababa sa itaas ng similar na equal
⪚	dobleng linya na equal na mas malaki sa
⪺	kasunod sa itaas ng hindi halos katumbas
♭	bemolle, flat, musika, nota
♯	diesis, dièse, musika, nota, sharp
😀	malaking ngiti, mukha, mukhang nakangisi, mukhang nakangiti, nakangiti, ngiti, smile
😃	masaya, mukha, nakangisi na may malaking mga mata, nakangiti, ngiti, saya, yehey
😄	lol, masaya, mata, mukha, nakangisi kasama ang mga nakangiting mata, nakangiti, nakatawa, ngiti, saya, tawa, yehey
😁	malaking ngiti, mata, mukha, nakangiti, nakangiti nang malaki kasama ang mga mata, nakangiti pati ang mga mata, ngiti
😆	masaya, mukha, nakangiti, nakapikit, nakatawa, nakatawa nang nakapikit, ngiti, smiley
😅	hala, kabado, kinakabahan, malamig, mukha, nakangising mukha na may pawis, nakangiti, nakatawa, nanlalamig, ngiti, pawis, stress
🤣	gulong, gumugulong, gumugulong sa kakatawa, iyaktawa, mukha, sahig, smiley, tawa, tawang tawa, tumatawa
😂	iyak, iyaktawa, luha, masaya, mukha, mukhang naiiyak sa tuwa, smiley, tawa, tumatawa
🙂	medyo nakangiti, mukha, nakangiti, ngiti
🙃	baligtad, baligtad na mukha, hehe, mukha
🫠	banas, hiya, init, lol, mukha, natutunaw na mukha, sarcastic, tunaw
😉	flirt, kindat, kumikindat, mukha
😊	blush, masaya, mata, mukha, nakangiti, nakangiti kasama ang mga mata, ngiti
😇	anghel, halo, inosente, mabait, mukha, nakangiti, nakangiti nang may halo
🥰	crush, i love you, lab yu, mahal kita, nakangiting mukha na may 3 na puso, sinasamba, umiibig
😍	kilig, kinikilig, labyu, mahal kita, mata, mukha, nakangiti, nakangiti nang may hugis-pusong mga mata, ngiti, pag-ibig, puso, yihee
🤩	bituin, mga mata, mukha, ngumingisi, star-struck, wow
😘	flying kiss, halik, kindat, labyu, mahal kita, mishu, miss you, mukha, mwah, puso, tsup, xoxo
😗	halik, humahalik, kiss, labyu, mukha, mwah, nguso
☺️	blush, mukha, nakangiti, namumula, ngiti
😚	halik, humahalik nang nakapikit, kiss, labyu, mahal kita, mata, mukha, mwah, ngiti, tsup, xoxo
😙	halik, humahalik nang nakangiti ang mga mata, labyu, mahal kita, mata, mukha, mwah, ngiti, tsup
🥲	guminhawa ang pakiramdam, ipinagmamalaki, luha, mukhang nakangiti na may luha, naantig, nagpapasalamat, nakangiti, smiley
😋	belat, lasa, lumalasap, lumalasap ng masarap na pagkain, masarap, mukha, nakangiti, sarap, yummy
😛	belat, dila, mukha, nakabelat, nakadila
😜	biro, dila, kumikindat nang nakadila, mata, mukha, nakadila, nakakindat
🤪	baliw na mata, baliw na mukha, malaki, maliit, mata
😝	dila, lasa, mata, nakadila, nakadila nang nakapikit
🤑	bayad, mukha, mukhang pera, pera
🤗	gesture, mukha, mukhang yumayakap, nangyayakap, yakap
🤭	kilig, mukha na nakatakip ang kamay sa bibig, oops, sorpresa, whoops
🫢	di makapaniwala, gulat, hiya, mukha na may mga nakabukas na mata at kamay sa bibig, paghanga, pagkamangha, takot
🫣	hiya, mukha na may sumisilip na mata, silip, tago, takot
🤫	mukha na nagpapatahimik, quiet, shush, tahimik
🤔	hmm, isip, mukha, nag-iisip, nagtataka
🫡	maaraw, ok, oo, saludo, tropa
🤐	bibig, hindi magsasalita, mukha, naka-zipper ang bibig, secret, sikreto, tahimik, tameme, zipper
🤨	ano, hmm, medyo nasorpresa, mukhang nakataas ang kilay, nagdududa, walang tiwala
😐️	keber, kebs, mukha, neutral, nr, selos, walang emosyon, walang reaksyon
😑	keber, kebs, mukha, nr, selos, walang ekspresyon, walang emosyon, walang reaksyon
😶	hindi nagsasalita, keber, kebs, mukha, mukhang walang bibig, no comment, nr, tahimik, walang bibig
🫥	depressed, dotted na linya na mukha, invisible, nakatago, walang pake, walang pakialam
😶‍🌫	mukhang nasa ulap
😏	mayabang, mukha, nakangisi, ngisi, suwabe, swabe, swag
😒	bagot, coolstorybro, galit, hindi masaya, hindi natutuwa, inis, irap, mukha, nagseselos, pikon
🙄	haay, irap, itinitirik ang mga mata, mata, mukha, smiley, umiikot, umiirap
😬	mukha, nagngingitngit, nagtitiis, nakangiwi, nandidiri, nanggigigil, nasasaktan, ngiwi
😮‍💨	buntong-hininga, exhale, haay, mukhang humihinga palabas, pagod, smiley
🤥	liar, mukha, nagsisinungaling, pinocchio, sinungaling
🫨	lindol, mukha, nabigla, nanginginig, nanginginig na mukha, vibrate
🙂‍↔	gumagalaw na mukha pahalang, hindi, umiiling
🙂‍↕	gumagalaw na mukha paayon, oo, tango
😌	buntung-hininga, buti na lang, kalma, kalmado, mukha, nakahinga nang maluwag, whew
😔	malungkot, malungkot na nag-iisip, mukha, nag-iisip, nalulumbay, sayang
😪	humihilik, inaantok, inaantok na mukha, mukha, natutulog, tulog
🤤	mukha, naglalaway
😴	humihilik, inaantok, mukha, natutulog, smiley, tulog, zzz
🫩	inaantok, mukha na nangangalumata, mukhang nangangalumata, pagod, pagod na pagod
😷	doktor, mask, may sakit, may suot na medical mask, mukha, sakit, sipon, ubo
🤒	lagnat, may thermometer sa bibig, mukha, sakit, thermometer, trangkaso
🤕	aksidente, benda, injury, may benda sa ulo, mukha, nasaktan, sugat
🤢	kadiri, mukha, naduduwal, nakakaduwal, nakakasuka, nasusuka, suka
🤮	mukha na nagsusuka, nasusuka, suka
🤧	bahing, bumabahing, mukha, singa, sinisipon, sipon
🥵	agaw-buhay, atake, feverish, hinahapo, mainit, mainit na mukha, mukhang-pula, nakadila, nilalagnat, pinapawisan
🥶	frostbite, giniginaw, icicles, malamig, malamig na mukha, mukhang asul
🥴	bibig na wavy, dizzy, hindi pantay ang mata, lasing, nahihilo, nakainom, woozy na mukha
😵	hikab, inaantok, mukha, mukhang nahihilo, naghihikab
😵‍💫	hilo, lito, mukang may spiral na mata, smiley, whoa
🤯	nabigla, sumasabog na ulo
🤠	cowboy, cowgirl, mukha, mukha na may cowboy hat, sombrero, sumbrero
🥳	nagdiriwang na mukha, pagdiriwang, party, salu-salo, smiley, sombrero, sungay
🥸	ilong, incognito, mukha, nakatago, nakatagong mukha, salamin sa mata, smiley
😎	araw, astig, cool, idol, maaraw, nakangiti, nakangiti nang may suot na shades, salamin, sunglasses
🤓	geek, hippie, mukha, nerd, salamin
🧐	mayaman, mukha na may monocle, sosyal, stuffy
😕	hm, lito, mukha, nagtataka, nalilito, simangot, taka
🫤	bigo, duda, lito, mukha na may diagonal na bibig, nagdududa
😟	balisa, mukha, nag-aalala, nase-stress, ninenerbyos
🙁	malungkot, medyo nakasimangot, mukha, simangot
☹️	malungkot, mukha, nakasimangot, simangot
😮	bibig, gulat, hala, mukha, nabigla, nagulat, nakanganga, nganga, wow
😯	gulat, mukha, naghihintay, nagulat, nakanganga, omg, tahimik, tahimik na naghihintay, whoa, woah
😲	gulat na gulat, mukha, nabigla, nagulat
😳	blush, mukha, nagulat, nahihiya, nakatitig, namumula, namumutla
🥺	habag, malungkot, mata na kuwa, mata ng tuta, nagmamakaawa, nagsusumamo na mukha, please
🥹	awa, lungkot, mukhang nagpipigil ng luha, nahihiya, naiiyak, pakiusap, please, tears of joy
😦	bibig, bigla, gulat, mukha, nabigla, nagulat, nakanganga, nakasimangot, nakasimangot nang nakanganga, nalulumbay, takot, wow
😧	gulat, hala, mukha, nagdurusa, stress, takot, wow
😨	duwag, hala, kabado, kinakabahan, lagot, mukha, nag-aalala, natatakot, takot, yari
😰	balisa at pinagpapawisan, kabado, kinakabahan, mukha, natatakot, pawis, pinagpapawisan nang malamig
😥	dismayado, hala, kabado, malungkot, malungkot pero naibsan, mukha, nakahinga nang maluwag, whew
😢	iyak, luha, lungkot, malungkot, mukha, nalulumbay, umiiyak
😭	huhu, humahagulgol, humahagulhol, iyak, luha, lungkot, malungkot, mukha, umiiyak nang malakas
😱	kabado, mukha, natatakot, sumisigaw, sumisigaw sa takot, takot, tumitili
😖	galit, kadiri, mukha, nalilito, nandidiri, natataranta, taranta
😣	masakit ulo, mukha, nagsisikap, nagtitiyaga, namomroblema
😞	dehado, dismayado, malungkot, mukha, nabigo, nalulumbay, talo
😓	hala, kaba, kabado, kinakabahan, lagot, malamig, mukha, nanlalamig, pawis, pinagpapawisan nang malamig
😩	ayaw, ayoko na, hala, mukha, nalulumbay, pagod, pagod na pagod, sawang sawa
😫	bumabahing, mukha, pagod na mukha, umiidlip
🥱	boring, humihikab, kaantok, mukhang humihikab, nababagot, pagod, smiley, zzz
😤	galit, galit na galit, inis, mukha, mukha na umuusok ang ilong, umuusok ang ilong, usok, yamot
😡	galit, inis, mukha, nagngingitngit, nakasimangot, nakasimangot at nakakunot ang noo, namumula, nanggigigil, pikon, poot, yamot
😠	galit, mukha, nakasimangot, simangot
🤬	asar, galit, mukha na may mga simbolo sa bibig, nagmumura, nanunumpa
😈	demonyo, fantasy, masama, mukha, nakangiti, nakangiti nang may mga sungay, sungay
👿	demonyo, fantasy, galit, kasamaan, masama, mukha, nakangiti, sungay
💀	alamat, bungo, fairy tale, hala, halimaw, kamatayan, lason, mukha
☠️	bungo, bungo at crossbones, buto, kamatayan, lason, mukha, pirata
💩	dumi, jebs, mukha, poop, tae, tumpok ng tae
🤡	clown, mukha, mukha ng payaso, payaso
👹	alamat, fairy tale, fantasy, halimaw, kapre, maskara, mukha, nilalang
👺	alamat, fairy tale, fantasy, goblin, halimaw, mask, maskara, mukha, nilalang
👻	creepy, fairy tale, fantasy, halloween, kaluluwa, kamatayan, mukha, multo, mumu, nilalang
👽️	alien, extraterrestrial, kalawakan, mukha, nilalang, ufo
👾	alien, extraterrestrial, halimaw, halimaw na alien, kalawakan, mukha, nilalang, ufo
🤖	mukha, mukha ng robot, robot
😺	masaya, mukha, nakangiti, nakatawa, ngiti, pusa, pusang nakatawa
😸	masaya, mata, mukha, nakangiti, ngiti, pusa, pusang nakatawa kasama ang mga mata, yehey
😹	iyaktawa, luha, masaya, mukha, naiiyak, pusa, pusang naiiyak sa kakatawa, tumatawa
😻	in love, inlab, kilig, mata, mukha, nakangiti, pag-ibig, pusa, pusang nakangiti nang may hugis-pusong mga mata, puso, yihee
😼	hehe, mayabang, nakangisi, ngisi, pusa, pusang nakangisi
😽	halik, humahalik, labyu, mahal kita, mata, mwah, nakapikit, pusa, pusang humahalik nang nakapikit, tsup
🙀	bigla, gulat, hala, mukha, nabigla, nagulat, pagod, pusa, pusang pagod na pagod, takot
😿	luha, malungkot, mukha, nalulumbay, pusa, pusang umiiyak, umiiyak
😾	galit, mukha, nakasimangot, pusa, pusang nakasimangot
🙈	huwag tumingin sa masama, ipinagbabawal, masama, mukha, see no evil, tumingin, unggoy
🙉	hear no evil, huwag makinig sa masama, ipinagbabawal, makinig, masama, mukha, nakatakip ang tainga, tainga, unggoy
🙊	huwag magsalita nang masama, ipinagbabawal, magsalita, masama, mukha, speak no evil, tahimik, unggoy
💌	liham, liham ng pag-ibig, love letter, pag-ibig, puso, sulat
💘	arrow, dead na dead, in love, inlab, kupido, pag-ibig, patay na patay, puso na may palaso, pusong may palaso, romansa, valentine
💝	143, anibersaryo, laso, pag-ibig, puso, puso na may ribbon, pusong may ribbon, valentine
💖	chuvachuchu, kilig, kumikinang, kumikinang na puso, labyu, mahal kita, nasasabik, puso, xoxo
💗	chuvachuchu, excited, kinakabahan, labyu, lumalaking puso, nasasabik, puso, tumitibok, xoxo
💓	chuvachuchu, kilig, labyu, mahal kita, puso, tibok ng puso, tumitibok, tumitibok na puso
💞	puso, umiikot, umiikot na mga puso
💕	anniversary, dalawang puso, kilig, labyu, mahal kita, pag-ibig, puso
💟	dekorasyong puso, mahal kita, purple na puso, puso, puting puso
❣️	bantas, malaking tandang padamdam na hugis-puso, pananda, puso, tandang padamdam, tandang padamdam na hugis-puso
💔	bigo, broken heart, durog na puso, heart broken, heartbroken, malungkot, pag-ibig, puso
❤‍🔥	pusong nasa apoy
❤‍🩹	pag-ayos sa puso
❤️	mahal kita, pag-ibig, pulang puso, puso
🩷	cute, gusto, kulay rosas, pink na puso, puso
🧡	dalandan, orange, orange na puso, pusong dalandan
💛	dilaw, dilaw na puso, mahal kita, puso
💚	berde, berdeng puso, labyu, mahal kita, puso
💙	asul, asul na puso, labyu, mahal kita, puso
🩵	cyan, light blue, light blue na puso, puso, teal
💜	I love you, purple, purple na puso, puso
🤎	kayumanggi, kayumangging puso, puso
🖤	itim, itim na puso, masama, puso, sama
🩶	gray, grey na puso, puso, silver
🤍	puso, puti, puting puso
💋	halik, labi, lipstick, marka ng halik, mwah, tsup
💯	100, ayos, buo, gg, iskor, marka, nays, nice, oks, puntos, sandaan, sandaang puntos
💢	galit, inis, pikon, simbolo ng galit, yamot
💥	banggaan, boom, kislap, komiks, pagsabog, sabog
💫	bituin, bulalakaw, comet, hilo, komiks, nahihilo, shooting star, tala, ulo, umpog
💦	komiks, laway, mga patak ng pawis, pawis, tumatalsik
💨	bilis, bye, humaharurot, komiks, layas, naglaho, nagmamadali, tumatakbo
🕳️	butas, manhole
💬	..., balloon, dialog, komiks, speech balloon, type, usapan
👁‍🗨	mata, mata sa speech bubble, saksi, speech bubble
🗨️	balloon, dialog, kaliwang speech bubble, komiks, usapan
🗯️	balloon, dialog, galit, kanang anger bubble, komiks, pikon, sigaw, usapan
💭	balloon, bubble, hmm, isip, komiks, nag-iisip, thought balloon
💤	idlip, inaantok, komiks, logtu, natutulog, smiley, tulog, zzz
👋	babay, bumabati, hi, kamay, kamusta, kumakaway, kumakaway na kamay, kumusta, musta, paalam
👋🏻	babay, bumabati, hi, kamay, kamusta, kumakaway, kumakaway na kamay, kumakaway na kamay: light na kulay ng balat, kumusta, light na kulay ng balat, musta, paalam
👋🏼	babay, bumabati, hi, kamay, kamusta, katamtamang light na kulay ng balat, kumakaway, kumakaway na kamay, kumakaway na kamay: katamtamang light na kulay ng balat, kumusta, musta, paalam
👋🏽	babay, bumabati, hi, kamay, kamusta, katamtamang kulay ng balat, kumakaway, kumakaway na kamay, kumakaway na kamay: katamtamang kulay ng balat, kumusta, musta, paalam
👋🏾	babay, bumabati, hi, kamay, kamusta, katamtamang dark na kulay ng balat, kumakaway, kumakaway na kamay, kumakaway na kamay: katamtamang dark na kulay ng balat, kumusta, musta, paalam
👋🏿	babay, bumabati, dark na kulay ng balat, hi, kamay, kamusta, kumakaway, kumakaway na kamay, kumakaway na kamay: dark na kulay ng balat, kumusta, musta, paalam
🤚	baliktad, nakataas, nakataas na baliktad na kamay
🤚🏻	baliktad, light na kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: light na kulay ng balat
🤚🏼	baliktad, katamtamang light na kulay ng balat, nakataas, nakataas na baliktad na kamay, nakataas na baliktad na kamay: katamtamang light na kulay ng balat
