‾	linha, linha superior, superior
‰	a cada mil, mil, permilagem, por mil
†	adaga, cruz, obelisco, óbelo
‡	adaga, duplo, obelisco, obelisco duplo, óbelo
•	lista, ponto, ponto lista
‧	hifenização, hífen, ponto, ponto de hifenização, traço
′	plica
″	plica, plica dupla
‴	plica, plica tripla
‸	circunflexo
※	marca, marca de referência, referência
⁂	asterismo
`	acento, acento grave, acentuação, grave, tom
´	acento, acento agudo, agudo, tom
^	acento, acento circunflexo, chapéu, circunflexo, cunha, divisão, potência, seta, sinal xor
¨	diérese, trema, umlaut
°	grau, hora, prova
℗	autorais, direitos, fonograma, som, símbolo, símbolo de direitos autorais de fonograma
←	direção, esquerda, seta, seta apontando para a esquerda
↚	esquerda, seta, traçado, traçado de seta para a esquerda
→	direita, direção, seta, seta apontando para a direita
↛	direita, seta, traçado, traçado de seta para a direita
↑	cima, direção, seta, seta apontando para cima
↓	baixo, direção, seta, seta apontando para baixo
↜	esquerda, ondulada, seta, seta ondulada para a esquerda
↝	direita, ondulada, seta, seta ondulada para a direita
↞	duas, dupla, esquerda, pontas, seta, seta de duas pontas para a esquerda
↟	cima, duas, dupla, pontas, seta, seta de duas pontas para cima
↠	direita, duas, duplo, pontas, seta, seta de duas pontas para a direita
↡	baixo, duas, dupla, pontas, seta, seta de duas pontas para baixo
↢	cauda, esquerda, flecha, flecha com cauda para a esquerda
↣	cauda, direita, flecha, flecha com cauda para a direita
↤	barra, esquerda, flecha, flecha com barra para a esquerda
↥	barra, cima, flecha, flecha com barra para cima
↦	barra, direita, flecha, flecha com barra para a direita
↧	baixo, barra, flecha, flecha com barra para baixo
↨	baixo, base, cima, seta, seta para cima e para baixo com base
↫	esquerda, laço, seta, seta para a esquerda com laço
↬	direita, laço, seta, seta para a direita com laço
↭	bidirecional, ondulada, seta, seta ondulada bidirecional
↯	baixo, seta, seta em zigue-zague para baixo, zigue-zague
↰	cima, esquerda, ponta, seta, seta para cima com ponta para esquerda, virada, virar
↱	cima, direita, ponta, seta, seta para cima com ponta para direita, virada, virar
↲	baixo, esquerda, ponta, seta, seta para baixo com ponta para esquerda, virada, virar
↳	baixo, direita, ponta, seta, seta para baixo com ponta para direita, virada, virar
↴	baixo, direita, ponta, seta, seta para direita com ponta para baixo, virada, virar
↵	baixo, canto, curta, curva, esquerda, pequena, seta, seta para baixo com curva para esquerda
↶	180°, anti-horário, baixo, cima, semicírculo, seta, seta de semicírculo superior no sentido anti-horário, superior
↷	180°, baixo, cima, horário, semicírculo, seta, seta de semicírculo superior no sentido horário, superior
↸	barra, longa, noroeste, seta, seta noroeste sob barra longa
↹	barra, direita, direção, esquerda, sentido, seta, seta para a esquerda da barra sobre seta para a direita da barra
↺	360°, aberto, anti-horário, atualizar, círculo, sentido, seta, seta de círculo aberto no sentido anti-horário
↻	360°, aberto, atualizar, círculo, direção, horário, sentido, seta, seta de círculo aberto no sentido horário
↼	arpão, arpão para a esquerda com farpa para cima, cima, esquerda, farpa
↽	arpão, arpão para a esquerda com farpa para baixo, baixo, esquerda, farpa
↾	arpão, arpão para cima com farpa para a direita, cima, direita, farpa
↿	arpão, arpão para cima com farpa para a esquerda, cima, esquerda, farpa
⇀	arpão, arpão para a direita com farpa para cima, cima, direita, farpa
⇁	arpão, arpão para a direita com farpa para baixo, baixo, direita, farpa
⇂	arpão, arpão para baixo com farpa para a direita, baixo, direita, farpa
⇃	arpão, arpão para baixo com farpa para a esquerda, baixo, esquerda, farpa
⇄	cima, direito, dupla, embaixo, esquerda, seta, seta para a direita sobre seta para a esquerda
⇅	apontar, baixo, cima, indicar, seta, setas apontando para cima e para baixo
⇆	apontar, direita, esquerda, indicar, seta, setas apontando para a esquerda e para a direita
⇇	esquerda, paralela, seta, setas paralelas para a esquerda
⇈	aumentando, aumentar, cima, paralelas, setas, setas paralelas para cima, subindo, subir
⇉	direita, paralelas, setas, setas paralelas para a direita
⇊	baixo, cair, descendo, descer, diminuindo, diminuir, paralelas, setas, setas paralelas para baixo
⇋	arpão, arpão para a esquerda sobre arpão para a direita, direita, duplo, esquerda
⇌	arpão, arpão para a direita sobre arpão para a esquerda, direita, duplo, esquerda
⇐	dupla, esquerda, seta, seta dupla para a esquerda
⇍	dupla, esquerda, seta, seta dupla para a esquerda com traço, traço
⇑	cima, dupla, seta, seta dupla para cima
⇒	direita, dupla, seta, seta dupla para a direita
⇏	direita, dupla, seta, seta dupla para a direita com traço, traço
⇓	baixo, dupla, seta, seta dupla para baixo
⇔	bidirecional, dupla, seta, seta dupla bidirecional
⇎	bidirecional, dupla, seta, seta dupla bidirecional com traço, traço
⇖	dupla, noroeste, seta, seta dupla para noroeste
⇗	dupla, nordeste, seta, seta dupla para nordeste
⇘	dupla, seta, seta dupla para sudeste, sudeste
⇙	dupla, seta, seta dupla para sudoeste, sudoeste
⇚	esquerda, seta, seta tripla para a esquerda, tripla
⇛	direita, seta, seta tripla para a direita, tripla
⇜	esquerda, rabisco, seta, seta de rabisco para a esquerda
⇝	direita, rabisco, seta, seta de rabisco para a direita
⇞	cima, duplo, seta, seta para cima com traço duplo, traço
⇟	baixo, duplo, seta, seta para baixo com traço duplo, traço
⇠	esquerda, seta, seta tracejada para a esquerda, tracejada
⇡	cima, seta, seta tracejada para cima, tracejada
⇢	direita, seta, seta tracejada para a direita, tracejada
⇣	baixo, seta, seta tracejada para baixo, tracejada
⇤	barra, esquerda, seta, seta para a esquerda da barra
⇥	barra, direita, seta, seta para a direita da barra
⇦	branca, esquerda, seta, seta branca para a esquerda
⇧	branca, cima, seta, seta branca para cima
⇨	branca, direita, seta, seta branca para a direita
⇩	baixo, branca, seta, seta branca para baixo
⇪	barra, branca, cima, seta, seta branca para cima da barra
⇵	baixo, cima, seta, seta para baixo à esquerda da seta para cima
∀	para todos, quantificador, tudo, universal
∂	diferencial, diferencial parcial, parcial
∃	existe
∅	conjunto, conjunto vazio, matemática, operador, vazio
∆	delta, triângulo
∇	nabla, triângulo
∈	conjunto, contém, elemento, elemento de, membro
∉	não pertence
∋	contém como membro, elemento
∎	fim da prova, halmos, q.e.d., qed, tombstone
∏	lógica, produto, produto n-ário
∑	matemática, n-ário, somatório, somatório n-ário
+	adição, mais, sinal, sinal de mais
±	mais, mais ou menos, menos
÷	dividir, divisão, sinal, sinal de divisão, símbolo
×	multiplicar, multiplicação, símbolo, símbolo de multiplicação, vezes
<	abrir, menor que, menos que, tag
≮	diferente, matemática, menor que, não, não menor que
=	iguais, igual
≠	desigual, desigualdade
>	fechar, maior que, mais que, tag
≯	diferença, maior que, matemática, não, não maior que
¬	negado, negação, não
|	barra, intersecção, linha, linha vertical, vertical
~	til
−	menos, sinal, sinal de menos, subtração
⁻	menos, menos sobrescrito, sobrescrito
∓	menos ou mais
∕	barra, barra de divisão, divisão
⁄	barra, barra de fração, fração
∗	asterisco, estrela, operador, operador de asterisco
∘	anel, composição, operador, operador de anel
∙	lista, marca, operador, operador de marca de lista
√	aritmética, base, quadrada, radical, radiciação, raiz, raiz quadrada
∝	proporcional a
∞	infinito, sinal, sinal de infinito
∟	direito, matemática, ângulo, ângulo direito
∠	agudo, ângulo
∣	divide, divisor
∥	paralelo
∧	e lógico
∩	conjunto, interseção
∪	coleção, conjunto, união
∫	cálculo, integral
∬	cálculo, duplo, integral, integral duplo
∮	contorno, integral, integral de contorno
∴	então, lógica, portanto
∵	lógica, porque
∶	razão
∷	proporção
∼	operador, operador de til, til
∽	invertido, til, til invertido
∾	invertido, lógica, negação, preguiçoso, s, s preguiçoso invertido
≃	assintota, assintoticamente, assintoticamente igual, igual, matemática
≅	aproximadamente igual, congruência, igualdade, isomorfismo, matemática
≈	aproximado, aproximação, quase, quase igual
≌	igualdade, matemática, tudo igual
≒	aproximadamente, aproximadamente igual à imagem, igual, imagem
≖	anel, anel em igual, igual, igualdade, matemática
≡	exato, igual, igual a, triplo
≣	equivalente, estritamente, estritamente equivalente, igualdade, matemática
≤	desigual, igual, igual a, menor que, menor que ou igual a, menos que
≥	desigual, igual, igual a, maior que, maior que ou igual, mais que
≦	diferente, diferença, igual, matemática, menor que, menor que sobre igual, sobre
≧	diferente, diferença, igual, maior que, maior que sobre igual, matemática, sobre
≪	diferente, diferença, matemática, menor que, muito, muito menor que
≫	diferente, diferença, maior que, matemática, muito, muito maior que
≬	entre
≳	diferente, diferença, equivalente, maior que, maior que ou equivalente, matemática
≺	conjunto, matemática, operador, precede
≻	conjunto, matemática, operado, sucede
⊁	conjunto, matemática, não sucede, operador
⊂	conjunto, subconjunto, subconjunto de
⊃	conjunto, matemática, operador, superconjunto
⊆	igual, subconjunto, subconjunto de ou igual
⊇	igual, igualdade, matemática, superconjunto, superconjunto de ou igual
⊕	círculo, mais, mais em círculo
⊖	círculo, diferença, erosão, menos, menos em círculo, simétrica
⊗	círculo, multiplicação, produto, tensor, vezes, vezes em círculo
⊘	barra, barra de divisão em círculo, círculo, divisão, matemática
⊙	OU-Não-Exclusivo, XNOR, operador, operador de ponto em círculo
⊚	anel, círculo, operador, operador de anel em círculo
⊛	asterisco, círculo, operador, operador de asterisco em círculo
⊞	mais, mais em quadrado, matemática, quadrado
⊟	matemática, menos, menos em quadrado, quadrado
⊥	arbitrária, contradição, contradição arbitrária, falso
⊮	não força
⊰	conjunto, em relação, matemática, operador, precede, precede em relação
⊱	conjunto, em relação, matemática, operador, sucede, sucede em relação
⋭	grupos, igual, matemática, normal, não contém, não contém como subgrupo normal ou igual, subgrupo, teoria
⊶	original
⊹	conjugada, hermitiana, matemática, matriz, matriz conjugada hermitiana, quadrada
⊿	direito, matemática, retângulo, triângulo, triângulo retângulo direito
⋁	disjunção, lógica, lógico, n-ário, ou, ou lógico n-ário
⋂	conjunto, interseção, interseção n-ária, matemática, n-ária, operador
⋃	conjunto, matemática, n-ária, operador, união, união n-ária
⋅	operador, operador de ponto, ponto
⋆	estrela, operador, operador de estrela
⋈	binário, junção, junção natural, natural, operador
⋒	conjunto, dupla, interseção, interseção dupla, matemática, operador
⋘	diferente, diferença, matemática, menor que, muitíssimo, muitíssimo menor que
⋙	diferente, diferença, maior que, matemática, muitíssimo, muitíssimo maior que
⋮	matemática, reticências, reticências verticais, verticais
⋯	horizontais, meio da linha, reticências, reticências horizontais a meio da linha
⋰	cima, diagonais, direitas, matemática, reticências, reticências diagonais direitas para cima
⋱	baixo, diagonais, direitas, matemática, reticências, reticências diagonais direitas para baixo
■	preenchido, quadrado, quadrado preenchido
□	quadrado, quadrado vazio, vazio
▢	arredondados, cantos, quadrado, quadrado vazio com cantos arredondados, vazio
▣	duplo, preenchido, quadrado, quadrado vazio com quadrado preenchido, vazio
▤	dividido, horizontais, linhas, quadrado, quadrado com linhas horizontais
▥	dividido, linhas, quadrado, quadrado com linhas verticais, verticais
▦	cruzadas, dividido, linhas, ortogonais, quadrado, quadrado com linhas cruzadas ortogonais
▧	canto, direito, esquerdo, inferior, linhas, listrado, quadrado, quadrado com linhas do canto superior esquerdo para o canto inferior direito, superior
▨	canto, direito, dividido, esquerdo, inferior, linhas, quadrado, quadrado com linhas do canto superior direito para o canto inferior esquerdo, superior
▩	cruzadas, diagonais, linhas, quadrado, quadrado com linhas cruzadas diagonais
▬	preenchido, retângulo, retângulo preenchido
▭	retângulo, retângulo vazio, vazio
▮	preenchido, retângulo, retângulo vertical preenchido, vertical
▰	paralelogramo, paralelogramo preenchido, preenchido
▲	aumentar, cima, preenchido, seta, subir, triângulo, triângulo preenchido apontando para cima
△	apontando, cima, triângulo, triângulo vazio apontando para cima, vazio
▴	cima, pequeno, preenchido, triângulo, triângulo pequeno preenchido apontando para cima
▵	cima, pequeno, triângulo, triângulo pequeno vazio apontando para cima, vazio
▷	direita, direção, triângulo, triângulo vazio apontando para a direita, vazio
▸	direita, pequeno, preenchido, triângulo, triângulo pequeno preenchido apontando para a direita
▹	direita, pequeno, triângulo, triângulo pequeno vazio apontando para a direita, vazio
►	direita, ponteiro, ponteiro preenchido apontando para a direita, preenchido
▻	direita, ponteiro, ponteiro vazio apontando para a direita, vazio
▼	baixo, descer, ponteiro, preenchido, seta, triângulo, triângulo preenchido apontando para baixo
▽	baixo, triângulo, triângulo vazio apontando para baixo, vazio
▾	baixo, pequeno, preenchido, triângulo, triângulo pequeno preenchido apontando para baixo
▿	baixo, pequeno, triângulo, triângulo pequeno vazio apontando para baixo, vazio
◁	direção, esquerda, triângulo, triângulo vazio apontando para a esquerda, vazio
◂	esquerda, pequeno, preenchido, triângulo, triângulo pequeno preenchido apontando para a esquerda
◃	esquerda, pequeno, triângulo, triângulo pequeno vazio apontando para a esquerda, vazio
◄	esquerda, ponteiro, ponteiro preenchido apontando para a esquerda, preenchido
◅	esquerda, ponteiro, ponteiro vazio apontando para a esquerda, vazio
◆	losango, losango preenchido, preenchido
◇	losango, losango vazio, vazio
◈	diamante, duplo, losango, losango vazio com losango preenchido, preenchido, vazio
◉	círculo, círculo vazio com círculo preenchido, duplo, preenchido, vazio
◊	diamante, losango, rombo
○	anel, círculo, círculo vazio, vazio
◌	círculo, círculo pontilhado, pontilhado
◍	círculo, círculo com linhas verticais, linhas, verticais
◎	concêntricos, círculos, círculos concêntricos
●	círculo, círculo preenchido, preenchido
◐	círculo, círculo com a metade esquerda preenchida, dividido, esquerda, metade, preenchida
◑	círculo, círculo com a metade direita preenchida, direita, dividido, metade, preenchida
◒	círculo, círculo com a metade inferior preenchida, dividido, inferior, metade, preenchida
◓	círculo, círculo com a metade superior preenchida, dividida, metade, preenchida, superior
◔	círculo, círculo com quadrante superior direito preenchido, direito, preenchido, quadrante, quarto, superior
◕	círculo, círculo preenchido exceto o quadrante superior esquerdo, esquerdo, exceto, preenchido, quadrante, quarto, superior
◖	círculo, esquerda, meio, metade, metade esquerda do círculo preenchida, preenchida
◗	círculo, direita, meio, metade, metade direita do círculo preenchida, preenchida
◘	invertido, marcador, marcador invertido
◙	círculo, preenchido, quadrado, quadrado preenchido com círculo vazio, vazio
◜	arco, círculo, esquerdo, quarto, quarto de círculo superior esquerdo, superior
◝	arco, círculo, direito, quarto, quarto de círculo superior direito, superior
◞	arco, círculo, direito, inferior, quarto, quarto de círculo inferior direito
◟	arco, círculo, esquerdo, inferior, quarto, quarto de círculo inferior esquerdo
◠	círculo, meio, meio círculo superior, superior
◡	círculo, inferior, meio, meio círculo inferior
◢	direito, inferior, preenchido, triângulo, triângulo inferior direito preenchido
◣	esquerdo, inferior, preenchido, triângulo, triângulo inferior esquerdo preenchido
◤	esquerdo, preenchido, superior, triângulo, triângulo superior esquerdo preenchido
◥	direito, preenchido, superior, triângulo, triângulo superior direito preenchido
◦	marcador, marcador vazio, vazio
◯	anel, círculo, círculo vazio grande, grande, vazio
◳	direito, quadrado, quadrado vazio com quadrante superior direito, quadrante, superior, vazio
◷	círculo, círculo vazio com quadrante superior direito, direito, quadrante, superior, vazio
◿	direito, inferior, triângulo, triângulo inferior direito
♪	colcheia, música, nota
⨧	dois, mais, mais com dois subscrito, subscrito
⨯	produto, produto vetorial, vetorial
⨼	interior, produto, produto interior
⩣	barras, duplo, lógico, ou, ou lógico com duas barras subscritas, subscritas
⩽	igual, inclinado, menor que, menor que ou igual inclinado
⪍	igual, menor que, menor que acima de similar ou igual, similar
⪚	diferente, diferença, duplas, igual, igual de duas linhas ou maior que, linhas, maior que, matemática
⪺	igual, não, quase, sucede, sucede acima de não quase igual
♭	bemol, música, nota
♯	diesis, dièse, música, nota, sustenido
😀	engraçado, feliz, lol, rindo, risada, riso, rosto, rosto risonho, sorridente
😃	aberto, boca, feliz, olhos arregalados, risada, risonho, rosto, rosto risonho com olhos bem abertos, rosto sorrindo com boca aberta, sorridente, sorrindo, sorriso
😄	aberta, boca, engraçado, feliz, lol, olhos, risada, risonho, rosto, rosto risonho com olhos sorridentes, sorridente, sorrindo, sorriso, sorriso com olhos fechados
😁	feliz, olho, olhos sorrindo, rindo, rosto, rosto contente com olhos sorridentes, rosto rindo com olhos sorridentes, sorridente, sorrindo, sorriso, sorriso aberto
😆	gargalhada, gargalhando, hahaha, kkk, olhos fechados, rir, rosto, rosto risonho com olhos semicerrados, sorriso com olhos fechados, sorriso estilo XD
😅	estressada, estressado, nervoso, rindo, rosto, rosto risonho com gota de suor, sorriso com suor frio, sorriso mas com suor frio, suando frio, suor frio
🤣	chorando, choro, chão, engraçada, engraçado, felicidade, feliz, gargalhada, hahaha, kkk, lágrimas, rindo, rir, risada, riso, rolando, rolando no chão de rir, rosto
😂	alegria, chorando de rir, engraçada, engraçado, gargalhada, hahaha, kkk, lágrimas, lágrimas de alegria, rosto, rosto chorando de rir, rosto com lágrimas de alegria
🙂	feliz, rosto, rosto levemente sorridente, rosto sorrindo, sorriso, sorriso leve
🙃	de cabeça para baixo, rosto de cabeça para baixo, rosto invertido
🫠	calor, derretendo, derreter, desaparecer, dissolver, envergonhada, envergonhado, haha, líquido, quente, rosto derretendo, sarcasmo, sarcástica, sarcástico, smiley
😉	flerte, piscada, rosto, rosto com olho piscando, rosto piscando
😊	encabulada, encabulado, envergonhada, envergonhado, feliz, olhos sorrindo, rosado, rosto, rosto e olhos sorrindo, rosto sorridente com olhos sorridentes, rosto sorrindo, ruborizar, satisfeita, satisfeito, sorriso, vergonha
😇	anjinho, anjo, auréola, inocente, rosto, rosto sorridente com auréola, sorriso, sorriso com auréola
🥰	amando, amei, amo você, amor, apaixonada, apaixonado, coração, crush, paixão, romance, rosto, rosto sorridente, rosto sorridente com 3 corações, rosto sorridente com corações, te amo
😍	amor, apaixonado, coração, olhar apaixonado, olhos, olhos de coração, paixão, romance, rosto, rosto sorridente com olhos de coração
🤩	estrela, gargalhando, olhos, rosto, rosto com olhar maravilhado, super animada, super animado, super feliz, superanimada, superanimado, superfeliz
😘	beijo, flerte, jogando beijos, mandando beijo, rosto, rosto jogando beijos, rosto mandando um beijo
😗	beijo, rosto, rosto beijando, rosto com beijo
☺️	corada, corado, relaxado, rosto, rosto sorridente, rosto sorrindo, rosto sorrindo não preenchido, sorridente, sorriso
😚	beijando, beijando com os olhos fechados, beijinho, mandando beijo, olhos fechados, rosto, rosto beijando com olhos fechados
😙	beijar e sorrir, beijinho, beijos, flerte, mandando beijo, olhos sorrindo, rosto, rosto beijando com olhos sorridentes, rosto beijando com um sorriso, sorriso
🥲	aliviada, aliviado, chorando, chorar, contente, emocionada, emocionado, felicidade, feliz, grata, gratidão, grato, lágrima, orgulhosa, orgulhoso, rir, rosto sorridente com lágrima, sorrindo, sorriso
😋	apetitoso, comida gostosa, delicioso, gostoso, nham, rosto, rosto com sorriso, rosto saboreando, rosto saboreando comida, saboroso, sorriso
😛	língua para fora, rosto, rosto com língua para fora, rosto mostrando a língua
😜	brincadeira, língua para fora com piscadela, piscadela, piscando e mostrando a língua, provocação, rosto, rosto piscando e com língua para fora
🤪	cara de maluco, doida, doido, excêntrico, grande, louca, louco, olhar de maluco, olho, pequeno, rosto bizarro
😝	eca, horrível, língua para fora, língua para fora com os olhos fechados, olhos fechados, rosto, rosto com olhos semicerrados e língua para fora
🤑	avarenta, avarento, caro, cifrão, dinheiro, dinheiro na boca, ganância, grana, rica, rico, riqueza, rosto, rosto com cifrões
🤗	abraço, carinho, feliz, mãos abraçando, rosto, rosto abraçando, rosto sorrindo
🤭	hehe, ops, risadinha, risonho, rosto com a mão sobre a boca, sorriso envergonhado, vergonha
🫢	assustada, assustado, chocada, chocado, descrença, em choque, embaraçar, espanto, nossa, omg, passada, passado, quieta, quieto, rosto com olhos abertos e mão sobre a boca, surpresa, temor
🫣	cativada, cativado, envergonhada, envergonhado, esconder, espiadinha, espiando, espiar, olhar fixamente, rosto com olho espiando, smiley, tímida, tímido, vergonha
🤫	faça silêncio, fica quieta, quieta, quieto, rosto fazendo sinal de silêncio, silêncio
🤔	curiosa, curioso, dúvida, hmm, ideia, ideias, mão no queixo, pensando, pensativa, pensativo, rosto, rosto pensativo
🫡	boa sorte, ensolarado, exército, ok, respeito, rosto saudando, saudação, sim, sim senhor, sim senhora, smiley, tropa, tropas
🤐	boca fechada, calada, calado, quieta, quieto, rosto, rosto com boca de zíper, segredo, zíper
🤨	ceticismo, confusa, confuso, cética, cético, desconfiada, desconfiado, desconfiança, rosto com sobrancelha levantada
😐️	neutro, putz, rosto, rosto neutro, rosto sem emoção, sem comentários, sem emoção, sem reação
😑	aff, inespressiva, inespressivo, nada a dizer, rosto, rosto inexpressivo, sem comentários, sem expressão, tanto faz
😶	calada, calado, quieto, rosto, rosto sem boca, sem boca, sem comentários, sem palavras
🫥	deprimida, deprimido, desaparecer, esconder, escondida, escondido, indiferença, introvertido, invisível, meh, rosto com linha pontilhada, smiley, tanto faz
😶‍🌫	cabeça nas nuvens, distraído, rosto nas nuvens, rosto no nevoeiro
😏	flerte, rosto, rosto com sorriso maroto, sorriso maldoso, sorriso malicioso, sorriso maroto, suspeito
😒	aff, blasé, nada engraçado, não achou graça, não está feliz, rosto, rosto aborrecido, rosto de que não achou graça, rosto de quem não achou graça
🙄	olhando para cima, olhos, revirando os olhos, rolando os olhos, rosto, rosto com olhos revirados, tanto faz, virando os olhos
😬	careta, fazendo careta, rosto, rosto expressando desagrado, rosto fazendo careta, sem graça
😮‍💨	alívio, assobio, assoprando, assopro, assovio, cansada, cansado, choque, exalar, exausta, exausto, fumaça, rosto exalando, suspirando, suspiro, suspiro triste
🤥	mentindo, mentira, mentiroso, nariz crescendo, pinocchio, pinóquio, rosto de mentiroso
🫨	choque, louco, loucura, meu deus, pânico, rosto, rosto tremendo, surpresa, susto, terremoto, tremendo, vibrar, vibração
🙂‍↔	balançar, cabeça balançando na horizontal, cabeça virando de um lado para o outro, negar, não
🙂‍↕	cabeça balançando na vertical, confirmação, sim
😌	alívio, em paz, rosto, rosto aliviado, zen
😔	abatido, chateado, deprimido, desanimado, pensativo, pra baixo, rosto, rosto deprimido
😪	cara de sono, rosto, rosto com sono, rosto sonolento
🤤	babando, babar, rosto, rosto babando, salivando
😴	boa noite, cama, cansada, cansado, cochilo, dormindo, dormir, rosto, rosto dormindo, soneca, sono, zzz
🫩	cansada, cansado, cansaço, dorminhoco, exausta, exausto, olheiras, rosto com bolsas embaixo dos olhos, rosto com olheiras
😷	doente, gripado, máscara, máscara médica, resfriado, rosto, rosto com máscara, rosto com máscara médica
🤒	de cama, doente, febre, febril, rosto, rosto com termômetro, termômetro
🤕	acidentado, doente, ferimento, machucado, rosto, rosto com atadura na cabeça, rosto com curativos
🤢	doente, enjoado, enjoo, náusea, rosto nauseado, vômito
🤮	doente, nojenta, nojento, nojo, rosto vomitando, vomitando, vomito, rosto vomitando, vomitar, passando mal, vômito
🤧	de cama, doente, espirrando, espirro, gripado, resfriado, rosto espirrando
🥵	calor, febre, febril, insolação, língua de fora, ofegante, quente, rosto, rosto fervendo de calor, rosto vermelho, suando, suor
🥶	abaixo de zero, congelando, congelei, frio, glacial, gélido, rosto, rosto azul, rosto azul de frio, rosto gelado, roxo de frio
🥴	alcoolizado, boca ondulada, bêbada, bêbado, embriagada, embriagado, intoxicado, olhos tortos, rosto, rosto embriagado, tonta, tonto
😵	rosto, rosto atordoado, tontura
😵‍💫	caramba, confusa, confuso, desnorteada, desnorteado, eita, espirais, hipnotizado, problema, putz, rosto com olhos em espiral, tonta, tonto, tontura, uau
🤯	cabeça explodindo, cabeça explodindo, em choque, perplexo, chocado
🤠	cara, cara de cauboi, cauboi, caubói, cowboy, rosto, rosto com chapéu de caubói, sertanejo, vaqueiro
🥳	animação, aniversário, apito, chapéu, comemorar, comemoração, feliz aniversário, festa, língua de sogra, parabéns, rosto, rosto festivo, viva
🥸	bigode, disfarce, espião, incógnito, nariz, pessoa, rosto, rosto disfarçado, sobrancelha, óculos
😎	muito sol, na boa, rosto, rosto sorridente com óculos escuros, sol, sorrindo, sorrindo de óculos escuros, sorriso de óculos, to legal, óculos escuros
🤓	cdf, esperto, estudioso, inteligente, inteligência, nerd, rosto de nerd, sabe tudo, sabe-tudo, óculos, óculos de grau
🧐	conservador, rosto com monóculo
😕	confuso, indeciso, não entendi, não tenho certeza, rosto, rosto confuso
🫤	confusa, confuso, confusão, cético, desapontado, dúvida, frustrada, frustrado, frustração, indiferença, inseguro, meh, rosto com boca diagonal, smiley, tanto faz
😟	decepcionado, preocupado, rosto, rosto preocupado
🙁	rosto, rosto meio triste, triste, tristeza, tristinho
☹️	decepcionado, decepção, descontente, insatisfeito, rosto, rosto de desaprovação, rosto descontente, triste
😮	boca, boca aberta, boquiaberto, empatia, pasmo, rosto, rosto com boca aberta
😯	espantado, rosto, rosto surpreso, surpreso, uau
😲	chocado, estupefato, rosto, rosto espantado, totalmente chocado
