_	dash, line, low dash, underdash, underline, underscore
🙌🏽	celebration, gesture, hand, hooray, medium skin tone, raising hands, woo hoo, yay
🙌🏾	celebration, gesture, hand, hooray, medium-dark skin tone, raising hands, woo hoo, yay
🙌🏿	celebration, dark skin tone, gesture, hand, hooray, raising hands, woo hoo, yay
👃	body, nose, noses, nosey, odour, smell, smells
👃🏻	body, light skin tone, nose, noses, nosey, odour, smell, smells
👃🏼	body, medium-light skin tone, nose, noses, nosey, odour, smell, smells
👃🏽	body, medium skin tone, nose, noses, nosey, odour, smell, smells
👃🏾	body, medium-dark skin tone, nose, noses, nosey, odour, smell, smells
👃🏿	body, dark skin tone, nose, noses, nosey, odour, smell, smells
🫀	anatomical, beat, cardiology, heart, heartbeat, organ, pulse, red
🧑🏻‍❤‍💋‍🧑🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium-light skin tone, muah, mwah, person, romance, together, xoxo
🧑🏻‍❤‍💋‍🧑🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium skin tone, muah, mwah, person, romance, together, xoxo
🧑🏻‍❤‍💋‍🧑🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
🧑🏻‍❤‍💋‍🧑🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, light skin tone, love, muah, mwah, person, romance, together, xoxo
🧑🏼‍❤‍💋‍🧑🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium-light skin tone, muah, mwah, person, romance, together, xoxo
🧑🏼‍❤‍💋‍🧑🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium skin tone, medium-light skin tone, muah, mwah, person, romance, together, xoxo
🧑🏼‍❤‍💋‍🧑🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium-dark skin tone, medium-light skin tone, muah, mwah, person, romance, together, xoxo
🧑🏼‍❤‍💋‍🧑🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium-light skin tone, muah, mwah, person, romance, together, xoxo
🧑🏽‍❤‍💋‍🧑🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium skin tone, muah, mwah, person, romance, together, xoxo
🧑🏽‍❤‍💋‍🧑🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium skin tone, medium-light skin tone, muah, mwah, person, romance, together, xoxo
🧑🏽‍❤‍💋‍🧑🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium skin tone, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
🧑🏽‍❤‍💋‍🧑🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium skin tone, muah, mwah, person, romance, together, xoxo
🧑🏾‍❤‍💋‍🧑🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
🧑🏾‍❤‍💋‍🧑🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium-dark skin tone, medium-light skin tone, muah, mwah, person, romance, together, xoxo
🧑🏾‍❤‍💋‍🧑🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium skin tone, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
🧑🏾‍❤‍💋‍🧑🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
🧑🏿‍❤‍💋‍🧑🏻	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, light skin tone, love, muah, mwah, person, romance, together, xoxo
🧑🏿‍❤‍💋‍🧑🏼	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium-light skin tone, muah, mwah, person, romance, together, xoxo
🧑🏿‍❤‍💋‍🧑🏽	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium skin tone, muah, mwah, person, romance, together, xoxo
🧑🏿‍❤‍💋‍🧑🏾	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
👨🏻‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, muah, mwah, person, romance, together, xoxo
👨🏻‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium-light skin tone, muah, mwah, person, romance, together, xoxo
👨🏻‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium skin tone, muah, mwah, person, romance, together, xoxo
👨🏻‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
👨🏻‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, light skin tone, love, man, muah, mwah, person, romance, together, xoxo
👨🏼‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium-light skin tone, muah, mwah, person, romance, together, xoxo
👨🏼‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium-light skin tone, muah, mwah, person, romance, together, xoxo
👨🏼‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, medium-light skin tone, muah, mwah, person, romance, together, xoxo
👨🏼‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium-dark skin tone, medium-light skin tone, muah, mwah, person, romance, together, xoxo
👨🏼‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium-light skin tone, muah, mwah, person, romance, together, xoxo
👨🏽‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium skin tone, muah, mwah, person, romance, together, xoxo
👨🏽‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, medium-light skin tone, muah, mwah, person, romance, together, xoxo
👨🏽‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, muah, mwah, person, romance, together, xoxo
👨🏽‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
👨🏽‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium skin tone, muah, mwah, person, romance, together, xoxo
👨🏾‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
👨🏾‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium-dark skin tone, medium-light skin tone, muah, mwah, person, romance, together, xoxo
👨🏾‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
👨🏾‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
👨🏾‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
👨🏿‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, light skin tone, love, man, muah, mwah, person, romance, together, xoxo
👨🏿‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium-light skin tone, muah, mwah, person, romance, together, xoxo
👨🏿‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium skin tone, muah, mwah, person, romance, together, xoxo
👨🏿‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium-dark skin tone, muah, mwah, person, romance, together, xoxo
👨🏿‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, muah, mwah, person, romance, together, xoxo
👩🏻‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, muah, mwah, person, romance, together, woman, xoxo
👩🏻‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏻‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏻‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏻‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, light skin tone, love, man, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium-dark skin tone, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, man, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium-dark skin tone, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium skin tone, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, man, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👨🏻	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, light skin tone, love, man, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👨🏼	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👨🏽	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👨🏾	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👨🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, man, muah, mwah, person, romance, together, woman, xoxo
👩🏻‍❤‍💋‍👩🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, muah, mwah, person, romance, together, woman, xoxo
👩🏻‍❤‍💋‍👩🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏻‍❤‍💋‍👩🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏻‍❤‍💋‍👩🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏻‍❤‍💋‍👩🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, light skin tone, love, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👩🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👩🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👩🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium skin tone, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👩🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium-dark skin tone, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏼‍❤‍💋‍👩🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👩🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👩🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium skin tone, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👩🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👩🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium skin tone, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏽‍❤‍💋‍👩🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👩🏻	anniversary, babe, bae, couple, date, dating, heart, kiss, light skin tone, love, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👩🏼	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium-dark skin tone, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👩🏽	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium skin tone, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👩🏾	anniversary, babe, bae, couple, date, dating, heart, kiss, love, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏾‍❤‍💋‍👩🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👩🏻	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, light skin tone, love, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👩🏼	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium-light skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👩🏽	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👩🏾	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, medium-dark skin tone, muah, mwah, person, romance, together, woman, xoxo
👩🏿‍❤‍💋‍👩🏿	anniversary, babe, bae, couple, dark skin tone, date, dating, heart, kiss, love, muah, mwah, person, romance, together, woman, xoxo
🙇	apology, ask, beg, bow, bowing, favour, forgive, gesture, meditate, meditation, person, pity, regret, sorry
🙇🏻	apology, ask, beg, bow, bowing, favour, forgive, gesture, light skin tone, meditate, meditation, person, pity, regret, sorry
🙇🏼	apology, ask, beg, bow, bowing, favour, forgive, gesture, meditate, meditation, medium-light skin tone, person, pity, regret, sorry
🙇🏽	apology, ask, beg, bow, bowing, favour, forgive, gesture, meditate, meditation, medium skin tone, person, pity, regret, sorry
🙇🏾	apology, ask, beg, bow, bowing, favour, forgive, gesture, meditate, meditation, medium-dark skin tone, person, pity, regret, sorry
🙇🏿	apology, ask, beg, bow, bowing, dark skin tone, favour, forgive, gesture, meditate, meditation, person, pity, regret, sorry
🙇‍♂	apology, ask, beg, bow, bowing, favour, forgive, gesture, man, meditate, meditation, pity, regret, sorry
🙇🏻‍♂	apology, ask, beg, bow, bowing, favour, forgive, gesture, light skin tone, man, meditate, meditation, pity, regret, sorry
🙇🏼‍♂	apology, ask, beg, bow, bowing, favour, forgive, gesture, man, meditate, meditation, medium-light skin tone, pity, regret, sorry
