‾	nadcrta
⁄	kosa crta, razlomak, razlomačka, razlomačka kosa crta
∗	operator u obliku zvezdice
∘	operator, operator u obliku prstena, prsten
∙	operator u obliku znaka za nabrajanje
√	koren, kvadratni, kvadratni koren, radikal
∝	proporcionalno, proporcionalnost
∞	beskonačno, znak
∟	matematika, prav, prav ugao, ugao
∠	oštar, ugao
∣	deli, delilac, deljenje
∥	paralelno
∧	konjunkcija, logika, logičko množenje, logičko „i“
∩	presek, skup
∪	skup, unija
∫	infinitezimalni račun, integral
∬	analiza, dvostruki, dvostruki integral, infinitezimalni, integral, matematička, račun
∮	konturni integral
∴	dakle, logika, otuda, prema tome, sledi, stoga, zato, zbog toga, što znači
∵	jer, logika, zato što, zbog toga što
∶	odnos
∷	proporcija, proporcionalnost
∼	operator, operator u obliku znaka tilda, tilda
∽	obrnuti znak tilda, obrnuto, tilda
∾	obrnuti lenji s
≃	asimptota, asimptotska, asimptotski, asimptotski jednako, jednako, jednakost, matematika
≅	izomorfizam, jednako, jednakost, kongruencija, kongruentnost, matematika, otprilike, otprilike jednako, podudarnost, približno
≈	aproksimativno, približno, približno jednako
≌	jednakost, matematika, sve jednako
≒	otprilike jednako slici
≖	jednakost, matematika, prsten, prsten u jednakosti
≡	identično, jednako, trostruko
≣	jednako, jednakost, matematika, strogo, strogo jednako
≤	jednako, jednakost, manje ili jednako, manje od, nejednakost
≥	jednako, jednakost, nejednakost, veće ili jednako, veće od
≦	jednako, jednakost, manje od, manje od iznad jednako, matematika, nejednakost
≧	jednako, jednakost, matematika, nejednakost, veće od, veće od iznad jednako
≪	manje od, matematika, mnogo, mnogo manje od, nejednakost
≫	matematika, mnogo, mnogo veće od, nejednakost, veće od
≬	između
≳	ekvivalentno, matematika, nejednakost, veće od, veće od ekvivalenta
≺	matematika, operator, prethodi, skup
≻	matematika, operator, skup, sledi
⊁	matematika, ne sledi, operator, skup
⊂	podskup, skup
⊃	matematika, nadskup, operator, skup
⊆	podskup jednak
⊇	nadskup jednak
⊕	krug, plus, plus u krugu
⊖	minus u krugu
⊗	znak množenja u krugu
⊘	znak deljenja u krugu
⊙	krug, operator, operator tačka u krugu, tačka
⊚	krug, operator, operator prsten u krugu, prsten
⊛	operator zvezdica u krugu
⊞	plus u kvadratu
⊟	minus u kvadratu
⊥	netačno
⊮	ne nameće
⊰	prethodi ispod relacije
⊱	sledi ispod relacije
⋭	ne sadrži kao normalnu podgrupu jednaku
⊶	original
⊹	ermitska matrica
⊿	pravougli trougao
⋁	ili, logika, logično, n-arno logičko, n-arno logičko „ili”
⋂	matematika, n-arni, n-arni presek, operator, presek, skup
⋃	matematika, n-arna unija, n-arni, operator, presek, unija
⋅	operator, operator tačka, tačka
⋆	operator, operator zvezda, zvezda
⋈	prirodni spoj
⋒	dvostruki presek
⋘	izrazito, manje od, matematika, mnogo manje, nejednakost
⋙	izrazito, izrazito veće, matematika, nejednakost, veće od
⋮	matematika, trotačka, uspravna, vertikalna, vertikalna trotačka
⋯	horizontalna, horizontalna trotačka na sredini, sredina, trotačka, vodoravna
⋰	dijagonalna trotačka nagore desno
⋱	dijagonalna trotačka nadole desno
■	popunjeni kvadrat
□	prazan kvadrat
▢	prazan kvadrat sa zaobljenim uglovima
▣	prazan kvadrat sa popunjenim kvadratom
▤	kvadrat sa horizontalnom popunom
▥	kvadrat sa vertikalnom popunom
▦	kvadrat sa ortogonalno iscrtanom popunom
▧	kvadrat sa popunom od gore levo prema dole desno
▨	kvadrat sa popunom od gore desno prema dole levo
▩	kvadrat sa dijagonalno iscrtanom popunom
▬	popunjeni pravougaonik
▭	prazan pravougaonik
▮	popunjeni vertikalni pravougaonik
▰	popunjeni paralelogram
▲	gore, ispunjen trougao okrenut nagore, ispunjeno, strelica, trougao
△	prazan trougao okrenut nagore
▴	popunjeni mali trougao okrenut nagore
▵	prazan mali trougao okrenut nagore
▷	desno, nadesno, okrenut, prazan, prazan trougao okrenut udesno, trougao, udesno
▸	popunjeni mali trougao okrenut nadesno
▹	prazan mali trougao okrenut nadesno
►	popunjeni pokazivač okrenut nadesno
▻	prazan pokazivač okrenut nadesno
▼	dole, ispunjen trougao okrenut nadole, ispunjeno, strelica, trougao
▽	prazan trougao okrenut nadole
▾	popunjeni mali trougao okrenut nadole
▿	prazan mali trougao okrenut nadole
◁	levo, nalevo, okrenut, prazan, prazan trougao okrenut ulevo, trougao, ulevo
◂	popunjeni trougao okrenut nalevo
◃	prazan mali trougao okrenut nalevo
◄	popunjeni pokazivač okrenut nalevo
◅	prazan pokazivač okrenut nalevo
◆	popunjeni romb
◇	prazan romb
◈	prazan romb sa popunjenim rombom
◉	prazan krug sa popunjenim krugom
◊	dijamant, romb
○	krug, prazan krug, prsten
◌	tačkasti krug
◍	krug sa vertikalnom popunom
◎	koncentrični krugovi
●	ispunjen krug, krug
◐	krug sa popunjenom levom polovinom
◑	krug sa popunjenom desnom polovinom
◒	krug sa popunjenom donjom polovinom
◓	krug sa popunjenom gornjom polovinom
◔	krug sa popunjenim gornjim desnim kvadrantom
◕	krug sa praznim gornjim levim kvadrantom
◖	leva popunjena polovina kruga
◗	desna popunjena polovina kruga
◘	inverzni znak za nabrajanje
◙	prazan krug u popunjenom krugu
◜	kružni luk gornjeg levog kvadranta
◝	kružni luk gornjeg desnog kvadranta
◞	kružni luk donjeg desnog kvadranta
◟	kružni luk donjeg levog kvadranta
◠	gornji polukrug
◡	donji polukrug
◢	popunjeni trougao dole desno
◣	popunjeni trougao dole levo
◤	popunjeni trougao gore levo
◥	popunjeni trougao gore desno
◦	prazan znak za nabrajanje
◯	krug, prsten, veliki prazni krug
◳	prazan kvadrat s gornjim desnim kvadrantom
◷	prazan krug s gornjim desnim kvadrantom
◿	donji desni trougao
♪	muzika, nota, osmina, osmina note
⨧	2, dva, indeks, plus, plus i broj 2 u indeksu
⨯	proizvod, vektorski, vektorski proizvod
⨼	interni, interni proizvod, proizvod
⩣	crta, disjunkcija, dvostruko, logika, logičko sabiranje, logičko „ili” s dvostrukom potcrtom
⩽	crta, jednako, manje od, manje sa nagnutom crtom za jednako, nagnuto
⪍	asimptotski, jednako, manje od, manje od iznad slično jednakom
⪚	dve crte, jednako, jednako sa dve crte iznad znaka veće, matematika, nejednakost
⪺	jednako, nije, približno, sledi, sledi iznad znaka nije približno jednako
♭	muzika, nota, snizilica
♯	muzika, nota, povisilica
😀	lice, lice sa širokim osmehom, usta, zubi, široki osmeh
😃	lice, lice sa oduševljenim osmehom, oduševljenje, osmeh, otvoreno, strava, usta, zubi, široki osmeh
😄	lice, lice koje se slatko smeje, oko, osmeh, otvoreno, oči, usta, široki osmeh
😁	kez, lepo, lice, lice sa kezom, oko, osmeh, usta, zubi, široki osmeh
😆	hahaha, lice, lice sa zločestim osmehom, lol, osmeh, smeh, usta, zadovoljno, zločesto
😅	hladan znoj, hladno, lice, lice sa nervoznim osmehom, nervoza, osmeh, otvoreno, usta, znoj, široki osmeh
🤣	hahaha, lice, lol, pod, smeh, smešno, urnebesno, valjanje, valjanje od smeha
😂	hahaha, lice, lice sa suzama radosnicama, lol, plačem, radost, smeh, suza, suze, veselje
🙂	blago nasmejano lice, lice, osmeh
🙃	lice, lice okrenuto naopako, naopako, okrenuto naopako, osmeh
🫠	istopiti, lice se topi, nestajanje, postiđen, sarkastičan, sarkazam, smejanje, smejanje na sav glas, tečno, topiti se, topljenje, toplota, vruće
😉	flertovanje, lice, lice koje namiguje, namigivanje
😊	lice, nasmejano lice sa nasmejanim očima, oko, osmeh, oči, rumeno
😇	anđeo, bajka, lice, nasmejano lice sa oreolom, nevino, nevinost, oreol, osmeh
🥰	obožavanje, smajli sa srcima, smejanje, volim te, zaljubljen
😍	lice, ljubav, nasmejano lice sa očima u obliku srca, oko, osmeh, oči, romantika, srce
🤩	kez, lice, osmeh, oči, pod srećnom zvezdom, zvezda
😘	flertovanje, lice, lice koje šalje poljubac, ljubav, poljubac, romantično, srce
😗	cmok, lice, lice koje ljubi, ljubav, poljubac
☺️	istaknuto, lice, nasmejano lice, opušteno, osmeh, rumeno, zadovoljno
😚	flertovanje, lice, lice koje ljubi sa zatvorenim očima, oči, poljubac, zatvoreno
😙	flertovanje, lice, lice koje ljubi sa nasmejanim očima, ljubav, osmeh, oči, poljubac
🥲	dirnut, nasmejano lice sa suzom, olakšanje, osmeh, ponosan, suza, zahvalan
😋	fino, lice, lice koje uživa u ukusnoj hrani, njam, osmeh, ukusno
😛	jezik, kul, lepo, lice, lice koje se plazi, slatko, žurka
😜	lice, lice koje se plazi i namiguje, namigivanje, oči, šala
🤪	ludačko lice, ludo, malo, oko, veliko
😝	gadno, lice, lice koje se plazi sa zatvorenim očima, oko, oči, ukus
🤑	lice, novac, plaćeno, pohlepa, pohlepno lice, usta
🤗	grljenje, lice, lice koje grli, zagrljaj
🤭	iznenađenje, kikotanje, lice sa rukom preko usta, tajna, ups, šok
🫢	iznenađenje, lice otvorenih očiju sa rukom preko usta, nevera, o moj bože, stid, tih, uplašeno, začuđenost, šok, šokiran
🫣	buljenje, gledanje kroz prste, kriti, osramotiti, sakrivanje, stidljiv, uplašen, virenje
🤫	tiho, tiše, ućutkujuće lice, ćuti
🤔	lice, lice koje razmišlja, razmišljanje
🫡	da, da gospodine, da gospođo, jasno, lice salutira, ok, poštovanje, salutiranje, srećno, trupe, važi
🤐	lice, lice sa zapečaćenim ustima, rajsferšlus, usta, zapečaćeno
🤨	lice sa uzdignutom obrvom, nepoverenje, skeptično
😐️	bezlično, lice, lice sa neutralnim izrazom, ljubomora, neutralno
😑	bezizražajno, bezizražajno lice, bezlično, lice, ljubomora
😶	bez reči, lice, lice bez usta, nečujno, tajna, tiho, usta
🫥	depresija, depresivno, introvert, kako god, lice isprekidanom linijom, nestajanje, nevidljiv, skrivanje, skriven, šta god
😶‍🌫	glava u oblacima, lice u magli, lice u oblacima, rasejan
😏	flertovanje, lice, lice koje se zlobno smeška, obrve, zlobno smeškanje, šef
😒	dosada, lice, smor, smoreno lice
🙄	hladovina, kolutanje, lice, lice koje koluta očima, oči, uf, šta god
😬	grimasa, lice, lice sa grimasom, ništa, osmeh, čudno
😮‍💨	dim, izdahnuti, lice izdiše, olakšanje, smajli, stenjati, umor, uzdah, zvižduk, šapat
🤥	laž, lažljivac, lica, lice, nos, pinokio
🫨	drhtenje, drhteće lice, lice, panika, vibrira, zemljotres, šok
🙂‍↔	glava trese horizontalno, ne, trese
🙂‍↕	da, glava trese vertikalno, klima
😌	lice, olakšanje, spokoj, spokojno lice
😔	bezvoljnost, grozno, lice, tuga, zamišljeno lice, zamišljenost
😪	laku, lice, noć, pospano, pospano lice, spava, spavanje, tužno, umorno
🤤	bale, lice, lice kojem ide voda na usta, lice kom ide voda na usta
😴	kako god, laku noć, lice, lice koje spava, smor, spavanje, zevanje, zzz
🫩	iscrpljeno, kasno, lice, lice sa podočnjacima, podočnjaci, pospano, umorno, zabrinuto
😷	bolest, lekar, lice, lice sa medicinskom maskom, maska, medicina, zaraza
🤒	lice, lice sa toplomerom, prehlada, toplomer
🤕	bol, lice, lice sa zavojem na glavi, povreda, zavoj
🤢	lice, lice kojem je muka, muka, mučnina, povraćanje
🤮	grozno, lice povraća, mučnina, povraćanje
🤧	grip, kijanje, lice, lice koje kija, nazdravlje
🥵	crveno lice, temperatura, vruće, vruće lice, znojenje
🥶	hladno, hladno lice, ledenice, modro lice, zaleđen
🥴	krivudave usne, pijan, pogubljeno lice, pripit, različite oči
😵	lice, lice sa vrtoglavicom, mrtvo, vrtoglavica
😵‍💫	hipnotiziran, lice sa spiralnim očima, nevolja, opa, spirala, vrtoglavica
🤯	eksplozija, glava eksplodira, šokirano
🤠	kauboj, lice, lice kauboja, šešir
🥳	kapica, lice na žurci, proslava, rođendan, srećan rođendan, ura, ushićen, šešir, žurka
🥸	brkovi, maska, naočari, nos, obrva, osoba, prerušeno lice, špijun
😎	kul, lice, naočare, naočare za sunce, nasmejano lice sa naočarima za sunce, osmeh, oči, sunce
🤓	lice, naočare, pametnjaković, štreber, štrebersko lice
🧐	bogatstvo, elegancija, lice sa monoklom, uštogljen
😕	lice, zbunjeno lice, zbunjenost
🫤	frustracija, frustriran, kako god, lice sa dijagonalnim ustima, neubedljivo, razočarano, skeptično, sumnja, sumnjivo, zabuna, zbunjen, šta god
😟	briga, lice, zabrinuto lice
🙁	lice, lice koje se blago mršti, mrštenje, tuga
☹️	lice, mrštenje, namršteno lice, tuga
😮	iznenađenje, lice, lice sa otvorenim ustima, otvoreno, saosećanje, usta
😯	iznenađenje, iznenađeno lice, lice, ućutkano, zapanjeno
😲	lice, zapanjeno lice, zapanjenost, šok
😳	lice, nesigurnost, rumenilo, zajapureno lice
🥺	lice, milost, molećivo lice, moliti, pseće oči, velike oči
🥹	divljenje, lice zadržava suze, ljut, molim te, osećanja, plač, ponos, ponosan, postiđen, suze radnosnice, tuga, tužan, tužno, zahvalan, zahvalnost, žalostan
😦	lice, otvoreno, usta, začuđeno lice, začuđenost
😧	izbezumljeno lice, izbezumljenost, iznenađenje, lice, zapanjenost
😨	krivica, lice, nervozno, preplašenost, strah, uplašeno, uplašeno lice, zabrinuto
😰	hladno, lice, lice sa otvorenim ustima, obliveno hladnim znojem, nelagoda, nervozno, obliven hladnim znojem, otvoreno, uplašeno, usta, znoj
😥	komplikovano, lice, razočaranje, razočarano lice kome je laknulo, tužno, vreme, zatvoreno, znoj
😢	lice, lice koje plače, nedostaješ, nesrećno, osećanja, plakanje, plače, suze, tuga, tužno
😭	jecanje, lice, lice koje rida, plakanje, suze, tuga
😱	krik, lice, lice koje vrišti od straha, munk, strah, uplašeno, vrisak, vrišti od straha
😖	frustracija, lice, lice u nedoumici, nedoumica, smetenost, zbunjenost
😣	izmučeno lice, lice, muka, podnošenje
😞	lice, poraz, razočaranje, razočarano lice, tuga, tužno
😓	glavobolja, hladno, lice, lice obliveno hladnim znojem, oboren, pogled, strah, tuga, zamalo, znoj
😩	bes, glad, lice, neee, plač, pospanost, premoreno lice, tuga, umor
😫	dremež, dremka, kijanje, lice, osećanje, tuga, umorno lice, zamor
🥱	dosada, dremka, lice zeva, noć, pospanost, smor, spavanje, umor, zev, zzz
😤	bes, lice, lice kome iz nosa izlazi para, ljutnja, nos, para, pobeda, trijumf
😡	bes, crveno, durenje, ljutnja, nadureno lice, nadurenost, uzrujanost
😠	bes, frustracija, gnev, lice, ljutito lice, sram, uzrujanost
🤬	cenzura, cenzurisano, lice, lice sa simbolima na usnama, psovanje, simboli, usta
😈	bajka, demon, fantazija, lice, ljubičasto, nasmejano lice sa rogovima, osmeh, priča, rogovi, zlo, đavo
👿	bajka, demon, fantazija, lice, ljubičasto, ljuto, priča, rogovi, zlo, đavo, đavolčić
💀	bajka, lice, lmao, lobanja, smrt, telo, čudovište
☠️	kost, kosti, lice, lobanja, lobanja sa ukrštenim kostima, smrt, čudovište
💩	balega, gomila kake, izmet, kaka, lice, smrad, stripe, čudovište
🤡	klovn, lice, lice klovna
👹	bajka, fantazija, lice, maska, ogar, strašno, stvorenje, čudovište, đavo
👺	bajka, fantazija, goblin, lice, maska, stvorenje, zao, čudovište
👻	bajka, duh, fantazija, lice, strašno, stvorenje, uzbuđeno, čudovište
👽️	bajka, fantazija, lice, nlo, stvorenje, svemir, vanzemaljac, čudovište
👾	bajka, gejmer, igre, lice, mašta, nlo, stvorenje, svemir, vanzemaljac, vanzemaljci, vanzemaljsko čudovište
🤖	lice, robot, robotsko lice, čudovište
😺	lice, mačka, nasmejana mačka sa otvorenim ustima, osmeh, otvorena, usta, široki, životinja
😸	cerenje, lice, mačka sa širokim osmehom i nasmejanim očima, oko, osmeh, oči, životinja
😹	lice, lice mačke sa suzama radosnicama, lol, mačka, smeh, suza, suze, veselje, životinja
😻	lice, ljubav, mačka, nasmejana mačka sa očima u obliku srca, oko, osmeh, srce, životinja
😼	ironija, iskrivljeno, lice, mačka, mačka sa kiselim osmehom, osmeh, životinja
😽	lice, mačka, mačka koja ljubi sa zatvorenim očima, oko, oči, poljubac, zatvoreno, životinja
🙀	iznenađenje, lice, mačka, strah, uplašena mačka, životinja
😿	lice, mačka, plakanje, plač, suza, tuga, uplakana mačka, životinja
😾	durenje, lice, mačka, nadurena mačka, životinja
🙈	gestikulacija, lice, majmun, ne, ne vidi zlo, skrivanje, tajna, zabranjeno, zlo
🙉	gestikulacija, lice, majmun, ne, ne čuje zlo, tajna, uši, zabranjeno, zlo, čuti, životinja
🙊	gestikulacija, lice, majmun, ne, ne govori zlo, tajna, tiho, ups, zabranjeno, zlo, životinja
💌	ljubav, ljubavno pismo, pismo, pošta, romantika, srce, zaljubljeni
💘	emocija, kupidon, ljubav, romantika, srce, srce probodeno strelom, strela, sudar, zaljubljeni
💝	emocija, godišnjica, poljupci, srce, srce sa mašnicom, traka
💖	blistavo srce, dobro, emocija, iskre, jutro, noć, poljupci, srce, uzbuđenost
💗	cmok, emocija, nervoza, poljupci, puls, pulsiranje, rastuće, srce, srce koje raste, uzbuđenost
💓	emocija, kardio, kucanje, ljubav, puls, pulsiranje, srce, srce koje kuca
💞	emocija, godišnica, okretanje, srca, srca koja se okreću, srce
💕	dva, dva srca, emocija, godišnica, ljubav, poljupci, srca, srce, sudar
💟	belo, emocija, ljubičasto, srce, ukras, ukras sa srcem
❣️	interpunkcija, srce, teško, ukrasni uzvičnik u obliku velikog srca, uzvičnik
💔	emocija, slomljeno, slomljeno srce, srce, tuga, usamljenost
❤‍🔥	gori, ljubav, požuda, srce, sveto, vatra, zapaljeno srce
❤‍🩹	dobro, lečenje, oporavak, poboljšanje, ranjeno srce, srce, zdravije
❤️	crveno, crveno srce, emocija, ljubav, srce
🩷	emocija, ljubav, ljupko, posebno, roze, roze srce, slatko, srce, sviđa
🧡	narandžasto, narandžasto srce, srce
💛	emocija, ljubav, srce, žuto srce
💚	emocija, ljubav, romantika, srce, zeleno, zeleno srce
💙	emocija, ljubav, plavo, plavo srce, romantika, srce
🩵	cijan, emocija, ljubav, nebo, plavo, slatko, srce, svetlo, svetloplavo, svetloplavo srce, sviđa
💜	emocija, ljubav, ljubičasto, ljubičasto srce, najbolji, srce
🤎	braon, braon srce, srce
🖤	crno, crno srce, srce, zlo, zloba
🩶	emocija, posebno, sivo, sivo srce, srce, srebrno, škriljac ljubav
🤍	belo, belo srce, srce
💋	emocija, ljubljenje, otisak, otisak poljupca, poljubac, romantika, seksi, srce, usne
💯	100, poeni, potpuno, rezultat, savršeno, sto, sto poena
💢	bes, ljuto, simbol, simbol ljutnje, strip, uznemirenost
💥	bomba, bum, eksplozija, strip, sudar
💫	padanje, sijanje, strip, vrtoglavica, zvezda, zvezde
💦	kapljica, kapljice, kapljice znoja, prskanje, strip, trening, vežbanje, voda, znoj
💨	bežanje, brzo, dim, oblak, prdež, sprint, strip, trčanje
🕳️	rupa
💬	dijalog, govor, kucanje, oblačić, oblačić za govor, poruka, razgovor, sms, strip, tekst
👁‍🗨	oblačić, oko, oko u oblačiću dijaloga, svedok
🗨️	dijalog, govor, levo, oblačić, oblačić za govor usmeren nalevo
🗯️	bes, desno, ljutnja, oblačić, oblačić za ljutiti govor usmeren desno
💭	crtani film, ideja, misao, oblačić, oblačić za misli, odluka, razmišljanje, san, sanjarenje, strip
💤	laku noć, noć, pospanost, spavanje, strip, umor, zzz
