‾	үстіңгі сызық
〕	жақша, оң жақ қалың дөңгелек жақша, қалың дөңгелек жақша
〖	жақша, сол жақ тік бұрышты дөңес жақша, тік бұрышты дөңес жақша
〗	жақша, оң жақ тік бұрышты дөңес жақша, тік бұрышты дөңес жақша
§	бөлік, бөлім, параграф, параграф белгісі
¶	абзац белгісі
@	айқұлақ белгісі
*️	жұлдызша
/	қиғаш сызық
\	кері қиғаш сызық
&	амперсанд
#️	тор белгісі
%	пайыз
‰	промилле
†	айқаршық, крест, сілтеме, сілтеме белгісі
‡	айқаршық, крест, сілтеме, қос, қос сілтеме белгісі
•	жуан белгі, нүкте
‧	сөз тасымалдау нүктесі
′	штрих
″	қос штрих
‴	үш штрих
‸	карет
※	бақылау белгісі
⁂	үш жұлдызша
`	қатаң екпін
´	акут екпін
^	түрленген екпін
¨	диереза
°	дәлел, дәреже, сағат
℗	авторлық құқық, дыбыс, дыбыс жазу авторлық құқығы, жазу
←	көрсеткі, сол, сол бағытты көрсеткі
↚	сол жақ көрсеткісі бар штрих
→	көрсеткі, оң, оң бағытты көрсеткі
↛	оң жақ көрсеткісі бар штрих
↑	жоғары, жоғары бағытты көрсеткі, көрсеткі
↓	көрсеткі, төмен, төмен бағытты көрсеткі
↜	сол жақ ирек көрсеткі
↝	оң жақ ирек көрсеткі
↞	қос басты сол жақ көрсеткі
↟	қос басты жоғары көрсеткі
↠	қос басты оң жақ көрсеткі
↡	қос басты төмен көрсеткі
↢	сол жақ құйрықты көрсеткі
↣	оң жақ құйрықты көрсеткі
↤	сызықшадан солға қарай бағытталған көрсеткі
↥	сызықшадан жоғары қарай бағытталған көрсеткі
↦	сызықшадан оңға қарай бағытталған көрсеткі
↧	сызықшадан төмен қарай бағытталған көрсеткі
↨	астында сызықшасы бар жоғары және төмен көрсеткі
↫	сол жақ ілмекті көрсеткі
↬	оң жақ ілмекті көрсеткі
↭	сол және оң жақ ирек көрсеткі
↯	төменге бағытталған иір көрсеткі
↰	басы жоғары және солға қарай бағытталған көрсеткі
↱	басы жоғары және оңға қарай бағытталған көрсеткі
↲	басы төмен және солға қарай бағытталған көрсеткі
↳	басы төмен және оңға қарай бағытталған көрсеткі
↴	оңға және төмен бағытталған бұрыштық көрсеткі
↵	төмен және солға бағытталған бұрыштық көрсеткі
↶	шеңбердің жоғарғы жарты бөлігі түріндегі сағат тіліне қарсы бағыттағы көрсеткі
↷	шеңбердің жоғарғы жарты бөлігі түріндегі сағат тілі бағытындағы көрсеткі
↸	үстінде ұзын сызықшасы бар солтүстік-батыс бағыттағы көрсеткі
↹	оң жағында сызықшасы бар оң жақ көрсеткінің үстіндегі сол жағында сызықшасы бар сол жақ көрсеткі
↺	сағат тіліне қарсы бағыттағы ашық шеңберлі көрсеткі
↻	сағат тілі бағытындағы ашық шеңберлі көрсеткі
↼	жоғарғы жағында кертігі бар сол жақ сүңгі
↽	төменгі жағында кертігі бар сол жақ сүңгі
↾	оң жағында кертігі бар жоғары сүңгі
↿	сол жағында кертігі бар жоғары сүңгі
⇀	жоғарғы жағында кертігі бар оң жақ сүңгі
⇁	төменгі жағында кертігі бар оң жақ сүңгі
⇂	оң жағында кертігі бар төмен сүңгі
⇃	сол жағында кертігі бар төмен сүңгі
⇄	сол жақ көрсеткінің үстіндегі оң жақ көрсеткі
⇅	жоғары, жоғары және төмен бағытты көрсеткілер, көрсеткі, төмен
⇆	көрсеткі, оң бағытты көрсеткілер үстіндегі сол бағытты көрсеткілер, оң жақ, сол жақ
⇇	екі сол жақ көрсеткі
⇈	екі жоғары көрсеткі
⇉	екі оң жақ көрсеткі
⇊	екі төмен көрсеткі
⇋	оң жақ сүңгінің үстіндегі сол жақ сүңгі
⇌	сол жақ сүңгінің үстіндегі оң жақ сүңгі
⇐	сол жақ қосарлы көрсеткі
⇍	штрихі бар сол жақ қосарлы көрсеткі
⇑	жоғары қосарлы көрсеткі
⇒	оң жақ қосарлы көрсеткі
⇏	штрихі бар оң жақ қосарлы көрсеткі
⇓	төмен қосарлы көрсеткі
⇔	сол және оң жақ қосарлы көрсеткі
⇎	штрихі бар сол және оң жақ қосарлы көрсеткі
⇖	солтүстік-батыс бағыттағы қосарлы көрсеткі
⇗	солтүстік-шығыс бағыттағы қосарлы көрсеткі
⇘	оңтүстік-шығыс бағыттағы қосарлы көрсеткі
⇙	оңтүстік-батыс бағыттағы қосарлы көрсеткі
⇚	сол жақ үштік көрсеткі
⇛	оң жақ үштік көрсеткі
⇜	сол жақ иректелген көрсеткі
⇝	оң жақ иректелген көрсеткі
⇞	қосарлы штрихі бар жоғары көрсеткі
⇟	қосарлы штрихі бар төмен көрсеткі
⇠	сол жақ пунктирлі көрсеткі
⇡	жоғары пунктирлі көрсеткі
⇢	оң жақ пунктирлі көрсеткі
⇣	төмен пунктирлі көрсеткі
⇤	сол жағында сызықшасы бар сол жақ көрсеткі
⇥	оң жағында сызықшасы бар оң жақ көрсеткі
⇦	іші қуыс сол жақ көрсеткі
⇧	іші қуыс жоғары көрсеткі
⇨	іші қуыс оң жақ көрсеткі
⇩	іші қуыс төмен көрсеткі
⇪	іші қуыс жоғары пунктирлі көрсеткі
⇵	жоғары көрсеткінің сол жағындағы төмен көрсеткі
∀	барлығы үшін
∂	ішінара дифференциал
∃	бар
∅	бос жиын
∆	үшбұрыш, өсу
∇	набла, үшбұрыш
∈	жинақ, мүшелік, элемент, құрайды
∉	элемент емес
∋	мүшені қамтиды
∎	Q.E.D.
∏	n-ші көбейтінді
∑	n-ші қосынды
+	плюс, таңба, қосу, қосу таңбасы
±	плюс-минус
÷	бөлу, бөлу белгісі, крестик
×	көбейту, көбейту белгісі, рет
<	кішірек, сол тег, тег
≮	кем емес
=	тең
≠	жоқ, тең, тең емес, теңсіздік
>	оң тег, тег, үлкенірек
≯	үлкен емес
¬	теріске шығару
|	жолақ, сызық, сызықша, тік жолақ, тік сызық, штрих
~	тильда
−	азайту, азайту таңбасы, алу, минус, таңба
⁻	минус, үстіңгі индекс, үстіңгі минус индексі
∓	минус немесе плюс
∕	бөлу қиғаш сызығы
⁄	бөлшек сызығы
∗	жұлдызша операторы
∘	сақина операторы
∙	нүкте операторы, нүкте түріндегі көбейту таңбасы
√	иррационал, квадрат түбір, негіз, радикал, түбір, шаршы
∝	пропорционал
∞	шексіздік, шексіздік белгісі
∟	тік бұрыш
∠	бұрыш
∣	бөледі
∥	параллель
∧	логикалық "және"
∩	жинақ, қиылысу
∪	жинақ, одақ, топтама
∫	интеграл
∬	қос интеграл
∮	контурлы интеграл
∴	сондықтан
∵	себебі
∶	ара қатынас
∷	пропорция
∼	тильда операторы
∽	кері тильда
∾	кері жатық s
≃	асимптотикалық тең
≅	шамамен тең
≈	дерлік, тең, тең дерлік, шамамен
≌	барлығы тең
≒	"шамамен тең" кескіні
≖	теңдік белгісінің ішіндегі сақина
≡	бірдей, дәл, үш
≣	қатаң эквивалентті
≤	кішірек, кішірек немесе тең, тең, теңсіздік
≥	тең, теңсіздік, үлкенірек, үлкенірек немесе тең
≦	кем немесе тең
≧	үлкен немесе тең
≪	әлдеқайда кем
≫	әлдеқайда үлкен
≬	аралығында
≳	үлкен немесе эквивалентті
≺	алдында келеді
≻	артында келеді
⊁	артында келмейді
⊂	жинақ, ішкі жинағы, ішкі жинақ
⊃	басты жиын
⊆	ішкі жиынға тең
⊇	басты жиынға тең
⊕	шеңбер ішіндегі қосу таңбасы
⊖	шеңбер ішіндегі алу таңбасы
⊗	шеңбер ішіндегі көбейту таңбасы
⊘	шеңбер ішіндегі бөлу таңбасы
⊙	шеңбер ішіндегі нүкте операторы
⊚	нүкте ішіндегі сақина операторы
⊛	нүкте ішіндегі жұлдызша операторы
⊞	квадрат ішіндегі қосу таңбасы
⊟	квадрат ішіндегі алу таңбасы
⊥	перпендикулярлық таңбасы
⊮	"шақырмайды" таңбасы
⊰	қатынаспен алдында болады
⊱	қатынаспен соңында болады
⋭	қалыпты ішкі топ ретінде қамтымайды немесе тең
⊶	бастапқы
⊹	эрмитті-түйіндес матрица
⊿	тік бұрышты үшбұрыш
⋁	N-дік логикалық НЕМЕСЕ
⋂	N-дік қиылысу
⋃	N-дік түйіндестіру
⋅	нүкте амалы
⋆	жұлдызды оператор
⋈	табиғи біріктіру
⋒	қосарлы қиылысу
⋘	қарағанда әлдеқайда кем
⋙	қарағанда әлдеқайда артық
⋮	тік көп нүкте
⋯	орташа деңгейдегі көлденең көп нүкте
⋰	жоғары оң жаққа бағытталған көп нүкте
⋱	төмен оң жаққа бағытталған көп нүкте
■	боялған квадрат
□	іші қуыс квадрат
▢	бұрыштары дөңгелектелген іші қуыс квадрат
▣	боялған квадраты бар іші қуыс квадрат
▤	көлденең бояуы бар квадрат
▥	тік бояуы бар квадрат
▦	ортогональді штрихталған бояуы бар квадрат
▧	жоғарғы сол жақтан төмен оң жаққа қарай бояуы бар квадрат
▨	төменгі оң жақтан жоғарғы сол жаққа қарай бояуы бар квадрат
▩	диагональді штрихталған бояуы бар квадрат
▬	боялған тік төртбұрыш
▭	іші қуыс тік төртбұрыш
▮	тігінен тұрған боялған тік төртбұрыш
▰	боялған параллелограм
▲	жоғары, көрсеткі, толтырылған, толтырылған жоғары бағытталған үшбұрыш, үшбұрыш
△	жоғары қаратылған іші қуыс үшбұрыш
▴	жоғары қаратылған боялған шағын үшбұрыш
▵	жоғары қаратылған іші қуыс шағын үшбұрыш
▷	оң жаққа қаратылған іші қуыс үшбұрыш
▸	оң жаққа қаратылған боялған шағын үшбұрыш
▹	оң жаққа қаратылған іші қуыс шағын үшбұрыш
►	оң жаққа қаратылған боялған көрсеткі
▻	оң жаққа қаратылған іші қуыс көрсеткі
▼	көрсеткі, толтырылған, толтырылған төмен бағытталған үшбұрыш, төмен, үшбұрыш
▽	төмен қаратылған іші қуыс үшбұрыш
▾	төмен қаратылған боялған шағын үшбұрыш
▿	төмен қаратылған іші қуыс шағын үшбұрыш
◁	солға қаратылған іші қуыс үшбұрыш
◂	солға қаратылған боялған шағын үшбұрыш
◃	солға қаратылған іші қуыс шағын үшбұрыш
◄	солға қаратылған боялған көрсеткі
◅	солға қаратылған іші қуыс көрсеткі
◆	боялған ромб
◇	іші қуыс
◈	ішінде боялған ромб бар іші қуыс ромб
◉	ішінде шеңбер іші қуыс шеңбер
◊	ромб, ромб тәрізді, төрт бұрышты
○	бос шеңбер, дөңгелек, шеңбер
◌	пунктирлі шеңбер
◍	тігінен боялған шеңбер
◎	концентрлік шеңберлер, нысана, қос шеңбер
●	толтырылған шеңбер, шеңбер
◐	сол жағы боялған шеңбер
◑	оң жағы боялған шеңбер
◒	төменгі жағы боялған шеңбер
◓	жоғарғы жағы боялған шеңбер
◔	жоғарғы оң жақ квадранты боялған шеңбер
◕	жоғарғы сол жақ квадрантынан басқасы боялған шеңбер
◖	сол жақ боялған жартылай шеңбер
◗	оң жақ боялған жартылай шеңбер
◘	инверсияланған жуан белгі
◙	іші қуыс шеңбері бар боялған квадрат
◜	жоғарғы сол жақ квадранттық доға
◝	жоғарғы оң жақ квадранттық доға
◞	төменгі оң жақ квадранттық доға
◟	төменгі сол жақ квадранттық доға
◠	жоғарғы жартылай шеңбер
◡	төменгі жартылай шеңбер
◢	төменгі оң жаққа қаратылған боялған үшбұрыш
◣	төменгі сол жаққа қаратылған боялған үшбұрыш
◤	жоғарғы сол жаққа қаратылған боялған үшбұрыш
◥	жоғарғы оң жаққа қаратылған боялған үшбұрыш
◦	іші қуыс жуан белгі
◯	дөңгелек, шеңбер, үлкен бос шеңбер
◳	жоғарғы оң жағында квадранты бар іші қуыс квадрат
◷	жоғарғы оң жағында квадранты бар іші қуыс шеңбер
◿	төменгі оң жақ үшбұрыш
♪	музыка, нота, сегізінші, сегізінші нота
⨧	төменгі индексінде "екі" саны бар қосу таңбасы
⨯	векторлы көбейтінді
⨼	ішкі көбейтінді
⩣	логикалық немесе қосарлы астыңғы сызық
⩽	қиғаш теңдік белгісі бар "кем немесе тең"
⪍	жуықтау және теңдік белгісі бар "кем немесе тең"
⪚	қосарлы сызығы бар "тең немесе үлкен"
⪺	тең дерлік емес белгісі бар "артында келеді"
♭	бемоль, музыка, нота, төмендеу белгісі
♯	диез
😀	бет, езу тарту, езу тартып күлу, жымию, күлу, смайл
😃	аузын ашып күлу, ауыз, ашық, бет, жымию, смайл
😄	аузын ашып, аузын ашып, ыржиып тұрып күлу, ауыз, ашық, бет, жымию, көз, смайл, ыржиып тұрып күлу
😁	бал-бұл жайнап күлу, бет, езу тарту, күлу, көз, смайл
😆	аузын ашып, аузын ашып, көзін жұмып күлу, ауыз, ашық, бет, вахаха, жарылу, жымию, күлкі, күлкіден жарылу, күлу, көзін жұмып күлу, смайл, хахаха, қанағаттану
😅	жымию, күлу, сасқалақтап, сасқалақтап күлу, смайл, тер
🤣	бет, вахаха, жарылу, күлкі, күлкіден жарылу, күлу, хахаха, ішек-сілесі, ішек-сілесі қатып күлу, қисайып күлу
😂	бет, вахаха, жарылу, жас, күлкі, күлкіден жарылу, күлу, көзден жас шыққанша күлу, қуаныш
🙂	бет, жымию, смайл
🙃	бет, жымию, мысқыл, смайл
🫠	еру, еріген бет, жоғалу, сарказм, сұйық, хаха, ыстық
😉	бет, жымию, көз қысу
😊	ажар, жымию, күлу, риза болып күлу, смайл
😇	бейуаз, бейуаз күлкі, бет, жымию, кінәсіз, періште, смайл, хало, қиял
🥰	жақсы көру, жымию, жүрек, жүрекшелері бар бет, смайл, ғашық
😍	бет, жүрек, көз, махаббат, смайл, сүйсініп қарау
🤩	бет, желігу, жымию, жүрекшелері бар, жұлдыз, күлу, көз, көздері жұлдыздай жайнау, смайл
😘	бет, көзді қысып қойып сүю, махаббат, сүю
😗	бет, сүю
☺️	бет, еркін, жымию, күлу, смайл, сызулы
😚	бет, көзді жұмып, көзді жұмып тұрып сүю, сүю
😙	бет, жымию, күлімдеген көзбен сүю, күліп сүю, көз, смайл, сүю
🥲	жас, жеңілденіп қалу, жылап тұрып күлу, күлімсіреу, көңілі елжіреу, разы, риза, смайл, қуану
😋	бет, дәмді, жымию, күлу, смайл, тағам, тілін шығарып күлу, тілін шығарған, қарны ашу
😛	бет, жымию, тіл, тілін шығару
😜	бет, жымию, көз, көз қысу, көзін қысу, көзін қысып, көзін қысып, тілін шығару, тіл, тілін шығару, тілін шығарып, тілін шығарып, көзін қысу, қалжың
🤪	екі түрлі көз, жынды, көз, тілін шығару
😝	бет, дәмі, жеркенішті, көз, көзін жұму, көзін жұмып, көзін жұмып, тілін шығару, тіл, тілін шығару, тілін шығарып, тілін шығарып, көзін жұму
🤑	ауыз, ақша, ақшадан көз айырмау, бет
🤗	бет, жымию, құшақ, құшақтау
🤭	айтып қою, аузын қолмен жауып күлу, жымию, күлу
🫢	ал аузын қолымен жапқан, көзі ашық, көзі ашық, ал аузын қолымен жапқан, мәссаған, ойбай, сенбеу, таңырқау, таңғалу, қорқу, ұялу
🫣	астыртын қарау, жасырыну, сығалау, қадалып қарау, қорқу, ұялу, ұялшақ
🤫	сөйлеме, тыныш, түш, үндеме
🤔	бет, ойлану
🫡	ОК, жолың болсын, иә, иә, сер, салют, салют беру, сәттілік, құп болады
🤐	ауыз, бет, сыдырма ілгек, сөйлемеу, үндемеу
🤨	күмәндану, сенбеу
😐️	бет, бәрібір, енжар, сезімсіз, эмоциясыз
😑	бет, бәрібір, енжар, сезімсіз, эмоциясыз
😶	аузы жоқ бет, ауыз, бет, тыныш, үнсіз
🫥	депрессия, интроверт, көрінбейтін, көңілсіз, пунктирмен салынған бет, эмоциясыз
😶‍🌫	алаңғасар, бұлт басқан бет, енжар, жаңғалақ
😏	бет, күлу, көз, мырс-мырс күлу
😒	бет, қуанышты емес, қызық емес
🙄	бет, көз, көз аларту, көз алару, көзді айналдыру, көзі алару
😬	бет, бет-аузын қисайту, жымию, смайл
😮‍💨	ауа, ауа шығару, ауаны шығарып тұрған бет, дем шығару, демігу, демін шығарып тұрған бет, ентігу, смайл, сыбыр, шаршау, ысқырық, қалжырау, үрлеу
🤥	Пиноккио, өтірік, өтірікші
🫨	бет, дірілдеу, жер сілкінісі, шайқалу, шайқалған бет, шок
🙂‍↔	жоқ деп бас шайқау, көлденеңінен шайқалған бет
🙂‍↕	иә деп бас шайқау, тігінен шайқалған бет
😌	бет, жеңілдеп қалу
😔	бет, мұңды, ойлы, тұнжырау
😪	бет, тұнжырау, ұйқы, ұйқы басу
🤤	ағып, сілекей, сілекейі ағып тұр, тұр
😴	zzz, бет, есінеу, төсек, шаршадым, қайырлы түн, ұйықтау, ұйқы
🫩	көзі ісіп тұр, шаршау, ұйқы
😷	ауру, ауырып қалу, бет, дәрігер, маска, медицина, медициналық бетперде таққан бет, медициналық маскасы бар бет, суық
🤒	ауру, ауыру, бет, дене қызуы артқан, науқас, термометр, термометрі бар бет, қызуы көтерілген
🤕	ауырту, бандаж, басы бинттелген, бет, жарақат алу, соғу
🤢	ауыру, бет, жүрегі айнып тұр, құсу, құсқысы келіп тұр
🤮	ауыру, құсу
🤧	ауыру, бет, түшкіру
🥵	жылу соққысы, терлеп тұр, ыстық, ыстықтаған бет, қызарған
🥶	жаураған бет, көгерген, мұздату, мұздаған, суық, сүңгі, тонған бет
🥴	бас жазған, басы айналған, екі түрлі көз, мастанған, әлсіреген, әлсіреген жүз
😵	басы айналу, бет, көзі кіреспен сызылған
😵‍💫	абдырау, абыржу, көзі айналған смайл, көзі шиыршық бет, ойбай, смайл
🤯	бас жарылғалы тұр
🤠	ковбой, ковбой қалпағы, қалпақ
🥳	алақай, бет, кеш, мүйіз, тойлау, туған күн, туған күніңмен, ура, шаттық, шляпа, қалпақ, қуаныш
🥸	адам, бет, бетін бүркеп алу, бүркеп алу, инкогнито, көзілдірік, мұрт, мұрын, қас
😎	бет, жымию, көзілдірік, көзілдірік тағып жымию, мықты, смайл
🤓	ақылды, бет, білгішсымақ, білімді, дарынды, көзілдірік, көзілдірік таққан, ми, оқымысты, сарапшы, талантты
🧐	бет, менсінбеу, монокль, монокль тағу
😕	абдырау, бет, тұнжырау
🫤	аузын қисайту, күмәндану
😟	бет, тұнжырау, уайымдау
🙁	аздап тұнжырау, бет, тұнжырау
☹️	бет, тұнжырау, тұнжыраған
😮	аузы ашылу, аң-таң болу, бет, таңдану, ұмыту
😯	бет, таңдану, таңырқату, таңғалу
😲	аң-таң, аң-таң болу, бет, таң қалу
😳	аң-таң, бет, беті қызару, таңырқаған
🥺	жалыну, жалынған жүз, кешірім сұраған, мөлдіреген көздер, рақымшыл
🥹	ашулы, жылау, көз жасы, көз жасын әрең ұстау, мұңды, плиз, сезім, қуаныштың көз жасы, өтінем, өтініш
😦	аузын ашып, аузын ашып, бұртию, ауыз, ашық, бет, бұртию
😧	бет, қиналу, ұмыту
😨	бет, уайымдау, шошу, шошып кету, қорыққан, қорқынышты
😰	аузын ашып, аузын ашып, суық терін шығару, ашық, бет, көк, мұңды, суық, суық терін шығару, тер, қатты қобалжу
😥	бет, жеңілдену, түңілу, тұнжырау, уайымдау, уфф
😢	бет, жылау, көз жасы, ренжіген, тұнжырау
😭	айқайлап жылау, бет, боздау, жылау, көз жасы, ренжіген
😱	айқайлау, бет, зәресі ұшу, сылпылдату, шошу, қорыққан, қорқу, қорқыныш, қорқынышты, үріккен
😖	бет, есі шығу, тұнжырау
😣	бет, шыдамдылық
😞	бет, түңілген, түңілу
😓	бет, суық тер, тер, терлеу, қатты шаршап, қатты шаршап терлеу, қатты шаршап, терлеу
😩	бет, беті, тұнжырау, шаршаған, қалжырау, қалжыраған
😫	бет, тұнжырау, шаршау, қатты шаршау
🥱	zzz, есінеу, түн, іші пысу, қайырлы түн, қатты шаршау, ұйықтау
😤	ашулы, бет, жеңген, жеңіс, мұрнынан бу шыққан
😡	ашу, ашулану, ашулы, бет, ернін бұлтитқан бет, ернін бұртиту, қызыл
😠	ашулы, бет, жынданған
🤬	балағаттау, боқтау, цензура, ұрысу
😈	жымию, күлімдеген ібіліс, мүйіз, смайл, ібіліс, қиял
👿	ашулану, ашуланған ібіліс, ашулы, мүйіз, ібіліс, қиял
💀	бас сүйек, бет, ертегі, қаңқа, құбыжық, өлім
☠️	айқас сүйектер, бас сүйек пен сүйектер, бет, қаңқа, қаңқа мен сүйек, құбыжық, өлім
💩	бет, боқ, комик, тезек, тезек үйіндісі, тыңайту, құбыжық
🤡	бет, клоун
👹	бет, ертегі, жалмауыз, мақұлұқ, қиял, құбыжық
👺	бет, гоблин, ертегі, маска, қиял, құбыжық
👻	аруақ, бет, елес, ертегі, хэллоуин, құбыжық
👽️	аруақ, бет, гуманоид, ертегі, қиял
👾	басқа планетадан келген құбыжық, басқа планеталық, басқа планеталық құбыжық, белгісіз ұшатын нысан, бет, қиял, өзге әлемдік
🤖	бет, робот, құбыжық
😺	аузын ашқан мысық, ауыз, ашық, бет, жымию, күлімдеген мысық, мысық, смайл
😸	бет, жымию, күліп тұрған мысық, көз, көздері күліп, көздері күліп, ыржиып тұрған мысық, мысық, смайл, ыржиып тұрған мысық, ыржию
😹	бет, көз жасы, көзінен жас шыққанша күлген мысық, мысық, қатып күліп жатқан мысық, қуаныш
😻	бет, жымию, көз, махаббат, мысық, смайл, сүйсініп тұрған мысық, сүйсініп қарап тұрған мысық
😼	бет, жымию, мырс-мырс күліп тұрған мысық, мысық, мысқыл, қыжырта өтірік күлімсіреген мысық, өтірік күлу
😽	бет, көз, көздері жұмылып, көздері жұмылып, сүйіп тұрған мысық, мысық, сүйіп тұрған мысық, өбіс
🙀	зәресі ұшқан, зәресі ұшқан мысық, мысық, таңырқаған
😿	бет, жылап тұрған мысық, жылау, көз жасы, мысық, мұңды
😾	ашулану, ашуланған мысық, бет, мысық
🙈	бет, зиян, көзін жауып тұрған маймыл, көру, көруге болмайды, маймыл, рұқсат етілмеген, қимыл, ұмыту
🙉	бет, есту, зиянды, маймыл, рұқсат етілмеген, тыңдауға болмайды, құлағын жауып тұрған маймыл
🙊	аузын жауып тұрған маймыл, бет, зиянды, маймыл, рұқсат етілмеген, сөйлеу, сөйлеуге болмайды
💌	жүрек, махаббат, махаббат хаты, пошта, сүйіспеншілік хаты, хат
💘	жебе, жебе тиген жүрек, жүрек, купидон, махаббат, романтика
💝	валентин, жүрек, лента, махаббат, таспа, таспалы жүрек
💖	жылтырау, жылтыраған жүрек, жүрек, көңіл-күйі көтеріңкі, махаббат
💗	жүрек, жүрек соғысы, күйінгіш, көңіл-күйі көтеріңкі, махаббат, үлкейетін жүрек, өсу
💓	жүрек, жүрек соғысы, махаббат, соғу, соғып тұрған, соғып тұрған жүрек
💞	айналу, айналып тұрған жүректер, екі жүрек, жүрек, махаббат
💕	екі жүрек, жүрек, махаббат, қос жүрек
💟	декоративтік жүрек, жүрек, күлгін жүрек
❣️	!, белгі, жүрек, леп белгісі, леп белгісі тәрізді жүрек, пунктуация
💔	жаралану, жаралы, жаралы жүрек, жүрек, сыну, сынған
❤‍🔥	лаулап тұрған жүрек
❤‍🩹	емдік жүрек
❤️	жүрек, махаббат, қызыл жүрек
🩷	143, жүрек, махаббат, сүйкімді, қызғылт, қызғылт жүрек, ұнату
🧡	жүрек, махаббат, қызғылт-сары жүрек
💛	жүрек, махаббат, сары, сары жүрек
💚	жасыл, жасыл жүрек, жүрек
💙	жүрек, көк, көк жүрек
🩵	143, аспан көк, аспан көк жүрек, ақшыл көк, ақшыл көк жүрек, жүрек, көк-жасыл
💜	жүрек, күлгін, күлгін жүрек, махаббат
🤎	жүрек, қоңыр, қоңыр жүрек
🖤	жүрегі қара, жүрек, зұлым, қара, қара жүрек
🩶	143, жүрек, күміс, көкшіл сұр, махаббат, сұр, сұр жүрек, эмоция
🤍	ақ, ақ жүрек, жүрек
💋	белгі, ерін, жүрек, романтика, сүю, өбіс
💯	100, жүз, жүз балл, толық, ұпай
💢	ашу, ашулы, комикс, құтырған
💥	жарылыс, комикс, соққы, қақтығыс
💫	басы айналған, жұлдыз, комик, комикс
💦	бүрку, комикс, тамшы, тер, тер тамшылары
💨	бұлт, жылдам, жүгіру, комикс, серпіліс, түтін, шапшаң
🕳️	тесік
💬	диалог, комикс, көпіршік, сұхбат, сұхбаттасу көпіршігі, ұшатын шар, әңгіме бұлты
👁‍🗨	куәгер, куәгер белгішесі, көз
🗨️	диалог, көпіршік, сол жақ сұхбаттасу көпіршігі, сол жақ әңгіме бұлты, сұхбат, шар
🗯️	ашулы, жынданған, көпіршік, оң жақ ашулы сұхбаттасу көпіршігі, оң жақ ашулы әңгіме бұлты, қалқыма терезе
💭	бұлт, көпіршік, ой, ой бұлты, ой көпіршігі, қалқыма терезе
💤	zzz, комикс, түн, шаршау, қайырлы түн, ұйықтау, ұйқы
👋	бұлғап тұр, бұлғау, дене, көріскенше, сәлем, қол, қол бұлғау
👋🏻	1–2 тері түсі, бұлғап тұр, бұлғау, дене, көріскенше, сәлем, қол, қол бұлғау: 1–2 тері түсі
👋🏼	3-тері түрі, бұлғап тұр, бұлғау, дене, көріскенше, сәлем, қол, қол бұлғау: 3-тері түрі
👋🏽	4-тері түсі, бұлғап тұр, бұлғау, дене, көріскенше, сәлем, қол, қол бұлғау: 4-тері түсі
👋🏾	5-тері түсі, бұлғап тұр, бұлғау, дене, көріскенше, сәлем, қол, қол бұлғау: 5-тері түсі
👋🏿	6-тері түсі, бұлғап тұр, бұлғау, дене, көріскенше, сәлем, қол, қол бұлғау: 6-тері түсі
