‾	forbindelsesstreg, høj streg, overstreg, vinculum
↦	højrepil fra streg
↧	pil ned fra streg
↨	pil op/ned med fod
↫	venstrepil med sløjfe
↬	højrepil med sløjfe
↭	venstre-/højrepil med bølge
↯	zigzagpil ned
↰	pil op og til venstre
↱	pil op og til højre
↲	pil ned og til venstre
↳	pil ned og til højre
↴	hjørnepil til højre og ned
↵	hjørnepil ned og til venstre
↶	halvcirkelpil mod uret, halvcirkelpil mod uret, top, top
↷	halvcirkelpil med uret, halvcirkelpil med uret, top, top
↸	pil mod nordvest med lang streg
↹	højre, pil, streg, venstre, venstrepil med streg over højrepil med streg
↺	åben cirkelpil mod uret
↻	åben cirkelpil med uret
↼	venstre harpun med krog op
↽	venstre harpun med krog ned
↾	harpun op med krog til højre
↿	harpun op med krog til venstre
⇀	højre harpun med krog op
⇁	højre harpun med krog ned
⇂	harpun ned med krog til højre
⇃	harpun ned med krog til venstre
⇄	højrepil over venstrepil
⇅	ned, op, pil, pil op og pil ned
⇆	højre, pil, venstre, venstrepil over højrepil
⇇	to pile mod venstre
⇈	to pile op
⇉	to pile mod højre
⇊	to pile ned
⇋	venstre harpun over højre harpun
⇌	højre harpun over venstre harpun
⇐	dobbeltpil mod venstre
⇍	dobbeltpil mod venstre med skråstreg
⇑	dobbeltpil op
⇒	dobbeltpil mod højre
⇏	dobbeltpil mod højre med skråstreg
⇓	dobbeltpil ned
⇔	dobbeltpil mod venstre og højre
⇎	dobbeltpil mod venstre og højre med skråstreg
⇖	dobbeltpil mod nordvest
⇗	dobbeltpil mod nordøst
⇘	dobbeltpil mod sydøst
⇙	dobbeltpil mod sydvest
⇚	tredobbelt pil mod venstre
⇛	tredobbelt pil mod højre
⇜	snoet pil mod venstre
⇝	snoet pil mod højre
⇞	pil op med dobbelt tværstreg
⇟	pil ned med dobbelt tværstreg
⇠	stiplet venstrepil
⇡	stiplet pil op
⇢	stiplet højrepil
⇣	stiplet pil ned
⇤	venstrepil mod streg
⇥	højrepil mod streg
⇦	hul venstrepil
⇧	hul pil op
⇨	hul højrepil
⇩	hul pil ned
⇪	hul pil op fra streg
⇵	pil ned til venstre for pil op
∀	alkvantor, alle, for alle, givet, omvendt A, universal
∂	differentiale, differentialligning, partiel differentialligning
∃	der findes, eksistenskvantor, findes, omvendt E
∅	matematik, mængdeoperator, tom mængde
∆	optælling, trekant
∇	nabla, trekant
∈	element, element i, indeholder, medlem, medlem af, medlemskab, mængde
∉	element, ikke i, tilhører ikke
∋	element, indeholder, indeholder som element
∎	halmos, hvilket skulle bevises, q.e.d., slut på bevis
∏	logik, matematik, multiplikation, n-ært produkt, produkt
∑	n-ær summering, sigma, sum, summering
+	addere, lægge til, plus, plustegn
±	minus, plus, plus/minus
÷	dele, dividere, division, divisionstegn
×	gange, gangetegn, multiplicere, multiplikation, multiplikationstegn
<	mindre end, start-tag, tag
≮	ikke mindre end, matematik, ulighed
=	er lig med, lig med, lighed
≠	ikke lig med, ulighed
>	afsluttende tag, slut-tag, større end, tag
≯	ikke større end, matematik, ulighed
¬	ikke, negation, negere
|	ikke og, lodret streg, lodret søjle, pipe, sheffers streg, streg, uforenelig med
~	tilde
−	minus, minustegn, subtrahere, trække fra
⁻	hævet, hævet minus, minus, minustegn
∓	minus eller plus, plus/minus
∕	division, divisionsstreg, divisionstegn, skråstreg, streg
⁄	brøk, brøkdel, brøkstreg, brøktegn, skråstreg
∗	asterisk, asteriskoperator, stjerne, stjerneoperator
∘	komposition, operator, ringoperator
∙	operator, punkt, punktoperator
√	kvadrat, kvadratrod, kvadratrodstegn, rod, rodtegn
∝	proportionalitet, proportionalt med
∞	uendelighedstegn, uendeligt
∟	matematik, ret vinkel
∠	spids, vinkel
∣	deler, fordeler
∥	parallel
∧	ac, atque, kile, logisk og
∩	fællesmængde, mængde
∪	forening, foreningsmængde, mængde, samling
∫	integral, matematik, regning
∬	dobbelt integral, matematik, regning
∮	integral, kurveintegral, lukket kurveintegral
∴	derfor, logik
∵	fordi, logik
∶	forhold
∷	proportion, proportionalitet
∼	operator, tilde-operator
∽	omvendt tilde, tilde
∾	omvendt dovent s, omvendt liggende s
≃	asymptotisk, asymptotisk lig med, matematik
≅	cirka lig med, isomorfi, kongruens, lighed, matematik
≈	approksimation, cirka, næsten lig med, omtrent
≌	alle lig med, lighed, matematik
≒	cirka lig med billedet
≖	lighed, matematik, ring i lighedstegn
≡	eksakt, identisk, identisk med, nøjagtigt, tredobbelt, tredobbelt lighedstegn
≣	lighed, matematik, strengt ækvivalent
≤	er lig med, lig med, mindre end, mindre end eller lig med, ulighed
≥	er lig med, lig med, større end, større end eller lig med, ulighed
≦	matematik, mindre end over lig med, ulighed
≧	matematik, større end over lig med, ulighed
≪	matematik, meget mindre end, ulighed
≫	matematik, meget større end, ulighed
≬	mellem
≳	matematik, større end-ækvivalent, ulighed
≺	kommer før, matematik, mængdeoperator
≻	kommer efter, matematik, mængdeoperator
⊁	kommer ikke efter, matematik, mængdeoperator
⊂	delmængde, delmængde af, mængde
⊃	matematik, mængdeoperator, supermængde
⊆	delmængde eller lig med
⊇	lighed, matematik, supermængde eller lig med
⊕	plus, plus med ring
⊖	erosion, minus med ring, symmetrisk differens
⊗	gange med ring, produkt, tensor
⊘	division, division med ring, matematik
⊙	XNOR, operator, punktoperator med ring
⊚	ring-operator med ring
⊛	asterisk, operator, stjerne, stjerne-operator med ring
⊞	firkant med plus, kvadrat med plus, ligner addition, matematik
⊟	firkant med minus, kvadrat med minus, ligner subtraktion, matematik
⊥	eet, falsum, op, vinkelret op
⊮	gennemtvinger ikke
⊰	kommer før under relation, matematik, mængdeoperator
⊱	følger efter under relation, matematik, mængdeoperator
⋭	gruppeteori, indeholder ikke som normal undergruppe lig med, matematik
⊶	oprindelig
⊹	hermitisk transponeret matrix, kvadratisk matrix, matematik, selv-invers matrix, selvtransponeret matrix
⊿	matematik, retvinklet trekant
⋁	disjunktion, logik, n-ært logisk eller
⋂	fællesmængde, matematik, n-ær fællesmængde
⋃	foreningsmængde, matematik, n-ær foreningsmængde
⋅	operator, prik, prikoperator
⋆	operator, stjerne, stjerneoperator
⋈	binær operator, butterfly, naturlig join
⋒	dobbelt fællesmængde, matematik, sætoperator
⋘	langt mindre end, matematik, ulighed
⋙	langt større end, matematik, ulighed
⋮	ellipse, lodret ellipse, matematik
⋯	ellipse, vandret ellipse
⋰	diagonal ellipse opad mod højre, ellipse, matematik
⋱	diagonal ellipse nedad mod højre, ellipse, matematik
■	udfyldt kvadrat
□	hult kvadrat
▢	afrundede hjørner, hult, hult kvadrat med afrundede hjørner, kvadrat
▣	hult, hult kvadrat, der indeholder udfyldt kvadrat, indeholder udfyldt kvadrat, kvadrat, udfyldt
▤	kvadrat med vandret udfyldning
▥	kvadrat med lodret udfyldning
▦	kvadrat med krydsskraveret udfyldning
▧	kvadrat med skravering øverst til venstre mod nederst til højre
▨	kvadrat med skravering øverst til højre mod nederst til venstre
▩	kvadrat med diagonal krydsskraveret udfyldning
▬	udfyldt rektangel
▭	hult rektangel
▮	udfyldt lodret rektangel
▰	udfyldt parallellogram
▲	op, pil, trekant, udfyldt, udfyldt opadvendt trekant
△	der peger opad, hul trekant, hul trekant, der peger opad
▴	der peger opad, udfyldt lille trekant, udfyldt lille trekant, der peger opad
▵	der peger opad, hul lille trekant, hul lille trekant, der peger opad
▷	der peger mod højre, hul trekant, hul trekant, der peger mod højre
▸	der peger mod højre, udfyldt lille trekant, udfyldt lille trekant, der peger mod højre
▹	der peger mod højre, hul lille trekant, hul lille trekant, der peger mod højre
►	der peger mod højre, udfyldt pointer, udfyldt pointer, der peger mod højre
▻	der peger mod højre, hul pointer, hul pointer, der peger mod højre
▼	ned, nedadvendt trekant, pil, trekant, udfyldt, udfyldt nedadvendt trekant
▽	der peger nedad, hul trekant, hul trekant, der peger nedad
▾	der peger nedad, udfyldt lille trekant, udfyldt lille trekant, der peger nedad
▿	der peger nedad, hul lille trekant, hul lille trekant, der peger nedad
◁	der peger mod venstre, hul trekant, hul trekant, der peger mod venstre
◂	der peger mod venstre, udfyldt lille trekant, udfyldt lille trekant, der peger mod venstre
◃	der peger mod venstre, hul lille trekant, hul lille trekant, der peger mod venstre
◄	der peger mod venstre, udfyldt pointer, udfyldt pointer, der peger mod venstre
◅	der peger mod venstre, hul pointer, hul pointer, der peger mod venstre
◆	udfyldt ruder
◇	hul ruder
◈	der indeholder udfyldt ruder, hul ruder, hul ruder, der indeholder udfyldt ruder
◉	cirkel med prik, der indeholder udfyldt cirkel, fiskeøje, hul cirkel, hul cirkel, der indeholder udfyldt cirkel, udfyldte koncentriske cirkler
◊	firkant, rombe, ruder
○	cirkel, hul cirkel, ring
◌	punkteret cirkel
◍	cirkel med lodret udfyldning
◎	dobbelt cirkel, dobbeltcirkel, koncentriske cirkler, mål
●	cirkel, udfyldt cirkel
◐	cirkel med venstre halvdel udfyldt
◑	cirkel med højre halvdel udfyldt
◒	cirkel med nederste halvdel udfyldt
◓	cirkel med øverste halvdel udfyldt
◔	cirkel med øverste højre kvadrant udfyldt
◕	cirkel med alt andet end øverste venstre kvadrant udfyldt
◖	venstre halvdel af udfyldt cirkel
◗	højre halvdel af udfyldt cirkel
◘	omvendt punkttegn
◙	cirkel, der indeholder hul cirkel, hul cirkel, omvendt hul cirkel, udfyldt kvadrat, udfyldt kvadrat, der indeholder hul cirkel
◜	øverste venstre kvadrant af cirkelbue
◝	øverste højre kvadrant af cirkelbue
◞	nederste højre kvadrant af cirkelbue
◟	nederste venstre kvadrant af cirkelbue
◠	øverste halvcirkel
◡	nederste halvcirkel
◢	udfyldt trekant nedad mod højre
◣	udfyldt trekant nedad mod venstre
◤	udfyldt trekant opad mod venstre
◥	udfyldt trekant opad mod højre
◦	hult punkttegn
◯	cirkel, ring, stor hul cirkel
◳	hul firkant øverste højre kvadrant
◷	hul cirkel med øverste højre kvadrant
◿	trekant nedad mod højre
♪	musik, node, ottendedel, ottendedelsnode
⨧	plus med sænket 2
⨯	krydsprodukt, krydsprodukt, vektor, vektor
⨼	indre produkt
⩣	logisk eller med dobbelt understregning
⩽	mindre end med skråt lighedstegn
⪍	mindre end over cirka lig med
⪚	dobbeltstreget lighedstegn og større end, matematik, ulighed
⪺	følger efter over ikke cirka lig med
♭	b, bemol, es, musik, node, tone, tone med b for
♯	diesis, is, kryds, musik, node, tone, tone med kryds for
😀	ansigt, glad, grinende ansigt, smilende ansigt, smiley
😃	ansigt, glad, grin, grinende ansigt med store øjne, smiler, smiley, store øjne, åben mund
😄	ansigt, glad, grinende ansigt med smilende øjne, smil, smiley, smileøjne
😁	ansigt, glad, grin, grinende, smilende øjne, smiley, strålende, strålende ansigt med smilende øjne, tandsmil, tænder
😆	ansigt, glad, grin, grinende, grinende ansigt med lukkede øjne, grineren, hahaha, lol, lukkede øjne, morsomt, sjovt, smil, stort smil, åben mund
😅	ansigt, grine, grinende ansigt med sveddråbe, lettet, smilende ansigt med åben mund og koldsved, stress, stresset, sved, åben mund
🤣	ansigt, griner, græder af grin, gulv, hahaha, hylende morsomt, ler, lol, morsomt, ruller, ruller rundt på gulvet af grin, sjovt
😂	ansigt, ansigt med glædestårer, glad, glæde, grineren, græder af grin, haha, hahaha, hylende morsomt, lol, morsomt, sjov, tårer
🙂	ansigt, let smilende ansigt, smil
🙃	ansigt, omvendt, omvendt ansigt, på hovedet
🫠	flov, flydende, forsvinde, haha, lol, opløse, pinlig, pinlig berørt, pinligt, sarkasme, sarkastisk, smelte, smeltende ansigt, smelter, varm, varme
😉	ansigt, ansigt der blinker, blink, blink med øjet, blinkende ansigt, flirt
😊	ansigt, smil med smileøjne, smilende ansigt og øjne, smileøjne
😇	engel, glorie, smil, smilende ansigt med glorie, uskyldig
🥰	ansigt, elsker, forelsket, forgude, kærlighed, smilende ansigt med tre hjerter, være lun på
😍	ansigt, forelsket, hjerter, hjerteøjne, kærlighed, smilende ansigt med hjerteøjne
🤩	ansigt, benovet, fantastisk, leende, stjerne, øjne
😘	ansigt, kyssende ansigt, sender kys
😗	ansigt, kys, kysseansigt, kysser
☺️	afslappet, smil, smilende ansigt, tilpas
😚	ansigt, kys, kysseansigt med lukkede øjne, lukkede øjne
😙	ansigt, kys, kysseansigt med smilende øjne, smilende øjne
🥲	glad, lettet, rørt, smilende, smilende ansigt med tåre, smiley, stolt, taknemmelig, tåre
😋	ansigt, god mad, lækkert, mæt, nydende ansigt, smil, sulten
😛	ansigt, ansigt med tungen ude, række tunge
😜	ansigt med tungen ude og blinkende øje, blink, blinke, drille, række tunge
🤪	ansigt, fjoget, fjollet, lille, skørt ansigt, stort, øje
😝	ansigt, ansigt med tungen ude og sammenknebne øjne, rækker tunge
🤑	ansigt, ansigt med dollartegn, mund, penge
🤗	ansigt, knus, knuser, kram, kramme, krammende ansigt
🤭	ansigt, ansigt med hånd over munden, fnis, hihi, overrasket, ups
🫢	ansigt med åbne øjne og hånden over munden, bange, chok, chokeret, du godeste, forbavselse, forbavset, forbløffelse, forbløffet, gisp, gisper, omg, overraskelse, pinlig, stille, ti stille, ærefrygt
🫣	angst, ansigt, ansigt, der smugkigger, bange, fascineret, flov, gemme, genert, kigge frem, kigge ud, pinlig, skjule, smugkigger, stirre
🤫	ansigt, shh, stille, tysse, tyssende ansigt
🤔	ansigt, hmm, spekulerer, tanker, tænkende, tænkende ansigt, tænker
🫡	ansigt, ansigt, der gør honnør, der gør honnør, gøre honnør, held og lykke, hilsen, honnør, ja, ja frue, ja frøken, ja hr, javel frue, javel frøken, javel hr, militær, ok, respekt, solskin
🤐	ansigt, ansigt med lynlåsmund, hemmelighed, lynlås, mund, mund lukket, siger intet, stille, tavs
🤨	ansigt, ansigt med løftet øjenbryn, elevatorblik, hmm, hævet øjenbryn, løftede øjenbryn, mistro, overrasket, skepsis, skeptisk
😐️	ansigt, ikke sjovt, ingen kommentar, neutralt ansigt, pokeransigt, udtryksløst, uimponeret
😑	ansigt, ikke glad, ingen kommentar, nej, pokeransigt, udtryksløst ansigt, uimponeret, whatever, wtf
😶	ansigt, ansigt uden mund, mund, stille, tavs
🫥	deprimeret, forsvinde, gemme, introvert, lige meget, ligeglad, skjule, skjult, stiplet linje ansigt, tja, usynlig, whatever
😶‍🌫	ansigt i sky, fraværende, hovedet i skyerne, tåget, ukoncentreret
😏	ansigt, ansigt med smørret grin, smørret
😒	ansigt, ikke glad, sur, uimponeret, uimponeret ansigt, whatever
🙄	ansigt, ansigt med rullende øjne, det hvide ud af øjnene, okay så, rullende, øjne
😬	ansigt, lave grimasse, sammenbidt ansigt
😮‍💨	ansigt, ekshalerende, fløjt, hvisken, lettelse, pift, pyha, smiley, udmattet, udåndende ansigt, udånding, ånde ud
🤥	ansigt, lang næse, lyver, løgn, løgneransigt, pinocchio
🫨	ansigt, chok, jordskælv, omg, overraskelse, panik, rystende ansigt, ryster, skør, vibrer, vibrerer, wow
🙂‍↔	hovedrysten, nej, ryster på hovedet vandret
🙂‍↕	ja, nikke, ryster på hovedet lodret
😌	ansigt, fred, lettelse, lettet ansigt, ro
😔	ansigt, eftertænksom, eftertænksomt ansigt, nedslået
😪	ansigt, dyb søvn, græder, ked af det, søvnigt ansigt, træt
🤤	ansigt, savl, savlende ansigt, savler
😴	ansigt, godnat, sengetid, sove, sovende ansigt, søvn, søvnig, træt, zzz
🫩	ansigt med poser under øjnene, søvnig, træt, udmattet
😷	ansigt med mundbind, doktor, forkølet, læge, maske, mundbind, syg
🤒	ansigt, ansigt med termometer, syg, termometer
🤕	ansigt, ansigt med bandage, bandage, skade, smerte
🤢	ansigt med kvalme, bræk, kaste op, kvalme, opkast, syg
🤮	ad, ansigt, der kaster op, bræk, brække sig, kaste op, knække sig, opkast, ulækkert
🤧	forkølet, lommetørklæde, nys, nysende ansigt, nyser, prosit, pudser næse, syg, sygdom
🥵	feber, hedeslag, rød i hovedet, svede, svedende ansigt, varm
🥶	blåfrossen, forfrysning, fryse, frysende ansigt, istap, kold
🥴	beruset, bølget mund, fuld, småfuld, svimmel, uens øjne, ørt ansigt
😵	ansigt, svimmel, svimmelt ansigt, ør
😵‍💫	ansigt med spiraløjne, hypnose, hypnotiseret, problemer, spiral, svimmel
🤯	chokeret, eksploderer, hoved, hoved, der eksploderer, no way, overrasket, what
🤠	ansigt, ansigt med cowboyhat, cowboy, cowboyhat, cowgirl, hat
🥳	fejring, fest, festansigt, fødselsdag, hat, hurra, højt humør, nytår, tillykke, truthorn
🥸	ansigt, briller, maske, maskeret, moustache, næse, overskæg, spion, udklædning, øjenbryn
😎	cool, sej, smil med solbriller, smilende ansigt med solbriller, solbriller
🤓	ansigt, briller, ekspert, fjollet, intelligent, klog, nørd, nørdansigt, smiley, talentfuld
🧐	ansigt med monokel, gammeldags, monokel, rig, skeptisk
😕	ansigt, forvirret ansigt, ikke sikker, undskyld, utilfreds
🫤	ansigt med skrå mund, forvirret, forvirring, frustration, frustreret, lige meget, ligeglad, nåh, skeptisk, skuffet, tja, tvivl, uimponeret, usikker
😟	ansigt, bekymret, bekymret ansigt, bekymring, trist
🙁	ansigt, ked af det, lidt trist ansigt, trist
☹️	ansigt, ked af det, sur, trist, trist ansigt
😮	ansigt, ansigt med åben mund, chokeret, måbe, overrasket, ubegribeligt, utroligt, wow, åben mund
😯	ansigt, forbavset, overrasket, stille ansigt, tavst ansigt
😲	chokeret, omg, overrasket ansigt, wow, åh nej
😳	omtumlet, røde kinder, rødme, rødmende ansigt, ør
🥺	ansigt, barmhjertighed, bede, bønfaldende ansigt, hundeøjne, trygle
🥹	ansigt, ansigt, der holder tårer tilbage, beundre, beundring, flov, følelser, glædestårer, græde, ked af det, modstå, nårh, pinligt, stolt, så er du sød, taknemmelig, taknemmelighed, trist, tristhed
😦	ansigt, måbende ansigt med åben mund, overrasket, åben mund
😧	ansigt, forpint ansigt, lider, overrasket, smerte, utilfreds
😨	ansigt, bange ansigt, bekymret, frygt, åh nej
😰	ansigt med åben mund og koldsved, blå i ansigtet, koldsved, åben mund
😥	ansigt, ked, lettet, nervøs, puha, skuffet, skuffet men lettet, skuffet men lettet ansigt, tæt på
😢	ansigt, grædende ansigt, ked af det, tårer
😭	græde, hulke, stortude, stortudende ansigt, ulykkelig
😱	angst, skrigende ansigt, skriget
😖	ansigt, forbandet, forbistret ansigt, forvirret, frustreret, ked af det, vred
😣	ansigt, hovedpine, koncentration, stædigt ansigt, udholdenhed
😞	ansigt, ked af det, skuffet ansigt, trist
😓	ansigt, ansigt med koldsved, bange, ked, nervøs
😩	ansigt, græde, nej, trist, udkørt, udmattet, udmattet ansigt, ulykkelig
😫	ansigt, fortvivlet, gabe, nyse, træt ansigt
🥱	ansigt, gab, gabende ansigt, godnat, i seng, kedeligt, søvnig, træt, uinteresseret, zz, zzz, zzzz
😤	fnysende ansigt, hånligt ansigt, jeg vandt, rasende, sur, vred
😡	rasende, rød, surt ansigt, vred, vredt ansigt
😠	ansigt, vred, vredt ansigt
🤬	ansigt, ansigt med symboler på munden, bande, bandeord, svovle
😈	djævel, fantasi, glad lilla djævel, griner, lilla djævel, smil, smilende djævel
👿	djævel, dæmon, horn, sur, sur lilla djævel
💀	dødningehoved, kranie, kranium
☠️	død, dødningehoved, korslagte knogler, kranie, kranium, kranium og korslagte knogler, monster
💩	bunke bæ, bæ, dynge lort, lort
🤡	ansigt, klovn, klovneansigt
👹	djævel, maske, monster, trold, uhyre
👺	ansigt, maske, monster, vred, ånd
👻	ansigt, eventyr, fantasi, farlig, fjollet, gespenst, halloween, monster, spøgelse, væsen
👽️	alien, rumvæsen, ufo
👾	alien, alien-monster, monster, rummet, rumvæsen, ufo
🤖	ansigt, monster, robot, robotansigt
😺	dyr, glad kat, smilende kat
😸	dyr, grinende kat, kat
😹	græder af grin, kat, kat med glædestårer
😻	glad kat med hjerteøjne, kat smiler
😼	dyr, ironisk kat, kat med ironisk smil
😽	dyr, kat, kyssende kat, kysser
🙀	chokeret kat, dyr, kat, overrasket kat
😿	grædende kat, kat græder
😾	dyr, kattehoved, sur kat, surmulende kat
🙈	abe, dyr, glemt, hemmelighed, ikke se, pinlig, skjule, tre vise aber
🙉	abe, dyr, hemmelighed, ikke høre, lytter ikke, tre vise aber
🙊	abe, dyr, hemmelighed, ikke tale, tre vise aber
💌	brev med hjerte, kærestebrev, kærlighedsbrev
💘	amor, følelser, hjerte, hjerte med pil, kærlighed
💝	bånd, følelser, hjerte, hjerte med bånd, kærlighed, romantik
💖	funkle, følelser, hjerte med stjerner, kærlighed
💗	følelser, hjerte, kærlighed, nervøs, voksende hjerte
💓	bankende hjerte, hjerte, kærlighed, romantik
💞	følelser, hjerter, kærlighed, roterende hjerter
💕	kærlighed, romantik, to hjerter
💟	hjerte, hjertedekoration, lilla hjerte
❣️	hjerte, hjerte som udråbstegn, tegnsætning, udråbstegn
💔	hjerte, itu, ked af det, knust, knust hjerte, kærlighed, ulykkelig
❤‍🔥	brændende hjerte, brændende kærlighed, hjerte med ild i, ild, kærlighed, passion
❤‍🩹	bedring, helende hjerte, hjerte, plaster, plaster på hjerte, rask, sundere
❤️	følelse, hjerte, kærlighed, rødt hjerte
🩷	elsker, følelse, hjerte, kærlighed, lyserød, lyserødt hjerte, nuttet, pink, synes om, særligt, sødt
🧡	følelser, hjerte, orange, orange hjerte
💛	følelser, gul, gult hjerte, hjerte
💚	følelser, grøn, grønt hjerte, hjerte
💙	blå, blåt hjerte, følelser, hjerte
🩵	cyan, elsker, følelse, grønblå, himmelblå, hjerte, lyseblå, lyseblåt hjerte, nuttet, særligt
💜	følelser, hjerte, violet, violet hjerte
🤎	brun, brunt hjerte, hjerte
🖤	hjerte, ondskab, ondt, sort, sort hjerte
🩶	elsker, følelse, gråt, gråt hjerte, hjerte, skifer, særligt, sølv
🤍	hjerte, hvid, hvidt hjerte
💋	kys, læbeaftryk, læber, romantik, sexy
💯	100, 100 point, alle rigtige, hundrede, perfekt, point, rigtigt
💢	følelse, tegn for vrede, vrede
💥	bombe, eksplosion, følelser, kollision, kollisionstegn
💫	følelser, se stjerner, stjerneskud, svimmel
💦	dråber, følelser, sved, sveddråber, vanddråber
💨	er løbet, følelser, løber væk, røg, sky, smutter
🕳️	hul, sort
💬	tale, taleboble
👁‍🗨	se, taleboble, vidne, øje, øje i taleboble
🗨️	dialog, snak, tale, taleboble til venstre
