‾	ülakriips
🤢	iiveldus, iiveldust tundev nägu, nägu, okse, paha, rõve, vastik
🤮	iiveldus, okse, oksendav nägu
🤧	aevastav, aevastav nägu, aevastus, gripp, haige, nägu, palavik, terviseks
🥵	higistav, higistav nägu, kuumarabandus, näost punane, palavikuline
🥶	jääpurikad, jäätunud, jäätuv, külmakahjustus, külmunud, külmunud nägu, näost sinine
🥴	alkoholiuimas, joobnud, lainelised huuled, oimetu, uimane nägu, üks silm poolkinni
😵	haige, nägu, oimetu, oimetu nägu, pearinglus, silmad, surnud, tunded, väsinud
😵‍💫	hüpnotiseeritud, nägu, probleem, segaduses, spiraalne, spiraalsilmadega nägu, uimane
🤯	plahvatav pea, šokeeritud
🤠	kauboi, kauboimütsiga nägu, müts, nägu
🥳	elev, hurraa, müts, nägu, palju õnne, pasun, peovile, pidu, pidutsemine, pidutsev nägu, sünnipäev, tähistamine, õnnelik
🥸	inimene, inkognito, kulmud, maskeerima, maskeering, maskeeritud nägu, nina, nägu, prillid, spioon, vuntsid
😎	ere, lahe, naeratus, nägu, prillid, päikeseprillid, päikeseprillidega naerunägu, rand, stiil, vinge, võit, äge
🤓	andekas, arukas, friik, intelligentne, nohik, nohiku nägu, nutikas, nägu, prillid, tark
🧐	elegantne, monokkel, monokliga nägu, nägu, rikas, uhke, vanamoeline
😕	ebakindel, ei tea, hmm, kulmukortsutus, kurb, meh, nägu, segaduses, segaduses nägu, segane, vabandust
🫤	diagonaal, diagonaalse suuga nägu, frustratsioon, frustreerunud, kahtlev, kahtlus, meh, mida iganes, mis iganes, pettunud, segadus, segaduses, skeptiline, suu
😟	kurb, liblikad, mure, murelik, murelik nägu, nägu, närvid, närviline, stress, stressis, ärevil, üllatunud
🙁	kortsutama, kulm, kurb, nägu, veidi, veidi kulmu kortsutav nägu
☹️	kortsutama, kulm, kulmu kortsutav nägu, kurb, nägu
😮	avatud, avatud suuga nägu, kaastunne, lahti, nägu, omg, suu, unustasin, uskuma, uskumatu, vau, üllatunud, šokeeritud
😯	hämmingus, nägu, omg, vaigistatud, vaigistatud nägu, vau, äge, üllatunud
😲	ehmunud, hämmastunud nägu, hämmastus, löödud, nägu, omg
😳	hämmastunud, kuum, mida, nägu, palavus, piinlik, punastav, punastav nägu, segaduses, segane, surnud, umbusk, vau, üllatunud
🥺	anuv, anuv nägu, halastus, ilus, kurb, kutsikasilmad, miks, mitte, nägu, palun, paluv, silmad, suur
🥹	imetlus, kurb, kurbus, nuttev, palun, piinlik, pisaraid tagasi hoidev nägu, rõõmupisarad, trotslik, tunded, tänulik, tänulikkus, uhke, vihane
😦	avatud, avatud suuga mossitav nägu, hirmul, hirmus, kulmukortsutamine, kulmukortsutus, mida, nägu, suu, tabatud, valves, vau, üllatus
😧	ahastus, ahastuses nägu, hirmul, hirmus, mida, nägu, stressis, unustamine, vau, õnnetu, üllatunud
😨	hirm, hirmunud nägu, hirmus, kartlik, murelik, nägu, ärev
😰	avatud, higi, hirmul, kiirustav, külm, külma higiga kaetud ja avatud suuga nägu, nägu, sinine, suu, ärev, ärevil
😥	aeg, higi, keeruline, kergendus, kurb, kõne, napikas, nägu, pettunud, pettunud, kuid kergendust tundev nägu, ärev
😢	igatsev, jube, kurb, nutt, nuttev, nuttev nägu, nägu, pisar, tunded, õnnetu
😭	kurb, nutt, nuttev, nägu, pisar, pisarad, röökiv, valjusti, valjusti nuttev nägu, õnnetu
😱	hirm, hirmul, hirmunud, hirmunult karjuv nägu, karje, munch, nägu
😖	frustreerunud, häiritud, kimbatuses, kimbatuses nägu, kurb, nägu, närvis, segaduses, tunded, vastik, vihane
😣	fookus, keskendunud, nägu, peavalu, pühendunud, sihikindel, sihikindel nägu, sihikindlus
😞	ebaõnn, jube, kaotus, kurb, nukker, nägu, pettunud, pettunud nägu, süüdi, õnnetu
😓	higi, hirmul, kurb, külm, külma higiga kaetud nägu, norgus, nägu, närvis, peavalu, suletud, tunded
😩	ebaõnn, ei, kurb, nuttev, nägu, näljane, rammestunud, rammestunud nägu, tunded, unine, vihane, väsinud, õnnetu
😫	aevastus, kahju, kurb, nägu, tunded, uinak, väsinud, väsinud nägu
🥱	haigutav, haigutav nägu, haigutus, headööd, igav, mida iganes, nägu, uinak, uneaeg, uni, unine, väsinud, zzz, öö
😤	aur, nina, ninast auru ajav nägu, nägu, pahane, raev, raevukas, suits, suitsev, triumf, tunded, viha, vihane, võit, õnnetu
😡	mossitav, mossitav nägu, nägu, pahane, punane, raevunud, tige, tunded, viha, vihaleajav, vihane, ärritunud, õnnetu
😠	frustreerunud, nägu, pahane, raev, süüdi, tige, tige nägu, tunded, viha, vihaleajav, vihane, ärritunud, õnnetu
🤬	nägu, ropendav, suu, suul olevate sümbolitega nägu, sümbolid, tsensuur, vanduv, vihane, ärritunud
😈	deemon, fantaasia, kuri, lilla, muinasjutt, naeratav, naeratus, nägu, saatan, sarved, sarviline naerunägu
👿	deemon, fantaasia, kurat, kuri, lilla, muinasjutt, nägu, saatan, sarved, vallatu, vihane
💀	kolp, kondid, luud, muinasjutt, nägu, pealuu, surm
☠️	koletis, kolp, kolp ja sääreluud, kondid, luud, pealuu, surm
💩	kaka, kakahunnik, koletis, koll, koomiks, nägu, sõnnik
🤡	kloun, klouninägu, nägu
👹	fantaasia, koletis, koll, muinasjutt, nägu, olend, sookoll
👺	fantaasia, koletis, koll, muinasjutt, mäekoll, nägu, olend
👻	kummitus, muinasjutt, nägu, olend, tont, viirastus
👽️	fantaasia, maaväline, nägu, olend, tulnukas
👾	fantaasia, koletis, kosmos, maaväline, muinasjutt, mäng, mängud, mängur, nägu, olend, pikslitud, tulnukas, tulnukkoletis, ufo
🤖	koletis, nägu, robot, roboti nägu
😺	avatud suuga naeratav kass, kass, lahti, naeratus, nägu, suu
😸	irve, kass, lõbusate silmadega irvitav kass, naeratus, nägu, silm
😹	kass, nägu, pisar, rõõm, rõõmupisarais kass
😻	armastus, kass, naeratus, nägu, süda, südamekujuliste silmadega naeratav kass
😼	irooniline, kass, naeratus, nägu, viril, virilalt naeratav kass
😽	kass, nägu, silm, suletud silmadega suudlev kass, suudlus
🙀	kass, nägu, ootamatu, üllatunud, üllatunud kass, üllatus
😿	kass, kurb, nutt, nuttev kass, nägu, pisar
