‾	línea superpuesta, superposición, vinculum
🥰	amor, cara feliz con 3 corazones, corazones, enamorada, enamorado, me encanta, romance, sonrisa y corazones, te amo
😍	amor, cara, corazones en los ojos, corazón, enamorado, ojos
🤩	cara emocionada, cara sonriendo con estrellas, cara sonriendo con ojos de estrella, deslumbrante, emocionante, guau, impresionante, increíble, ojos con estrellas, super, wow
😘	amor, beso, cara lanzando un beso, cara manda un beso, cariño, corazón, lanzando besos, mandar un beso, romance, te mando un beso
😗	amor, besar, besito, beso, cara, cara besando, cara dando un beso
☺️	cara, cara feliz, emoticono, relajado, sonriente, sonrisa, sonrisa tímida
😚	besando con los ojos cerrados, beso, beso con ojos cerrados, cara, cara besando con los ojos cerrados, cerrados, ojos, sonrojarse, xoxo
😙	beso, beso ojos sonrientes, beso y sonrisa, cara, cara besando con ojos sonrientes, cara enviando un beso, cara sonriente dando un beso
🥲	agradecido, aliviado, cara sonriente con lágrima, emocionado, emocionante, feliz, lágrima, orgulloso, sonriente, sonrisa
😋	antojo, cara, comida, comida deliciosa, delicioso, hambre, lengua, rico, satisfecho, ñam ñam
😛	broma, cara, cara feliz, cara sacando la lengua, divertido, lengua, lengua fuera, risa, sacar la lengua, xp
😜	;p, broma, cara, cara sacando la lengua y guiñando un ojo, divertido, era broma, guiño, lengua, loco, sacar lengua y guiñar
🤪	cara, cara chistosa, cara loca, loco, ojos, ojos desorbitados, ojos locos
😝	asco, broma, cara, cara con los ojos bien cerrados y sacando la lengua, cara feliz, horrible, lengua fuera, lengua fuera con los ojos cerrados, qué asco, sacar la lengua
🤑	billete, cara, cara con dinero, cara con lengua de dinero, con dinero, dinero, lengua, millonario, pensando en dinero
🤗	abrazo, cara, cara con manos abrazando, cara feliz, manos, sonrisa, sonrisa y abrazo
🤭	ay perdón, cara, cara tapándose la boca, chanfle, huy, jijiji, lo siento, risa, ups, uy
🫢	asombro, cara con los ojos abiertos y la mano sobre la boca, cállate, discreto, no lo puedo creer, omg, secreto, shock, sorpresa, vergüenza
🫣	cara escondida, cara sonrojada, cara tapada, emoticones y emociones, espiando, espiar, mirar, temor, vergüenza
🤫	calla, cara con dedo sobre la boca, chitón, no digas nada, secreto, shh, silencio, sorpresa
🤔	barbilla, cara pensante, cara pensativa, considerar, duda, hmm, pensar, ponderar, preguntarse, reflexionar
🫡	buena suerte, ejército, emoticones y emociones, ok, orden, respeto, saludo, sí, sí señor, sí señora
🤐	boca, boca cerrada, callar, cara con cierre, cara con la boca cerrada, cara con la boca cerrada con cierre, cierre, no digas nada, secreto, silencio
🤨	cara, cara subiendo la ceja, ceja arriba, ceño fruncido, confusión, desacuerdo, duda, fruncir el ceño, mmm, no entiendo
😐️	cara de póquer, cara seria, celo, da igual, inexpresivo, neutral, no impresionado, no me impresiona, pokerface, sin expresión
😑	cara, cara inexpresiva, cara sin expresión, inexpresividad, inexpresivo, malo, nada, sin comentarios
😶	cara, cara sin boca, cállate, mudo, silencio, sin boca, sin comentario, sin palabras
🫥	cara con línea de puntos, cara escondida, como sea, depresión, emoticones y emociones, introvertido, invisible, sin expresión
😏	cara, cara sonriendo con superioridad, gesto de superioridad, hacer travesuras, misterioso, pícaro, sarcástico, sonrisa, sospechoso, travesura
😒	aburrido, desaprobación, infeliz, mmm, molesto, mueca, poco divertida, poco divertido, raro
🙄	cara, cara con ojos en blanco, cara revoleando los ojos, fastidio, frustración, ojos, ojos en blanco, revoleando, revolear los ojos, voltear los ojos
😬	cara, cara feliz, cara haciendo mueca, dientes, disculpa, mueca, perdón, sonreír, sonriente, ups
😮‍💨	agotado, cara, cara exhalando, exhalar, resoplido, respirar, silbido, soplar, toser
🤥	Pinocho, cara, cara de mentir, cara de mentiroso, mentir, mentira, mentiroso, nariz, pinocho
🫨	aturdimiento, cara, cara que vibra, locura, mareo, pánico, shock, sorpresa, temblando, terremoto
🙂‍↔	cabeza en movimiento horizontal, cabeza moviéndose horizontalmente, cabeza negando, negar, no
😌	alivio, cara, cara de alivio, cara feliz, satisfacción, tranquilidad
😔	alicaído, cara, cara desanimada, cara pensativa, deprimido, desanimado, pensativo, triste
😪	cara, cara de sueño, cara somnolienta, gota, mocos, resfriado, somnoliento, sueño
🤤	baba, babas, babear, cara, cara babeando, cara que babea, delicioso, rico, saliva, suculento
😴	buenas noches, cansancio, cara, dormir, durmiendo, hora de dormir, noche, siesta, sueño, zzzzz
🫩	agotamiento, cansado, cansancio, cara, cara cansada, cara con ojeras, dormí mal, falta de sueño, no dormí, sueño
😷	cara, cara con barbijo, cara con cubrebocas, cara con mascarilla, cubrebocas, enfermedad, gripe, gérmenes, mascarilla, resfriado, resfrío
🤒	calentura, cara, cara con termómetro, enfermedad, fiebre, termómetro
🤕	cabeza vendada, cara, cara con vendaje, descalabrado, descalabrar, dolor, enfermo, herida, lesión, vendaje
🤢	asco, cara, cara de náuseas, cara verde, enfermedad, guácala, malestar, náuseas, vomitar, vómito
🤮	asco, cara, cara de náuseas, cara verde, guácala, malestar, náuseas, vomitando, vomitar, vómito
🤧	alergia, cara, cara de estornudo, cara que estornuda, enfermedad, estornudar, estornudo, pañuelo, resfriado, resfrío
🥵	apuros, bochorno, calor, cara, febril, golpe de calor, jadeando, sofoco, sudando, sudor
🥶	bajo cero, cara, congelación, congelada, congelado, congelarse, frío, helada, nieve, tengo frío
🥴	abuso de sustancias, alcohol, borracha, borracho, drogas, ebriedad, mareo, pasada de tragos, pasado de tragos, tomada
😵	cara, cara de mareado, cara mareada, equis, mareado, soprendido, sorpresa, xx
😵‍💫	alucinado, cara con ojos de espiral, confundido, desmayado, hipnotizado, locura, mareado, problema
🤯	cabeza explotando, cara cabeza explotando, en shock, impresión, increíble, mi cabeza va a explotar, no es posible, no lo puedo creer, shock
🤠	broma, bromista, cara, cara de vaquero, cowboy, feliz, sombrero, vaquero
🥳	alegría, bonete, cara, cara de fiesta, celebración, celebrar, emoción, fiesta, viva, yupi
🥸	anteojos, bigote, cara, careta, disfraz, espía, gafas, incógnito, lentes, nariz
😎	cara, cara sonriendo con lentes de sol, chévere, cool, lentes de sol, ojos, onda, relax, sol, sonriendo
🤓	anteojos, cara, cara de nerd, estudioso, experto, geek, inteligente, lentes, listo
🧐	aristócrata, cara, cara con lente, cara con monóculo, echar un ojo, elegante, lente, luneta circular, revisar
😕	cara, cara confusa, cara de confusión, confundido, confusión, confuso, triste
🫤	cara confundida, como sea, confusión, decepción, emoticones y emociones, en duda, frustración, inseguro, no entiendo, sin expresión
😟	cara, cara de preocupación, cara preocupada, estres, nervios, preocupacion, preocupación, preocupado, sorprendido
🙁	cara, cara con el ceño ligeramente fruncido, cara un poco triste, ceño fruncido, triste, tristeza
☹️	cara, cara con el ceño fruncido, cara muy triste, ceño fruncido, triste
😮	abierta, asustado, boca, cara, cara con boca abierta, cara con la boca abierta, empatía, oops, sorpresa
😯	cara, cara estupefacta, confusion, sorprendido, sorpresa, susto
😲	asombro, cara, cara asombrada, cara de asombro, horrorizado, pasmado, sorprendido, sorpresa, susto, totalmente pasmado
😳	asombro, aturdido, caliente, calor, cara sonrojada, ejercicio, guau, incredulidad, torpe, vergüenza
🥺	cara de ruego, ojos de cachorro, ojos grandes, ojos llorosos, piedad, por favor, rogar, ruego, triste
🥹	agradecimiento, cara emocionada, emoción, emoticones y emociones, lágrimas de alegría, orgullo, sentimientos, ternura, tristeza, vergüenza
😦	abierta, boca, cara, cara boquiabierta, ceño fruncido, ceño fruncido con boca abierta
😧	angustiado, cara, cara angustiada, cara de angustia, infeliz, sufrimiento, sufrir
😨	asustado, cara, cara asustada, cara de miedo, horror, miedo, susto, temor, terror
😰	apuro, asustad, azul, boca abierta, cara, cara acelerada, frio, nervios, sudor, sudor frío
😥	alivio, cara, cara triste pero aliviada, decepcionado, decepcionado pero aliviado, decepción, decepción y alivio, preocupación, sudor, susto
😢	cara, cara con llanto, llanto, llorando, llorar, lágrimas, pena, triste, tristeza
😭	cara, cara llorando fuerte, llorando, llorando fuerte, llorar, lágrimas, triste
😱	cara atemorizada, cara de terror, cara gritando de miedo, gritando de miedo, grito, horror, miedo, sorpresa, susto
😖	cara, cara de frustración, cara frustrada, enfadado, enojado, enojo, frustración, frustrado, tristeza
😣	cara, cara perseverante, equivocado, estrés, me equivoqué, perdón, perseverante, perseverar, preocupación
😞	cara, cara de decepción, cara decepcionada, culpa, decepcionado, decepción, triste
😓	cara, cara abatida con sudor, cara con sudor frío, dolor de cabeza, frío, nervios, sudor, susto, tristeza
😩	agotado, cansado, cara, cara agotada, cara de cansancio, exhausto, llorar, noooo
😫	agotado, cansado, cara, cara cansada, cara de exhausto, exhausto, sufrir, triste
🥱	a dormir, aburrido, bostezando, bostezar, bostezo, buenas noches, cara bostezando, cara de bostezo, siesta, sueño, zzz
😤	arrecho, cara, cara de mucho enfado, echar humo, enfado, infeliz, mirada de triunfo, molesto, triunfo, victoria
😡	cara de enojo, cara de odio, cara enojada, cara roja, cara roja enojada, enfado, enojo, ira, odio, rojo
😠	cara de enojo, cara enfadada, cara enojada, enfado, enojo, frustración, histérico
🤬	cara, cara de enojo, cara enfadada, decir groserías, decir malas palabras, disgusto, enojo, insultos, malas palabras, palabrotas
😈	cara morada sonriendo con cuernos, diablito, diablo, fantasía, hacer travesuras, malicioso, pillo, pícaro, sonriente con cuernos, sonrisa, travesuras
👿	cara, cara enfadada con cuernos, cara morada enfadada con cuernos, cuernos, demonio, diablillo, diablo, fantasía, granuja
💀	calavera, cara, cráneo, cuento, miedo, monstruo, muerte
☠️	calavera, cara, huesos, mal, muerte
💩	apesta, baño, caca, chocolate, cómico, estiércol, gracioso, laxante, popó, wc
🤡	cara, cara de payaso, divertido, payaso
👹	cara de ogro japonés, cuento, diablillo, diablo, fantasía, japonés, miedo, monstruo, ogro, oni
👺	cara, cara de demonio japonés, cuento, demonio, diablo, japonés, monstruo, máscara, tengu
👻	cara, cuento, espanto, fantasma, fantasía, monstruo, susto
👽️	alienígena, cara, cara de alienígena, ciencia ficción, cuento, espacio, extraterrestre, fantasía, ovni
👾	cara de monstruo alienígena, criatura, cuento, extraterrestre, juego, maquinita, marcianito, monstruo, ovni
🤖	cara, monstruo, r2d2, robot, robotina
😺	boca abierta, cara, cara de gato, cara de gato sonriendo con la boca abierta, felicidad, feliz, gato, gato sonriendo, minino, sonrisa
😸	cara de gato, cara de gato riendo con ojos sonrientes, gato, gato llorando de risa, gato sonriendo con ojos sonrientes, riendo, sonriente, sonrisa
😹	alegría, cara de gato, cara de gato llorando de alegría, divertido, gato, gato llorando de alegría, gato llorando de risa, llorando, lágrimas, risa
😻	amor, animal, cara de gato, cara de gato sonriendo con corazones en los ojos, corazones, enamorado, gato, gato sonriendo con ojos de corazón, gato sonriendo corazones, gato sonriente con corazones
😼	cara, cara de gato, gato, irónico, sarcástico, sonrisa, sonrisa irónica
😽	besando, beso, cara, cerrados, gato, gato mandando un beso, ojos
🙀	animal, cara, cara de gato asustado, felino, gato, gato asustado, gran sorpresa, oh dios mío, sorpresa
😿	cara, cara de gato, cara de gato llorando, gato, llorando, llorar
😾	animal, cara, cara de gato, cara de gato enfadado, gato, gato cabreado, gato enfadado, gato enojado
🙈	cara, ciego, cubrir, esconder, mono, mono con ojos tapados, no ver, ojos tapados, prohibido, tapar ojos
🙉	animal, cara, mono, mono con orejas tapadas, no escucho, orejas tapadas, oír, ruido, secreto, sordo
🙊	boca tapada, callado, cara, hablar, mono, mono con boca tapada, no, secreto, silencio, ups
💌	carta, carta con corazón, carta de amor, corazón, romance, sobre con corazón
💝	amor, aniversario, beso, corazón, corazón con lazo, corazón con moño, emoción, lazo, moño, san valentín
💖	amor, corazón emocionado, emoción, felicidad
💗	amor, corazón, corazón inquieto, corazón que crece, emoción, entusiasmado, latidos, nervios, nervioso
💓	amor, corazón, corazón palpitante, corazón que palpita, emoción, latidos, palpitar
💞	amor, amor en el aire, corazones que giran, corazón, emoción, girar, sentimiento, vueltas
💕	amantes, amor, corazon, corazón, dos corazones, emoción, enamorado, xoxo
💟	amor, corazón, corazón de decoración, decoración de corazón, emocion, violeta
❣️	corazón, exclamación, exclamación con forma de corazón, puntuación
💔	corazón, corazón partido, corazón roto, desamor, emoción, rompimiento, separación, tristeza
❤️	amor, azul, corazón, corazón rojo, emoción, pica
🩷	adorable, amor, corazón, dulce, emoción, especial, rosa, ternura, tierno
🧡	anaranjado, corazón, naranja, tomate
💛	amarillo, amistad, corazón, emoción
💚	amor, corazón, emoción, verde
💙	amor, azul, corazón, emoción
🩵	amor, azulado, celeste, cian, cielo, corazón, corazón celeste, emoción, especial, ternura
💜	corazón, emocion, emoción, morado
🤎	corazón, corazón café, emoción, marrón
🩶	amor, corazón, emoción, especial, gris, metalizado, plateado
💋	amor, beso, labial, labios, marca de labios, pintalabios, romance, sexy
💯	100, 100 puntos, al 100, cien, claramente, completo, de acuerdo, definitivamente
💢	cómic, cómics, emoción, enfadado, enfado, enojo, señal de enfado, señal de enojo
💥	bomba, choque, colisión, cómic, emoción, explosion, explosión, fuegos artificiales, petardo, símbolo de colisión
💫	brillar, cómic, emoción, estrella, estrella fugaz, estrellas, mareado, mareo, ver
💦	chorro, chorro de agua, cómic, cómics, emoción, gotas, gotas de sudor, salpicar, sudar, sudor
💨	carrera, cómic, emoción, flatulencia, humo, nube, pedo, rápido, velocidad, viento
🕳️	agujero negro, hueco, negro, orificio
💬	bocadillo, burbuja, cómic, diálogo, globo, globo de diálogo, hablar, idea, nube
👁‍🗨	bocadillo de texto, ojo, ojo en una burbuja de texto, testigo
🗨️	bocadillo de diálogo, burbuja, cómic, diálogo, globo, globo de diálogo izquierdo, idea, izquierdo
🗯️	globo de enojo derecho
💭	bocadillo de pensamiento, burbuja, burbuja de pensamiento, cómic, globo, globo de pensamiento, idea, nube, pensamiento, pensar
💤	a dormir, buenas noches, cansancio, cómics, pereza, roncar, ronquido, siesta, sueño, zzz
👋	adiós, agitar la mano, chau, hasta luego, hola, mano saludando, me voy, saludar, saludo
👋🏻	adiós, agitar la mano, chau, hasta luego, hola, mano saludando, me voy, saludar, saludo, tono de piel claro
👋🏼	adiós, agitar la mano, chau, hasta luego, hola, mano saludando, me voy, saludar, saludo, tono de piel claro medio
👋🏽	adiós, agitar la mano, chau, hasta luego, hola, mano saludando, me voy, saludar, saludo, tono de piel medio
👋🏾	adiós, agitar la mano, chau, hasta luego, hola, mano saludando, me voy, saludar, saludo, tono de piel oscuro medio
👋🏿	adiós, agitar la mano, chau, hasta luego, hola, mano saludando, me voy, saludar, saludo, tono de piel oscuro
🤚	adiós, alto, chao, cinco, dedos, dorso de la mano, mano
🤚🏻	adiós, alto, chao, cinco, dedos, dorso de la mano, mano, tono de piel claro
🤚🏼	adiós, alto, chao, cinco, dedos, dorso de la mano, mano, tono de piel claro medio
🤚🏽	adiós, alto, chao, cinco, dedos, dorso de la mano, mano, tono de piel medio
🤚🏾	adiós, alto, chao, cinco, dedos, dorso de la mano, mano, tono de piel oscuro medio
🤚🏿	adiós, alto, chao, cinco, dedos, dorso de la mano, mano, tono de piel oscuro
🖐️	cinco, cuerpo, dedos, mano, mano abierta, palma, palma de mano, yo
🖐🏻	cinco, cuerpo, dedos, mano, mano abierta, palma, palma de mano, tono de piel claro, yo
🖐🏼	cinco, cuerpo, dedos, mano, mano abierta, palma, palma de mano, tono de piel claro medio, yo
🖐🏽	cinco, cuerpo, dedos, mano, mano abierta, palma, palma de mano, tono de piel medio, yo
🖐🏾	cinco, cuerpo, dedos, mano, mano abierta, palma, palma de mano, tono de piel oscuro medio, yo
🖐🏿	cinco, cuerpo, dedos, mano, mano abierta, palma, palma de mano, tono de piel oscuro, yo
✋️	alto, cinco dedos, levantar la mano, mano, mano abierta, mano en alto, palma, palma de mano, papel, stop
✋🏻	alto, cinco dedos, levantar la mano, mano, mano abierta, mano en alto, palma, palma de mano, papel, stop, tono de piel claro
✋🏼	alto, cinco dedos, levantar la mano, mano, mano abierta, mano en alto, palma, palma de mano, papel, stop, tono de piel claro medio
✋🏽	alto, cinco dedos, levantar la mano, mano, mano abierta, mano en alto, palma, palma de mano, papel, stop, tono de piel medio
✋🏾	alto, cinco dedos, levantar la mano, mano, mano abierta, mano en alto, palma, palma de mano, papel, stop, tono de piel oscuro medio
✋🏿	alto, cinco dedos, levantar la mano, mano, mano abierta, mano en alto, palma, palma de mano, papel, stop, tono de piel oscuro
🖖	dedos, mano, saludo, spock, star, trek, vulcano
🖖🏻	dedos, mano, saludo, spock, star, tono de piel claro, trek, vulcano
🖖🏼	dedos, mano, saludo, spock, star, tono de piel claro medio, trek, vulcano
🖖🏽	dedos, mano, saludo, spock, star, tono de piel medio, trek, vulcano
🖖🏾	dedos, mano, saludo, spock, star, tono de piel oscuro medio, trek, vulcano
🖖🏿	dedos, mano, saludo, spock, star, tono de piel oscuro, trek, vulcano
🫱	apretón de manos, dar la mano, mano, mano derecha, sacudir, sacudón de manos, sostener
🫱🏻	apretón de manos, dar la mano, mano, mano derecha, sacudir, sacudón de manos, sostener, tono de piel claro
🫱🏼	apretón de manos, dar la mano, mano, mano derecha, sacudir, sacudón de manos, sostener, tono de piel claro medio
🫱🏽	apretón de manos, dar la mano, mano, mano derecha, sacudir, sacudón de manos, sostener, tono de piel medio
🫱🏾	apretón de manos, dar la mano, mano, mano derecha, sacudir, sacudón de manos, sostener, tono de piel oscuro medio
🫱🏿	apretón de manos, dar la mano, mano, mano derecha, sacudir, sacudón de manos, sostener, tono de piel oscuro
🫱🏻‍🫲🏼	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro, tono de piel claro medio
🫱🏻‍🫲🏽	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro, tono de piel medio
🫱🏻‍🫲🏾	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro, tono de piel oscuro medio
🫱🏻‍🫲🏿	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro, tono de piel oscuro
🫱🏼‍🫲🏻	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro, tono de piel claro medio
🫱🏼‍🫲🏽	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro medio, tono de piel medio
🫱🏼‍🫲🏾	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro medio, tono de piel oscuro medio
🫱🏼‍🫲🏿	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro medio, tono de piel oscuro
🫱🏽‍🫲🏻	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro, tono de piel medio
🫱🏽‍🫲🏼	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro medio, tono de piel medio
🫱🏽‍🫲🏾	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel medio, tono de piel oscuro medio
🫱🏽‍🫲🏿	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel medio, tono de piel oscuro
🫱🏾‍🫲🏻	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro, tono de piel oscuro medio
🫱🏾‍🫲🏼	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro medio, tono de piel oscuro medio
🫱🏾‍🫲🏽	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel medio, tono de piel oscuro medio
🫱🏾‍🫲🏿	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel oscuro, tono de piel oscuro medio
🫱🏿‍🫲🏻	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro, tono de piel oscuro
🫱🏿‍🫲🏼	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel claro medio, tono de piel oscuro
🫱🏿‍🫲🏽	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel medio, tono de piel oscuro
🫱🏿‍🫲🏾	acuerdo, apretón, apretón de manos, manos, reunión, saludar, tono de piel oscuro, tono de piel oscuro medio
🫲	apretón de manos, dar la mano, mano, mano izquierda, sacudir, sacudón de manos, sostener
🫲🏻	apretón de manos, dar la mano, mano, mano izquierda, sacudir, sacudón de manos, sostener, tono de piel claro
🫲🏼	apretón de manos, dar la mano, mano, mano izquierda, sacudir, sacudón de manos, sostener, tono de piel claro medio
🫲🏽	apretón de manos, dar la mano, mano, mano izquierda, sacudir, sacudón de manos, sostener, tono de piel medio
🫲🏾	apretón de manos, dar la mano, mano, mano izquierda, sacudir, sacudón de manos, sostener, tono de piel oscuro medio
🫲🏿	apretón de manos, dar la mano, mano, mano izquierda, sacudir, sacudón de manos, sostener, tono de piel oscuro
🫳	dejar caer, descartar, levantar, mano, mano con la palma hacia abajo, tirar
🫳🏻	dejar caer, descartar, levantar, mano, mano con la palma hacia abajo, tirar, tono de piel claro
🫳🏼	dejar caer, descartar, levantar, mano, mano con la palma hacia abajo, tirar, tono de piel claro medio
🫳🏽	dejar caer, descartar, levantar, mano, mano con la palma hacia abajo, tirar, tono de piel medio
🫳🏾	dejar caer, descartar, levantar, mano, mano con la palma hacia abajo, tirar, tono de piel oscuro medio
🫳🏿	dejar caer, descartar, levantar, mano, mano con la palma hacia abajo, tirar, tono de piel oscuro
👌	OK, bien, de acuerdo, entendido, genial, perfecto, señal, señal de OK, sí, súper
👌🏻	OK, bien, de acuerdo, entendido, genial, perfecto, señal, señal de OK: tono de piel claro, sí, súper, tono de piel claro
👌🏼	OK, bien, de acuerdo, entendido, genial, perfecto, señal, señal de OK: tono de piel claro medio, sí, súper, tono de piel claro medio
👌🏽	OK, bien, de acuerdo, entendido, genial, perfecto, señal, señal de OK: tono de piel medio, sí, súper, tono de piel medio
👌🏾	OK, bien, de acuerdo, entendido, genial, perfecto, señal, señal de OK: tono de piel oscuro medio, sí, súper, tono de piel oscuro medio
👌🏿	OK, bien, de acuerdo, entendido, genial, perfecto, señal, señal de OK: tono de piel oscuro, sí, súper, tono de piel oscuro
🤌	cómo se te ocurre, dedos, dedos juntos apuntando hacia arriba, dedos unidos, gesto, gesto italiano, sarcasmo
🤌🏻	cómo se te ocurre, dedos, dedos juntos apuntando hacia arriba, dedos unidos, gesto, gesto italiano, sarcasmo, tono de piel claro
🤌🏼	cómo se te ocurre, dedos, dedos juntos apuntando hacia arriba, dedos unidos, gesto, gesto italiano, sarcasmo, tono de piel claro medio
🤌🏽	cómo se te ocurre, dedos, dedos juntos apuntando hacia arriba, dedos unidos, gesto, gesto italiano, sarcasmo, tono de piel medio
🤌🏾	cómo se te ocurre, dedos, dedos juntos apuntando hacia arriba, dedos unidos, gesto, gesto italiano, sarcasmo, tono de piel oscuro medio
🤌🏿	cómo se te ocurre, dedos, dedos juntos apuntando hacia arriba, dedos unidos, gesto, gesto italiano, sarcasmo, tono de piel oscuro
🤏	chico, chiquito, dedos, mano pellizcando, pellizco, pequeño, pizca, poco, poquito
🤏🏻	chico, chiquito, dedos, mano pellizcando, pellizco, pequeño, pizca, poco, poquito, tono de piel claro
🤏🏼	chico, chiquito, dedos, mano pellizcando, pellizco, pequeño, pizca, poco, poquito, tono de piel claro medio
🤏🏽	chico, chiquito, dedos, mano pellizcando, pellizco, pequeño, pizca, poco, poquito, tono de piel medio
