‾	traço sobrescrito
😵‍💫	cara, cara com olhos em espiral, confuso, espirais, hipnotizado, problema, rosto com olhos em espiral, tontura, uau
🤯	cabeça a explodir, chocado, espantoso, explodir
🤠	cara, cara sorridente com chapéu de vaqueiro, caubói, chapéu, cobói, cowboy, vaqueira, vaqueiro
🥳	apito, cara, cara de festa, chapéu, comemoração, corneta, feliz, festa, parabéns
🥸	cara, cara disfarçada, disfarce, incógnito, nariz, rosto disfarçado, óculos
😎	cara, cara a sorrir com óculos de sol, fixe, luminoso, sol, sorriso, óculos, óculos de sol, óculos escuros
🤓	caixa de óculos, cara, cara de cromo, cara de nerd, cromo, esperto, nerd, sabe-tudo, sabichão, totó, óculos
🧐	cara com monóculo, conservador, formal, luxo, rico
😕	cara, cara confusa, confuso, não sei, triste
🫤	cara com boca diagonal, confusão, cético, desapontado, duvidoso, incerto, inseguro, meh, rosto com boca diagonal, sei lá, seja o que for
😟	cara, cara preocupada, preocupado, surpreendido, triste
🙁	cara, cara ligeiramente franzida, sobrolho menos franzido, triste
☹️	cara, cara franzida, sobrolho franzido, triste
😮	aberta, boca, cara, cara com boca aberta, incrível, não acredito, pena
😯	cara, cara de surpresa, cara expectante, espantado, expectante, pasmado, surpreso
😲	cara, cara espantada, chocado, estupefacto, surpreso
😳	aturdido, cara, cara corada, corado, envorganhado
🥺	cara que implora, cara suplicante, implorar, olhar de cachorrinho, perdão, por favor
🥹	cara a conter as lágrimas, cara com lágrimas de alegria, cara com lágrimas de emoção, chorar, emoção, gratidão, lágrimas de alegria, lágrimas nos olhos, orgulhoso, resistir, sentimentos, triste
😦	aberta, assustado, boca, cara, cara franzida com boca aberta, sobrolho franzido, surpreendido
😧	angustiado, cara, cara angustiada, descontente, surpreendido
😨	amedrontado, ansioso, assustado, cara, cara cheia de medo, medo
😰	azul, boca, cara, cara com boca aberta e suor frio, com pressa, frio, suor
😥	aliviado, ansioso, cara, cara triste, cara triste, mas aliviada, desiludido, ufa
😢	cara, cara a chorar, choro, infeliz, lágrima, triste
😭	cara, cara a chorar perdidamente, chorar, choro, lágrima, lágrimas, soluço, triste
😱	amedrontado, assustado, cara, cara a gritar de medo, grito, medo, munch
😖	baralhado, cara, cara perplexa, confuso, zangado
😣	cara, cara perseverante, concentração, dor de cabeça, perseverante
😞	cara, cara desiludida, desapontamento, desiludido
😓	cara, cara cabisbaixa com gota de suor, frio, suor
😩	cansado, cara, cara fatigada, exausto, sonolento
😫	cansado, cara, cara cansada, espirro
🥱	aborrecido, bocejo, cansado, cara a bocejar, dormir, entediado, tanto faz
😤	cara, cara com vapor a sair do nariz, furioso, triunfo, vitória, zangado
😡	cara, cara amuada, cara zangada, enfurecido, fúria, irado, mal-humorado, vermelho, zangado
😠	cara, cara irritada, infeliz, irritado, zangado
🤬	cara com símbolos na boca, censura, palavrão, praguejar
😈	cara, cara a sorrir com cornos, conto de fadas, cornos, fantasia, maldade, sorriso
👿	cara, cara zangada com cornos, demónio, diabo, fantasia, mau
💀	cara, caveira, conto de fadas, corpo, monstro, morte
☠️	cara, caveira, caveira e ossos cruzados, corpo, monstro, morte, ossos cruzados
💩	caca, cara, cheira mal, cocó, desenho, malcheiroso, monstro, monte de cocó, poia
🤡	cara, cara de palhaço, palhaço, rosto, rosto de palhaço
👹	cara, conto de fadas, criatura, diabo, fantasia, japonês, monstro, máscara, ogre
👺	cara, conto de fadas, criatura, duende japonês, fantasia, japonês, monstro, máscara, tengu, zangado
👻	cara, conto de fadas, criatura, fantasia, fantasma, monstro
👽️	ET, cara, criatura, espaço, extraterrestre, fantasia, monstro, ovni
👾	ET, cara, criatura, extraterrestre, fantasia, invasores espaciais, jogo, monstro, monstro extraterrestre, ovni, pixelado
🤖	cara, cara de robô, monstro, robô
😺	aberta, animal, boca, cara, gato, gato a sorrir com boca aberta, sorridente, sorrir, sorriso
😸	cara, gato, gato sorridente com olhos sorridentes, olho, riso, sorriso
😹	cara, felicidade, gato, gato com lágrimas de felicidade, lágrima
😻	amor, cara, coração, gato, gato a sorrir com olhos em forma de coração, olho, sorriso
😼	cara, gato, gato com sorriso forçado, irónico, sorriso, troçar
😽	beijo, cara, gato, gato a dar um beijo com olhos fechados, olho
🙀	cansado, cara, cara de gato cansado, cara de gato surpreendido, exausto, gato, gato exausto, oh!, surpreendido
😿	cara, choro, gato, gato a chorar, lágrima, triste
😾	amuado, cara, gato, gato mal-humorado, mal-humorado
🙈	cara, envergonhado, gesto, macaco, macaco com as mãos a tapar os olhos, macaco com olhos tapados, macaco que não vê nada, olhos tapados, proibido, ver
🙉	cara, gesto, macaco, macaco com as mãos a tapar os ouvidos, macaco que não ouve nada, ouvidos tapados, ouvir, proibido
🙊	boca tapada, cara, falar, gesto, macaco, macaco com as mãos a tapar a boca, macaco que não diz nada, proibido
💌	amor, carta, carta de amor, coração, correio, romance
💘	coração, coração com seta, cupido, romance, seta
💝	aniversário, coração, coração com fita, coração com laço, dia dos namorados, fita, romance
💖	cintilante, coração, coração a brilhar, coração cintilante, emocionante, emoção, entusiasmado
💗	a crescer, coração, coração a crescer, emoção, entusiasmado, nervoso, palpitação
💓	amor, batimento, coração, coração a bater, coração pulsante, palpitante
💞	aniversário, coração, corações, corações a girar, corações a rodopiar, corações rodopiantes, emoção, girar, rodopiante
💕	amor, aniversário, coração, corações, dois corações
💟	coração, coração branco, coração decorativo, coração roxo, decoração com coração
❣️	exclamação, ponto de exclamação com coração, pontuação, sinal
💔	coração, emoção, partido, partir, triste
❤️	amor, coração, coração vermelho, emoção
🩷	adorável, amor, cor-de-rosa, coração, fofo, gostar, querido, rosa, ternura
🧡	coração, coração cor de laranja, laranja
💛	amarelo, amor, coração, emoção
💚	amor, coração, emoção, verde
💙	azul, coração, emoção
🩵	afeição, amor, azul-claro, carinho, celeste, cor do céu, coração, ternura
💜	coração, emoção, roxo
🤎	castanho, coração, coração castanho
🖤	coração, malvado, mau, preto
🩶	ardósia, chumbo, cinza, cinzento, coração, coração cinzento, prata, prateado
🤍	branco, coração
💋	beijo, coração, lábios, marca, marca de beijo, romance
💯	100, 100 pontos, cem, cem pontos, concordo totalmente, perfeito, pontuação
💢	desenho, enfurecido, irritado, símbolo de fúria, símbolo de raiva, zangado
💥	bomba, bum, colisão, desenho, explosão
💫	desenho, estrela, estrela cadente, tonto
💦	desenho, exercício, gota, gotas de suor, suor
💨	corrida, desenho, fugir, ir-se embora, nuvem, peido, rapidez
💬	balão, balão de diálogo, balão de fala, desenho, diálogo, fala, mensagem
👁‍🗨	balão de diálogo, balão de fala, olho, olho em balão de fala, olho no balão de diálogo, testemunha
🗨️	balão de fala do lado esquerdo, diálogo, fala
🗯️	balão, balão de raiva do lado direito, enfurecido, irado, irritado, raiva
💭	balão, balão de pensamento, desenho, devaneio, ideia, invenção, pensamento, sonho
💤	boa noite, cansado, desenho, dormir, sesta, sono, sonolento, zzz
👋	acenar, aceno, adeus, corpo, estás aí?, mão, mão a acenar, olá
👋🏻	acenar, aceno, adeus, corpo, estás aí?, mão, mão a acenar, mão a acenar: tipo de pele 1–2, olá, tipo de pele 1–2
👋🏼	acenar, aceno, adeus, corpo, estás aí?, mão, mão a acenar, mão a acenar: tipo de pele 3, olá, tipo de pele 3
👋🏽	acenar, aceno, adeus, corpo, estás aí?, mão, mão a acenar, mão a acenar: tipo de pele 4, olá, tipo de pele 4
👋🏾	acenar, aceno, adeus, corpo, estás aí?, mão, mão a acenar, mão a acenar: tipo de pele 5, olá, tipo de pele 5
👋🏿	acenar, aceno, adeus, corpo, estás aí?, mão, mão a acenar, mão a acenar: tipo de pele 6, olá, tipo de pele 6
🤚	levantada, mão, mão com costas para fora, palma
🤚🏻	levantada, mão, mão com costas para fora, mão com costas para fora: tipo de pele 1–2, palma, tipo de pele 1–2
🤚🏼	levantada, mão, mão com costas para fora, mão com costas para fora: tipo de pele 3, palma, tipo de pele 3
🤚🏽	levantada, mão, mão com costas para fora, mão com costas para fora: tipo de pele 4, palma, tipo de pele 4
🤚🏾	levantada, mão, mão com costas para fora, mão com costas para fora: tipo de pele 5, palma, tipo de pele 5
🤚🏿	levantada, mão, mão com costas para fora, mão com costas para fora: tipo de pele 6, palma, tipo de pele 6
🖐️	cinco dedos, corpo, dedo, dedos abertos, mão, mão aberta com os dedos separados, mão erguida com dedos afastados, parar
🖐🏻	cinco dedos, corpo, dedo, dedos abertos, mão, mão aberta com os dedos separados, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 1–2, parar, tipo de pele 1–2
🖐🏼	cinco dedos, corpo, dedo, dedos abertos, mão, mão aberta com os dedos separados, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 3, parar, tipo de pele 3
🖐🏽	cinco dedos, corpo, dedo, dedos abertos, mão, mão aberta com os dedos separados, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 4, parar, tipo de pele 4
🖐🏾	cinco dedos, corpo, dedo, dedos abertos, mão, mão aberta com os dedos separados, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 5, parar, tipo de pele 5
🖐🏿	cinco dedos, corpo, dedo, dedos abertos, mão, mão aberta com os dedos separados, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 6, parar, tipo de pele 6
✋️	cinco, corpo, dá cá mais cinco, mão, mão erguida, parar
✋🏻	cinco, corpo, dá cá mais cinco, mão, mão erguida, mão erguida: tipo de pele 1–2, parar, tipo de pele 1–2
✋🏼	cinco, corpo, dá cá mais cinco, mão, mão erguida, mão erguida: tipo de pele 3, parar, tipo de pele 3
✋🏽	cinco, corpo, dá cá mais cinco, mão, mão erguida, mão erguida: tipo de pele 4, parar, tipo de pele 4
✋🏾	cinco, corpo, dá cá mais cinco, mão, mão erguida, mão erguida: tipo de pele 5, parar, tipo de pele 5
✋🏿	cinco, corpo, dá cá mais cinco, mão, mão erguida, mão erguida: tipo de pele 6, parar, tipo de pele 6
🖖	corpo, dedo, mão, saudação, saudação vulcana, spock, star trek, vulcano
🖖🏻	corpo, dedo, mão, saudação, saudação vulcana, saudação vulcana: tipo de pele 1–2, spock, star trek, tipo de pele 1–2, vulcano
🖖🏼	corpo, dedo, mão, saudação, saudação vulcana, saudação vulcana: tipo de pele 3, spock, star trek, tipo de pele 3, vulcano
🖖🏽	corpo, dedo, mão, saudação, saudação vulcana, saudação vulcana: tipo de pele 4, spock, star trek, tipo de pele 4, vulcano
🖖🏾	corpo, dedo, mão, saudação, saudação vulcana, saudação vulcana: tipo de pele 5, spock, star trek, tipo de pele 5, vulcano
🖖🏿	corpo, dedo, mão, saudação, saudação vulcana, saudação vulcana: tipo de pele 6, spock, star trek, tipo de pele 6, vulcano
🫱	ajudar, direita, estender a mão, mão, mão estendida para a direita, mão para a direita, para a direita
🫱🏻	ajudar, direita, estender a mão, mão, mão estendida para a direita, mão para a direita, mão para a direita: tipo de pele 1–2, para a direita, tipo de pele 1–2
🫱🏼	ajudar, direita, estender a mão, mão, mão estendida para a direita, mão para a direita, mão para a direita: tipo de pele 3, para a direita, tipo de pele 3
🫱🏽	ajudar, direita, estender a mão, mão, mão estendida para a direita, mão para a direita, mão para a direita: tipo de pele 4, para a direita, tipo de pele 4
🫱🏾	ajudar, direita, estender a mão, mão, mão estendida para a direita, mão para a direita, mão para a direita: tipo de pele 5, para a direita, tipo de pele 5
🫱🏿	ajudar, direita, estender a mão, mão, mão estendida para a direita, mão para a direita, mão para a direita: tipo de pele 6, para a direita, tipo de pele 6
🫱🏻‍🫲🏼	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 1–2 e tipo de pele 3, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 1–2, tipo de pele 3
🫱🏻‍🫲🏽	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 1–2 e tipo de pele 4, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 1–2, tipo de pele 4
🫱🏻‍🫲🏾	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 1–2 e tipo de pele 5, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 1–2, tipo de pele 5
🫱🏻‍🫲🏿	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 1–2 e tipo de pele 6, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 1–2, tipo de pele 6
🫱🏼‍🫲🏻	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 3 e tipo de pele 1–2, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 1–2, tipo de pele 3
🫱🏼‍🫲🏽	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 3 e tipo de pele 4, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 3, tipo de pele 4
🫱🏼‍🫲🏾	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 3 e tipo de pele 5, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 3, tipo de pele 5
🫱🏼‍🫲🏿	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 3 e tipo de pele 6, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 3, tipo de pele 6
🫱🏽‍🫲🏻	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 4 e tipo de pele 1–2, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 1–2, tipo de pele 4
🫱🏽‍🫲🏼	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 4 e tipo de pele 3, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 3, tipo de pele 4
🫱🏽‍🫲🏾	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 4 e tipo de pele 5, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 4, tipo de pele 5
🫱🏽‍🫲🏿	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 4 e tipo de pele 6, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 4, tipo de pele 6
🫱🏾‍🫲🏻	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 5 e tipo de pele 1–2, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 1–2, tipo de pele 5
🫱🏾‍🫲🏼	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 5 e tipo de pele 3, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 3, tipo de pele 5
🫱🏾‍🫲🏽	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 5 e tipo de pele 4, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 4, tipo de pele 5
🫱🏾‍🫲🏿	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 5 e tipo de pele 6, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 5, tipo de pele 6
🫱🏿‍🫲🏻	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 6 e tipo de pele 1–2, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 1–2, tipo de pele 6
🫱🏿‍🫲🏼	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 6 e tipo de pele 3, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 3, tipo de pele 6
🫱🏿‍🫲🏽	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 6 e tipo de pele 4, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 4, tipo de pele 6
